satellite, 54699 SHIYAN 20A (SY-20A) / PRC
catalogue, 1 NORAD
track, 27640041
variability, 0 Not variable
variability_period, 0.0
npoints, 730
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-01-23,16:38:45.299000,5.196,6.1811,Clear,0,1243.004,111.998,6
2024-01-23,16:38:45.399000,5.242,6.22622,Clear,0,1243.003,111.982,6
2024-01-23,16:38:45.499000,5.236,6.22025,Clear,0,1243.003,111.966,6
2024-01-23,16:38:45.599000,5.123,6.10633,Clear,0,1243.004,111.95,6
2024-01-23,16:38:45.699000,5.168,6.15048,Clear,0,1243.004,111.934,6
2024-01-23,16:38:45.799000,5.235,6.21666,Clear,0,1243.006,111.918,6
2024-01-23,16:38:45.899000,5.155,6.13664,Clear,0,1243.007,111.902,6
2024-01-23,16:38:45.999000,5.121,6.10188,Clear,0,1243.009,111.886,6
2024-01-23,16:38:46.099000,5.246,6.22669,Clear,0,1243.011,111.87,6
2024-01-23,16:38:46.199000,5.296,6.27546,Clear,0,1243.014,111.854,6
2024-01-23,16:38:46.299000,5.068,6.04829,Clear,0,1243.017,111.838,6
2024-01-23,16:38:46.399000,5.096,6.07607,Clear,0,1243.02,111.821,6
2024-01-23,16:38:46.499000,4.993,5.97221,Clear,0,1243.024,111.805,6
2024-01-23,16:38:46.599000,5.074,6.05298,Clear,0,1243.028,111.789,6
2024-01-23,16:38:46.699000,5.013,5.99105,Clear,0,1243.032,111.773,6
2024-01-23,16:38:46.799000,5.12,6.09792,Clear,0,1243.037,111.757,6
2024-01-23,16:38:46.899000,5.133,6.11016,Clear,0,1243.043,111.741,6
2024-01-23,16:38:46.999000,5.0,5.97705,Clear,0,1243.048,111.725,6
2024-01-23,16:38:47.099000,5.08,6.05597,Clear,0,1243.054,111.709,6
2024-01-23,16:38:47.199000,5.021,5.99737,Clear,0,1243.06,111.693,6
2024-01-23,16:38:47.299000,5.072,6.04834,Clear,0,1243.067,111.676,6
2024-01-23,16:38:47.399000,5.105,6.07985,Clear,0,1243.074,111.66,6
2024-01-23,16:38:47.499000,5.153,6.12783,Clear,0,1243.082,111.644,6
2024-01-23,16:38:47.599000,5.159,6.13288,Clear,0,1243.09,111.628,6
2024-01-23,16:38:47.699000,5.177,6.15115,Clear,0,1243.098,111.612,6
2024-01-23,16:38:47.799000,4.967,5.93962,Clear,0,1243.106,111.596,6
2024-01-23,16:38:47.899000,4.974,5.94675,Clear,0,1243.115,111.58,6
2024-01-23,16:38:47.999000,5.066,6.03882,Clear,0,1243.125,111.564,6
2024-01-23,16:38:48.099000,5.006,5.97776,Clear,0,1243.134,111.547,6
2024-01-23,16:38:48.199000,5.063,6.03489,Clear,0,1243.144,111.531,6
2024-01-23,16:38:48.299000,4.906,5.87733,Clear,0,1243.155,111.515,6
2024-01-23,16:38:48.399000,5.126,6.09729,Clear,0,1243.166,111.499,6
2024-01-23,16:38:48.499000,5.06,6.02963,Clear,0,1243.177,111.483,6
2024-01-23,16:38:48.599000,5.015,5.98467,Clear,0,1243.188,111.467,6
2024-01-23,16:38:48.699000,5.043,6.01274,Clear,0,1243.2,111.45,6
2024-01-23,16:38:48.799000,5.048,6.01738,Clear,0,1243.213,111.434,6
2024-01-23,16:38:48.899000,5.098,6.06661,Clear,0,1243.225,111.418,6
2024-01-23,16:38:48.999000,5.049,6.01694,Clear,0,1243.238,111.402,6
2024-01-23,16:38:49.099000,5.159,6.12686,Clear,0,1243.252,111.386,6
2024-01-23,16:38:49.199000,5.066,6.0333,Clear,0,1243.266,111.37,6
2024-01-23,16:38:49.299000,5.124,6.09094,Clear,0,1243.28,111.353,6
2024-01-23,16:38:49.399000,5.152,6.11888,Clear,0,1243.294,111.337,6
2024-01-23,16:38:49.499000,5.042,6.00813,Clear,0,1243.309,111.321,6
2024-01-23,16:38:49.599000,5.094,6.06018,Clear,0,1243.325,111.305,6
2024-01-23,16:38:49.699000,4.979,5.94432,Clear,0,1243.34,111.289,6
2024-01-23,16:38:49.799000,5.021,5.98557,Clear,0,1243.356,111.272,6
2024-01-23,16:38:49.899000,5.001,5.96459,Clear,0,1243.373,111.256,6
2024-01-23,16:38:49.999000,4.982,5.94551,Clear,0,1243.389,111.24,6
2024-01-23,16:38:50.099000,5.007,5.97071,Clear,0,1243.407,111.224,6
2024-01-23,16:38:50.199000,5.027,5.98961,Clear,0,1243.424,111.207,6
2024-01-23,16:38:50.299000,4.997,5.9604,Clear,0,1243.442,111.191,6
2024-01-23,16:38:50.399000,4.991,5.95254,Clear,0,1243.46,111.175,6
2024-01-23,16:38:50.499000,5.007,5.96912,Clear,0,1243.479,111.159,6
2024-01-23,16:38:50.599000,4.956,5.91781,Clear,0,1243.498,111.143,6
2024-01-23,16:38:50.699000,4.966,5.92704,Clear,0,1243.517,111.126,6
2024-01-23,16:38:50.799000,4.93,5.89061,Clear,0,1243.537,111.11,6
2024-01-23,16:38:50.899000,5.154,6.11416,Clear,0,1243.557,111.094,6
2024-01-23,16:38:50.999000,4.913,5.87321,Clear,0,1243.578,111.078,6
2024-01-23,16:38:51.099000,4.987,5.94629,Clear,0,1243.599,111.061,6
2024-01-23,16:38:51.199000,5.017,5.97635,Clear,0,1243.62,111.045,6
2024-01-23,16:38:51.299000,5.014,5.97268,Clear,0,1243.641,111.029,6
2024-01-23,16:38:51.399000,4.86,5.81749,Clear,0,1243.663,111.013,6
2024-01-23,16:38:51.499000,4.859,5.81708,Clear,0,1243.686,110.996,6
2024-01-23,16:38:51.599000,4.958,5.9154,Clear,0,1243.709,110.98,6
2024-01-23,16:38:51.699000,4.889,5.84585,Clear,0,1243.732,110.964,6
2024-01-23,16:38:51.799000,4.931,5.88783,Clear,0,1243.755,110.948,6
2024-01-23,16:38:51.899000,4.944,5.89971,Clear,0,1243.779,110.931,6
2024-01-23,16:38:51.999000,5.054,6.00983,Clear,0,1243.803,110.915,6
2024-01-23,16:38:52.099000,4.893,5.8479,Clear,0,1243.828,110.899,6
