satellite, 192 MIDAS 4 / US
catalogue, 1 NORAD
track, 27880164
variability, 2 Periodic
variability_period, 38.688
npoints, 1069
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-03-05,01:21:35.295000,6.538,9.43307,Clear,0,3858.06,87.884,4
2024-03-05,01:21:35.395000,6.139,9.03351,Clear,0,3857.902,87.88,4
2024-03-05,01:21:35.495000,6.12,9.01525,Clear,0,3857.744,87.877,4
2024-03-05,01:21:35.595000,6.317,9.21229,Clear,0,3857.586,87.873,4
2024-03-05,01:21:35.895000,6.055,8.94852,Clear,0,3857.113,87.861,4
2024-03-05,01:21:35.995000,6.424,9.31828,Clear,0,3856.955,87.857,4
2024-03-05,01:21:36.195000,6.289,9.18337,Clear,0,3856.64,87.849,4
2024-03-05,01:21:36.495000,5.654,8.54671,Clear,0,3856.168,87.838,4
2024-03-05,01:21:36.595000,6.138,9.03075,Clear,0,3856.011,87.834,4
2024-03-05,01:21:36.695000,6.173,9.06623,Clear,0,3855.854,87.83,4
2024-03-05,01:21:36.795000,6.616,9.50883,Clear,0,3855.697,87.826,4
2024-03-05,01:21:37.195000,6.176,9.06813,Clear,0,3855.069,87.81,4
2024-03-05,01:21:37.695000,6.199,9.09022,Clear,0,3854.286,87.791,4
2024-03-05,01:21:37.895000,6.363,9.25436,Clear,0,3853.973,87.783,4
2024-03-05,01:21:38.195000,5.786,8.67585,Clear,0,3853.504,87.771,4
2024-03-05,01:21:38.295000,6.138,9.028,Clear,0,3853.348,87.768,4
2024-03-05,01:21:38.395000,6.474,9.3635,Clear,0,3853.192,87.764,4
2024-03-05,01:21:38.495000,6.538,9.42776,Clear,0,3853.036,87.76,4
2024-03-05,01:21:38.595000,6.451,9.34126,Clear,0,3852.88,87.756,4
2024-03-05,01:21:38.695000,6.361,9.25098,Clear,0,3852.724,87.752,4
2024-03-05,01:21:38.795000,6.03,8.91912,Clear,0,3852.568,87.748,4
2024-03-05,01:21:38.995000,6.431,9.31947,Clear,0,3852.256,87.74,4
2024-03-05,01:21:39.095000,6.19,9.07864,Clear,0,3852.101,87.736,4
2024-03-05,01:21:39.195000,6.395,9.2841,Clear,0,3851.945,87.733,4
2024-03-05,01:21:39.495000,6.421,9.30874,Clear,0,3851.478,87.721,4
2024-03-05,01:21:39.595000,6.132,9.01978,Clear,0,3851.323,87.717,4
2024-03-05,01:21:39.695000,6.349,9.23645,Clear,0,3851.168,87.713,4
2024-03-05,01:21:39.795000,6.049,8.93666,Clear,0,3851.012,87.709,4
2024-03-05,01:21:39.895000,5.977,8.86496,Clear,0,3850.857,87.705,4
2024-03-05,01:21:39.995000,6.311,9.19934,Clear,0,3850.702,87.701,4
2024-03-05,01:21:40.195000,6.088,8.97524,Clear,0,3850.392,87.694,4
2024-03-05,01:21:40.295000,6.344,9.23091,Clear,0,3850.237,87.69,4
2024-03-05,01:21:40.395000,6.035,8.92244,Clear,0,3850.082,87.686,4
2024-03-05,01:21:40.595000,6.361,9.24761,Clear,0,3849.772,87.678,4
2024-03-05,01:21:40.695000,6.118,9.00443,Clear,0,3849.618,87.674,4
2024-03-05,01:21:40.795000,6.102,8.98753,Clear,0,3849.463,87.67,4
2024-03-05,01:21:40.895000,6.289,9.17494,Clear,0,3849.308,87.666,4
2024-03-05,01:21:41.395000,5.964,8.84853,Clear,0,3848.536,87.647,4
2024-03-05,01:21:41.495000,5.919,8.80364,Clear,0,3848.382,87.643,4
2024-03-05,01:21:41.595000,5.988,8.87287,Clear,0,3848.228,87.639,4
2024-03-05,01:21:41.695000,5.872,8.75697,Clear,0,3848.074,87.635,4
2024-03-05,01:21:41.795000,5.823,8.70812,Clear,0,3847.92,87.631,4
2024-03-05,01:21:41.895000,5.923,8.80813,Clear,0,3847.766,87.627,4
2024-03-05,01:21:41.995000,6.178,9.06149,Clear,0,3847.612,87.624,4
2024-03-05,01:21:42.095000,5.898,8.78152,Clear,0,3847.458,87.62,4
2024-03-05,01:21:42.195000,5.975,8.85867,Clear,0,3847.304,87.616,4
2024-03-05,01:21:42.295000,5.909,8.79326,Clear,0,3847.15,87.612,4
2024-03-05,01:21:42.395000,6.068,8.95193,Clear,0,3846.997,87.608,4
2024-03-05,01:21:42.495000,5.644,8.52748,Clear,0,3846.843,87.604,4
2024-03-05,01:21:42.595000,6.008,8.89049,Clear,0,3846.689,87.6,4
2024-03-05,01:21:42.695000,5.996,8.87925,Clear,0,3846.536,87.596,4
2024-03-05,01:21:42.795000,6.033,8.91581,Clear,0,3846.382,87.592,4
2024-03-05,01:21:42.895000,5.598,8.48055,Clear,0,3846.229,87.588,4
2024-03-05,01:21:42.995000,5.949,8.83157,Clear,0,3846.076,87.585,4
2024-03-05,01:21:43.095000,5.886,8.76917,Clear,0,3845.922,87.581,4
2024-03-05,01:21:43.195000,5.709,8.59236,Clear,0,3845.769,87.577,4
2024-03-05,01:21:43.295000,5.965,8.84697,Clear,0,3845.616,87.573,4
2024-03-05,01:21:43.395000,5.763,8.64515,Clear,0,3845.463,87.569,4
2024-03-05,01:21:43.495000,5.488,8.37014,Clear,0,3845.31,87.565,4
2024-03-05,01:21:43.595000,5.877,8.75911,Clear,0,3845.157,87.561,4
2024-03-05,01:21:43.695000,5.738,8.62032,Clear,0,3845.004,87.557,4
2024-03-05,01:21:43.795000,5.574,8.45581,Clear,0,3844.851,87.553,4
