satellite, 58425 OBJECT A / PRC
catalogue, 1 NORAD
track, 27907568
variability, 0 Not variable
variability_period, 0.0
npoints, 938
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-03-11,02:15:12.001000,4.58,4.95766,Clear,0,1544.199,46.625,6
2024-03-11,02:15:12.101000,4.474,4.8523,Clear,0,1543.766,46.637,6
2024-03-11,02:15:12.201000,4.394,4.77121,Clear,0,1543.332,46.648,6
2024-03-11,02:15:12.301000,4.446,4.82317,Clear,0,1542.899,46.66,6
2024-03-11,02:15:12.401000,4.5,4.87592,Clear,0,1542.466,46.672,6
2024-03-11,02:15:12.501000,4.473,4.8491,Clear,0,1542.033,46.684,6
2024-03-11,02:15:12.601000,4.572,4.94692,Clear,0,1541.6,46.696,6
2024-03-11,02:15:12.701000,4.616,4.99068,Clear,0,1541.167,46.707,6
2024-03-11,02:15:12.901000,4.389,4.76259,Clear,0,1540.302,46.731,6
2024-03-11,02:15:13.001000,4.49,4.86246,Clear,0,1539.87,46.743,6
2024-03-11,02:15:13.101000,4.603,4.97616,Clear,0,1539.438,46.755,6
2024-03-11,02:15:13.201000,4.461,4.83301,Clear,0,1539.006,46.767,6
2024-03-11,02:15:13.301000,4.558,4.92972,Clear,0,1538.574,46.779,6
2024-03-11,02:15:13.401000,4.555,4.92553,Clear,0,1538.143,46.791,6
2024-03-11,02:15:13.501000,4.558,4.92879,Clear,0,1537.711,46.803,6
2024-03-11,02:15:13.601000,4.558,4.92828,Clear,0,1537.28,46.815,6
2024-03-11,02:15:13.701000,4.568,4.93785,Clear,0,1536.848,46.827,6
2024-03-11,02:15:13.801000,4.488,4.85701,Clear,0,1536.417,46.838,6
2024-03-11,02:15:13.901000,4.466,4.83533,Clear,0,1535.986,46.85,6
2024-03-11,02:15:14.001000,4.457,4.82528,Clear,0,1535.555,46.862,6
2024-03-11,02:15:14.101000,4.315,4.68305,Clear,0,1535.125,46.874,6
2024-03-11,02:15:14.201000,4.526,4.89306,Clear,0,1534.694,46.886,6
2024-03-11,02:15:14.301000,4.456,4.82295,Clear,0,1534.264,46.898,6
2024-03-11,02:15:14.401000,4.478,4.84392,Clear,0,1533.833,46.91,6
2024-03-11,02:15:14.501000,4.311,4.6765,Clear,0,1533.403,46.923,6
2024-03-11,02:15:14.601000,4.625,4.98966,Clear,0,1532.973,46.935,6
2024-03-11,02:15:14.701000,4.479,4.84377,Clear,0,1532.544,46.947,6
2024-03-11,02:15:14.901000,4.348,4.71145,Clear,0,1531.684,46.971,6
2024-03-11,02:15:15.001000,4.616,4.97875,Clear,0,1531.255,46.983,6
2024-03-11,02:15:15.101000,4.631,4.99369,Clear,0,1530.826,46.995,6
2024-03-11,02:15:15.201000,4.552,4.9142,Clear,0,1530.396,47.007,6
2024-03-11,02:15:15.301000,4.5,4.86204,Clear,0,1529.967,47.019,6
2024-03-11,02:15:15.401000,4.378,4.73888,Clear,0,1529.539,47.031,6
2024-03-11,02:15:15.601000,4.48,4.84039,Clear,0,1528.681,47.056,6
2024-03-11,02:15:15.701000,4.505,4.8645,Clear,0,1528.253,47.068,6
2024-03-11,02:15:15.801000,4.51,4.86892,Clear,0,1527.825,47.08,6
2024-03-11,02:15:15.901000,4.403,4.76146,Clear,0,1527.397,47.092,6
2024-03-11,02:15:16.001000,4.547,4.90537,Clear,0,1526.969,47.104,6
2024-03-11,02:15:16.101000,4.502,4.86037,Clear,0,1526.541,47.117,6
2024-03-11,02:15:16.201000,4.518,4.87539,Clear,0,1526.113,47.129,6
2024-03-11,02:15:16.301000,4.545,4.90151,Clear,0,1525.686,47.141,6
2024-03-11,02:15:16.401000,4.645,5.00068,Clear,0,1525.258,47.153,6
2024-03-11,02:15:16.501000,4.547,4.90197,Clear,0,1524.831,47.166,6
2024-03-11,02:15:16.601000,4.536,4.89134,Clear,0,1524.404,47.178,6
2024-03-11,02:15:16.701000,4.506,4.85972,Clear,0,1523.977,47.19,6
