satellite, 58657 CZ-3B R/B / PRC
catalogue, 1 NORAD
track, 28232371
variability, 1 Aperiodic
variability_period, 0.0
npoints, 739
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-04-22,19:30:09.697000,2.406,4.72783,Clear,0,3328.008,72.038,7
2024-04-22,19:30:09.797000,2.393,4.71403,Clear,0,3327.606,72.028,7
2024-04-22,19:30:09.897000,2.348,4.66901,Clear,0,3327.204,72.017,7
2024-04-22,19:30:09.997000,2.443,4.76245,Clear,0,3326.803,72.007,7
2024-04-22,19:30:10.097000,2.45,4.76992,Clear,0,3326.401,71.997,7
2024-04-22,19:30:10.197000,2.323,4.64273,Clear,0,3326.0,71.986,7
2024-04-22,19:30:10.297000,2.388,4.70663,Clear,0,3325.598,71.976,7
2024-04-22,19:30:10.397000,2.27,4.58929,Clear,0,3325.197,71.966,7
2024-04-22,19:30:10.497000,2.387,4.70503,Clear,0,3324.796,71.955,7
2024-04-22,19:30:10.597000,2.373,4.69095,Clear,0,3324.395,71.945,7
2024-04-22,19:30:10.697000,2.415,4.73265,Clear,0,3323.994,71.935,7
2024-04-22,19:30:10.797000,2.304,4.62069,Clear,0,3323.593,71.924,7
2024-04-22,19:30:10.897000,2.377,4.69368,Clear,0,3323.192,71.914,7
2024-04-22,19:30:10.997000,2.496,4.81176,Clear,0,3322.791,71.904,7
2024-04-22,19:30:11.097000,2.339,4.65505,Clear,0,3322.39,71.893,7
2024-04-22,19:30:11.197000,2.455,4.7711,Clear,0,3321.99,71.883,7
2024-04-22,19:30:11.297000,2.361,4.67558,Clear,0,3321.589,71.873,7
2024-04-22,19:30:11.397000,2.351,4.66603,Clear,0,3321.188,71.862,7
2024-04-22,19:30:11.497000,2.319,4.63291,Clear,0,3320.788,71.852,7
2024-04-22,19:30:11.597000,2.354,4.66827,Clear,0,3320.388,71.841,7
2024-04-22,19:30:11.697000,2.32,4.63376,Clear,0,3319.987,71.831,7
2024-04-22,19:30:11.797000,2.448,4.76079,Clear,0,3319.587,71.821,7
2024-04-22,19:30:11.897000,2.359,4.67228,Clear,0,3319.187,71.81,7
2024-04-22,19:30:11.997000,2.33,4.64182,Clear,0,3318.787,71.8,7
2024-04-22,19:30:12.097000,2.282,4.59366,Clear,0,3318.387,71.79,7
2024-04-22,19:30:12.197000,2.333,4.64532,Clear,0,3317.987,71.779,7
2024-04-22,19:30:12.297000,2.384,4.69456,Clear,0,3317.588,71.769,7
2024-04-22,19:30:12.397000,2.386,4.6967,Clear,0,3317.188,71.758,7
2024-04-22,19:30:12.497000,2.422,4.73187,Clear,0,3316.788,71.748,7
2024-04-22,19:30:12.597000,2.499,4.80923,Clear,0,3316.389,71.738,7
2024-04-22,19:30:12.697000,2.487,4.79691,Clear,0,3315.989,71.727,7
2024-04-22,19:30:12.797000,2.468,4.77733,Clear,0,3315.59,71.717,7
2024-04-22,19:30:12.897000,2.427,4.73615,Clear,0,3315.191,71.706,7
2024-04-22,19:30:12.997000,2.285,4.59312,Clear,0,3314.791,71.696,7
2024-04-22,19:30:13.097000,2.377,4.68539,Clear,0,3314.392,71.686,7
2024-04-22,19:30:13.197000,2.308,4.61614,Clear,0,3313.993,71.675,7
2024-04-22,19:30:13.297000,2.392,4.69853,Clear,0,3313.594,71.665,7
2024-04-22,19:30:13.397000,2.405,4.71156,Clear,0,3313.195,71.654,7
2024-04-22,19:30:13.497000,2.338,4.64402,Clear,0,3312.797,71.644,7
2024-04-22,19:30:13.597000,2.306,4.61208,Clear,0,3312.398,71.634,7
2024-04-22,19:30:13.697000,2.285,4.59031,Clear,0,3311.999,71.623,7
2024-04-22,19:30:13.797000,2.237,4.54227,Clear,0,3311.601,71.613,7
2024-04-22,19:30:13.897000,2.336,4.64045,Clear,0,3311.202,71.602,7
