satellite, 57835 CZ-6A R/B / PRC
catalogue, 1 NORAD
track, 28451986
variability, 2 Periodic
variability_period, 17.41424125
npoints, 669
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-05-30,20:26:09.297000,6.339,5.74175,Clear,0,847.217,75.678,7
2024-05-30,20:26:09.397000,6.11,5.5128,Clear,0,847.265,75.724,7
2024-05-30,20:26:09.497000,6.149,5.55293,Clear,0,847.312,75.771,7
2024-05-30,20:26:09.597000,6.135,5.54005,Clear,0,847.361,75.817,7
2024-05-30,20:26:09.697000,5.839,5.24518,Clear,0,847.41,75.863,7
2024-05-30,20:26:09.797000,5.764,5.17139,Clear,0,847.46,75.91,7
2024-05-30,20:26:09.897000,5.71,5.11709,Clear,0,847.51,75.956,7
2024-05-30,20:26:09.997000,5.642,5.04987,Clear,0,847.561,76.002,7
2024-05-30,20:26:10.097000,5.551,4.95969,Clear,0,847.612,76.048,7
2024-05-30,20:26:10.197000,5.601,5.01085,Clear,0,847.664,76.095,7
2024-05-30,20:26:10.297000,5.37,4.78078,Clear,0,847.716,76.141,7
2024-05-30,20:26:10.397000,5.377,4.78936,Clear,0,847.769,76.187,7
2024-05-30,20:26:10.497000,5.254,4.66607,Clear,0,847.823,76.233,7
2024-05-30,20:26:10.597000,5.154,4.56704,Clear,0,847.877,76.28,7
2024-05-30,20:26:10.697000,5.145,4.55931,Clear,0,847.932,76.326,7
2024-05-30,20:26:10.797000,5.051,4.46605,Clear,0,847.987,76.372,7
2024-05-30,20:26:10.897000,5.013,4.42906,Clear,0,848.043,76.418,7
2024-05-30,20:26:10.997000,4.935,4.35116,Clear,0,848.099,76.465,7
2024-05-30,20:26:11.097000,4.888,4.30544,Clear,0,848.156,76.511,7
2024-05-30,20:26:11.197000,4.841,4.25917,Clear,0,848.214,76.557,7
2024-05-30,20:26:11.297000,4.887,4.30584,Clear,0,848.272,76.603,7
2024-05-30,20:26:11.397000,4.784,4.20389,Clear,0,848.33,76.65,7
2024-05-30,20:26:11.497000,4.733,4.1536,Clear,0,848.39,76.696,7
2024-05-30,20:26:11.597000,4.548,3.96946,Clear,0,848.449,76.742,7
2024-05-30,20:26:11.697000,4.49,3.91173,Clear,0,848.51,76.788,7
2024-05-30,20:26:11.797000,4.366,3.78887,Clear,0,848.571,76.834,7
2024-05-30,20:26:11.897000,4.29,3.71373,Clear,0,848.632,76.881,7
