satellite, 56163 CHECKMATE 5 / US
catalogue, 1 NORAD
track, 29173730
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1109
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-08-09,00:56:02.095000,8.378,7.94669,Clear,0,1044.316,51.22,7
2024-08-09,00:56:02.195000,8.202,7.77051,Clear,0,1044.135,51.25,7
2024-08-09,00:56:02.295000,8.572,8.14028,Clear,0,1043.955,51.279,7
2024-08-09,00:56:02.395000,8.112,7.67992,Clear,0,1043.775,51.309,7
2024-08-09,00:56:02.495000,8.436,8.00437,Clear,0,1043.595,51.338,7
2024-08-09,00:56:02.595000,8.28,7.84808,Clear,0,1043.416,51.368,7
2024-08-09,00:56:02.695000,8.139,7.70734,Clear,0,1043.238,51.397,7
2024-08-09,00:56:02.795000,8.201,7.76845,Clear,0,1043.059,51.427,7
2024-08-09,00:56:02.895000,8.212,7.78037,Clear,0,1042.882,51.456,7
2024-08-09,00:56:02.995000,8.059,7.62686,Clear,0,1042.704,51.486,7
2024-08-09,00:56:03.095000,8.37,7.93762,Clear,0,1042.527,51.515,7
2024-08-09,00:56:03.195000,8.261,7.82884,Clear,0,1042.35,51.545,7
2024-08-09,00:56:03.295000,8.33,7.89714,Clear,0,1042.174,51.575,7
2024-08-09,00:56:03.395000,8.461,8.02832,Clear,0,1041.998,51.604,7
2024-08-09,00:56:03.495000,8.25,7.81692,Clear,0,1041.823,51.634,7
2024-08-09,00:56:03.595000,8.788,8.35462,Clear,0,1041.648,51.664,7
2024-08-09,00:56:03.795000,8.456,8.02277,Clear,0,1041.299,51.723,7
2024-08-09,00:56:03.895000,8.2,7.76742,Clear,0,1041.126,51.753,7
2024-08-09,00:56:03.995000,8.246,7.81343,Clear,0,1040.952,51.783,7
2024-08-09,00:56:04.095000,8.691,8.25823,Clear,0,1040.779,51.812,7
2024-08-09,00:56:04.195000,8.52,8.08648,Clear,0,1040.607,51.842,7
2024-08-09,00:56:04.295000,8.444,8.01047,Clear,0,1040.435,51.872,7
2024-08-09,00:56:04.395000,8.465,8.03193,Clear,0,1040.263,51.902,7
2024-08-09,00:56:04.495000,8.292,7.85783,Clear,0,1040.092,51.932,7
2024-08-09,00:56:04.595000,8.034,7.60005,Clear,0,1039.921,51.961,7
2024-08-09,00:56:04.695000,8.361,7.92654,Clear,0,1039.751,51.991,7
2024-08-09,00:56:04.795000,8.037,7.60315,Clear,0,1039.581,52.021,7
2024-08-09,00:56:04.895000,8.007,7.57282,Clear,0,1039.411,52.051,7
2024-08-09,00:56:04.995000,7.939,7.50525,Clear,0,1039.242,52.081,7
2024-08-09,00:56:05.095000,7.973,7.53872,Clear,0,1039.073,52.111,7
2024-08-09,00:56:05.195000,8.103,7.66905,Clear,0,1038.905,52.141,7
2024-08-09,00:56:05.295000,8.245,7.81101,Clear,0,1038.737,52.171,7
2024-08-09,00:56:05.395000,8.163,7.72873,Clear,0,1038.57,52.201,7
2024-08-09,00:56:05.495000,8.187,7.75285,Clear,0,1038.403,52.231,7
2024-08-09,00:56:05.595000,8.194,7.75998,Clear,0,1038.236,52.261,7
2024-08-09,00:56:05.695000,8.195,7.76126,Clear,0,1038.07,52.291,7
2024-08-09,00:56:05.795000,8.33,7.8954,Clear,0,1037.904,52.321,7
2024-08-09,00:56:05.895000,8.163,7.72799,Clear,0,1037.739,52.351,7
2024-08-09,00:56:05.995000,8.257,7.82233,Clear,0,1037.574,52.381,7
