satellite, 58912 GEESAT 2-08 / PRC
catalogue, 1 NORAD
track, 29244116
variability, 0 Not variable
variability_period, 0.0
npoints, 627
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-08-17,18:35:13.296000,6.79,6.38032,Clear,0,901.929,79.095,6
2024-08-17,18:35:13.396000,6.966,6.55473,Clear,0,901.417,79.078,6
2024-08-17,18:35:13.496000,6.845,6.43165,Clear,0,900.905,79.06,6
2024-08-17,18:35:13.595000,6.869,6.45502,Clear,0,900.399,79.043,6
2024-08-17,18:35:13.695000,6.907,6.49056,Clear,0,899.888,79.026,6
2024-08-17,18:35:13.795000,6.826,6.40941,Clear,0,899.377,79.008,6
2024-08-17,18:35:13.895000,6.822,6.40279,Clear,0,898.867,78.991,6
2024-08-17,18:35:13.995000,6.875,6.45475,Clear,0,898.356,78.974,6
2024-08-17,18:35:14.095000,6.967,6.5453,Clear,0,897.846,78.956,6
2024-08-17,18:35:14.195000,6.803,6.38026,Clear,0,897.336,78.939,6
2024-08-17,18:35:14.295000,6.821,6.39564,Clear,0,896.827,78.921,6
2024-08-17,18:35:14.395000,6.773,6.34738,Clear,0,896.317,78.904,6
2024-08-17,18:35:14.495000,6.812,6.38359,Clear,0,895.808,78.886,6
2024-08-17,18:35:14.595000,6.815,6.38588,Clear,0,895.299,78.869,6
2024-08-17,18:35:14.695000,6.865,6.43404,Clear,0,894.791,78.851,6
2024-08-17,18:35:14.795000,6.819,6.38712,Clear,0,894.282,78.834,6
2024-08-17,18:35:14.895000,6.913,6.47849,Clear,0,893.774,78.816,6
2024-08-17,18:35:14.995000,6.833,6.39833,Clear,0,893.266,78.798,6
2024-08-17,18:35:15.095000,6.829,6.3924,Clear,0,892.759,78.781,6
2024-08-17,18:35:15.195000,6.816,6.37755,Clear,0,892.251,78.763,6
2024-08-17,18:35:15.295000,6.882,6.44151,Clear,0,891.744,78.746,6
2024-08-17,18:35:15.395000,6.865,6.42355,Clear,0,891.237,78.728,6
2024-08-17,18:35:15.495000,6.776,6.33314,Clear,0,890.731,78.71,6
2024-08-17,18:35:15.595000,6.863,6.41856,Clear,0,890.224,78.693,6
2024-08-17,18:35:15.695000,6.766,6.31954,Clear,0,889.718,78.675,6
2024-08-17,18:35:15.795000,6.885,6.43806,Clear,0,889.212,78.657,6
2024-08-17,18:35:15.895000,6.863,6.41378,Clear,0,888.707,78.639,6
2024-08-17,18:35:15.995000,6.912,6.46184,Clear,0,888.201,78.622,6
2024-08-17,18:35:16.095000,6.885,6.43314,Clear,0,887.696,78.604,6
2024-08-17,18:35:16.295000,6.843,6.38776,Clear,0,886.686,78.568,6
2024-08-17,18:35:16.395000,6.787,6.33045,Clear,0,886.182,78.55,6
2024-08-17,18:35:16.595000,6.843,6.38428,Clear,0,885.174,78.515,6
2024-08-17,18:35:16.695000,6.843,6.38168,Clear,0,884.67,78.497,6
2024-08-17,18:35:16.795000,6.78,6.31818,Clear,0,884.167,78.479,6
2024-08-17,18:35:16.895000,6.792,6.32839,Clear,0,883.664,78.461,6
2024-08-17,18:35:16.995000,6.871,6.40557,Clear,0,883.161,78.443,6
2024-08-17,18:35:17.095000,6.775,6.30837,Clear,0,882.658,78.425,6
2024-08-17,18:35:17.195000,6.798,6.32939,Clear,0,882.156,78.407,6
2024-08-17,18:35:17.295000,6.915,6.44505,Clear,0,881.654,78.389,6
2024-08-17,18:35:17.395000,6.884,6.41153,Clear,0,881.152,78.371,6
2024-08-17,18:35:17.495000,6.84,6.36681,Clear,0,880.65,78.353,6
2024-08-17,18:35:17.595000,6.832,6.35733,Clear,0,880.149,78.335,6
2024-08-17,18:35:17.695000,6.855,6.37927,Clear,0,879.648,78.317,6
2024-08-17,18:35:17.795000,6.922,6.4438,Clear,0,879.147,78.299,6
2024-08-17,18:35:17.895000,6.957,6.4778,Clear,0,878.646,78.281,6
2024-08-17,18:35:17.995000,6.817,6.33631,Clear,0,878.146,78.263,6
2024-08-17,18:35:18.095000,6.845,6.36249,Clear,0,877.646,78.245,6
2024-08-17,18:35:18.195000,6.81,6.32615,Clear,0,877.146,78.227,6
2024-08-17,18:35:18.295000,6.839,6.35389,Clear,0,876.647,78.209,6
2024-08-17,18:35:18.395000,6.827,6.33969,Clear,0,876.147,78.191,6
2024-08-17,18:35:18.495000,6.958,6.46945,Clear,0,875.648,78.173,6
2024-08-17,18:35:18.595000,6.822,6.33198,Clear,0,875.15,78.154,6
2024-08-17,18:35:18.695000,6.979,6.4884,Clear,0,874.651,78.136,6
2024-08-17,18:35:18.795000,6.852,6.35873,Clear,0,874.153,78.118,6
2024-08-17,18:35:18.895000,6.833,6.33934,Clear,0,873.655,78.1,6
2024-08-17,18:35:18.995000,6.777,6.28113,Clear,0,873.157,78.082,6
2024-08-17,18:35:19.095000,6.924,6.42664,Clear,0,872.66,78.063,6
2024-08-17,18:35:19.195000,6.907,6.40798,Clear,0,872.163,78.045,6
2024-08-17,18:35:19.295000,6.784,6.28379,Clear,0,871.666,78.027,6
2024-08-17,18:35:19.395000,6.873,6.37048,Clear,0,871.169,78.009,6
2024-08-17,18:35:19.495000,6.786,6.28305,Clear,0,870.673,77.99,6
2024-08-17,18:35:19.595000,6.854,6.34932,Clear,0,870.177,77.972,6
2024-08-17,18:35:19.695000,6.765,6.2587,Clear,0,869.681,77.954,6
2024-08-17,18:35:19.795000,6.863,6.35534,Clear,0,869.185,77.935,6
2024-08-17,18:35:19.895000,6.907,6.39807,Clear,0,868.69,77.917,6
2024-08-17,18:35:19.995000,6.874,6.36316,Clear,0,868.195,77.898,6
2024-08-17,18:35:20.095000,6.895,6.38162,Clear,0,867.7,77.88,6
2024-08-17,18:35:20.195000,6.87,6.35582,Clear,0,867.205,77.862,6
2024-08-17,18:35:20.295000,6.885,6.3687,Clear,0,866.711,77.843,6
2024-08-17,18:35:20.395000,6.869,6.35214,Clear,0,866.217,77.825,6
2024-08-17,18:35:20.495000,6.805,6.2856,Clear,0,865.724,77.806,6
2024-08-17,18:35:20.595000,6.905,6.3854,Clear,0,865.23,77.788,6
2024-08-17,18:35:20.695000,6.86,6.33844,Clear,0,864.737,77.769,6
2024-08-17,18:35:20.795000,6.944,6.42092,Clear,0,864.244,77.751,6
2024-08-17,18:35:20.895000,6.835,6.30982,Clear,0,863.751,77.732,6
2024-08-17,18:35:20.995000,6.873,6.34668,Clear,0,863.259,77.713,6
2024-08-17,18:35:21.095000,6.897,6.36846,Clear,0,862.767,77.695,6
2024-08-17,18:35:21.195000,6.825,6.29618,Clear,0,862.275,77.676,6
2024-08-17,18:35:21.797000,6.856,6.3183,Clear,0,859.32,77.564,6
2024-08-17,18:35:21.897000,6.793,6.25275,Clear,0,858.83,77.545,6
2024-08-17,18:35:21.997000,6.812,6.27108,Clear,0,858.341,77.527,6
2024-08-17,18:35:22.097000,6.867,6.32439,Clear,0,857.852,77.508,6
2024-08-17,18:35:22.197000,6.847,6.30329,Clear,0,857.363,77.489,6
2024-08-17,18:35:22.297000,6.861,6.31481,Clear,0,856.874,77.47,6
2024-08-17,18:35:22.397000,6.719,6.17128,Clear,0,856.385,77.451,6
2024-08-17,18:35:22.497000,6.849,6.3003,Clear,0,855.897,77.433,6
2024-08-17,18:35:22.597000,6.827,6.27596,Clear,0,855.409,77.414,6
2024-08-17,18:35:22.697000,6.968,6.41625,Clear,0,854.922,77.395,6
2024-08-17,18:35:22.797000,6.81,6.25621,Clear,0,854.434,77.376,6
2024-08-17,18:35:22.897000,6.803,6.24803,Clear,0,853.947,77.357,6
2024-08-17,18:35:22.997000,6.781,6.22407,Clear,0,853.46,77.338,6
2024-08-17,18:35:23.097000,6.809,6.25088,Clear,0,852.974,77.319,6
2024-08-17,18:35:23.197000,6.824,6.26368,Clear,0,852.488,77.3,6
2024-08-17,18:35:23.297000,6.874,6.31266,Clear,0,852.002,77.282,6
2024-08-17,18:35:23.397000,6.892,6.32909,Clear,0,851.516,77.263,6
2024-08-17,18:35:23.497000,6.969,6.40469,Clear,0,851.031,77.244,6
2024-08-17,18:35:23.597000,6.792,6.2261,Clear,0,850.546,77.225,6
2024-08-17,18:35:23.697000,6.823,6.25577,Clear,0,850.061,77.206,6
2024-08-17,18:35:23.797000,6.819,6.24978,Clear,0,849.576,77.187,6
2024-08-17,18:35:23.897000,6.89,6.31982,Clear,0,849.092,77.167,6
2024-08-17,18:35:23.997000,6.812,6.23948,Clear,0,848.608,77.148,6
2024-08-17,18:35:24.097000,6.861,6.28781,Clear,0,848.124,77.129,6
2024-08-17,18:35:24.197000,6.824,6.24863,Clear,0,847.641,77.11,6
2024-08-17,18:35:24.297000,6.842,6.26523,Clear,0,847.158,77.091,6
2024-08-17,18:35:24.397000,6.769,6.19082,Clear,0,846.675,77.072,6
2024-08-17,18:35:24.497000,6.744,6.16366,Clear,0,846.193,77.053,6
2024-08-17,18:35:24.597000,6.836,6.25445,Clear,0,845.71,77.034,6
2024-08-17,18:35:24.697000,6.763,6.17993,Clear,0,845.229,77.015,6
2024-08-17,18:35:24.797000,6.807,6.22246,Clear,0,844.747,76.995,6
2024-08-17,18:35:24.897000,6.789,6.20251,Clear,0,844.266,76.976,6
2024-08-17,18:35:24.997000,6.74,6.15304,Clear,0,843.784,76.957,6
2024-08-17,18:35:25.097000,6.857,6.26796,Clear,0,843.304,76.938,6
2024-08-17,18:35:25.197000,6.776,6.18632,Clear,0,842.823,76.918,6
2024-08-17,18:35:25.297000,6.76,6.16813,Clear,0,842.343,76.899,6
2024-08-17,18:35:25.397000,6.78,6.18735,Clear,0,841.863,76.88,6
2024-08-17,18:35:25.497000,6.893,6.29818,Clear,0,841.384,76.861,6
2024-08-17,18:35:25.597000,6.719,6.12289,Clear,0,840.904,76.841,6
2024-08-17,18:35:25.697000,6.75,6.15153,Clear,0,840.425,76.822,6
2024-08-17,18:35:25.797000,6.818,6.21894,Clear,0,839.947,76.802,6
2024-08-17,18:35:25.897000,6.771,6.1698,Clear,0,839.468,76.783,6
2024-08-17,18:35:25.997000,6.694,6.09176,Clear,0,838.99,76.764,6
2024-08-17,18:35:26.097000,6.792,6.18818,Clear,0,838.512,76.744,6
2024-08-17,18:35:26.197000,6.813,6.20729,Clear,0,838.035,76.725,6
2024-08-17,18:35:26.297000,6.767,6.16018,Clear,0,837.558,76.705,6
