satellite, 10762 DELTA 1 DEB / US
catalogue, 1 NORAD
track, 3147019
variability, 2 Periodic
variability_period, 0.785035408608
npoints, 525
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-10-14,16:37:01.412000,5.974,7.57353,Clear,0,2118.611,88.232,3
2014-10-14,16:37:01.512000,6.813,8.41288,Clear,0,2118.586,88.24,3
2014-10-14,16:37:01.612000,6.221,7.8207,Clear,0,2118.562,88.248,3
2014-10-14,16:37:01.712000,5.489,7.08895,Clear,0,2118.538,88.256,3
2014-10-14,16:37:01.812000,5.155,6.75464,Clear,0,2118.514,88.264,3
2014-10-14,16:37:01.912000,5.879,7.47859,Clear,0,2118.49,88.272,3
2014-10-14,16:37:02.012000,5.424,7.02506,Clear,0,2118.466,88.28,3
2014-10-14,16:37:02.112000,5.646,7.24732,Clear,0,2118.443,88.288,3
2014-10-14,16:37:02.212000,5.806,7.40716,Clear,0,2118.42,88.296,3
2014-10-14,16:37:02.312000,6.617,8.21775,Clear,0,2118.397,88.304,3
2014-10-14,16:37:02.412000,6.314,7.91521,Clear,0,2118.374,88.311,3
2014-10-14,16:37:02.512000,5.378,6.97907,Clear,0,2118.351,88.319,3
2014-10-14,16:37:02.612000,5.2,6.80117,Clear,0,2118.328,88.327,3
2014-10-14,16:37:02.712000,5.868,7.46874,Clear,0,2118.306,88.335,3
2014-10-14,16:37:02.812000,5.536,7.13769,Clear,0,2118.284,88.343,3
2014-10-14,16:37:02.912000,5.429,7.03077,Clear,0,2118.262,88.351,3
2014-10-14,16:37:03.012000,6.041,7.64313,Clear,0,2118.24,88.359,3
2014-10-14,16:37:03.112000,6.49,8.09163,Clear,0,2118.218,88.367,3
2014-10-14,16:37:03.212000,6.029,7.63083,Clear,0,2118.197,88.375,3
2014-10-14,16:37:03.312000,5.305,6.90717,Clear,0,2118.175,88.383,3
2014-10-14,16:37:03.412000,5.381,6.98295,Clear,0,2118.154,88.391,3
2014-10-14,16:37:03.512000,6.037,7.63897,Clear,0,2118.133,88.399,3
2014-10-14,16:37:03.612000,5.561,7.16357,Clear,0,2118.112,88.407,3
2014-10-14,16:37:03.712000,5.382,6.98502,Clear,0,2118.092,88.414,3
2014-10-14,16:37:03.812000,6.269,7.87212,Clear,0,2118.071,88.422,3
