satellite, 1420 OPS 8480 (TRANSIT 5B-6) / US
catalogue, 1 NORAD
track, 3151851
variability, 0 Not variable
variability_period, 0.0
npoints, 586
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,7.508,8.47907,Clear,0,1452.618,97.75,9
0.09999999999854481,7.311,8.28163,Clear,0,1452.591,97.758,9
0.5,7.62,8.59078,Clear,0,1452.484,97.788,9
0.5999999999985448,7.223,8.19424,Clear,0,1452.458,97.796,9
0.6999999999970896,7.253,8.22422,Clear,0,1452.432,97.803,9
0.7999999999956344,6.967,7.93845,Clear,0,1452.407,97.811,9
0.8999999999941792,7.469,8.44048,Clear,0,1452.382,97.818,9
1.2999999999956344,7.177,8.14901,Clear,0,1452.285,97.849,9
1.3999999999941792,7.408,8.38004,Clear,0,1452.261,97.856,9
1.5,7.258,8.23046,Clear,0,1452.238,97.864,9
1.5999999999985448,6.958,7.93052,Clear,0,1452.215,97.871,9
1.6999999999970896,7.217,8.19027,Clear,0,1452.193,97.879,9
1.7999999999956344,7.051,8.02379,Clear,0,1452.17,97.887,9
1.8999999999941792,6.961,7.93417,Clear,0,1452.148,97.894,9
2.0,7.052,8.02453,Clear,0,1452.127,97.902,9
2.099999999998545,7.312,8.28471,Clear,0,1452.105,97.909,9
2.1999999999970896,7.004,7.97685,Clear,0,1452.084,97.917,9
2.2999999999956344,7.219,8.19333,Clear,0,1452.063,97.925,9
2.3999999999941792,6.852,7.82627,Clear,0,1452.043,97.932,9
2.5,7.043,8.01674,Clear,0,1452.023,97.94,9
2.599999999998545,6.876,7.84963,Clear,0,1452.003,97.947,9
2.6999999999970896,7.347,8.32118,Clear,0,1451.983,97.955,9
2.7999999999956344,7.038,8.01214,Clear,0,1451.964,97.962,9
2.8999999999941792,7.4,8.37399,Clear,0,1451.945,97.97,9
3.0,7.231,8.20614,Clear,0,1451.926,97.978,9
3.099999999998545,7.153,8.12758,Clear,0,1451.908,97.985,9
3.1999999999970896,6.877,7.85163,Clear,0,1451.89,97.993,9
3.2999999999956344,6.885,7.85995,Clear,0,1451.872,98.0,9
3.3999999999941792,7.469,8.44376,Clear,0,1451.855,98.008,9
3.5,6.849,7.82412,Clear,0,1451.838,98.016,9
3.599999999998545,7.053,8.02746,Clear,0,1451.821,98.023,9
3.6999999999970896,6.833,7.80765,Clear,0,1451.804,98.031,9
3.7999999999956344,6.828,7.80435,Clear,0,1451.788,98.038,9
3.8999999999941792,7.329,8.30486,Clear,0,1451.772,98.046,9
4.0,7.002,7.97771,Clear,0,1451.757,98.053,9
4.099999999998545,6.815,7.79046,Clear,0,1451.741,98.061,9
4.19999999999709,6.77,7.74556,Clear,0,1451.726,98.069,9
4.299999999995634,7.019,7.99514,Clear,0,1451.712,98.076,9
4.399999999994179,7.247,8.22344,Clear,0,1451.697,98.084,9
4.5,6.84,7.81682,Clear,0,1451.683,98.091,9
4.599999999998545,7.065,8.04152,Clear,0,1451.669,98.099,9
4.69999999999709,7.128,8.10491,Clear,0,1451.656,98.106,9
4.799999999995634,7.104,8.08091,Clear,0,1451.643,98.114,9
4.899999999994179,7.081,8.05829,Clear,0,1451.63,98.122,9
5.0,7.02,7.9968,Clear,0,1451.617,98.129,9
5.099999999998545,6.984,7.96217,Clear,0,1451.605,98.137,9
5.19999999999709,7.495,8.47288,Clear,0,1451.593,98.144,9
5.299999999995634,7.06,8.03764,Clear,0,1451.581,98.152,9
5.399999999994179,6.988,7.96586,Clear,0,1451.57,98.16,9
5.5,6.847,7.82479,Clear,0,1451.559,98.167,9
5.599999999998545,7.287,8.26463,Clear,0,1451.548,98.175,9
5.69999999999709,7.207,8.18513,Clear,0,1451.538,98.182,9
5.799999999995634,7.134,8.11312,Clear,0,1451.527,98.19,9
5.899999999994179,6.907,7.88615,Clear,0,1451.518,98.197,9
6.0,6.882,7.86064,Clear,0,1451.508,98.205,9
6.099999999998545,6.954,7.93327,Clear,0,1451.499,98.213,9
6.19999999999709,6.947,7.92606,Clear,0,1451.49,98.22,9
6.299999999995634,7.165,8.1437,Clear,0,1451.481,98.228,9
6.399999999994179,7.032,8.01142,Clear,0,1451.473,98.235,9
6.5,6.913,7.89316,Clear,0,1451.465,98.243,9
6.599999999998545,6.844,7.82432,Clear,0,1451.457,98.25,9
6.69999999999709,6.977,7.95651,Clear,0,1451.45,98.258,9
6.799999999995634,7.058,8.0383,Clear,0,1451.443,98.266,9
6.899999999994179,6.866,7.84592,Clear,0,1451.436,98.273,9
7.0,6.994,7.97367,Clear,0,1451.429,98.281,9
7.099999999998545,7.02,8.00141,Clear,0,1451.423,98.288,9
7.19999999999709,7.09,8.0709,Clear,0,1451.417,98.296,9
7.299999999995634,7.188,8.16911,Clear,0,1451.412,98.303,9
7.399999999994179,7.068,8.04858,Clear,0,1451.407,98.311,9
7.5,6.822,7.80263,Clear,0,1451.402,98.319,9
7.599999999998545,6.756,7.73724,Clear,0,1451.397,98.326,9
7.69999999999709,6.974,7.95644,Clear,0,1451.393,98.334,9
7.799999999995634,6.927,7.90937,Clear,0,1451.388,98.341,9
7.899999999994179,6.798,7.77965,Clear,0,1451.385,98.349,9
8.0,7.112,8.0944,Clear,0,1451.381,98.356,9
8.099999999998545,6.869,7.8506,Clear,0,1451.378,98.364,9
8.19999999999709,6.965,7.94732,Clear,0,1451.375,98.372,9
8.299999999995634,7.032,8.0144,Clear,0,1451.373,98.379,9
8.39999999999418,7.126,8.10861,Clear,0,1451.37,98.387,9
8.5,7.072,8.05485,Clear,0,1451.369,98.394,9
8.599999999998545,6.9,7.8833,Clear,0,1451.367,98.402,9
8.69999999999709,6.841,7.82439,Clear,0,1451.366,98.409,9
8.799999999995634,7.099,8.08237,Clear,0,1451.365,98.417,9
8.89999999999418,6.996,7.97935,Clear,0,1451.364,98.425,9
9.0,6.915,7.89943,Clear,0,1451.363,98.432,9
9.099999999998545,7.136,8.11961,Clear,0,1451.363,98.44,9
9.19999999999709,7.039,8.02249,Clear,0,1451.364,98.447,9
9.299999999995634,7.066,8.04992,Clear,0,1451.364,98.455,9
9.39999999999418,7.074,8.05812,Clear,0,1451.365,98.462,9
9.5,6.942,7.92591,Clear,0,1451.366,98.47,9
9.599999999998545,7.12,8.10499,Clear,0,1451.367,98.477,9
9.69999999999709,6.936,7.92059,Clear,0,1451.369,98.485,9
9.799999999995634,6.778,7.76329,Clear,0,1451.371,98.493,9
9.89999999999418,7.199,8.18409,Clear,0,1451.373,98.5,9
10.0,7.063,8.04775,Clear,0,1451.376,98.508,9
10.099999999998545,7.05,8.03525,Clear,0,1451.379,98.515,9
10.19999999999709,7.311,8.2969,Clear,0,1451.382,98.523,9
10.299999999995634,6.807,7.79287,Clear,0,1451.386,98.53,9
10.39999999999418,7.146,8.13154,Clear,0,1451.39,98.538,9
10.5,7.02,8.00596,Clear,0,1451.394,98.546,9
10.599999999998545,6.943,7.9294,Clear,0,1451.398,98.553,9
10.69999999999709,7.149,8.1357,Clear,0,1451.403,98.561,9
10.799999999995634,6.941,7.92806,Clear,0,1451.408,98.568,9
10.89999999999418,6.918,7.9045,Clear,0,1451.413,98.576,9
