satellite, 4614 THORAD AGENA D DEB / US
catalogue, 1 NORAD
track, 3561187
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1107
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-10-26,02:25:52.099000,7.416,7.11343,Clear,0,1119.147,48.774,2
2014-10-26,02:25:52.199000,7.423,7.1199,Clear,0,1119.006,48.752,2
2014-10-26,02:25:52.299000,7.435,7.13093,Clear,0,1118.865,48.729,2
2014-10-26,02:25:52.399000,7.594,7.28992,Clear,0,1118.724,48.707,2
2014-10-26,02:25:52.499000,7.759,7.45476,Clear,0,1118.584,48.685,2
2014-10-26,02:25:52.599000,7.828,7.52267,Clear,0,1118.444,48.662,2
2014-10-26,02:25:52.699000,7.676,7.37096,Clear,0,1118.305,48.64,2
2014-10-26,02:25:52.799000,8.137,7.83125,Clear,0,1118.166,48.618,2
2014-10-26,02:25:52.899000,8.195,7.88877,Clear,0,1118.028,48.595,2
2014-10-26,02:25:52.999000,8.803,8.4964,Clear,0,1117.89,48.573,2
2014-10-26,02:25:53.099000,8.989,8.68228,Clear,0,1117.752,48.551,2
2014-10-26,02:25:53.199000,8.631,8.32316,Clear,0,1117.615,48.528,2
2014-10-26,02:25:53.299000,8.554,8.24623,Clear,0,1117.478,48.506,2
2014-10-26,02:25:53.399000,8.101,7.79177,Clear,0,1117.342,48.484,2
2014-10-26,02:25:53.599000,8.928,8.61767,Clear,0,1117.07,48.439,2
2014-10-26,02:25:53.699000,9.389,9.07886,Clear,0,1116.935,48.417,2
2014-10-26,02:25:53.799000,9.53,9.21975,Clear,0,1116.8,48.395,2
2014-10-26,02:25:53.899000,9.339,9.02829,Clear,0,1116.666,48.373,2
2014-10-26,02:25:53.999000,9.003,8.69239,Clear,0,1116.532,48.351,2
2014-10-26,02:25:54.099000,9.148,8.83607,Clear,0,1116.399,48.328,2
2014-10-26,02:25:54.199000,9.252,8.94005,Clear,0,1116.266,48.306,2
2014-10-26,02:25:54.299000,8.813,8.49958,Clear,0,1116.134,48.284,2
2014-10-26,02:25:54.399000,9.237,8.92413,Clear,0,1116.001,48.262,2
2014-10-26,02:25:54.499000,8.924,8.60994,Clear,0,1115.87,48.24,2
2014-10-26,02:25:54.599000,8.554,8.23984,Clear,0,1115.739,48.217,2
2014-10-26,02:25:54.699000,8.546,8.23219,Clear,0,1115.608,48.195,2
2014-10-26,02:25:54.799000,8.192,7.87693,Clear,0,1115.477,48.173,2
2014-10-26,02:25:54.899000,8.366,8.05087,Clear,0,1115.348,48.151,2
2014-10-26,02:25:54.999000,8.369,8.05303,Clear,0,1115.218,48.129,2
2014-10-26,02:25:55.099000,7.998,7.68237,Clear,0,1115.089,48.107,2
2014-10-26,02:25:55.199000,7.812,7.49525,Clear,0,1114.96,48.085,2
2014-10-26,02:25:55.299000,7.917,7.60003,Clear,0,1114.832,48.063,2
2014-10-26,02:25:55.399000,7.819,7.50057,Clear,0,1114.704,48.04,2
2014-10-26,02:25:55.499000,7.783,7.46538,Clear,0,1114.577,48.018,2
2014-10-26,02:25:55.599000,7.778,7.45967,Clear,0,1114.45,47.996,2
2014-10-26,02:25:55.699000,7.724,7.40472,Clear,0,1114.324,47.974,2
2014-10-26,02:25:55.799000,7.509,7.18965,Clear,0,1114.198,47.952,2
2014-10-26,02:25:55.899000,7.479,7.15868,Clear,0,1114.072,47.93,2
2014-10-26,02:25:55.999000,7.545,7.2245,Clear,0,1113.947,47.908,2
2014-10-26,02:25:56.099000,7.605,7.28374,Clear,0,1113.822,47.886,2
2014-10-26,02:25:56.199000,7.576,7.25501,Clear,0,1113.698,47.864,2
2014-10-26,02:25:56.299000,7.436,7.11509,Clear,0,1113.574,47.842,2
2014-10-26,02:25:56.399000,7.302,6.97982,Clear,0,1113.45,47.82,2
2014-10-26,02:25:56.499000,7.28,6.95752,Clear,0,1113.327,47.798,2
2014-10-26,02:25:56.599000,7.186,6.8631,Clear,0,1113.205,47.776,2
2014-10-26,02:25:56.699000,7.092,6.76896,Clear,0,1113.083,47.754,2
2014-10-26,02:25:56.799000,7.15,6.8256,Clear,0,1112.961,47.732,2
2014-10-26,02:25:56.899000,7.118,6.79353,Clear,0,1112.84,47.71,2
2014-10-26,02:25:56.999000,7.076,6.75226,Clear,0,1112.719,47.688,2
2014-10-26,02:25:57.099000,6.913,6.5881,Clear,0,1112.598,47.666,2
2014-10-26,02:25:57.199000,6.825,6.50008,Clear,0,1112.478,47.644,2
2014-10-26,02:25:57.299000,6.853,6.52719,Clear,0,1112.359,47.622,2
2014-10-26,02:25:57.399000,6.708,6.38159,Clear,0,1112.24,47.6,2
2014-10-26,02:25:57.453000,7.096,6.77015,Clear,0,1112.175,47.589,3
2014-10-26,02:25:57.499000,6.734,6.40746,Clear,0,1112.121,47.579,2
2014-10-26,02:25:57.553000,6.93,6.60267,Clear,0,1112.057,47.567,3
2014-10-26,02:25:57.599000,6.609,6.28187,Clear,0,1112.003,47.557,2
2014-10-26,02:25:57.653000,6.853,6.52559,Clear,0,1111.939,47.545,3
2014-10-26,02:25:57.699000,6.766,6.43942,Clear,0,1111.885,47.535,2
2014-10-26,02:25:57.753000,6.88,6.55268,Clear,0,1111.821,47.523,3
2014-10-26,02:25:57.799000,6.597,6.26849,Clear,0,1111.767,47.513,2
2014-10-26,02:25:57.853000,6.741,6.41245,Clear,0,1111.704,47.501,3
2014-10-26,02:25:57.899000,6.629,6.30087,Clear,0,1111.65,47.491,2
2014-10-26,02:25:57.953000,6.755,6.4271,Clear,0,1111.587,47.479,3
2014-10-26,02:25:57.999000,6.578,6.24975,Clear,0,1111.534,47.469,2
2014-10-26,02:25:58.053000,6.708,6.37911,Clear,0,1111.471,47.457,3
2014-10-26,02:25:58.099000,6.422,6.09251,Clear,0,1111.418,47.447,2
2014-10-26,02:25:58.153000,6.531,6.20172,Clear,0,1111.355,47.436,3
2014-10-26,02:25:58.199000,6.341,6.01194,Clear,0,1111.302,47.426,2
2014-10-26,02:25:58.253000,6.563,6.23309,Clear,0,1111.24,47.414,3
2014-10-26,02:25:58.299000,6.417,6.08656,Clear,0,1111.187,47.404,2
2014-10-26,02:25:58.353000,6.496,6.16616,Clear,0,1111.125,47.392,3
2014-10-26,02:25:58.399000,6.288,5.95792,Clear,0,1111.072,47.382,2
2014-10-26,02:25:58.453000,6.445,6.11466,Clear,0,1111.01,47.37,3
2014-10-26,02:25:58.499000,6.314,5.98262,Clear,0,1110.958,47.36,2
2014-10-26,02:25:58.553000,6.389,6.05824,Clear,0,1110.896,47.348,3
2014-10-26,02:25:58.599000,6.345,6.01347,Clear,0,1110.844,47.338,2
2014-10-26,02:25:58.653000,6.452,6.12047,Clear,0,1110.783,47.327,3
2014-10-26,02:25:58.699000,6.239,5.90758,Clear,0,1110.73,47.317,2
2014-10-26,02:25:58.753000,6.318,5.98627,Clear,0,1110.669,47.305,3
2014-10-26,02:25:58.799000,6.266,5.93382,Clear,0,1110.617,47.295,2
2014-10-26,02:25:58.853000,6.342,6.00989,Clear,0,1110.557,47.283,3
2014-10-26,02:25:58.899000,6.155,5.82269,Clear,0,1110.505,47.273,2
2014-10-26,02:25:58.953000,6.338,6.00572,Clear,0,1110.444,47.261,3
2014-10-26,02:25:58.999000,6.122,5.78858,Clear,0,1110.393,47.251,2
2014-10-26,02:25:59.053000,6.248,5.91449,Clear,0,1110.332,47.24,3
2014-10-26,02:25:59.099000,6.182,5.84917,Clear,0,1110.281,47.23,2
2014-10-26,02:25:59.153000,6.166,5.83334,Clear,0,1110.221,47.218,3
2014-10-26,02:25:59.199000,6.148,5.81524,Clear,0,1110.17,47.208,2
2014-10-26,02:25:59.253000,6.236,5.90191,Clear,0,1110.11,47.196,3
2014-10-26,02:25:59.299000,6.086,5.75206,Clear,0,1110.059,47.186,2
2014-10-26,02:25:59.353000,6.135,5.80131,Clear,0,1109.999,47.174,3
2014-10-26,02:25:59.399000,6.067,5.73272,Clear,0,1109.948,47.164,2
2014-10-26,02:25:59.453000,6.194,5.86018,Clear,0,1109.889,47.153,3
2014-10-26,02:25:59.499000,6.089,5.75417,Clear,0,1109.838,47.143,2
2014-10-26,02:25:59.553000,6.271,5.93589,Clear,0,1109.779,47.131,3
2014-10-26,02:25:59.599000,6.042,5.70681,Clear,0,1109.729,47.121,2
2014-10-26,02:25:59.653000,6.212,5.87707,Clear,0,1109.67,47.109,3
2014-10-26,02:25:59.699000,6.067,5.7322,Clear,0,1109.62,47.099,2
2014-10-26,02:25:59.753000,6.167,5.83056,Clear,0,1109.561,47.088,3
2014-10-26,02:25:59.799000,6.094,5.75754,Clear,0,1109.511,47.078,2
2014-10-26,02:25:59.853000,6.221,5.88479,Clear,0,1109.452,47.066,3
2014-10-26,02:25:59.899000,6.184,5.84823,Clear,0,1109.403,47.056,2
2014-10-26,02:25:59.953000,6.199,5.86333,Clear,0,1109.344,47.044,3
2014-10-26,02:25:59.999000,6.08,5.74426,Clear,0,1109.295,47.034,2
2014-10-26,02:26:00.053000,6.244,5.90653,Clear,0,1109.237,47.023,3
2014-10-26,02:26:00.099000,6.134,5.79663,Clear,0,1109.188,47.013,2
2014-10-26,02:26:00.153000,6.218,5.88142,Clear,0,1109.13,47.001,3
2014-10-26,02:26:00.199000,6.198,5.86063,Clear,0,1109.081,46.991,2
2014-10-26,02:26:00.253000,6.289,5.9524,Clear,0,1109.023,46.979,3
2014-10-26,02:26:00.299000,6.295,5.95734,Clear,0,1108.974,46.97,2
2014-10-26,02:26:00.353000,6.177,5.83917,Clear,0,1108.917,46.958,3
2014-10-26,02:26:00.399000,6.183,5.84497,Clear,0,1108.868,46.948,2
2014-10-26,02:26:00.453000,6.302,5.96425,Clear,0,1108.811,46.936,3
2014-10-26,02:26:00.499000,6.25,5.91243,Clear,0,1108.762,46.926,2
2014-10-26,02:26:00.553000,6.364,6.02473,Clear,0,1108.706,46.915,3
2014-10-26,02:26:00.599000,6.247,5.90809,Clear,0,1108.657,46.905,2
2014-10-26,02:26:00.653000,6.312,5.9734,Clear,0,1108.601,46.893,3
2014-10-26,02:26:00.699000,6.155,5.81617,Clear,0,1108.553,46.883,2
2014-10-26,02:26:00.753000,6.319,5.97999,Clear,0,1108.496,46.872,3
2014-10-26,02:26:00.799000,6.298,5.95762,Clear,0,1108.448,46.862,2
2014-10-26,02:26:00.853000,6.385,6.04502,Clear,0,1108.392,46.85,3
2014-10-26,02:26:00.899000,6.323,5.98287,Clear,0,1108.344,46.84,2
2014-10-26,02:26:00.953000,6.403,6.0625,Clear,0,1108.288,46.829,3
2014-10-26,02:26:00.999000,6.396,6.05546,Clear,0,1108.241,46.819,2
2014-10-26,02:26:01.053000,6.423,6.082,Clear,0,1108.185,46.807,3
2014-10-26,02:26:01.099000,6.448,6.10674,Clear,0,1108.138,46.797,2
2014-10-26,02:26:01.153000,6.524,6.18335,Clear,0,1108.083,46.785,3
2014-10-26,02:26:01.199000,6.422,6.08139,Clear,0,1108.035,46.776,2
2014-10-26,02:26:01.253000,6.533,6.19197,Clear,0,1107.98,46.764,3
2014-10-26,02:26:01.299000,6.533,6.19178,Clear,0,1107.933,46.754,2
2014-10-26,02:26:01.353000,6.551,6.20928,Clear,0,1107.878,46.742,3
2014-10-26,02:26:01.399000,6.538,6.19553,Clear,0,1107.832,46.733,2
2014-10-26,02:26:01.453000,6.662,6.32011,Clear,0,1107.777,46.721,3
2014-10-26,02:26:01.499000,6.539,6.19655,Clear,0,1107.73,46.711,2
2014-10-26,02:26:01.553000,6.731,6.38896,Clear,0,1107.676,46.7,3
2014-10-26,02:26:01.599000,6.456,6.11301,Clear,0,1107.63,46.69,2
2014-10-26,02:26:01.653000,6.634,6.29075,Clear,0,1107.575,46.678,3
2014-10-26,02:26:01.699000,6.637,6.294,Clear,0,1107.529,46.668,2
2014-10-26,02:26:01.753000,6.757,6.41423,Clear,0,1107.475,46.657,3
2014-10-26,02:26:01.799000,6.535,6.1919,Clear,0,1107.429,46.647,2
2014-10-26,02:26:01.853000,6.784,6.44016,Clear,0,1107.376,46.635,3
2014-10-26,02:26:01.899000,6.623,6.27883,Clear,0,1107.33,46.625,2
2014-10-26,02:26:01.953000,6.768,6.42378,Clear,0,1107.276,46.614,3
2014-10-26,02:26:01.999000,6.708,6.36363,Clear,0,1107.231,46.604,2
2014-10-26,02:26:02.053000,6.922,6.57823,Clear,0,1107.178,46.592,3
2014-10-26,02:26:02.099000,6.842,6.49748,Clear,0,1107.132,46.583,2
2014-10-26,02:26:02.153000,6.762,6.41713,Clear,0,1107.079,46.571,3
2014-10-26,02:26:02.199000,6.755,6.40977,Clear,0,1107.034,46.561,2
2014-10-26,02:26:02.253000,6.934,6.58853,Clear,0,1106.981,46.55,3
2014-10-26,02:26:02.299000,6.843,6.49746,Clear,0,1106.936,46.54,2
2014-10-26,02:26:02.353000,6.914,6.56886,Clear,0,1106.884,46.528,3
2014-10-26,02:26:02.399000,6.898,6.55225,Clear,0,1106.839,46.518,2
2014-10-26,02:26:02.453000,6.951,6.60478,Clear,0,1106.787,46.507,3
2014-10-26,02:26:02.499000,6.97,6.62367,Clear,0,1106.742,46.497,2
2014-10-26,02:26:02.553000,6.872,6.52593,Clear,0,1106.69,46.486,3
2014-10-26,02:26:02.599000,6.904,6.55789,Clear,0,1106.646,46.476,2
2014-10-26,02:26:02.653000,7.048,6.7023,Clear,0,1106.594,46.464,3
2014-10-26,02:26:02.699000,7.149,6.80214,Clear,0,1106.55,46.454,2
2014-10-26,02:26:02.753000,7.045,6.69792,Clear,0,1106.498,46.443,3
2014-10-26,02:26:02.799000,7.115,6.76781,Clear,0,1106.454,46.433,2
2014-10-26,02:26:02.853000,7.077,6.72969,Clear,0,1106.403,46.422,3
2014-10-26,02:26:02.899000,7.05,6.70288,Clear,0,1106.359,46.412,2
2014-10-26,02:26:02.953000,7.167,6.81902,Clear,0,1106.308,46.4,3
2014-10-26,02:26:02.999000,7.116,6.76757,Clear,0,1106.265,46.39,2
2014-10-26,02:26:03.053000,7.157,6.8085,Clear,0,1106.214,46.379,3
2014-10-26,02:26:03.099000,7.258,6.90967,Clear,0,1106.17,46.369,2
2014-10-26,02:26:03.153000,7.233,6.88533,Clear,0,1106.12,46.358,3
2014-10-26,02:26:03.199000,7.302,6.95415,Clear,0,1106.077,46.348,2
2014-10-26,02:26:03.253000,7.386,7.03719,Clear,0,1106.026,46.336,3
2014-10-26,02:26:03.299000,7.276,6.92662,Clear,0,1105.983,46.327,2
2014-10-26,02:26:03.353000,7.435,7.0859,Clear,0,1105.933,46.315,3
2014-10-26,02:26:03.399000,7.25,6.90127,Clear,0,1105.891,46.305,2
2014-10-26,02:26:03.453000,7.504,7.15531,Clear,0,1105.841,46.294,3
2014-10-26,02:26:03.499000,7.392,7.04304,Clear,0,1105.798,46.284,2
2014-10-26,02:26:03.553000,7.75,7.39954,Clear,0,1105.748,46.273,3
2014-10-26,02:26:03.599000,7.704,7.35425,Clear,0,1105.706,46.263,2
2014-10-26,02:26:03.653000,7.505,7.15499,Clear,0,1105.657,46.252,3
2014-10-26,02:26:03.699000,7.64,7.2898,Clear,0,1105.615,46.242,2
2014-10-26,02:26:03.753000,7.558,7.20842,Clear,0,1105.565,46.23,3
2014-10-26,02:26:03.799000,7.585,7.2337,Clear,0,1105.523,46.221,2
2014-10-26,02:26:03.853000,7.677,7.32586,Clear,0,1105.474,46.209,3
2014-10-26,02:26:03.899000,7.641,7.28993,Clear,0,1105.433,46.199,2
2014-10-26,02:26:03.953000,7.664,7.31305,Clear,0,1105.384,46.188,3
2014-10-26,02:26:03.999000,7.681,7.3298,Clear,0,1105.343,46.178,2
2014-10-26,02:26:04.053000,7.738,7.38729,Clear,0,1105.294,46.167,3
2014-10-26,02:26:04.099000,7.893,7.541,Clear,0,1105.253,46.157,2
2014-10-26,02:26:04.153000,7.898,7.54634,Clear,0,1105.205,46.146,3
2014-10-26,02:26:04.199000,7.813,7.46063,Clear,0,1105.163,46.136,2
2014-10-26,02:26:04.253000,7.794,7.44169,Clear,0,1105.115,46.125,3
2014-10-26,02:26:04.299000,7.984,7.6322,Clear,0,1105.075,46.115,2
2014-10-26,02:26:04.353000,7.743,7.39142,Clear,0,1105.027,46.103,3
2014-10-26,02:26:04.399000,7.917,7.56411,Clear,0,1104.986,46.094,2
2014-10-26,02:26:04.453000,7.862,7.50921,Clear,0,1104.939,46.082,3
2014-10-26,02:26:04.499000,8.115,7.76169,Clear,0,1104.898,46.073,2
2014-10-26,02:26:04.553000,7.787,7.43427,Clear,0,1104.851,46.061,3
2014-10-26,02:26:04.599000,7.889,7.53569,Clear,0,1104.811,46.052,2
2014-10-26,02:26:04.653000,7.995,7.64225,Clear,0,1104.763,46.04,3
2014-10-26,02:26:04.699000,7.848,7.49363,Clear,0,1104.723,46.03,2
2014-10-26,02:26:04.753000,7.97,7.616,Clear,0,1104.677,46.019,3
2014-10-26,02:26:04.799000,8.084,7.72973,Clear,0,1104.637,46.009,2
2014-10-26,02:26:04.899000,8.024,7.66948,Clear,0,1104.551,45.988,2
2014-10-26,02:26:04.953000,8.158,7.80407,Clear,0,1104.504,45.977,3
2014-10-26,02:26:04.999000,8.122,7.76692,Clear,0,1104.465,45.967,2
2014-10-26,02:26:05.053000,7.971,7.61617,Clear,0,1104.419,45.956,3
2014-10-26,02:26:05.099000,8.004,7.64928,Clear,0,1104.379,45.946,2
2014-10-26,02:26:05.153000,7.993,7.63804,Clear,0,1104.333,45.935,3
2014-10-26,02:26:05.199000,8.182,7.82669,Clear,0,1104.294,45.925,2
2014-10-26,02:26:05.253000,7.878,7.52319,Clear,0,1104.249,45.914,3
2014-10-26,02:26:05.299000,8.073,7.7168,Clear,0,1104.21,45.904,2
2014-10-26,02:26:05.353000,8.224,7.86832,Clear,0,1104.165,45.893,3
2014-10-26,02:26:05.399000,8.051,7.69465,Clear,0,1104.126,45.883,2
2014-10-26,02:26:05.453000,8.066,7.70977,Clear,0,1104.081,45.872,3
2014-10-26,02:26:05.553000,7.898,7.54213,Clear,0,1103.997,45.851,3
2014-10-26,02:26:05.599000,8.019,7.66219,Clear,0,1103.959,45.841,2
2014-10-26,02:26:05.653000,8.141,7.78434,Clear,0,1103.915,45.83,3
2014-10-26,02:26:05.699000,8.057,7.69956,Clear,0,1103.877,45.82,2
2014-10-26,02:26:05.753000,7.998,7.6411,Clear,0,1103.832,45.809,3
