satellite, 7688 TITAN 34B R/B / US
catalogue, 1 NORAD
track, 3653468
variability, 1 Aperiodic
variability_period, 0.0
npoints, 2109
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-10-27,01:57:00.489000,4.633,10.3859,Clear,0,12525.408,102.369,9
2014-10-27,01:57:00.589000,3.862,9.61479,Clear,0,12525.652,102.369,9
2014-10-27,01:57:00.689000,3.91,9.66263,Clear,0,12525.896,102.369,9
2014-10-27,01:57:00.789000,4.824,10.5768,Clear,0,12526.14,102.369,9
2014-10-27,01:57:00.889000,4.545,10.2981,Clear,0,12526.383,102.369,9
2014-10-27,01:57:00.989000,4.449,10.2016,Clear,0,12526.627,102.369,9
2014-10-27,01:57:01.089000,4.346,10.0996,Clear,0,12526.871,102.369,9
2014-10-27,01:57:01.389000,4.509,10.2628,Clear,0,12527.602,102.37,9
2014-10-27,01:57:01.589000,4.534,10.2883,Clear,0,12528.089,102.37,9
2014-10-27,01:57:01.789000,4.81,10.5641,Clear,0,12528.577,102.37,9
2014-10-27,01:57:01.989000,4.533,10.2869,Clear,0,12529.064,102.371,9
2014-10-27,01:57:02.289000,4.002,9.75572,Clear,0,12529.795,102.371,9
2014-10-27,01:57:02.489000,4.297,10.051,Clear,0,12530.283,102.371,9
2014-10-27,01:57:02.789000,4.387,10.1411,Clear,0,12531.014,102.371,9
2014-10-27,01:57:02.989000,4.006,9.75977,Clear,0,12531.501,102.372,9
2014-10-27,01:57:03.289000,4.236,9.99086,Clear,0,12532.232,102.372,9
2014-10-27,01:57:03.389000,3.893,9.64804,Clear,0,12532.476,102.372,9
2014-10-27,01:57:04.089000,4.453,10.208,Clear,0,12534.182,102.373,9
2014-10-27,01:57:04.289000,4.171,9.92587,Clear,0,12534.669,102.373,9
2014-10-27,01:57:04.689000,4.562,10.3165,Clear,0,12535.644,102.374,9
2014-10-27,01:57:04.789000,4.389,10.1441,Clear,0,12535.887,102.374,9
2014-10-27,01:57:04.989000,4.244,9.99851,Clear,0,12536.375,102.374,9
2014-10-27,01:57:05.189000,4.362,10.1167,Clear,0,12536.862,102.374,9
2014-10-27,01:57:05.389000,3.787,9.54171,Clear,0,12537.349,102.375,9
2014-10-27,01:57:05.489000,4.369,10.1253,Clear,0,12537.593,102.375,9
2014-10-27,01:57:05.689000,3.531,9.28718,Clear,0,12538.08,102.375,9
2014-10-27,01:57:06.089000,3.321,9.07676,Clear,0,12539.055,102.375,9
2014-10-27,01:57:06.189000,4.274,10.0297,Clear,0,12539.298,102.376,9
2014-10-27,01:57:06.389000,4.21,9.96625,Clear,0,12539.786,102.376,9
2014-10-27,01:57:06.589000,3.532,9.2877,Clear,0,12540.273,102.376,9
2014-10-27,01:57:06.789000,4.488,10.2438,Clear,0,12540.76,102.376,9
2014-10-27,01:57:06.889000,4.458,10.2136,Clear,0,12541.004,102.376,9
2014-10-27,01:57:06.989000,4.376,10.1317,Clear,0,12541.247,102.376,9
2014-10-27,01:57:07.289000,4.458,10.2136,Clear,0,12541.978,102.377,9
2014-10-27,01:57:07.389000,4.477,10.2334,Clear,0,12542.222,102.377,9
2014-10-27,01:57:07.489000,4.361,10.1173,Clear,0,12542.465,102.377,9
2014-10-27,01:57:07.589000,3.984,9.74009,Clear,0,12542.709,102.377,9
2014-10-27,01:57:07.789000,4.445,10.2017,Clear,0,12543.196,102.377,9
