satellite, 26375 PEGASUS R/B / US
catalogue, 1 NORAD
track, 4253185
variability, 1 Aperiodic
variability_period, 0.0
npoints, 784
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-11-10,01:30:19.424000,6.578,7.20838,Clear,0,1614.875,62.421,1
2014-11-10,01:30:19.524000,6.671,7.30223,Clear,0,1615.086,62.44,1
2014-11-10,01:30:19.624000,6.672,7.30343,Clear,0,1615.297,62.46,1
2014-11-10,01:30:19.724000,6.609,7.24134,Clear,0,1615.508,62.48,1
2014-11-10,01:30:19.824000,6.556,7.18806,Clear,0,1615.719,62.5,1
2014-11-10,01:30:19.924000,6.554,7.18692,Clear,0,1615.931,62.519,1
2014-11-10,01:30:20.024000,6.581,7.2135,Clear,0,1616.143,62.539,1
2014-11-10,01:30:20.124000,6.522,7.15614,Clear,0,1616.355,62.559,1
2014-11-10,01:30:20.224000,6.622,7.25574,Clear,0,1616.567,62.578,1
2014-11-10,01:30:20.324000,6.579,7.21347,Clear,0,1616.78,62.598,1
2014-11-10,01:30:20.424000,6.667,7.30204,Clear,0,1616.992,62.618,1
2014-11-10,01:30:20.524000,6.735,7.3713,Clear,0,1617.205,62.637,1
2014-11-10,01:30:20.624000,6.663,7.2992,Clear,0,1617.418,62.657,1
2014-11-10,01:30:20.724000,6.668,7.30486,Clear,0,1617.631,62.677,1
2014-11-10,01:30:20.824000,6.545,7.18179,Clear,0,1617.845,62.696,1
2014-11-10,01:30:20.924000,6.605,7.24265,Clear,0,1618.058,62.716,1
2014-11-10,01:30:21.024000,6.572,7.20962,Clear,0,1618.272,62.736,1
2014-11-10,01:30:21.124000,6.679,7.31828,Clear,0,1618.486,62.755,1
2014-11-10,01:30:21.224000,6.563,7.20171,Clear,0,1618.7,62.775,1
2014-11-10,01:30:21.324000,6.534,7.17389,Clear,0,1618.915,62.795,1
2014-11-10,01:30:21.424000,6.631,7.27073,Clear,0,1619.129,62.814,1
2014-11-10,01:30:21.524000,6.583,7.22397,Clear,0,1619.344,62.834,1
2014-11-10,01:30:21.624000,6.611,7.25148,Clear,0,1619.559,62.853,1
2014-11-10,01:30:21.724000,6.483,7.12511,Clear,0,1619.774,62.873,1
2014-11-10,01:30:21.824000,6.42,7.06192,Clear,0,1619.99,62.893,1
2014-11-10,01:30:21.924000,6.752,7.39476,Clear,0,1620.205,62.912,1
2014-11-10,01:30:22.024000,6.572,7.21627,Clear,0,1620.421,62.932,1
2014-11-10,01:30:22.124000,6.689,7.33257,Clear,0,1620.637,62.952,1
2014-11-10,01:30:22.224000,6.452,7.09722,Clear,0,1620.853,62.971,1
2014-11-10,01:30:22.324000,6.69,7.33531,Clear,0,1621.07,62.991,1
2014-11-10,01:30:22.424000,6.555,7.20062,Clear,0,1621.286,63.01,1
2014-11-10,01:30:22.524000,6.699,7.34526,Clear,0,1621.503,63.03,1
2014-11-10,01:30:22.624000,6.594,7.24053,Clear,0,1621.72,63.05,1
2014-11-10,01:30:22.724000,6.367,7.01413,Clear,0,1621.937,63.069,1
2014-11-10,01:30:22.824000,6.481,7.1287,Clear,0,1622.155,63.089,1
2014-11-10,01:30:22.924000,6.559,7.20711,Clear,0,1622.372,63.108,1
2014-11-10,01:30:23.024000,6.658,7.30647,Clear,0,1622.59,63.128,1
2014-11-10,01:30:23.124000,6.463,7.11172,Clear,0,1622.808,63.147,1
2014-11-10,01:30:23.224000,6.532,7.18242,Clear,0,1623.026,63.167,1
2014-11-10,01:30:23.324000,6.589,7.23869,Clear,0,1623.244,63.187,1
2014-11-10,01:30:23.424000,6.356,7.00648,Clear,0,1623.463,63.206,1
2014-11-10,01:30:23.524000,6.7,7.35144,Clear,0,1623.682,63.226,1
2014-11-10,01:30:23.624000,6.367,7.01863,Clear,0,1623.901,63.245,1
2014-11-10,01:30:23.724000,6.514,7.16578,Clear,0,1624.12,63.265,1
2014-11-10,01:30:23.824000,6.599,7.25237,Clear,0,1624.339,63.284,1
2014-11-10,01:30:23.924000,6.634,7.28708,Clear,0,1624.559,63.304,1
2014-11-10,01:30:24.024000,6.419,7.07282,Clear,0,1624.778,63.323,1
2014-11-10,01:30:24.124000,6.529,7.18266,Clear,0,1624.998,63.343,1
2014-11-10,01:30:24.224000,6.561,7.21575,Clear,0,1625.218,63.362,1
2014-11-10,01:30:24.324000,6.478,7.13262,Clear,0,1625.439,63.382,1
2014-11-10,01:30:24.424000,6.432,7.08836,Clear,0,1625.659,63.402,1
2014-11-10,01:30:24.524000,6.47,7.12689,Clear,0,1625.88,63.421,1
2014-11-10,01:30:24.624000,6.585,7.24212,Clear,0,1626.101,63.441,1
2014-11-10,01:30:24.724000,6.449,7.1065,Clear,0,1626.322,63.46,1
2014-11-10,01:30:24.824000,6.567,7.22498,Clear,0,1626.543,63.48,1
2014-11-10,01:30:24.924000,6.494,7.15288,Clear,0,1626.765,63.499,1
2014-11-10,01:30:25.024000,6.442,7.10112,Clear,0,1626.986,63.519,1
2014-11-10,01:30:25.124000,6.475,7.1348,Clear,0,1627.208,63.538,1
2014-11-10,01:30:25.224000,6.531,7.1913,Clear,0,1627.43,63.558,1
2014-11-10,01:30:25.324000,6.287,6.9477,Clear,0,1627.653,63.577,1
2014-11-10,01:30:25.424000,6.518,7.17925,Clear,0,1627.875,63.597,1
