satellite, 28385 ATLAS CENTAUR R/B / US
catalogue, 1 NORAD
track, 473695
variability, 2 Periodic
variability_period, 12.54583512
npoints, 2431
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-06-17,23:01:17.475000,4.256,9.47279,Clear,0,10245.928,97.947,7
2014-06-17,23:01:17.575000,3.45,8.66723,Clear,0,10245.911,97.945,7
2014-06-17,23:01:17.675000,3.63,8.84713,Clear,0,10245.894,97.944,7
2014-06-17,23:01:17.775000,3.01,8.2266,Clear,0,10245.877,97.942,7
2014-06-17,23:01:17.875000,3.563,8.77986,Clear,0,10245.859,97.941,7
2014-06-17,23:01:17.975000,3.527,8.74356,Clear,0,10245.842,97.94,7
2014-06-17,23:01:18.075000,3.184,8.40085,Clear,0,10245.825,97.938,7
2014-06-17,23:01:18.175000,2.876,8.09255,Clear,0,10245.808,97.937,7
2014-06-17,23:01:18.275000,3.718,8.9349,Clear,0,10245.791,97.936,7
2014-06-17,23:01:18.475000,4.368,9.5852,Clear,0,10245.756,97.933,7
2014-06-17,23:01:18.575000,3.638,8.85488,Clear,0,10245.739,97.931,7
2014-06-17,23:01:18.675000,4.282,9.49782,Clear,0,10245.722,97.93,7
2014-06-17,23:01:18.775000,4.398,9.61404,Clear,0,10245.705,97.929,7
2014-06-17,23:01:18.875000,3.45,8.66611,Clear,0,10245.687,97.927,7
2014-06-17,23:01:18.975000,2.714,7.92999,Clear,0,10245.67,97.926,7
2014-06-17,23:01:19.075000,3.656,8.87228,Clear,0,10245.653,97.925,7
2014-06-17,23:01:19.175000,2.889,8.10479,Clear,0,10245.636,97.923,7
2014-06-17,23:01:19.375000,3.541,8.7572,Clear,0,10245.601,97.92,7
2014-06-17,23:01:19.475000,3.841,9.05736,Clear,0,10245.584,97.919,7
2014-06-17,23:01:19.575000,5.151,10.3669,Clear,0,10245.567,97.918,7
2014-06-17,23:01:19.675000,3.49,8.70574,Clear,0,10245.55,97.916,7
2014-06-17,23:01:19.775000,3.284,8.50014,Clear,0,10245.533,97.915,7
2014-06-17,23:01:19.975000,3.846,9.06169,Clear,0,10245.498,97.912,7
2014-06-17,23:01:20.075000,3.077,8.29305,Clear,0,10245.481,97.911,7
2014-06-17,23:01:20.275000,3.248,8.46373,Clear,0,10245.447,97.908,7
2014-06-17,23:01:20.375000,3.523,8.73944,Clear,0,10245.43,97.907,7
2014-06-17,23:01:20.475000,2.978,8.19432,Clear,0,10245.413,97.905,7
2014-06-17,23:01:20.575000,3.281,8.49683,Clear,0,10245.395,97.904,7
2014-06-17,23:01:20.675000,3.43,8.64642,Clear,0,10245.378,97.903,7
2014-06-17,23:01:20.775000,3.075,8.29076,Clear,0,10245.361,97.901,7
2014-06-17,23:01:21.075000,3.356,8.57243,Clear,0,10245.31,97.897,7
2014-06-17,23:01:21.175000,3.05,8.26608,Clear,0,10245.292,97.896,7
2014-06-17,23:01:21.275000,2.98,8.19643,Clear,0,10245.275,97.894,7
2014-06-17,23:01:21.475000,3.302,8.51837,Clear,0,10245.241,97.892,7
2014-06-17,23:01:21.575000,3.186,8.40174,Clear,0,10245.224,97.89,7
2014-06-17,23:01:21.675000,2.612,7.82733,Clear,0,10245.207,97.889,7
2014-06-17,23:01:21.775000,2.996,8.21082,Clear,0,10245.19,97.887,7
