satellite, 38758 USA 238 (NOSS 3-6 (A) ?) / US
catalogue, 3 McCants
track, 5008390
variability, 2 Periodic
variability_period, 2.10252042
npoints, 1198
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-12-06,03:21:34.120000,3.899,3.84333,Clear,0,1201.994,58.341,2
2014-12-06,03:21:34.220000,3.848,3.79171,Clear,0,1202.0,58.355,2
2014-12-06,03:21:34.320000,3.832,3.77561,Clear,0,1202.006,58.369,2
2014-12-06,03:21:34.420000,3.848,3.79218,Clear,0,1202.012,58.383,2
2014-12-06,03:21:34.520000,3.836,3.7812,Clear,0,1202.019,58.397,2
2014-12-06,03:21:34.620000,3.857,3.80237,Clear,0,1202.026,58.411,2
2014-12-06,03:21:34.720000,3.845,3.7899,Clear,0,1202.033,58.425,2
2014-12-06,03:21:34.820000,3.867,3.8122,Clear,0,1202.041,58.439,2
2014-12-06,03:21:34.920000,3.886,3.83065,Clear,0,1202.049,58.453,2
2014-12-06,03:21:35.020000,3.844,3.7887,Clear,0,1202.058,58.468,2
2014-12-06,03:21:35.120000,3.865,3.81129,Clear,0,1202.067,58.482,2
2014-12-06,03:21:35.220000,3.848,3.79345,Clear,0,1202.076,58.496,2
2014-12-06,03:21:35.320000,3.841,3.78743,Clear,0,1202.085,58.51,2
2014-12-06,03:21:35.420000,3.888,3.83359,Clear,0,1202.095,58.524,2
2014-12-06,03:21:35.520000,3.889,3.83522,Clear,0,1202.105,58.538,2
2014-12-06,03:21:35.620000,3.926,3.87169,Clear,0,1202.116,58.552,2
2014-12-06,03:21:35.720000,3.922,3.869,Clear,0,1202.127,58.567,2
2014-12-06,03:21:35.820000,3.922,3.86902,Clear,0,1202.138,58.581,2
2014-12-06,03:21:35.920000,3.863,3.81043,Clear,0,1202.15,58.595,2
2014-12-06,03:21:36.020000,3.882,3.82916,Clear,0,1202.161,58.609,2
2014-12-06,03:21:36.120000,3.885,3.83154,Clear,0,1202.174,58.623,2
2014-12-06,03:21:36.220000,3.847,3.79497,Clear,0,1202.186,58.638,2
2014-12-06,03:21:36.320000,3.841,3.78871,Clear,0,1202.199,58.652,2
2014-12-06,03:21:36.420000,3.829,3.77671,Clear,0,1202.213,58.666,2
2014-12-06,03:21:36.520000,3.859,3.80668,Clear,0,1202.226,58.68,2
2014-12-06,03:21:36.620000,3.825,3.77308,Clear,0,1202.24,58.694,2
2014-12-06,03:21:36.720000,3.819,3.76739,Clear,0,1202.255,58.709,2
2014-12-06,03:21:36.820000,3.845,3.79372,Clear,0,1202.269,58.723,2
2014-12-06,03:21:36.920000,3.811,3.76004,Clear,0,1202.284,58.737,2
2014-12-06,03:21:37.020000,3.847,3.79614,Clear,0,1202.3,58.752,2
2014-12-06,03:21:37.120000,3.836,3.78525,Clear,0,1202.316,58.766,2
2014-12-06,03:21:37.220000,3.851,3.79961,Clear,0,1202.332,58.78,2
2014-12-06,03:21:37.320000,3.877,3.82622,Clear,0,1202.348,58.794,2
2014-12-06,03:21:37.420000,3.888,3.83785,Clear,0,1202.365,58.809,2
2014-12-06,03:21:37.520000,3.914,3.86405,Clear,0,1202.382,58.823,2
2014-12-06,03:21:37.620000,3.905,3.85527,Clear,0,1202.399,58.837,2
2014-12-06,03:21:37.720000,3.897,3.84729,Clear,0,1202.417,58.852,2
2014-12-06,03:21:37.820000,3.925,3.87534,Clear,0,1202.435,58.866,2
2014-12-06,03:21:37.920000,3.893,3.84416,Clear,0,1202.454,58.88,2
2014-12-06,03:21:38.020000,3.861,3.81234,Clear,0,1202.473,58.895,2
2014-12-06,03:21:38.120000,3.892,3.84309,Clear,0,1202.492,58.909,2
2014-12-06,03:21:38.220000,3.893,3.8435,Clear,0,1202.512,58.924,2
2014-12-06,03:21:38.320000,3.859,3.80992,Clear,0,1202.531,58.938,2
2014-12-06,03:21:38.420000,3.834,3.78614,Clear,0,1202.552,58.952,2
2014-12-06,03:21:38.520000,3.838,3.78964,Clear,0,1202.572,58.967,2
2014-12-06,03:21:38.620000,3.851,3.80283,Clear,0,1202.593,58.981,2
2014-12-06,03:21:38.720000,3.816,3.76752,Clear,0,1202.614,58.996,2
2014-12-06,03:21:38.820000,3.827,3.77864,Clear,0,1202.636,59.01,2
2014-12-06,03:21:38.920000,3.858,3.80964,Clear,0,1202.658,59.024,2
2014-12-06,03:21:39.020000,3.841,3.7942,Clear,0,1202.68,59.039,2
2014-12-06,03:21:39.120000,3.832,3.78456,Clear,0,1202.703,59.053,2
2014-12-06,03:21:39.220000,3.812,3.76493,Clear,0,1202.726,59.068,2
2014-12-06,03:21:39.320000,3.849,3.8023,Clear,0,1202.749,59.082,2
2014-12-06,03:21:39.420000,3.879,3.83183,Clear,0,1202.773,59.097,2
2014-12-06,03:21:39.520000,3.847,3.80115,Clear,0,1202.797,59.111,2
2014-12-06,03:21:39.620000,3.856,3.80986,Clear,0,1202.822,59.126,2
2014-12-06,03:21:39.720000,3.915,3.869,Clear,0,1202.846,59.14,2
2014-12-06,03:21:39.820000,3.872,3.82642,Clear,0,1202.871,59.155,2
2014-12-06,03:21:39.920000,3.894,3.84764,Clear,0,1202.897,59.169,2
2014-12-06,03:21:40.020000,3.881,3.83626,Clear,0,1202.923,59.184,2
2014-12-06,03:21:40.120000,3.881,3.83574,Clear,0,1202.949,59.198,2
2014-12-06,03:21:40.220000,3.882,3.83659,Clear,0,1202.975,59.213,2
2014-12-06,03:21:40.320000,3.849,3.80422,Clear,0,1203.002,59.227,2
2014-12-06,03:21:40.420000,3.872,3.82704,Clear,0,1203.029,59.242,2
2014-12-06,03:21:40.520000,3.861,3.81679,Clear,0,1203.057,59.257,2
2014-12-06,03:21:40.620000,3.878,3.83428,Clear,0,1203.085,59.271,2
2014-12-06,03:21:40.720000,3.866,3.82164,Clear,0,1203.113,59.286,2
2014-12-06,03:21:40.820000,3.848,3.80356,Clear,0,1203.141,59.3,2
2014-12-06,03:21:40.920000,3.835,3.79179,Clear,0,1203.17,59.315,2
2014-12-06,03:21:41.020000,3.833,3.79012,Clear,0,1203.199,59.33,2
2014-12-06,03:21:41.120000,3.843,3.7996,Clear,0,1203.229,59.344,2
2014-12-06,03:21:41.220000,3.836,3.79259,Clear,0,1203.259,59.359,2
2014-12-06,03:21:41.320000,3.816,3.7727,Clear,0,1203.289,59.373,2
2014-12-06,03:21:41.420000,3.841,3.79879,Clear,0,1203.32,59.388,2
2014-12-06,03:21:41.520000,3.86,3.81749,Clear,0,1203.351,59.403,2
2014-12-06,03:21:41.620000,3.885,3.84273,Clear,0,1203.382,59.417,2
2014-12-06,03:21:41.720000,3.898,3.8562,Clear,0,1203.414,59.432,2
2014-12-06,03:21:41.820000,3.874,3.83241,Clear,0,1203.446,59.447,2
2014-12-06,03:21:41.920000,3.908,3.86704,Clear,0,1203.478,59.461,2
2014-12-06,03:21:42.020000,3.916,3.87469,Clear,0,1203.511,59.476,2
2014-12-06,03:21:42.120000,3.935,3.89411,Clear,0,1203.544,59.491,2
2014-12-06,03:21:42.220000,3.908,3.86677,Clear,0,1203.577,59.505,2
2014-12-06,03:21:42.320000,3.833,3.79293,Clear,0,1203.611,59.52,2
2014-12-06,03:21:42.420000,3.851,3.8106,Clear,0,1203.645,59.535,2
2014-12-06,03:21:42.520000,3.865,3.82473,Clear,0,1203.68,59.55,2
2014-12-06,03:21:42.620000,3.822,3.78198,Clear,0,1203.714,59.564,2
2014-12-06,03:21:42.720000,3.81,3.76965,Clear,0,1203.749,59.579,2
2014-12-06,03:21:42.820000,3.818,3.7793,Clear,0,1203.785,59.594,2
2014-12-06,03:21:42.920000,3.795,3.75565,Clear,0,1203.821,59.609,2
2014-12-06,03:21:43.020000,3.833,3.79398,Clear,0,1203.857,59.623,2
2014-12-06,03:21:43.120000,3.827,3.78843,Clear,0,1203.893,59.638,2
2014-12-06,03:21:43.220000,3.831,3.79309,Clear,0,1203.93,59.653,2
2014-12-06,03:21:43.320000,3.813,3.77479,Clear,0,1203.967,59.668,2
2014-12-06,03:21:43.420000,3.786,3.74776,Clear,0,1204.005,59.682,2
2014-12-06,03:21:43.520000,3.815,3.7773,Clear,0,1204.043,59.697,2
2014-12-06,03:21:43.620000,3.86,3.82148,Clear,0,1204.081,59.712,2
2014-12-06,03:21:43.720000,3.837,3.79996,Clear,0,1204.12,59.727,2
2014-12-06,03:21:43.820000,3.827,3.79001,Clear,0,1204.158,59.742,2
2014-12-06,03:21:43.920000,3.843,3.80637,Clear,0,1204.198,59.757,2
2014-12-06,03:21:44.020000,3.874,3.83672,Clear,0,1204.237,59.771,2
2014-12-06,03:21:44.120000,3.905,3.86908,Clear,0,1204.277,59.786,2
2014-12-06,03:21:44.220000,3.835,3.79895,Clear,0,1204.318,59.801,2
2014-12-06,03:21:44.320000,3.884,3.84796,Clear,0,1204.358,59.816,2
2014-12-06,03:21:44.420000,3.877,3.84137,Clear,0,1204.399,59.831,2
2014-12-06,03:21:44.520000,3.832,3.79694,Clear,0,1204.44,59.846,2
2014-12-06,03:21:44.620000,3.824,3.78873,Clear,0,1204.482,59.861,2
2014-12-06,03:21:44.720000,3.816,3.7808,Clear,0,1204.524,59.875,2
2014-12-06,03:21:44.820000,3.797,3.76188,Clear,0,1204.567,59.89,2
2014-12-06,03:21:44.920000,3.791,3.75676,Clear,0,1204.609,59.905,2
2014-12-06,03:21:45.020000,3.84,3.80556,Clear,0,1204.652,59.92,2
