satellite, 28876 DELTA 2 R/B(2) (PAM-D) / US
catalogue, 1 NORAD
track, 515653
variability, 2 Periodic
variability_period, 11.4011552
npoints, 905
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-06-20,20:17:58.050000,6.845,9.25566,Clear,0,3110.178,86.975,1
2014-06-20,20:17:58.150000,6.828,9.23774,Clear,0,3109.479,86.969,1
2014-06-20,20:17:58.250000,7.451,9.85953,Clear,0,3108.78,86.964,1
2014-06-20,20:17:58.350000,7.009,9.41812,Clear,0,3108.081,86.958,1
2014-06-20,20:17:58.450000,7.215,9.62283,Clear,0,3107.382,86.952,1
2014-06-20,20:17:58.550000,6.693,9.10067,Clear,0,3106.683,86.946,1
2014-06-20,20:17:58.650000,6.675,9.08242,Clear,0,3105.984,86.94,1
2014-06-20,20:17:58.750000,6.132,8.53897,Clear,0,3105.285,86.934,1
2014-06-20,20:17:58.850000,5.941,8.34715,Clear,0,3104.586,86.928,1
2014-06-20,20:17:58.950000,7.246,9.65091,Clear,0,3103.887,86.922,1
2014-06-20,20:17:59.050000,6.534,8.93895,Clear,0,3103.188,86.916,1
2014-06-20,20:17:59.150000,6.23,8.63423,Clear,0,3102.489,86.91,1
2014-06-20,20:17:59.250000,7.122,9.52555,Clear,0,3101.79,86.904,1
2014-06-20,20:17:59.350000,6.261,8.66436,Clear,0,3101.091,86.898,1
2014-06-20,20:17:59.450000,6.76,9.16155,Clear,0,3100.392,86.892,1
2014-06-20,20:17:59.550000,6.505,8.90709,Clear,0,3099.693,86.886,1
2014-06-20,20:17:59.650000,6.613,9.01402,Clear,0,3098.994,86.88,1
2014-06-20,20:17:59.750000,6.566,8.96653,Clear,0,3098.295,86.874,1
2014-06-20,20:17:59.850000,7.187,9.58671,Clear,0,3097.597,86.868,1
2014-06-20,20:17:59.950000,7.026,9.42533,Clear,0,3096.898,86.862,1
2014-06-20,20:18:00.050000,6.642,9.04045,Clear,0,3096.199,86.856,1
2014-06-20,20:18:00.150000,6.708,9.10563,Clear,0,3095.5,86.85,1
2014-06-20,20:18:00.250000,6.48,8.87792,Clear,0,3094.801,86.844,1
2014-06-20,20:18:00.350000,6.571,8.96775,Clear,0,3094.102,86.839,1
2014-06-20,20:18:00.450000,6.857,9.25269,Clear,0,3093.403,86.833,1
2014-06-20,20:18:00.550000,6.831,9.22655,Clear,0,3092.704,86.827,1
2014-06-20,20:18:00.650000,7.226,9.62122,Clear,0,3092.005,86.821,1
2014-06-20,20:18:00.750000,6.819,9.21371,Clear,0,3091.307,86.815,1
2014-06-20,20:18:00.850000,6.731,9.12449,Clear,0,3090.608,86.809,1
2014-06-20,20:18:00.950000,6.901,9.29432,Clear,0,3089.909,86.803,1
2014-06-20,20:18:01.050000,6.812,9.20517,Clear,0,3089.21,86.797,1
2014-06-20,20:18:01.150000,6.764,9.15633,Clear,0,3088.511,86.791,1
2014-06-20,20:18:01.350000,7.563,9.95357,Clear,0,3087.114,86.779,1
2014-06-20,20:18:01.550000,7.708,10.0981,Clear,0,3085.716,86.767,1
2014-06-20,20:18:01.650000,7.035,9.42399,Clear,0,3085.017,86.761,1
