satellite, 32264 GLOBALSTAR M070 / GLOB
catalogue, 1 NORAD
track, 6177164
variability, 0 Not variable
variability_period, 0.0
npoints, 601
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-02-19,01:17:19.054000,4.345,5.62474,Clear,0,1708.991,95.727,1
2015-02-19,01:17:19.154000,4.452,5.73269,Clear,0,1709.214,95.743,1
2015-02-19,01:17:19.254000,4.312,5.59411,Clear,0,1709.437,95.76,1
2015-02-19,01:17:19.354000,4.369,5.65122,Clear,0,1709.661,95.776,1
2015-02-19,01:17:19.454000,4.489,5.77186,Clear,0,1709.885,95.792,1
2015-02-19,01:17:19.554000,4.212,5.49576,Clear,0,1710.108,95.809,1
2015-02-19,01:17:19.654000,4.289,5.57252,Clear,0,1710.332,95.825,1
2015-02-19,01:17:19.754000,4.431,5.71552,Clear,0,1710.557,95.842,1
2015-02-19,01:17:19.854000,4.317,5.60211,Clear,0,1710.781,95.858,1
2015-02-19,01:17:19.954000,4.302,5.58792,Clear,0,1711.006,95.875,1
2015-02-19,01:17:20.054000,4.376,5.66339,Clear,0,1711.23,95.891,1
2015-02-19,01:17:20.154000,4.302,5.58931,Clear,0,1711.455,95.907,1
2015-02-19,01:17:20.254000,4.27,5.55794,Clear,0,1711.681,95.924,1
2015-02-19,01:17:20.354000,4.414,5.70299,Clear,0,1711.906,95.94,1
2015-02-19,01:17:20.454000,4.433,5.72151,Clear,0,1712.132,95.957,1
2015-02-19,01:17:20.554000,4.225,5.51542,Clear,0,1712.357,95.973,1
2015-02-19,01:17:20.654000,4.341,5.63099,Clear,0,1712.583,95.989,1
2015-02-19,01:17:20.754000,4.338,5.6292,Clear,0,1712.809,96.006,1
2015-02-19,01:17:20.854000,4.303,5.59463,Clear,0,1713.036,96.022,1
2015-02-19,01:17:20.954000,4.269,5.5608,Clear,0,1713.262,96.038,1
2015-02-19,01:17:21.054000,4.23,5.52257,Clear,0,1713.489,96.055,1
2015-02-19,01:17:21.154000,4.398,5.69154,Clear,0,1713.715,96.071,1
2015-02-19,01:17:21.254000,4.09,5.38398,Clear,0,1713.943,96.088,1
2015-02-19,01:17:21.354000,4.368,5.66316,Clear,0,1714.17,96.104,1
2015-02-19,01:17:21.454000,4.304,5.6002,Clear,0,1714.397,96.12,1
2015-02-19,01:17:21.554000,4.221,5.51687,Clear,0,1714.625,96.137,1
2015-02-19,01:17:21.654000,4.342,5.63866,Clear,0,1714.853,96.153,1
2015-02-19,01:17:21.754000,4.143,5.44033,Clear,0,1715.08,96.169,1
2015-02-19,01:17:21.854000,4.407,5.70516,Clear,0,1715.309,96.186,1
2015-02-19,01:17:21.954000,4.332,5.63072,Clear,0,1715.537,96.202,1
2015-02-19,01:17:22.054000,4.291,5.58951,Clear,0,1715.765,96.218,1
2015-02-19,01:17:22.154000,4.238,5.53755,Clear,0,1715.994,96.235,1
2015-02-19,01:17:22.254000,4.193,5.49373,Clear,0,1716.223,96.251,1
2015-02-19,01:17:22.354000,4.309,5.61038,Clear,0,1716.452,96.267,1
2015-02-19,01:17:22.454000,4.132,5.43392,Clear,0,1716.681,96.284,1
2015-02-19,01:17:22.554000,4.281,5.58391,Clear,0,1716.911,96.3,1
2015-02-19,01:17:22.654000,4.434,5.73729,Clear,0,1717.14,96.316,1
2015-02-19,01:17:22.754000,4.289,5.5925,Clear,0,1717.37,96.333,1
2015-02-19,01:17:22.854000,4.077,5.38136,Clear,0,1717.6,96.349,1
2015-02-19,01:17:22.954000,4.207,5.51173,Clear,0,1717.83,96.365,1
2015-02-19,01:17:23.054000,4.237,5.54285,Clear,0,1718.061,96.382,1
2015-02-19,01:17:23.154000,4.23,5.53626,Clear,0,1718.291,96.398,1
2015-02-19,01:17:23.254000,4.178,5.48525,Clear,0,1718.522,96.414,1
2015-02-19,01:17:23.354000,4.262,5.56985,Clear,0,1718.753,96.43,1
2015-02-19,01:17:23.454000,4.133,5.44089,Clear,0,1718.984,96.447,1
2015-02-19,01:17:23.554000,4.042,5.35065,Clear,0,1719.215,96.463,1
2015-02-19,01:17:23.654000,4.138,5.44811,Clear,0,1719.447,96.479,1
2015-02-19,01:17:23.754000,4.126,5.43596,Clear,0,1719.679,96.496,1
2015-02-19,01:17:23.854000,4.303,5.61419,Clear,0,1719.91,96.512,1
2015-02-19,01:17:23.954000,4.204,5.51458,Clear,0,1720.143,96.528,1
2015-02-19,01:17:24.054000,4.201,5.51336,Clear,0,1720.375,96.544,1
2015-02-19,01:17:24.154000,4.357,5.66948,Clear,0,1720.607,96.561,1
2015-02-19,01:17:24.254000,4.257,5.56949,Clear,0,1720.84,96.577,1
2015-02-19,01:17:24.354000,4.212,5.5259,Clear,0,1721.072,96.593,1
2015-02-19,01:17:24.454000,4.265,5.57998,Clear,0,1721.305,96.609,1
2015-02-19,01:17:24.554000,4.165,5.47964,Clear,0,1721.539,96.626,1
2015-02-19,01:17:24.654000,4.198,5.51393,Clear,0,1721.772,96.642,1
2015-02-19,01:17:24.754000,4.202,5.51892,Clear,0,1722.005,96.658,1
2015-02-19,01:17:24.854000,4.149,5.46639,Clear,0,1722.239,96.674,1
2015-02-19,01:17:24.954000,4.181,5.49899,Clear,0,1722.473,96.691,1
2015-02-19,01:17:25.054000,4.293,5.6111,Clear,0,1722.707,96.707,1
2015-02-19,01:17:25.154000,4.341,5.66013,Clear,0,1722.941,96.723,1
2015-02-19,01:17:25.254000,4.145,5.46484,Clear,0,1723.176,96.739,1
2015-02-19,01:17:25.354000,4.093,5.41344,Clear,0,1723.41,96.755,1
2015-02-19,01:17:25.454000,4.328,5.64858,Clear,0,1723.645,96.772,1
2015-02-19,01:17:25.554000,4.154,5.47552,Clear,0,1723.88,96.788,1
2015-02-19,01:17:25.654000,4.246,5.56841,Clear,0,1724.115,96.804,1
2015-02-19,01:17:25.754000,4.266,5.58866,Clear,0,1724.351,96.82,1
2015-02-19,01:17:25.854000,4.117,5.44125,Clear,0,1724.586,96.836,1
2015-02-19,01:17:25.954000,4.126,5.44956,Clear,0,1724.822,96.853,1
2015-02-19,01:17:26.054000,4.058,5.38335,Clear,0,1725.058,96.869,1
2015-02-19,01:17:26.154000,4.074,5.39954,Clear,0,1725.294,96.885,1
2015-02-19,01:17:26.254000,4.202,5.52773,Clear,0,1725.53,96.901,1
2015-02-19,01:17:26.354000,4.184,5.5114,Clear,0,1725.766,96.917,1
2015-02-19,01:17:26.454000,4.183,5.50995,Clear,0,1726.003,96.933,1
2015-02-19,01:17:26.554000,4.264,5.59177,Clear,0,1726.24,96.95,1
2015-02-19,01:17:26.654000,4.119,5.44797,Clear,0,1726.477,96.966,1
2015-02-19,01:17:26.754000,4.169,5.49768,Clear,0,1726.714,96.982,1
2015-02-19,01:17:26.854000,4.155,5.48449,Clear,0,1726.951,96.998,1
