satellite, 11389 OPS 5390 / US
catalogue, 1 NORAD
track, 6443324
variability, 2 Periodic
variability_period, 30.71845512
npoints, 792
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,4.735,4.43292,Clear,0,885.682,87.808,9
0.09999999999854481,5.153,4.85238,Clear,0,885.916,87.83,9
0.3000000000029104,5.156,4.85711,Clear,0,886.388,87.872,9
0.4000000000014552,5.586,5.28766,Clear,0,886.624,87.894,9
0.5,5.642,5.34453,Clear,0,886.861,87.915,9
0.5999999999985448,5.646,5.34976,Clear,0,887.098,87.937,9
0.7000000000043656,5.588,5.29274,Clear,0,887.336,87.958,9
0.9000000000014552,5.58,5.2868,Clear,0,887.813,88.001,9
1.0,5.491,5.19913,Clear,0,888.053,88.022,9
1.0999999999985448,5.429,5.13838,Clear,0,888.293,88.043,9
1.2000000000043656,5.414,5.12346,Clear,0,888.533,88.065,9
1.3000000000029104,5.426,5.1369,Clear,0,888.774,88.086,9
1.5,5.229,4.94202,Clear,0,889.257,88.129,9
1.5999999999985448,5.352,5.06545,Clear,0,889.5,88.15,9
1.8000000000029104,5.176,4.89146,Clear,0,889.986,88.192,9
1.9000000000014552,5.216,4.9326,Clear,0,890.23,88.214,9
2.0,5.1,4.81839,Clear,0,890.474,88.235,9
2.099999999998545,5.101,4.81967,Clear,0,890.719,88.256,9
2.2000000000043656,4.918,4.63793,Clear,0,890.964,88.277,9
2.3000000000029104,4.839,4.56011,Clear,0,891.21,88.299,9
2.400000000001455,4.819,4.54116,Clear,0,891.457,88.32,9
2.5,5.005,4.72826,Clear,0,891.704,88.341,9
2.599999999998545,4.918,4.64195,Clear,0,891.951,88.362,9
2.7000000000043656,4.943,4.66793,Clear,0,892.199,88.383,9
3.0,5.11,4.83826,Clear,0,892.945,88.447,9
3.099999999998545,5.158,4.88737,Clear,0,893.195,88.468,9
3.400000000001455,5.213,4.94517,Clear,0,893.948,88.532,9
3.5,5.204,4.93661,Clear,0,894.2,88.553,9
3.7000000000043656,5.284,5.01923,Clear,0,894.705,88.595,9
3.8000000000029104,5.256,4.99212,Clear,0,894.958,88.616,9
