satellite, 31115 BEIDOU M1 / PRC
catalogue, 1 NORAD
track, 6872804
variability, 1 Aperiodic
variability_period, 0.0
npoints, 2587
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,3.415,10.0769,Clear,0,22864.788,82.294,7
0.19999999999708962,3.379,10.0406,Clear,0,22864.745,82.292,7
0.2999999999956344,2.817,9.47866,Clear,0,22864.724,82.291,7
0.7999999999956344,3.252,9.91346,Clear,0,22864.616,82.287,7
1.0999999999985448,2.821,9.48334,Clear,0,22864.551,82.284,7
1.1999999999970896,3.275,9.93692,Clear,0,22864.53,82.284,7
2.2999999999956344,3.264,9.92512,Clear,0,22864.293,82.274,7
2.7999999999956344,3.105,9.76608,Clear,0,22864.185,82.27,7
3.1999999999970896,3.212,9.87277,Clear,0,22864.099,82.266,7
3.2999999999956344,2.532,9.19318,Clear,0,22864.078,82.266,7
3.400000000001455,2.921,9.58233,Clear,0,22864.056,82.265,7
3.5,2.696,9.35687,Clear,0,22864.035,82.264,7
3.6999999999970896,2.662,9.32275,Clear,0,22863.992,82.262,7
3.900000000001455,2.404,9.06538,Clear,0,22863.949,82.26,7
4.599999999998545,2.809,9.47028,Clear,0,22863.798,82.254,7
4.69999999999709,2.369,9.02968,Clear,0,22863.777,82.254,7
4.799999999995634,2.933,9.59363,Clear,0,22863.755,82.253,7
5.0,2.759,9.41962,Clear,0,22863.712,82.251,7
5.19999999999709,2.389,9.04948,Clear,0,22863.669,82.249,7
6.0,2.914,9.5753,Clear,0,22863.497,82.242,7
6.099999999998545,2.965,9.62554,Clear,0,22863.476,82.242,7
6.400000000001455,3.01,9.67127,Clear,0,22863.411,82.239,7
6.5,3.134,9.79533,Clear,0,22863.39,82.238,7
6.900000000001455,2.701,9.36161,Clear,0,22863.304,82.235,7
7.0,2.731,9.39161,Clear,0,22863.282,82.234,7
7.099999999998545,2.632,9.29253,Clear,0,22863.261,82.233,7
7.19999999999709,3.051,9.7121,Clear,0,22863.239,82.232,7
7.400000000001455,2.98,9.64116,Clear,0,22863.196,82.23,7
7.5,2.463,9.12356,Clear,0,22863.175,82.229,7
