satellite, 19071 OSCAR 32 / US
catalogue, 1 NORAD
track, 7240414
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1253
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-04-05,00:18:13.222000,6.2,6.96927,Clear,0,1619.561,72.82,2
2015-04-05,00:18:13.322000,6.352,7.11976,Clear,0,1619.24,72.827,2
2015-04-05,00:18:13.422000,6.263,7.03065,Clear,0,1618.919,72.835,2
2015-04-05,00:18:13.522000,6.327,7.09495,Clear,0,1618.598,72.842,2
2015-04-05,00:18:13.622000,6.108,6.87521,Clear,0,1618.277,72.85,2
2015-04-05,00:18:13.722000,6.29,7.05684,Clear,0,1617.957,72.857,2
2015-04-05,00:18:13.822000,6.073,6.84012,Clear,0,1617.636,72.865,2
2015-04-05,00:18:13.922000,6.1,6.86554,Clear,0,1617.316,72.872,2
2015-04-05,00:18:14.022000,6.152,6.91796,Clear,0,1616.996,72.88,2
2015-04-05,00:18:14.122000,5.974,6.74013,Clear,0,1616.677,72.887,2
2015-04-05,00:18:14.222000,6.439,7.20407,Clear,0,1616.357,72.895,2
2015-04-05,00:18:14.322000,6.136,6.9006,Clear,0,1616.038,72.902,2
2015-04-05,00:18:14.422000,6.175,6.93977,Clear,0,1615.719,72.91,2
2015-04-05,00:18:14.522000,6.306,7.07029,Clear,0,1615.4,72.918,2
2015-04-05,00:18:14.622000,6.296,7.06041,Clear,0,1615.081,72.925,2
2015-04-05,00:18:14.722000,6.311,7.07518,Clear,0,1614.762,72.933,2
2015-04-05,00:18:14.822000,6.321,7.08375,Clear,0,1614.444,72.94,2
2015-04-05,00:18:14.922000,6.167,6.93006,Clear,0,1614.126,72.948,2
2015-04-05,00:18:15.022000,6.207,6.96959,Clear,0,1613.808,72.956,2
2015-04-05,00:18:15.122000,6.391,7.15305,Clear,0,1613.49,72.963,2
2015-04-05,00:18:15.222000,6.256,7.01747,Clear,0,1613.173,72.971,2
2015-04-05,00:18:15.322000,6.132,6.89402,Clear,0,1612.856,72.978,2
2015-04-05,00:18:15.422000,6.22,6.98102,Clear,0,1612.538,72.986,2
2015-04-05,00:18:15.522000,6.166,6.92648,Clear,0,1612.221,72.994,2
2015-04-05,00:18:15.622000,6.301,7.06199,Clear,0,1611.905,73.001,2
2015-04-05,00:18:15.722000,6.463,7.2236,Clear,0,1611.588,73.009,2
2015-04-05,00:18:15.822000,5.982,6.74187,Clear,0,1611.272,73.017,2
2015-04-05,00:18:15.922000,6.323,7.08332,Clear,0,1610.956,73.024,2
2015-04-05,00:18:16.022000,6.375,7.13533,Clear,0,1610.64,73.032,2
2015-04-05,00:18:16.122000,6.112,6.87089,Clear,0,1610.324,73.04,2
2015-04-05,00:18:16.222000,6.103,6.86147,Clear,0,1610.009,73.047,2
2015-04-05,00:18:16.322000,6.189,6.94823,Clear,0,1609.693,73.055,2
2015-04-05,00:18:16.422000,6.221,6.97892,Clear,0,1609.378,73.063,2
2015-04-05,00:18:16.522000,6.157,6.91512,Clear,0,1609.063,73.07,2
2015-04-05,00:18:16.622000,6.192,6.94992,Clear,0,1608.749,73.078,2
2015-04-05,00:18:16.722000,6.063,6.82033,Clear,0,1608.434,73.086,2
2015-04-05,00:18:16.822000,6.247,7.00397,Clear,0,1608.12,73.094,2
2015-04-05,00:18:16.922000,6.376,7.13297,Clear,0,1607.806,73.101,2
