satellite, 5557 OPS 4311 (DMSP 5B F1) / US
catalogue, 1 NORAD
track, 7881398
variability, 0 Not variable
variability_period, 0.0
npoints, 806
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,8.663,9.4755,Clear,0,1126.409,113.473,3
0.19999999999708962,8.962,9.77209,Clear,0,1125.611,113.422,3
0.3000000000029104,8.663,9.47091,Clear,0,1125.213,113.397,3
0.39999999999417923,9.041,9.84833,Clear,0,1124.814,113.371,3
0.5,8.393,9.19796,Clear,0,1124.417,113.346,3
0.6000000000058208,8.426,9.23014,Clear,0,1124.019,113.32,3
0.8999999999941792,8.329,9.12785,Clear,0,1122.828,113.244,3
1.0,9.012,9.8095,Clear,0,1122.432,113.218,3
1.1000000000058208,9.008,9.80443,Clear,0,1122.036,113.193,3
1.3000000000029104,8.569,9.36163,Clear,0,1121.245,113.142,3
1.3999999999941792,8.718,9.51035,Clear,0,1120.85,113.116,3
1.6000000000058208,8.268,9.05664,Clear,0,1120.061,113.065,3
1.6999999999970896,8.621,9.40801,Clear,0,1119.666,113.039,3
1.8000000000029104,8.116,8.90222,Clear,0,1119.273,113.014,3
1.8999999999941792,8.819,9.60288,Clear,0,1118.879,112.988,3
2.1000000000058208,8.191,8.9723,Clear,0,1118.093,112.937,3
2.3000000000029104,8.9,9.67842,Clear,0,1117.308,112.885,3
2.3999999999941792,8.381,9.1579,Clear,0,1116.916,112.859,3
2.8000000000029104,8.737,9.50844,Clear,0,1115.351,112.756,3
2.8999999999941792,8.236,9.00452,Clear,0,1114.961,112.73,3
3.0,8.564,9.33236,Clear,0,1114.571,112.704,3
3.1999999999970896,8.296,9.06095,Clear,0,1113.791,112.653,3
3.3000000000029104,8.396,9.15926,Clear,0,1113.402,112.627,3
3.5,8.349,9.10894,Clear,0,1112.625,112.575,3
3.6000000000058208,8.673,9.43244,Clear,0,1112.236,112.549,3
3.6999999999970896,8.298,9.05542,Clear,0,1111.848,112.523,3
3.8999999999941792,8.397,9.15048,Clear,0,1111.073,112.471,3
4.0,8.535,9.28764,Clear,0,1110.686,112.444,3
4.19999999999709,8.01,8.75951,Clear,0,1109.913,112.392,3
4.30000000000291,8.527,9.27467,Clear,0,1109.527,112.366,3
4.399999999994179,8.192,8.93886,Clear,0,1109.142,112.34,3
4.5,8.328,9.07337,Clear,0,1108.756,112.314,3
4.600000000005821,8.378,9.12195,Clear,0,1108.371,112.288,3
4.69999999999709,8.199,8.94051,Clear,0,1107.986,112.261,3
4.899999999994179,8.159,8.89747,Clear,0,1107.218,112.209,3
5.0,8.502,9.24036,Clear,0,1106.834,112.183,3
5.100000000005821,8.835,9.57111,Clear,0,1106.451,112.156,3
5.19999999999709,8.601,9.33557,Clear,0,1106.067,112.13,3
5.30000000000291,8.329,9.06157,Clear,0,1105.685,112.104,3
5.399999999994179,8.743,9.47479,Clear,0,1105.302,112.078,3
5.5,8.227,8.95712,Clear,0,1104.92,112.051,3
5.600000000005821,8.277,9.00627,Clear,0,1104.538,112.025,3
5.69999999999709,7.951,8.6775,Clear,0,1104.156,111.998,3
5.899999999994179,8.238,8.9616,Clear,0,1103.394,111.946,3
6.0,8.245,8.96835,Clear,0,1103.014,111.919,3
6.100000000005821,8.093,8.81397,Clear,0,1102.633,111.893,3
6.19999999999709,8.07,8.78947,Clear,0,1102.253,111.866,3
6.30000000000291,8.056,8.77392,Clear,0,1101.874,111.84,3
6.399999999994179,8.49,9.20716,Clear,0,1101.494,111.813,3
6.5,8.345,9.06034,Clear,0,1101.115,111.787,3
6.600000000005821,8.221,8.93503,Clear,0,1100.737,111.76,3
6.69999999999709,8.166,8.87815,Clear,0,1100.358,111.733,3
7.0,8.536,9.24404,Clear,0,1099.225,111.654,3
7.100000000005821,8.194,8.89958,Clear,0,1098.848,111.627,3
7.19999999999709,7.881,8.58617,Clear,0,1098.472,111.6,3
7.30000000000291,8.545,9.24773,Clear,0,1098.095,111.574,3
7.399999999994179,7.912,8.61426,Clear,0,1097.719,111.547,3
7.5,7.854,8.55352,Clear,0,1097.343,111.52,3
7.600000000005821,8.555,9.25365,Clear,0,1096.968,111.493,3
7.69999999999709,8.076,8.77438,Clear,0,1096.593,111.467,3
7.80000000000291,7.782,8.47805,Clear,0,1096.218,111.44,3
7.899999999994179,8.323,9.01805,Clear,0,1095.844,111.413,3
8.10000000000582,7.763,8.4551,Clear,0,1095.096,111.359,3
8.19999999999709,8.309,8.99869,Clear,0,1094.722,111.333,3
8.30000000000291,8.206,8.89536,Clear,0,1094.349,111.306,3
8.5,7.687,8.37282,Clear,0,1093.604,111.252,3
8.60000000000582,7.991,8.67495,Clear,0,1093.232,111.225,3
8.69999999999709,7.955,8.63819,Clear,0,1092.86,111.198,3
8.80000000000291,8.165,8.84607,Clear,0,1092.489,111.171,3
8.89999999999418,7.673,8.35331,Clear,0,1092.118,111.144,3
9.0,7.915,8.59283,Clear,0,1091.747,111.117,3
9.10000000000582,7.975,8.65224,Clear,0,1091.377,111.09,3
9.19999999999709,8.319,8.99348,Clear,0,1091.006,111.063,3
9.30000000000291,7.808,8.48157,Clear,0,1090.637,111.036,3
9.39999999999418,7.935,8.60667,Clear,0,1090.267,111.009,3
9.60000000000582,7.924,8.59283,Clear,0,1089.529,110.954,3
9.69999999999709,8.172,8.83957,Clear,0,1089.161,110.927,3
9.80000000000291,8.068,8.734,Clear,0,1088.793,110.9,3
10.0,8.007,8.66986,Clear,0,1088.058,110.846,3
10.10000000000582,7.798,8.45958,Clear,0,1087.69,110.819,3
10.19999999999709,7.955,8.61466,Clear,0,1087.324,110.791,3
10.30000000000291,7.797,8.45613,Clear,0,1086.957,110.764,3
10.39999999999418,7.7,8.35737,Clear,0,1086.591,110.737,3
10.5,7.866,8.52228,Clear,0,1086.225,110.709,3
10.60000000000582,7.736,8.38962,Clear,0,1085.86,110.682,3
10.69999999999709,7.781,8.43423,Clear,0,1085.495,110.655,3
10.80000000000291,7.884,8.53597,Clear,0,1085.13,110.627,3
10.89999999999418,7.883,8.53299,Clear,0,1084.766,110.6,3
11.0,7.97,8.6185,Clear,0,1084.402,110.573,3
11.10000000000582,8.166,8.81312,Clear,0,1084.038,110.545,3
11.19999999999709,7.947,8.59261,Clear,0,1083.675,110.518,3
11.30000000000291,8.035,8.67869,Clear,0,1083.312,110.49,3
11.39999999999418,8.078,8.721,Clear,0,1082.949,110.463,3
11.5,8.209,8.84977,Clear,0,1082.587,110.435,3
11.60000000000582,8.245,8.88462,Clear,0,1082.225,110.408,3
11.69999999999709,8.438,9.07583,Clear,0,1081.863,110.38,3
11.80000000000291,8.336,8.9727,Clear,0,1081.502,110.353,3
