satellite, 38773 USA 238 DEB (NOSS 3-6 (P) ?) / US
catalogue, 3 McCants
track, 8254051
variability, 1 Aperiodic
variability_period, 0.0
npoints, 644
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-07-30,19:27:09.098000,4.181,4.27611,Clear,0,1193.147,72.115,9
2015-07-30,19:27:09.198000,4.167,4.26239,Clear,0,1192.957,72.124,9
2015-07-30,19:27:09.298000,4.181,4.27628,Clear,0,1192.767,72.133,9
2015-07-30,19:27:09.398000,4.15,4.24521,Clear,0,1192.578,72.142,9
2015-07-30,19:27:09.498000,4.184,4.2775,Clear,0,1192.389,72.151,9
2015-07-30,19:27:09.598000,4.167,4.26051,Clear,0,1192.2,72.16,9
2015-07-30,19:27:09.698000,4.118,4.21186,Clear,0,1192.012,72.169,9
2015-07-30,19:27:09.798000,4.145,4.23866,Clear,0,1191.823,72.178,9
2015-07-30,19:27:09.898000,4.146,4.24002,Clear,0,1191.636,72.187,9
2015-07-30,19:27:09.998000,4.13,4.22295,Clear,0,1191.448,72.196,9
2015-07-30,19:27:10.098000,4.179,4.27169,Clear,0,1191.261,72.205,9
2015-07-30,19:27:10.198000,4.156,4.24875,Clear,0,1191.074,72.214,9
2015-07-30,19:27:10.298000,4.127,4.22033,Clear,0,1190.888,72.223,9
2015-07-30,19:27:10.398000,4.068,4.15973,Clear,0,1190.701,72.232,9
2015-07-30,19:27:10.498000,4.093,4.18496,Clear,0,1190.516,72.241,9
2015-07-30,19:27:10.598000,4.144,4.23616,Clear,0,1190.33,72.25,9
2015-07-30,19:27:10.698000,4.147,4.23878,Clear,0,1190.145,72.26,9
2015-07-30,19:27:10.798000,4.108,4.20013,Clear,0,1189.96,72.269,9
2015-07-30,19:27:10.898000,4.131,4.22146,Clear,0,1189.775,72.278,9
2015-07-30,19:27:10.998000,4.178,4.26922,Clear,0,1189.591,72.287,9
2015-07-30,19:27:11.098000,4.167,4.25774,Clear,0,1189.407,72.296,9
2015-07-30,19:27:11.198000,4.168,4.25856,Clear,0,1189.224,72.305,9
2015-07-30,19:27:11.298000,4.159,4.24969,Clear,0,1189.04,72.314,9
2015-07-30,19:27:11.398000,4.195,4.28532,Clear,0,1188.857,72.324,9
2015-07-30,19:27:11.498000,4.12,4.21004,Clear,0,1188.675,72.333,9
2015-07-30,19:27:11.598000,4.158,4.24779,Clear,0,1188.493,72.342,9
2015-07-30,19:27:11.698000,4.126,4.21548,Clear,0,1188.311,72.351,9
2015-07-30,19:27:11.798000,4.138,4.22817,Clear,0,1188.129,72.36,9
2015-07-30,19:27:11.898000,4.159,4.24778,Clear,0,1187.948,72.37,9
2015-07-30,19:27:11.998000,4.196,4.28457,Clear,0,1187.767,72.379,9
2015-07-30,19:27:12.098000,4.126,4.21519,Clear,0,1187.586,72.388,9
2015-07-30,19:27:12.198000,4.162,4.25109,Clear,0,1187.406,72.397,9
2015-07-30,19:27:12.298000,4.196,4.28434,Clear,0,1187.226,72.407,9
2015-07-30,19:27:12.398000,4.124,4.21184,Clear,0,1187.046,72.416,9
2015-07-30,19:27:12.498000,4.096,4.18426,Clear,0,1186.867,72.425,9
2015-07-30,19:27:12.598000,4.193,4.28079,Clear,0,1186.688,72.435,9
2015-07-30,19:27:12.698000,4.149,4.23676,Clear,0,1186.509,72.444,9
2015-07-30,19:27:12.798000,4.172,4.25998,Clear,0,1186.331,72.453,9
2015-07-30,19:27:12.898000,4.175,4.2616,Clear,0,1186.153,72.462,9
2015-07-30,19:27:12.998000,4.203,4.28984,Clear,0,1185.975,72.472,9
2015-07-30,19:27:13.098000,4.149,4.23644,Clear,0,1185.798,72.481,9
2015-07-30,19:27:13.198000,4.229,4.31568,Clear,0,1185.62,72.49,9
2015-07-30,19:27:13.298000,4.213,4.30041,Clear,0,1185.444,72.5,9
2015-07-30,19:27:13.398000,4.189,4.27504,Clear,0,1185.267,72.509,9
2015-07-30,19:27:13.498000,4.177,4.26294,Clear,0,1185.091,72.518,9
2015-07-30,19:27:13.598000,4.179,4.26457,Clear,0,1184.916,72.528,9
2015-07-30,19:27:13.698000,4.185,4.27046,Clear,0,1184.74,72.537,9
2015-07-30,19:27:13.798000,4.174,4.25959,Clear,0,1184.565,72.547,9
2015-07-30,19:27:13.898000,4.194,4.27858,Clear,0,1184.39,72.556,9
2015-07-30,19:27:13.998000,4.137,4.22152,Clear,0,1184.216,72.565,9
2015-07-30,19:27:14.098000,4.18,4.26455,Clear,0,1184.042,72.575,9
2015-07-30,19:27:14.198000,4.207,4.29154,Clear,0,1183.868,72.584,9
2015-07-30,19:27:14.298000,4.195,4.28004,Clear,0,1183.695,72.594,9
2015-07-30,19:27:14.398000,4.202,4.28634,Clear,0,1183.522,72.603,9
2015-07-30,19:27:14.498000,4.158,4.242,Clear,0,1183.349,72.613,9
2015-07-30,19:27:14.598000,4.2,4.28358,Clear,0,1183.176,72.622,9
2015-07-30,19:27:14.698000,4.172,4.25617,Clear,0,1183.004,72.632,9
2015-07-30,19:27:14.798000,4.17,4.25383,Clear,0,1182.833,72.641,9
2015-07-30,19:27:14.898000,4.172,4.25549,Clear,0,1182.661,72.651,9
2015-07-30,19:27:14.998000,4.202,4.28463,Clear,0,1182.49,72.66,9
2015-07-30,19:27:15.098000,4.185,4.26785,Clear,0,1182.319,72.67,9
2015-07-30,19:27:15.198000,4.143,4.22631,Clear,0,1182.149,72.679,9
2015-07-30,19:27:15.298000,4.231,4.31442,Clear,0,1181.979,72.689,9
2015-07-30,19:27:15.398000,4.21,4.29328,Clear,0,1181.809,72.698,9
2015-07-30,19:27:15.498000,4.206,4.28779,Clear,0,1181.639,72.708,9
2015-07-30,19:27:15.598000,4.171,4.25322,Clear,0,1181.47,72.717,9
2015-07-30,19:27:15.698000,4.208,4.28956,Clear,0,1181.302,72.727,9
2015-07-30,19:27:15.798000,4.168,4.24959,Clear,0,1181.133,72.736,9
2015-07-30,19:27:15.898000,4.137,4.21905,Clear,0,1180.965,72.746,9
2015-07-30,19:27:15.998000,4.194,4.27616,Clear,0,1180.797,72.755,9
2015-07-30,19:27:16.098000,4.185,4.26611,Clear,0,1180.63,72.765,9
2015-07-30,19:27:16.198000,4.161,4.24228,Clear,0,1180.463,72.775,9
2015-07-30,19:27:16.298000,4.21,4.29122,Clear,0,1180.296,72.784,9
2015-07-30,19:27:16.398000,4.207,4.28745,Clear,0,1180.129,72.794,9
2015-07-30,19:27:16.498000,4.211,4.29239,Clear,0,1179.963,72.803,9
2015-07-30,19:27:16.598000,4.199,4.27961,Clear,0,1179.797,72.813,9
2015-07-30,19:27:16.698000,4.174,4.25391,Clear,0,1179.632,72.823,9
2015-07-30,19:27:16.798000,4.14,4.21972,Clear,0,1179.467,72.832,9
2015-07-30,19:27:16.898000,4.158,4.23764,Clear,0,1179.302,72.842,9
2015-07-30,19:27:16.998000,4.187,4.26669,Clear,0,1179.138,72.852,9
2015-07-30,19:27:17.098000,4.209,4.28944,Clear,0,1178.973,72.861,9
2015-07-30,19:27:17.198000,4.152,4.23241,Clear,0,1178.81,72.871,9
2015-07-30,19:27:17.298000,4.251,4.3299,Clear,0,1178.646,72.881,9
2015-07-30,19:27:17.398000,4.13,4.20887,Clear,0,1178.483,72.89,9
2015-07-30,19:27:17.498000,4.171,4.24968,Clear,0,1178.32,72.9,9
2015-07-30,19:27:17.598000,4.151,4.22949,Clear,0,1178.158,72.91,9
2015-07-30,19:27:17.698000,4.158,4.23648,Clear,0,1177.996,72.92,9
2015-07-30,19:27:17.798000,4.127,4.20622,Clear,0,1177.834,72.929,9
2015-07-30,19:27:17.898000,4.182,4.25961,Clear,0,1177.673,72.939,9
2015-07-30,19:27:17.998000,4.221,4.29911,Clear,0,1177.511,72.949,9
2015-07-30,19:27:18.098000,4.191,4.26894,Clear,0,1177.351,72.959,9
