satellite, 22699 SCOUT G-1 R/B / US
catalogue, 1 NORAD
track, 8284730
variability, 1 Aperiodic
variability_period, 0.0
npoints, 984
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,8.681,9.13121,Clear,0,1518.002,58.233,7
0.19999999999708962,8.42,8.86801,Clear,0,1516.938,58.25,7
0.3000000000029104,8.443,8.89119,Clear,0,1516.405,58.258,7
0.39999999999417923,8.533,8.97957,Clear,0,1515.873,58.267,7
0.8999999999941792,8.323,8.7674,Clear,0,1513.215,58.309,7
1.0,8.635,9.07803,Clear,0,1512.683,58.317,7
1.1000000000058208,8.685,9.12727,Clear,0,1512.152,58.326,7
1.3000000000029104,8.587,9.02804,Clear,0,1511.09,58.343,7
1.8000000000029104,8.414,8.852,Clear,0,1508.437,58.385,7
2.0,8.448,8.88362,Clear,0,1507.377,58.402,7
2.1000000000058208,8.619,9.05495,Clear,0,1506.847,58.411,7
2.3000000000029104,8.622,9.05569,Clear,0,1505.787,58.428,7
2.3999999999941792,8.218,8.6522,Clear,0,1505.258,58.436,7
2.6999999999970896,8.186,8.61817,Clear,0,1503.67,58.462,7
2.8000000000029104,8.513,8.94442,Clear,0,1503.141,58.471,7
3.0,8.795,9.22521,Clear,0,1502.083,58.488,7
3.1000000000058208,8.841,9.26947,Clear,0,1501.554,58.497,7
3.3000000000029104,8.65,9.0781,Clear,0,1500.497,58.514,7
3.5,8.313,8.73888,Clear,0,1499.441,58.531,7
3.8999999999941792,8.735,9.15776,Clear,0,1497.33,58.566,7
4.0,8.655,9.0781,Clear,0,1496.802,58.575,7
4.19999999999709,8.695,9.11642,Clear,0,1495.747,58.592,7
4.30000000000291,8.505,8.92592,Clear,0,1495.22,58.601,7
4.399999999994179,8.65,9.06985,Clear,0,1494.693,58.61,7
4.5,8.35,8.76846,Clear,0,1494.166,58.619,7
4.600000000005821,8.631,9.04986,Clear,0,1493.64,58.627,7
4.69999999999709,8.013,8.43125,Clear,0,1493.113,58.636,7
4.80000000000291,8.187,8.60392,Clear,0,1492.587,58.645,7
4.899999999994179,8.191,8.60831,Clear,0,1492.06,58.654,7
5.0,8.623,9.03892,Clear,0,1491.534,58.663,7
5.100000000005821,8.463,8.87792,Clear,0,1491.008,58.672,7
5.30000000000291,8.412,8.82598,Clear,0,1489.956,58.689,7
5.399999999994179,8.492,8.90518,Clear,0,1489.43,58.698,7
5.600000000005821,8.497,8.90904,Clear,0,1488.379,58.716,7
5.80000000000291,8.469,8.8798,Clear,0,1487.329,58.734,7
5.899999999994179,8.618,9.02808,Clear,0,1486.804,58.743,7
6.100000000005821,8.563,8.97203,Clear,0,1485.754,58.76,7
