satellite, 25478 ORBCOMM FM 24 / ORB
catalogue, 1 NORAD
track, 8520393
variability, 0 Not variable
variability_period, 0.0
npoints, 540
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-08-27,18:28:23.997000,7.14,6.79293,Clear,0,854.407,89.581,6
2015-08-27,18:28:24.097000,7.018,6.67036,Clear,0,854.189,89.549,6
2015-08-27,18:28:24.197000,6.962,6.61343,Clear,0,853.972,89.516,6
2015-08-27,18:28:24.297000,7.091,6.74061,Clear,0,853.755,89.484,6
2015-08-27,18:28:24.397000,6.948,6.59637,Clear,0,853.539,89.451,6
2015-08-27,18:28:24.497000,7.041,6.68834,Clear,0,853.324,89.419,6
2015-08-27,18:28:24.597000,6.994,6.64014,Clear,0,853.108,89.386,6
2015-08-27,18:28:24.697000,6.989,6.63389,Clear,0,852.894,89.353,6
2015-08-27,18:28:24.797000,7.061,6.70507,Clear,0,852.679,89.321,6
2015-08-27,18:28:24.897000,6.946,6.58921,Clear,0,852.466,89.288,6
2015-08-27,18:28:24.997000,6.942,6.58272,Clear,0,852.252,89.255,6
2015-08-27,18:28:25.097000,7.0,6.64027,Clear,0,852.039,89.223,6
2015-08-27,18:28:25.197000,7.056,6.69526,Clear,0,851.827,89.19,6
2015-08-27,18:28:25.297000,7.093,6.73074,Clear,0,851.615,89.157,6
2015-08-27,18:28:25.397000,7.053,6.68975,Clear,0,851.404,89.125,6
2015-08-27,18:28:25.497000,7.056,6.6923,Clear,0,851.193,89.092,6
2015-08-27,18:28:25.597000,7.078,6.71148,Clear,0,850.982,89.059,6
2015-08-27,18:28:25.697000,7.163,6.79641,Clear,0,850.772,89.026,6
2015-08-27,18:28:25.797000,7.191,6.82268,Clear,0,850.563,88.994,6
2015-08-27,18:28:25.897000,7.109,6.73955,Clear,0,850.354,88.961,6
2015-08-27,18:28:25.997000,7.254,6.88417,Clear,0,850.145,88.928,6
2015-08-27,18:28:26.097000,7.172,6.80131,Clear,0,849.937,88.895,6
2015-08-27,18:28:26.197000,7.291,6.91847,Clear,0,849.729,88.862,6
2015-08-27,18:28:26.297000,7.272,6.89771,Clear,0,849.522,88.83,6
2015-08-27,18:28:26.397000,7.283,6.90796,Clear,0,849.315,88.797,6
2015-08-27,18:28:26.497000,7.269,6.89282,Clear,0,849.109,88.764,6
2015-08-27,18:28:26.597000,7.37,6.99266,Clear,0,848.903,88.731,6
2015-08-27,18:28:26.697000,7.408,7.02945,Clear,0,848.698,88.698,6
2015-08-27,18:28:26.797000,7.348,6.96936,Clear,0,848.493,88.665,6
2015-08-27,18:28:26.897000,7.349,6.96939,Clear,0,848.289,88.632,6
2015-08-27,18:28:26.997000,7.339,6.95822,Clear,0,848.085,88.599,6
2015-08-27,18:28:27.097000,7.447,7.06413,Clear,0,847.882,88.566,6
2015-08-27,18:28:27.197000,7.592,7.20757,Clear,0,847.679,88.533,6
2015-08-27,18:28:27.297000,7.402,7.01657,Clear,0,847.476,88.5,6
2015-08-27,18:28:27.397000,7.406,7.01988,Clear,0,847.274,88.467,6
2015-08-27,18:28:27.497000,7.543,7.1563,Clear,0,847.073,88.434,6
