satellite, 23465 FAISAT / US
catalogue, 1 NORAD
track, 8757350
variability, 1 Aperiodic
variability_period, 0.0
npoints, 871
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-09-16,00:45:01.095000,7.99,8.2093,Clear,0,1355.679,59.611,2
2015-09-16,00:45:01.195000,8.145,8.36277,Clear,0,1355.244,59.617,2
2015-09-16,00:45:01.295000,8.12,8.33822,Clear,0,1354.811,59.623,2
2015-09-16,00:45:01.395000,8.24,8.45649,Clear,0,1354.377,59.629,2
2015-09-16,00:45:01.495000,8.125,8.34101,Clear,0,1353.943,59.634,2
2015-09-16,00:45:01.595000,8.126,8.34215,Clear,0,1353.51,59.64,2
2015-09-16,00:45:01.695000,8.201,8.41598,Clear,0,1353.077,59.646,2
2015-09-16,00:45:01.795000,8.021,8.23528,Clear,0,1352.644,59.652,2
2015-09-16,00:45:01.895000,8.057,8.27132,Clear,0,1352.211,59.657,2
2015-09-16,00:45:01.995000,8.164,8.37719,Clear,0,1351.779,59.663,2
2015-09-16,00:45:02.095000,8.249,8.46228,Clear,0,1351.346,59.669,2
2015-09-16,00:45:02.195000,7.93,8.14163,Clear,0,1350.914,59.675,2
2015-09-16,00:45:02.295000,8.095,8.30547,Clear,0,1350.482,59.681,2
2015-09-16,00:45:02.395000,8.221,8.43196,Clear,0,1350.05,59.686,2
2015-09-16,00:45:02.495000,8.055,8.26499,Clear,0,1349.619,59.692,2
2015-09-16,00:45:02.595000,8.149,8.35758,Clear,0,1349.187,59.698,2
2015-09-16,00:45:02.695000,7.973,8.1822,Clear,0,1348.756,59.704,2
2015-09-16,00:45:02.795000,7.979,8.18654,Clear,0,1348.325,59.71,2
2015-09-16,00:45:02.895000,8.05,8.25784,Clear,0,1347.895,59.716,2
2015-09-16,00:45:02.995000,7.999,8.20614,Clear,0,1347.464,59.722,2
2015-09-16,00:45:03.095000,8.023,8.2294,Clear,0,1347.034,59.728,2
2015-09-16,00:45:03.195000,8.124,8.32955,Clear,0,1346.604,59.733,2
2015-09-16,00:45:03.295000,7.991,8.19642,Clear,0,1346.174,59.739,2
2015-09-16,00:45:03.395000,8.117,8.32085,Clear,0,1345.744,59.745,2
2015-09-16,00:45:03.495000,8.151,8.35499,Clear,0,1345.314,59.751,2
2015-09-16,00:45:03.595000,8.073,8.27607,Clear,0,1344.885,59.757,2
2015-09-16,00:45:03.695000,8.127,8.32887,Clear,0,1344.456,59.763,2
2015-09-16,00:45:03.795000,8.183,8.38466,Clear,0,1344.027,59.769,2
2015-09-16,00:45:03.895000,8.188,8.3893,Clear,0,1343.598,59.775,2
2015-09-16,00:45:03.995000,8.263,8.46349,Clear,0,1343.169,59.781,2
2015-09-16,00:45:04.095000,8.066,8.26565,Clear,0,1342.741,59.787,2
2015-09-16,00:45:04.195000,8.198,8.39723,Clear,0,1342.313,59.793,2
2015-09-16,00:45:04.295000,7.889,8.08773,Clear,0,1341.885,59.799,2
2015-09-16,00:45:04.395000,7.823,8.02065,Clear,0,1341.457,59.805,2
2015-09-16,00:45:04.495000,8.092,8.289,Clear,0,1341.03,59.811,2
2015-09-16,00:45:04.595000,7.901,8.09801,Clear,0,1340.602,59.817,2
2015-09-16,00:45:04.695000,8.021,8.21694,Clear,0,1340.175,59.823,2
2015-09-16,00:45:04.795000,7.766,7.96158,Clear,0,1339.748,59.829,2
2015-09-16,00:45:04.895000,8.078,8.27312,Clear,0,1339.322,59.835,2
2015-09-16,00:45:04.995000,8.032,8.22611,Clear,0,1338.895,59.841,2
2015-09-16,00:45:05.095000,8.017,8.21088,Clear,0,1338.469,59.848,2
2015-09-16,00:45:05.195000,8.007,8.19994,Clear,0,1338.043,59.854,2
2015-09-16,00:45:05.295000,8.089,8.28047,Clear,0,1337.617,59.86,2
2015-09-16,00:45:05.395000,7.942,8.13391,Clear,0,1337.191,59.866,2
2015-09-16,00:45:05.495000,7.968,8.15926,Clear,0,1336.766,59.872,2
2015-09-16,00:45:05.595000,7.98,8.17101,Clear,0,1336.34,59.878,2
2015-09-16,00:45:05.695000,7.811,8.00069,Clear,0,1335.915,59.884,2
2015-09-16,00:45:05.795000,7.823,8.01197,Clear,0,1335.49,59.891,2
2015-09-16,00:45:05.895000,7.878,8.06726,Clear,0,1335.066,59.897,2
2015-09-16,00:45:05.995000,7.89,8.07806,Clear,0,1334.641,59.903,2
2015-09-16,00:45:06.095000,7.908,8.09527,Clear,0,1334.217,59.909,2
2015-09-16,00:45:06.195000,8.117,8.30393,Clear,0,1333.793,59.915,2
2015-09-16,00:45:06.295000,7.88,8.06549,Clear,0,1333.369,59.922,2
2015-09-16,00:45:06.395000,7.889,8.07532,Clear,0,1332.945,59.928,2
2015-09-16,00:45:06.495000,7.981,8.16602,Clear,0,1332.522,59.934,2
2015-09-16,00:45:06.595000,7.967,8.15095,Clear,0,1332.099,59.94,2
2015-09-16,00:45:06.695000,8.154,8.33842,Clear,0,1331.676,59.947,2
2015-09-16,00:45:06.795000,7.902,8.08475,Clear,0,1331.253,59.953,2
2015-09-16,00:45:06.895000,7.86,8.04315,Clear,0,1330.83,59.959,2
2015-09-16,00:45:06.995000,8.042,8.22374,Clear,0,1330.408,59.965,2
2015-09-16,00:45:07.095000,7.901,8.08195,Clear,0,1329.986,59.972,2
2015-09-16,00:45:07.195000,8.041,8.22168,Clear,0,1329.564,59.978,2
2015-09-16,00:45:07.295000,7.803,7.98266,Clear,0,1329.142,59.984,2
2015-09-16,00:45:07.395000,8.023,8.20188,Clear,0,1328.72,59.991,2
2015-09-16,00:45:07.495000,7.823,8.00196,Clear,0,1328.299,59.997,2
2015-09-16,00:45:07.595000,7.894,8.07182,Clear,0,1327.878,60.003,2
2015-09-16,00:45:07.695000,7.902,8.08044,Clear,0,1327.457,60.01,2
2015-09-16,00:45:07.795000,7.818,7.99519,Clear,0,1327.036,60.016,2
2015-09-16,00:45:07.895000,7.795,7.97046,Clear,0,1326.616,60.022,2
2015-09-16,00:45:07.995000,7.843,8.01905,Clear,0,1326.195,60.029,2
2015-09-16,00:45:08.095000,7.856,8.03107,Clear,0,1325.775,60.035,2
2015-09-16,00:45:08.195000,7.737,7.91065,Clear,0,1325.355,60.042,2
2015-09-16,00:45:08.295000,7.882,8.05601,Clear,0,1324.936,60.048,2
2015-09-16,00:45:08.395000,8.102,8.27447,Clear,0,1324.516,60.055,2
2015-09-16,00:45:08.495000,7.827,7.99984,Clear,0,1324.097,60.061,2
2015-09-16,00:45:08.595000,7.839,8.01047,Clear,0,1323.678,60.067,2
2015-09-16,00:45:08.695000,7.914,8.08542,Clear,0,1323.259,60.074,2
2015-09-16,00:45:08.795000,7.916,8.0866,Clear,0,1322.84,60.08,2
2015-09-16,00:45:08.895000,7.921,8.09055,Clear,0,1322.422,60.087,2
2015-09-16,00:45:08.995000,7.728,7.89823,Clear,0,1322.004,60.093,2
2015-09-16,00:45:09.095000,7.953,8.12194,Clear,0,1321.586,60.1,2
2015-09-16,00:45:09.195000,7.831,7.99848,Clear,0,1321.168,60.106,2
2015-09-16,00:45:09.295000,7.672,7.84033,Clear,0,1320.751,60.113,2
2015-09-16,00:45:09.395000,7.848,8.01492,Clear,0,1320.333,60.119,2
2015-09-16,00:45:09.495000,7.876,8.04232,Clear,0,1319.916,60.126,2
2015-09-16,00:45:09.595000,7.827,7.99322,Clear,0,1319.499,60.133,2
2015-09-16,00:45:09.695000,7.843,8.00831,Clear,0,1319.082,60.139,2
2015-09-16,00:45:09.795000,7.96,8.12518,Clear,0,1318.666,60.146,2
2015-09-16,00:45:09.895000,7.781,7.94513,Clear,0,1318.25,60.152,2
2015-09-16,00:45:09.995000,7.737,7.89946,Clear,0,1317.834,60.159,2
2015-09-16,00:45:10.095000,7.864,8.02717,Clear,0,1317.418,60.166,2
2015-09-16,00:45:10.195000,7.645,7.8069,Clear,0,1317.002,60.172,2
2015-09-16,00:45:10.295000,7.773,7.935,Clear,0,1316.587,60.179,2
2015-09-16,00:45:10.395000,7.833,7.99345,Clear,0,1316.171,60.186,2
2015-09-16,00:45:10.495000,7.752,7.91149,Clear,0,1315.756,60.192,2
2015-09-16,00:45:10.595000,7.768,7.92838,Clear,0,1315.342,60.199,2
2015-09-16,00:45:10.695000,7.896,8.05507,Clear,0,1314.927,60.206,2
2015-09-16,00:45:10.795000,7.942,8.0997,Clear,0,1314.513,60.212,2
2015-09-16,00:45:10.895000,7.723,7.88115,Clear,0,1314.099,60.219,2
2015-09-16,00:45:10.995000,7.73,7.88672,Clear,0,1313.685,60.226,2
2015-09-16,00:45:11.095000,7.723,7.87946,Clear,0,1313.271,60.232,2
2015-09-16,00:45:11.195000,7.748,7.90433,Clear,0,1312.857,60.239,2
2015-09-16,00:45:11.295000,7.578,7.73305,Clear,0,1312.444,60.246,2
2015-09-16,00:45:11.395000,7.849,8.00381,Clear,0,1312.031,60.253,2
2015-09-16,00:45:11.495000,7.75,7.90426,Clear,0,1311.618,60.259,2
2015-09-16,00:45:11.595000,7.69,7.84408,Clear,0,1311.206,60.266,2
2015-09-16,00:45:11.695000,7.718,7.87129,Clear,0,1310.793,60.273,2
2015-09-16,00:45:11.795000,7.701,7.85324,Clear,0,1310.381,60.28,2
2015-09-16,00:45:11.895000,7.89,8.04243,Clear,0,1309.969,60.287,2
2015-09-16,00:45:11.995000,7.713,7.86373,Clear,0,1309.557,60.293,2
2015-09-16,00:45:12.095000,7.524,7.67464,Clear,0,1309.146,60.3,2
2015-09-16,00:45:12.195000,7.648,7.79821,Clear,0,1308.735,60.307,2
2015-09-16,00:45:12.295000,7.503,7.65234,Clear,0,1308.323,60.314,2
2015-09-16,00:45:12.395000,7.725,7.87367,Clear,0,1307.913,60.321,2
2015-09-16,00:45:12.495000,7.796,7.94424,Clear,0,1307.502,60.328,2
2015-09-16,00:45:12.595000,7.655,7.80341,Clear,0,1307.091,60.335,2
2015-09-16,00:45:12.695000,7.624,7.77104,Clear,0,1306.681,60.341,2
2015-09-16,00:45:12.795000,7.722,7.86806,Clear,0,1306.271,60.348,2
2015-09-16,00:45:12.895000,7.544,7.69007,Clear,0,1305.861,60.355,2
2015-09-16,00:45:12.995000,7.647,7.79222,Clear,0,1305.452,60.362,2
2015-09-16,00:45:13.095000,7.633,7.77762,Clear,0,1305.043,60.369,2
2015-09-16,00:45:13.195000,7.815,7.95938,Clear,0,1304.633,60.376,2
2015-09-16,00:45:13.295000,7.525,7.6676,Clear,0,1304.225,60.383,2
2015-09-16,00:45:13.395000,7.643,7.78552,Clear,0,1303.816,60.39,2
2015-09-16,00:45:13.495000,7.461,7.60318,Clear,0,1303.407,60.397,2
2015-09-16,00:45:13.595000,7.67,7.8123,Clear,0,1302.999,60.404,2
2015-09-16,00:45:13.695000,7.697,7.8381,Clear,0,1302.591,60.411,2
2015-09-16,00:45:13.795000,7.67,7.80951,Clear,0,1302.183,60.418,2
2015-09-16,00:45:13.895000,7.502,7.64226,Clear,0,1301.776,60.425,2
2015-09-16,00:45:13.995000,7.572,7.71097,Clear,0,1301.369,60.432,2
2015-09-16,00:45:14.095000,7.638,7.77606,Clear,0,1300.961,60.439,2
2015-09-16,00:45:14.195000,7.531,7.66883,Clear,0,1300.555,60.446,2
2015-09-16,00:45:14.295000,7.293,7.42996,Clear,0,1300.148,60.453,2
2015-09-16,00:45:14.395000,7.475,7.6121,Clear,0,1299.741,60.46,2
2015-09-16,00:45:14.495000,7.565,7.70133,Clear,0,1299.335,60.467,2
2015-09-16,00:45:14.595000,7.621,7.75625,Clear,0,1298.929,60.475,2
2015-09-16,00:45:14.695000,7.623,7.75803,Clear,0,1298.523,60.482,2
2015-09-16,00:45:14.795000,7.501,7.6351,Clear,0,1298.118,60.489,2
2015-09-16,00:45:14.895000,7.438,7.57238,Clear,0,1297.713,60.496,2
2015-09-16,00:45:14.995000,7.546,7.67847,Clear,0,1297.307,60.503,2
2015-09-16,00:45:15.095000,7.416,7.54812,Clear,0,1296.903,60.51,2
2015-09-16,00:45:15.195000,7.459,7.59113,Clear,0,1296.498,60.517,2
2015-09-16,00:45:15.295000,7.468,7.59868,Clear,0,1296.093,60.525,2
2015-09-16,00:45:15.395000,7.531,7.66154,Clear,0,1295.689,60.532,2
2015-09-16,00:45:15.495000,7.502,7.63214,Clear,0,1295.285,60.539,2
2015-09-16,00:45:15.595000,7.482,7.61243,Clear,0,1294.882,60.546,2
2015-09-16,00:45:15.695000,7.306,7.43527,Clear,0,1294.478,60.553,2
2015-09-16,00:45:15.795000,7.646,7.77398,Clear,0,1294.075,60.561,2
2015-09-16,00:45:15.895000,7.586,7.71411,Clear,0,1293.672,60.568,2
2015-09-16,00:45:15.995000,7.643,7.76994,Clear,0,1293.269,60.575,2
2015-09-16,00:45:16.095000,7.408,7.53517,Clear,0,1292.866,60.582,2
2015-09-16,00:45:16.195000,7.529,7.65534,Clear,0,1292.464,60.59,2
2015-09-16,00:45:16.295000,7.457,7.58235,Clear,0,1292.062,60.597,2
2015-09-16,00:45:16.395000,7.358,7.48319,Clear,0,1291.66,60.604,2
2015-09-16,00:45:16.495000,7.435,7.55886,Clear,0,1291.258,60.612,2
2015-09-16,00:45:16.595000,7.451,7.57451,Clear,0,1290.856,60.619,2
2015-09-16,00:45:16.695000,7.184,7.30675,Clear,0,1290.455,60.626,2
2015-09-16,00:45:16.795000,7.559,7.68123,Clear,0,1290.054,60.634,2
2015-09-16,00:45:16.895000,7.442,7.56434,Clear,0,1289.653,60.641,2
2015-09-16,00:45:16.995000,7.314,7.43478,Clear,0,1289.253,60.648,2
2015-09-16,00:45:17.095000,7.227,7.34748,Clear,0,1288.852,60.656,2
2015-09-16,00:45:17.195000,7.425,7.5446,Clear,0,1288.452,60.663,2
2015-09-16,00:45:17.295000,7.295,7.41405,Clear,0,1288.052,60.671,2
2015-09-16,00:45:17.395000,7.251,7.3701,Clear,0,1287.653,60.678,2
2015-09-16,00:45:17.495000,7.405,7.52319,Clear,0,1287.253,60.686,2
2015-09-16,00:45:17.595000,7.31,7.42762,Clear,0,1286.854,60.693,2
2015-09-16,00:45:17.695000,7.307,7.42442,Clear,0,1286.455,60.7,2
2015-09-16,00:45:17.795000,7.309,7.42466,Clear,0,1286.056,60.708,2
2015-09-16,00:45:17.895000,7.229,7.34482,Clear,0,1285.658,60.715,2
2015-09-16,00:45:17.995000,7.364,7.47882,Clear,0,1285.26,60.723,2
2015-09-16,00:45:18.095000,7.443,7.5578,Clear,0,1284.862,60.73,2
2015-09-16,00:45:18.195000,7.079,7.19311,Clear,0,1284.464,60.738,2
2015-09-16,00:45:18.295000,7.196,7.30949,Clear,0,1284.066,60.745,2
2015-09-16,00:45:18.395000,7.268,7.38098,Clear,0,1283.669,60.753,2
2015-09-16,00:45:18.495000,7.196,7.30808,Clear,0,1283.272,60.76,2
2015-09-16,00:45:18.595000,7.354,7.46612,Clear,0,1282.875,60.768,2
2015-09-16,00:45:18.695000,7.339,7.45014,Clear,0,1282.478,60.776,2
2015-09-16,00:45:18.795000,7.233,7.34437,Clear,0,1282.082,60.783,2
2015-09-16,00:45:18.895000,7.196,7.30595,Clear,0,1281.686,60.791,2
2015-09-16,00:45:18.995000,7.291,7.39983,Clear,0,1281.29,60.798,2
2015-09-16,00:45:19.095000,7.265,7.37424,Clear,0,1280.894,60.806,2
2015-09-16,00:45:19.195000,7.358,7.46632,Clear,0,1280.499,60.814,2
2015-09-16,00:45:19.295000,7.263,7.37101,Clear,0,1280.103,60.821,2
2015-09-16,00:45:19.395000,7.286,7.39282,Clear,0,1279.708,60.829,2
2015-09-16,00:45:19.495000,7.126,7.2317,Clear,0,1279.313,60.837,2
2015-09-16,00:45:19.595000,7.171,7.27736,Clear,0,1278.919,60.844,2
2015-09-16,00:45:19.695000,7.191,7.29595,Clear,0,1278.525,60.852,2
2015-09-16,00:45:19.795000,7.1,7.20485,Clear,0,1278.131,60.86,2
2015-09-16,00:45:19.895000,7.102,7.20547,Clear,0,1277.737,60.867,2
2015-09-16,00:45:19.995000,7.154,7.25783,Clear,0,1277.343,60.875,2
2015-09-16,00:45:20.095000,7.295,7.39764,Clear,0,1276.95,60.883,2
2015-09-16,00:45:20.195000,7.012,7.11355,Clear,0,1276.557,60.891,2
2015-09-16,00:45:20.295000,7.293,7.3949,Clear,0,1276.164,60.898,2
2015-09-16,00:45:20.395000,6.959,7.06027,Clear,0,1275.771,60.906,2
2015-09-16,00:45:20.495000,6.978,7.07877,Clear,0,1275.379,60.914,2
2015-09-16,00:45:20.595000,7.112,7.21232,Clear,0,1274.986,60.922,2
2015-09-16,00:45:20.695000,7.099,7.19815,Clear,0,1274.594,60.929,2
2015-09-16,00:45:20.795000,7.012,7.11048,Clear,0,1274.203,60.937,2
2015-09-16,00:45:20.895000,7.149,7.2472,Clear,0,1273.811,60.945,2
2015-09-16,00:45:20.995000,6.923,7.02091,Clear,0,1273.42,60.953,2
2015-09-16,00:45:21.095000,7.175,7.2716,Clear,0,1273.029,60.961,2
2015-09-16,00:45:21.195000,7.085,7.18173,Clear,0,1272.638,60.969,2
2015-09-16,00:45:21.295000,7.051,7.14723,Clear,0,1272.248,60.977,2
2015-09-16,00:45:21.395000,7.02,7.11485,Clear,0,1271.857,60.984,2
2015-09-16,00:45:21.495000,6.95,7.04541,Clear,0,1271.467,60.992,2
2015-09-16,00:45:21.595000,6.9,6.99425,Clear,0,1271.078,61.0,2
2015-09-16,00:45:21.695000,6.962,7.05584,Clear,0,1270.688,61.008,2
2015-09-16,00:45:21.795000,7.021,7.11439,Clear,0,1270.299,61.016,2
2015-09-16,00:45:21.895000,6.944,7.03666,Clear,0,1269.91,61.024,2
2015-09-16,00:45:21.995000,6.908,6.99962,Clear,0,1269.521,61.032,2
2015-09-16,00:45:22.095000,6.901,6.9917,Clear,0,1269.132,61.04,2
2015-09-16,00:45:22.195000,6.99,7.08087,Clear,0,1268.744,61.048,2
2015-09-16,00:45:22.295000,6.899,6.98889,Clear,0,1268.356,61.056,2
2015-09-16,00:45:22.395000,6.82,6.90946,Clear,0,1267.968,61.064,2
2015-09-16,00:45:22.495000,7.034,7.12292,Clear,0,1267.58,61.072,2
2015-09-16,00:45:22.595000,6.915,7.00357,Clear,0,1267.193,61.08,2
2015-09-16,00:45:22.695000,6.786,6.87441,Clear,0,1266.805,61.088,2
2015-09-16,00:45:22.795000,6.865,6.95146,Clear,0,1266.419,61.096,2
2015-09-16,00:45:22.895000,6.838,6.92476,Clear,0,1266.032,61.104,2
2015-09-16,00:45:22.995000,6.731,6.8172,Clear,0,1265.645,61.112,2
2015-09-16,00:45:23.095000,6.725,6.81101,Clear,0,1265.259,61.12,2
2015-09-16,00:45:23.195000,6.576,6.66045,Clear,0,1264.873,61.128,2
2015-09-16,00:45:23.295000,6.564,6.64828,Clear,0,1264.488,61.136,2
2015-09-16,00:45:23.395000,6.617,6.70117,Clear,0,1264.102,61.145,2
2015-09-16,00:45:23.495000,6.697,6.77969,Clear,0,1263.717,61.153,2
2015-09-16,00:45:23.595000,6.629,6.71145,Clear,0,1263.332,61.161,2
2015-09-16,00:45:23.695000,6.504,6.58572,Clear,0,1262.947,61.169,2
2015-09-16,00:45:23.795000,6.644,6.72564,Clear,0,1262.563,61.177,2
2015-09-16,00:45:23.895000,6.8,6.88123,Clear,0,1262.178,61.185,2
2015-09-16,00:45:23.995000,6.582,6.66258,Clear,0,1261.794,61.194,2
2015-09-16,00:45:24.095000,6.876,6.95613,Clear,0,1261.411,61.202,2
2015-09-16,00:45:24.195000,6.812,6.89111,Clear,0,1261.027,61.21,2
2015-09-16,00:45:24.295000,6.826,6.90466,Clear,0,1260.644,61.218,2
