satellite, 25078 IRIDIUM 44 / US
catalogue, 1 NORAD
track, 922841
variability, 2 Periodic
variability_period, 30.34482
npoints, 630
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-07-24,19:10:15.307000,6.396,5.57853,Clear,0,786.765,71.522,3
2014-07-24,19:10:15.407000,6.404,5.5861,Clear,0,786.682,71.473,3
2014-07-24,19:10:15.507000,6.456,5.63687,Clear,0,786.6,71.423,3
2014-07-24,19:10:15.607000,6.435,5.61453,Clear,0,786.519,71.374,3
2014-07-24,19:10:15.707000,6.402,5.58093,Clear,0,786.438,71.325,3
2014-07-24,19:10:15.807000,6.44,5.61794,Clear,0,786.357,71.276,3
2014-07-24,19:10:15.907000,6.375,5.55312,Clear,0,786.277,71.227,3
2014-07-24,19:10:16.007000,6.471,5.64791,Clear,0,786.198,71.178,3
2014-07-24,19:10:16.107000,6.407,5.58273,Clear,0,786.12,71.128,3
2014-07-24,19:10:16.207000,6.428,5.60314,Clear,0,786.042,71.079,3
2014-07-24,19:10:16.307000,6.428,5.60219,Clear,0,785.965,71.03,3
2014-07-24,19:10:16.407000,6.496,5.66902,Clear,0,785.888,70.981,3
2014-07-24,19:10:16.507000,6.477,5.64932,Clear,0,785.812,70.932,3
2014-07-24,19:10:16.607000,6.508,5.67932,Clear,0,785.737,70.882,3
2014-07-24,19:10:16.707000,6.478,5.64835,Clear,0,785.662,70.833,3
2014-07-24,19:10:16.807000,6.43,5.59951,Clear,0,785.588,70.784,3
2014-07-24,19:10:16.907000,6.351,5.52015,Clear,0,785.514,70.735,3
2014-07-24,19:10:17.007000,6.349,5.51691,Clear,0,785.441,70.686,3
2014-07-24,19:10:17.107000,6.247,5.4141,Clear,0,785.369,70.636,3
2014-07-24,19:10:17.207000,6.357,5.52317,Clear,0,785.297,70.587,3
2014-07-24,19:10:17.307000,6.387,5.55192,Clear,0,785.226,70.538,3
2014-07-24,19:10:17.407000,6.41,5.57424,Clear,0,785.156,70.489,3
2014-07-24,19:10:17.507000,6.443,5.60663,Clear,0,785.086,70.439,3
2014-07-24,19:10:17.607000,6.435,5.59768,Clear,0,785.017,70.39,3
2014-07-24,19:10:17.707000,6.389,5.55099,Clear,0,784.948,70.341,3
2014-07-24,19:10:17.807000,6.343,5.50373,Clear,0,784.881,70.291,3
2014-07-24,19:10:17.907000,6.3,5.46017,Clear,0,784.813,70.242,3
2014-07-24,19:10:18.007000,6.224,5.38287,Clear,0,784.747,70.193,3
2014-07-24,19:10:18.107000,6.042,5.20091,Clear,0,784.681,70.144,3
2014-07-24,19:10:18.207000,6.191,5.34867,Clear,0,784.615,70.094,3
2014-07-24,19:10:18.307000,6.291,5.44754,Clear,0,784.55,70.045,3
2014-07-24,19:10:18.407000,6.246,5.4022,Clear,0,784.486,69.996,3
2014-07-24,19:10:18.507000,6.188,5.34312,Clear,0,784.423,69.946,3
2014-07-24,19:10:18.607000,6.191,5.3449,Clear,0,784.36,69.897,3
2014-07-24,19:10:18.707000,6.226,5.38002,Clear,0,784.297,69.848,3
2014-07-24,19:10:18.807000,6.163,5.31552,Clear,0,784.236,69.798,3
2014-07-24,19:10:18.907000,6.162,5.31345,Clear,0,784.175,69.749,3
2014-07-24,19:10:19.007000,6.173,5.32402,Clear,0,784.114,69.7,3
2014-07-24,19:10:19.107000,6.225,5.375,Clear,0,784.054,69.65,3
2014-07-24,19:10:19.207000,6.282,5.43047,Clear,0,783.995,69.601,3
2014-07-24,19:10:19.307000,6.407,5.55567,Clear,0,783.937,69.552,3
2014-07-24,19:10:19.407000,6.444,5.59178,Clear,0,783.879,69.502,3
2014-07-24,19:10:19.507000,6.47,5.61679,Clear,0,783.821,69.453,3
2014-07-24,19:10:19.607000,6.516,5.66211,Clear,0,783.765,69.404,3
2014-07-24,19:10:19.707000,6.543,5.68777,Clear,0,783.709,69.354,3
2014-07-24,19:10:19.807000,6.614,5.7586,Clear,0,783.653,69.305,3
2014-07-24,19:10:19.907000,6.581,5.72465,Clear,0,783.599,69.255,3
2014-07-24,19:10:20.007000,6.596,5.73867,Clear,0,783.544,69.206,3
2014-07-24,19:10:20.107000,6.639,5.78055,Clear,0,783.491,69.157,3
2014-07-24,19:10:20.207000,6.767,5.90798,Clear,0,783.438,69.107,3
