satellite, 29051 FORMOSAT 3E / ROC
catalogue, 1 NORAD
track, 9267721
variability, 1 Aperiodic
variability_period, 0.0
npoints, 644
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-10-29,16:42:58.297000,8.549,9.24925,Clear,0,1136.174,108.734,2
2015-10-29,16:42:58.397000,8.674,9.37376,Clear,0,1135.851,108.727,2
2015-10-29,16:42:58.497000,7.98,8.67853,Clear,0,1135.528,108.719,2
2015-10-29,16:42:58.697000,8.586,9.28339,Clear,0,1134.882,108.703,2
2015-10-29,16:42:58.897000,8.29,8.98488,Clear,0,1134.238,108.688,2
2015-10-29,16:42:59.197000,8.13,8.82297,Clear,0,1133.274,108.664,2
2015-10-29,16:42:59.497000,8.126,8.81668,Clear,0,1132.313,108.641,2
2015-10-29,16:42:59.897000,7.878,8.56463,Clear,0,1131.036,108.609,2
2015-10-29,16:43:00.397000,8.103,8.78571,Clear,0,1129.447,108.569,2
2015-10-29,16:43:00.497000,7.968,8.6504,Clear,0,1129.131,108.561,2
2015-10-29,16:43:00.597000,8.283,8.96455,Clear,0,1128.814,108.553,2
2015-10-29,16:43:00.697000,7.432,8.11253,Clear,0,1128.498,108.545,2
2015-10-29,16:43:00.797000,7.576,8.25614,Clear,0,1128.182,108.538,2
2015-10-29,16:43:00.997000,7.477,8.15478,Clear,0,1127.552,108.522,2
2015-10-29,16:43:01.097000,7.494,8.1712,Clear,0,1127.237,108.514,2
2015-10-29,16:43:01.196000,7.583,8.26005,Clear,0,1126.926,108.506,5
2015-10-29,16:43:01.197000,8.149,8.8261,Clear,0,1126.922,108.506,2
2015-10-29,16:43:01.296000,7.533,8.20879,Clear,0,1126.611,108.498,5
2015-10-29,16:43:01.297000,7.804,8.48034,Clear,0,1126.608,108.498,2
2015-10-29,16:43:01.396000,8.003,8.67766,Clear,0,1126.298,108.49,5
2015-10-29,16:43:01.397000,7.629,8.30398,Clear,0,1126.294,108.489,2
2015-10-29,16:43:01.496000,7.59,8.26424,Clear,0,1125.984,108.482,5
2015-10-29,16:43:01.497000,8.138,8.81156,Clear,0,1125.981,108.481,2
2015-10-29,16:43:01.596000,7.478,8.15122,Clear,0,1125.671,108.473,5
2015-10-29,16:43:01.597000,8.121,8.79363,Clear,0,1125.668,108.473,2
2015-10-29,16:43:01.696000,7.516,8.18879,Clear,0,1125.358,108.465,5
2015-10-29,16:43:01.697000,8.149,8.82219,Clear,0,1125.355,108.465,2
2015-10-29,16:43:01.796000,7.347,8.01902,Clear,0,1125.046,108.457,5
2015-10-29,16:43:01.797000,7.6,8.27188,Clear,0,1125.042,108.457,2
