satellite, 37391 USA 229 DEB (NOSS 3-5 (B) ?) / US
catalogue, 3 McCants
track, 980032
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1066
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-07-25,22:58:30.563000,3.542,4.69908,Clear,0,1470.058,104.718,1
2014-07-25,22:58:30.663000,3.448,4.6047,Clear,0,1469.676,104.71,1
2014-07-25,22:58:30.763000,3.37,4.52585,Clear,0,1469.294,104.702,1
2014-07-25,22:58:30.863000,3.477,4.6318,Clear,0,1468.913,104.694,1
2014-07-25,22:58:30.963000,3.367,4.52131,Clear,0,1468.531,104.687,1
2014-07-25,22:58:31.063000,3.275,4.42917,Clear,0,1468.15,104.679,1
2014-07-25,22:58:31.163000,3.423,4.57554,Clear,0,1467.769,104.671,1
2014-07-25,22:58:31.263000,3.283,4.43541,Clear,0,1467.388,104.664,1
2014-07-25,22:58:31.363000,3.413,4.564,Clear,0,1467.008,104.656,1
2014-07-25,22:58:31.463000,3.42,4.57105,Clear,0,1466.627,104.648,1
2014-07-25,22:58:31.563000,3.327,4.47665,Clear,0,1466.247,104.64,1
2014-07-25,22:58:31.663000,3.352,4.50126,Clear,0,1465.867,104.632,1
2014-07-25,22:58:31.763000,3.42,4.56789,Clear,0,1465.487,104.625,1
2014-07-25,22:58:31.863000,3.356,4.50378,Clear,0,1465.107,104.617,1
2014-07-25,22:58:31.963000,3.443,4.5903,Clear,0,1464.728,104.609,1
2014-07-25,22:58:32.063000,3.436,4.58241,Clear,0,1464.348,104.601,1
2014-07-25,22:58:32.163000,3.334,4.47879,Clear,0,1463.969,104.594,1
2014-07-25,22:58:32.263000,3.331,4.4757,Clear,0,1463.59,104.586,1
2014-07-25,22:58:32.363000,3.452,4.59557,Clear,0,1463.211,104.578,1
2014-07-25,22:58:32.463000,3.374,4.51681,Clear,0,1462.833,104.57,1
2014-07-25,22:58:32.563000,3.323,4.46522,Clear,0,1462.454,104.562,1
2014-07-25,22:58:32.663000,3.372,4.51412,Clear,0,1462.076,104.555,1
2014-07-25,22:58:32.763000,3.354,4.49461,Clear,0,1461.698,104.547,1
2014-07-25,22:58:32.863000,3.368,4.50751,Clear,0,1461.32,104.539,1
2014-07-25,22:58:32.963000,3.313,4.45202,Clear,0,1460.943,104.531,1
2014-07-25,22:58:33.063000,3.179,4.3175,Clear,0,1460.565,104.523,1
2014-07-25,22:58:33.163000,3.345,4.48265,Clear,0,1460.188,104.515,1
2014-07-25,22:58:33.263000,3.353,4.48965,Clear,0,1459.811,104.508,1
