satellite, 27942 UK-DMC / UK
catalogue, 1 NORAD
track, 10308963
variability, 0 Not variable
variability_period, 0.0
npoints, 538
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-03-07,02:10:27.588000,9.079,9.19294,Clear,0,982.239,97.413,2
2016-03-07,02:10:27.688000,9.666,9.77756,Clear,0,981.727,97.412,2
2016-03-07,02:10:27.888000,9.177,9.28734,Clear,0,980.704,97.409,2
2016-03-07,02:10:28.188000,8.849,8.95611,Clear,0,979.171,97.404,2
2016-03-07,02:10:28.388000,9.298,9.40163,Clear,0,978.151,97.401,2
2016-03-07,02:10:28.588000,8.827,8.92934,Clear,0,977.132,97.398,2
2016-03-07,02:10:28.688000,9.087,9.18802,Clear,0,976.622,97.396,2
2016-03-07,02:10:28.888000,9.541,9.63894,Clear,0,975.605,97.393,2
2016-03-07,02:10:29.188000,8.889,8.98422,Clear,0,974.08,97.388,2
2016-03-07,02:10:29.588000,9.052,9.14236,Clear,0,972.051,97.382,2
2016-03-07,02:10:29.788000,9.152,9.23997,Clear,0,971.038,97.378,2
2016-03-07,02:10:29.888000,9.291,9.37799,Clear,0,970.532,97.377,2
2016-03-07,02:10:29.988000,9.786,9.87165,Clear,0,970.026,97.375,2
2016-03-07,02:10:30.088000,9.296,9.37994,Clear,0,969.521,97.373,2
2016-03-07,02:10:30.188000,9.405,9.48763,Clear,0,969.016,97.372,2
2016-03-07,02:10:30.388000,9.661,9.74155,Clear,0,968.006,97.369,2
2016-03-07,02:10:30.488000,9.917,9.99685,Clear,0,967.502,97.367,2
2016-03-07,02:10:30.588000,9.624,9.70275,Clear,0,966.998,97.365,2
2016-03-07,02:10:30.688000,9.362,9.43913,Clear,0,966.494,97.364,2
2016-03-07,02:10:30.788000,9.431,9.50721,Clear,0,965.99,97.362,2
2016-03-07,02:10:30.888000,8.956,9.03064,Clear,0,965.487,97.36,2
2016-03-07,02:10:31.188000,9.103,9.17501,Clear,0,963.979,97.355,2
2016-03-07,02:10:31.988000,9.023,9.08506,Clear,0,959.97,97.342,2
2016-03-07,02:10:32.488000,9.778,9.83392,Clear,0,957.473,97.334,2
2016-03-07,02:10:32.688000,9.095,9.14944,Clear,0,956.477,97.33,2
2016-03-07,02:10:32.788000,9.339,9.39172,Clear,0,955.979,97.328,2
2016-03-07,02:10:32.888000,9.477,9.52939,Clear,0,955.481,97.327,2
2016-03-07,02:10:32.988000,9.037,9.08804,Clear,0,954.984,97.325,2
2016-03-07,02:10:33.088000,8.747,8.79546,Clear,0,954.487,97.323,2
2016-03-07,02:10:33.288000,8.728,8.77458,Clear,0,953.494,97.32,2
2016-03-07,02:10:33.588000,9.386,9.42989,Clear,0,952.006,97.315,2
2016-03-07,02:10:33.888000,9.203,9.24255,Clear,0,950.521,97.31,2
2016-03-07,02:10:33.988000,9.343,9.38189,Clear,0,950.027,97.308,2
2016-03-07,02:10:34.288000,8.857,8.89196,Clear,0,948.545,97.303,2
2016-03-07,02:10:34.488000,9.108,9.14079,Clear,0,947.559,97.299,2
2016-03-07,02:10:34.588000,9.796,9.828,Clear,0,947.066,97.297,2
2016-03-07,02:10:34.788000,9.196,9.22548,Clear,0,946.082,97.294,2
2016-03-07,02:10:34.888000,9.566,9.59402,Clear,0,945.59,97.292,2
2016-03-07,02:10:35.088000,9.318,9.34345,Clear,0,944.608,97.289,2
2016-03-07,02:10:35.488000,9.149,9.17017,Clear,0,942.646,97.281,2
2016-03-07,02:10:35.588000,9.305,9.32473,Clear,0,942.156,97.28,2
2016-03-07,02:10:35.688000,8.938,8.95743,Clear,0,941.667,97.278,2
2016-03-07,02:10:36.188000,9.006,9.01867,Clear,0,939.225,97.269,2
2016-03-07,02:10:36.288000,9.106,9.11831,Clear,0,938.737,97.267,2
2016-03-07,02:10:36.488000,9.631,9.641,Clear,0,937.763,97.263,2
2016-03-07,02:10:36.588000,9.065,9.074,Clear,0,937.276,97.262,2
2016-03-07,02:10:36.688000,9.089,9.09639,Clear,0,936.79,97.26,2
2016-03-07,02:10:36.788000,9.308,9.31443,Clear,0,936.304,97.258,2
2016-03-07,02:10:36.988000,9.675,9.67901,Clear,0,935.333,97.254,2
2016-03-07,02:10:37.188000,9.079,9.08067,Clear,0,934.363,97.251,2
2016-03-07,02:10:37.288000,8.845,8.8451,Clear,0,933.879,97.249,2
2016-03-07,02:10:37.388000,8.976,8.97455,Clear,0,933.394,97.247,2
2016-03-07,02:10:37.688000,9.138,9.13397,Clear,0,931.944,97.242,2
2016-03-07,02:10:37.888000,9.291,9.28443,Clear,0,930.978,97.238,2
2016-03-07,02:10:38.088000,8.843,8.83379,Clear,0,930.014,97.234,2
2016-03-07,02:10:38.188000,9.348,9.33772,Clear,0,929.532,97.232,2
2016-03-07,02:10:38.288000,8.659,8.64765,Clear,0,929.051,97.23,2
2016-03-07,02:10:38.388000,8.711,8.69922,Clear,0,928.57,97.229,2
2016-03-07,02:10:38.588000,9.085,9.06958,Clear,0,927.608,97.225,2
2016-03-07,02:10:38.688000,8.78,8.76443,Clear,0,927.128,97.223,2
2016-03-07,02:10:38.888000,9.059,9.04054,Clear,0,926.169,97.219,2
2016-03-07,02:10:39.088000,8.532,8.51187,Clear,0,925.211,97.215,2
2016-03-07,02:10:39.188000,9.023,9.00116,Clear,0,924.732,97.213,2
2016-03-07,02:10:39.288000,9.499,9.47613,Clear,0,924.254,97.212,2
2016-03-07,02:10:39.388000,9.554,9.52985,Clear,0,923.776,97.21,2
2016-03-07,02:10:39.488000,8.993,8.96783,Clear,0,923.299,97.208,2
2016-03-07,02:10:39.588000,9.336,9.30983,Clear,0,922.821,97.206,2
2016-03-07,02:10:39.688000,9.25,9.22342,Clear,0,922.345,97.204,2
2016-03-07,02:10:39.888000,9.058,9.02844,Clear,0,921.392,97.2,2
2016-03-07,02:10:39.988000,9.107,9.07622,Clear,0,920.916,97.198,2
2016-03-07,02:10:40.088000,9.539,9.5065,Clear,0,920.44,97.196,2
2016-03-07,02:10:40.188000,9.311,9.27817,Clear,0,919.965,97.194,2
2016-03-07,02:10:40.288000,9.095,9.06078,Clear,0,919.49,97.192,2
2016-03-07,02:10:40.388000,9.331,9.29524,Clear,0,919.015,97.191,2
2016-03-07,02:10:40.488000,9.13,9.09337,Clear,0,918.541,97.189,2
2016-03-07,02:10:40.688000,9.194,9.15526,Clear,0,917.593,97.185,2
2016-03-07,02:10:41.188000,9.67,9.62493,Clear,0,915.229,97.175,2
2016-03-07,02:10:41.288000,9.106,9.06006,Clear,0,914.757,97.173,2
2016-03-07,02:10:41.388000,9.52,9.47292,Clear,0,914.286,97.171,2
2016-03-07,02:10:41.498000,8.969,8.92008,Clear,0,913.768,97.169,5
2016-03-07,02:10:41.588000,9.315,9.26488,Clear,0,913.344,97.167,2
2016-03-07,02:10:41.598000,9.094,9.04404,Clear,0,913.297,97.167,5
2016-03-07,02:10:41.698000,8.919,8.8683,Clear,0,912.827,97.165,5
2016-03-07,02:10:41.788000,8.869,8.81734,Clear,0,912.404,97.163,2
2016-03-07,02:10:41.798000,8.709,8.65691,Clear,0,912.357,97.163,5
2016-03-07,02:10:41.888000,9.089,9.03626,Clear,0,911.934,97.161,2
2016-03-07,02:10:41.898000,8.678,8.62492,Clear,0,911.887,97.161,5
2016-03-07,02:10:41.988000,8.996,8.94202,Clear,0,911.464,97.159,2
2016-03-07,02:10:41.998000,8.386,8.33206,Clear,0,911.417,97.159,5
2016-03-07,02:10:42.088000,9.29,9.23535,Clear,0,910.995,97.157,2
2016-03-07,02:10:42.188000,9.442,9.38487,Clear,0,910.526,97.155,2
2016-03-07,02:10:42.198000,8.814,8.75697,Clear,0,910.48,97.155,5
2016-03-07,02:10:42.288000,8.765,8.7071,Clear,0,910.058,97.153,2
2016-03-07,02:10:42.398000,8.875,8.81623,Clear,0,909.543,97.151,5
2016-03-07,02:10:42.488000,8.625,8.56462,Clear,0,909.122,97.149,2
2016-03-07,02:10:42.588000,8.913,8.8523,Clear,0,908.655,97.147,2
2016-03-07,02:10:42.598000,8.729,8.66841,Clear,0,908.608,97.147,5
2016-03-07,02:10:42.688000,9.021,8.9585,Clear,0,908.188,97.145,2
2016-03-07,02:10:42.698000,8.867,8.80464,Clear,0,908.141,97.145,5
2016-03-07,02:10:42.788000,9.084,9.02067,Clear,0,907.721,97.143,2
2016-03-07,02:10:42.898000,9.075,9.00996,Clear,0,907.208,97.141,5
2016-03-07,02:10:42.998000,8.819,8.75297,Clear,0,906.742,97.139,5
2016-03-07,02:10:43.088000,9.255,9.18757,Clear,0,906.322,97.137,2
2016-03-07,02:10:43.188000,8.868,8.79999,Clear,0,905.857,97.135,2
2016-03-07,02:10:43.198000,9.214,9.14602,Clear,0,905.811,97.135,5
2016-03-07,02:10:43.288000,9.651,9.58164,Clear,0,905.392,97.133,2
2016-03-07,02:10:43.388000,9.295,9.22512,Clear,0,904.927,97.131,2
2016-03-07,02:10:43.398000,9.046,8.97446,Clear,0,904.881,97.131,5
2016-03-07,02:10:43.488000,9.053,8.98064,Clear,0,904.463,97.129,2
2016-03-07,02:10:43.498000,9.261,9.18846,Clear,0,904.416,97.129,5
2016-03-07,02:10:43.588000,9.339,9.26577,Clear,0,903.999,97.127,2
2016-03-07,02:10:43.688000,9.395,9.3209,Clear,0,903.535,97.125,2
2016-03-07,02:10:43.698000,9.672,9.59779,Clear,0,903.489,97.125,5
2016-03-07,02:10:43.898000,9.093,9.01694,Clear,0,902.562,97.121,5
2016-03-07,02:10:43.988000,9.479,9.40172,Clear,0,902.146,97.119,2
2016-03-07,02:10:43.998000,8.772,8.69413,Clear,0,902.1,97.119,5
2016-03-07,02:10:44.088000,8.642,8.56278,Clear,0,901.684,97.117,2
2016-03-07,02:10:44.098000,8.809,8.73022,Clear,0,901.637,97.117,5
2016-03-07,02:10:44.298000,9.067,8.98616,Clear,0,900.714,97.112,5
2016-03-07,02:10:44.398000,8.684,8.60207,Clear,0,900.252,97.11,5
2016-03-07,02:10:44.498000,8.511,8.42808,Clear,0,899.792,97.108,5
2016-03-07,02:10:44.598000,8.887,8.80255,Clear,0,899.331,97.106,5
2016-03-07,02:10:44.798000,9.058,8.97079,Clear,0,898.411,97.102,5
2016-03-07,02:10:44.898000,8.704,8.61607,Clear,0,897.951,97.1,5
2016-03-07,02:10:45.098000,8.749,8.6592,Clear,0,897.033,97.096,5
2016-03-07,02:10:45.198000,8.944,8.85286,Clear,0,896.575,97.094,5
2016-03-07,02:10:45.298000,8.66,8.56699,Clear,0,896.116,97.092,5
2016-03-07,02:10:45.398000,8.908,8.81411,Clear,0,895.659,97.089,5
2016-03-07,02:10:45.498000,8.504,8.40862,Clear,0,895.201,97.087,5
2016-03-07,02:10:45.598000,8.582,8.48589,Clear,0,894.744,97.085,5
2016-03-07,02:10:45.698000,8.622,8.52528,Clear,0,894.287,97.083,5
2016-03-07,02:10:45.798000,9.057,8.95864,Clear,0,893.831,97.081,5
2016-03-07,02:10:45.898000,8.278,8.17864,Clear,0,893.375,97.079,5
2016-03-07,02:10:45.998000,8.701,8.5999,Clear,0,892.919,97.077,5
2016-03-07,02:10:46.198000,8.777,8.67443,Clear,0,892.009,97.072,5
2016-03-07,02:10:46.298000,8.475,8.37142,Clear,0,891.554,97.07,5
2016-03-07,02:10:46.398000,8.561,8.45622,Clear,0,891.1,97.068,5
2016-03-07,02:10:46.498000,9.001,8.89531,Clear,0,890.646,97.066,5
2016-03-07,02:10:46.598000,8.558,8.44978,Clear,0,890.192,97.064,5
2016-03-07,02:10:46.698000,8.448,8.33921,Clear,0,889.739,97.062,5
2016-03-07,02:10:46.798000,8.897,8.78714,Clear,0,889.286,97.06,5
2016-03-07,02:10:46.898000,8.481,8.36953,Clear,0,888.834,97.057,5
2016-03-07,02:10:46.998000,8.749,8.63688,Clear,0,888.382,97.055,5
2016-03-07,02:10:47.098000,8.626,8.51331,Clear,0,887.93,97.053,5
2016-03-07,02:10:47.198000,8.476,8.36217,Clear,0,887.478,97.051,5
2016-03-07,02:10:47.298000,8.708,8.59238,Clear,0,887.027,97.049,5
2016-03-07,02:10:47.398000,8.895,8.7784,Clear,0,886.577,97.047,5
2016-03-07,02:10:47.498000,8.477,8.35903,Clear,0,886.126,97.044,5
2016-03-07,02:10:47.598000,8.76,8.64048,Clear,0,885.676,97.042,5
2016-03-07,02:10:47.698000,8.656,8.53561,Clear,0,885.227,97.04,5
2016-03-07,02:10:47.798000,8.506,8.38511,Clear,0,884.777,97.038,5
2016-03-07,02:10:47.898000,8.673,8.55129,Clear,0,884.329,97.036,5
2016-03-07,02:10:47.998000,8.796,8.67208,Clear,0,883.88,97.033,5
2016-03-07,02:10:48.098000,8.418,8.29251,Clear,0,883.432,97.031,5
2016-03-07,02:10:48.198000,8.409,8.28273,Clear,0,882.984,97.029,5
2016-03-07,02:10:48.298000,8.673,8.54549,Clear,0,882.537,97.027,5
2016-03-07,02:10:48.398000,8.671,8.5426,Clear,0,882.09,97.025,5
2016-03-07,02:10:48.498000,8.611,8.48244,Clear,0,881.643,97.022,5
2016-03-07,02:10:48.598000,8.491,8.36008,Clear,0,881.197,97.02,5
2016-03-07,02:10:48.698000,8.803,8.67115,Clear,0,880.751,97.018,5
2016-03-07,02:10:48.798000,8.697,8.56383,Clear,0,880.305,97.016,5
2016-03-07,02:10:48.898000,8.717,8.58249,Clear,0,879.86,97.013,5
2016-03-07,02:10:48.998000,9.1,8.96524,Clear,0,879.415,97.011,5
2016-03-07,02:10:49.098000,8.588,8.45243,Clear,0,878.97,97.009,5
2016-03-07,02:10:49.198000,8.35,8.21297,Clear,0,878.526,97.007,5
2016-03-07,02:10:49.298000,8.958,8.81858,Clear,0,878.083,97.004,5
