satellite, 25478 ORBCOMM FM 24 / ORB
catalogue, 1 NORAD
track, 10402961
variability, 0 Not variable
variability_period, 0.0
npoints, 561
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-05-03,18:41:40.897000,7.28,6.51311,Clear,0,791.618,74.146,7
2016-05-03,18:41:40.997000,7.264,6.49579,Clear,0,791.564,74.122,7
2016-05-03,18:41:41.097000,7.217,6.44894,Clear,0,791.51,74.098,7
2016-05-03,18:41:41.197000,7.264,6.49463,Clear,0,791.457,74.074,7
2016-05-03,18:41:41.297000,7.241,6.47238,Clear,0,791.404,74.05,7
2016-05-03,18:41:41.397000,7.282,6.51211,Clear,0,791.352,74.026,7
2016-05-03,18:41:41.497000,7.24,6.46969,Clear,0,791.301,74.001,7
2016-05-03,18:41:41.597000,7.333,6.5632,Clear,0,791.25,73.977,7
2016-05-03,18:41:41.697000,7.217,6.44555,Clear,0,791.199,73.953,7
2016-05-03,18:41:41.797000,7.122,6.35107,Clear,0,791.149,73.929,7
2016-05-03,18:41:41.897000,7.142,6.36969,Clear,0,791.1,73.905,7
2016-05-03,18:41:41.997000,7.222,6.44976,Clear,0,791.051,73.881,7
2016-05-03,18:41:42.097000,7.236,6.46279,Clear,0,791.003,73.857,7
2016-05-03,18:41:42.197000,7.243,6.47041,Clear,0,790.956,73.833,7
2016-05-03,18:41:42.297000,7.223,6.44877,Clear,0,790.909,73.809,7
2016-05-03,18:41:42.397000,7.144,6.36996,Clear,0,790.862,73.785,7
2016-05-03,18:41:42.497000,7.177,6.40151,Clear,0,790.816,73.761,7
2016-05-03,18:41:42.597000,7.217,6.442,Clear,0,790.771,73.737,7
2016-05-03,18:41:42.697000,7.14,6.36377,Clear,0,790.726,73.713,7
2016-05-03,18:41:42.797000,7.038,6.26203,Clear,0,790.682,73.689,7
2016-05-03,18:41:42.897000,7.315,6.53767,Clear,0,790.638,73.665,7
2016-05-03,18:41:42.997000,7.264,6.48726,Clear,0,790.595,73.641,7
2016-05-03,18:41:43.097000,7.24,6.46178,Clear,0,790.553,73.617,7
2016-05-03,18:41:43.197000,7.246,6.46761,Clear,0,790.511,73.593,7
2016-05-03,18:41:43.297000,7.228,6.44982,Clear,0,790.469,73.569,7
2016-05-03,18:41:43.397000,7.211,6.43215,Clear,0,790.428,73.545,7
2016-05-03,18:41:43.497000,7.182,6.40252,Clear,0,790.388,73.521,7
2016-05-03,18:41:43.597000,7.257,6.47652,Clear,0,790.348,73.497,7
2016-05-03,18:41:43.697000,7.223,6.44316,Clear,0,790.309,73.473,7
2016-05-03,18:41:43.797000,7.205,6.42439,Clear,0,790.271,73.45,7
2016-05-03,18:41:43.897000,7.12,6.33883,Clear,0,790.233,73.426,7
2016-05-03,18:41:43.997000,7.177,6.39447,Clear,0,790.195,73.402,7
2016-05-03,18:41:44.097000,7.108,6.32574,Clear,0,790.158,73.378,7
2016-05-03,18:41:44.197000,7.156,6.37405,Clear,0,790.122,73.354,7
2016-05-03,18:41:44.297000,7.114,6.33103,Clear,0,790.086,73.33,7
2016-05-03,18:41:44.397000,7.279,6.49548,Clear,0,790.051,73.306,7
2016-05-03,18:41:44.497000,7.153,6.36866,Clear,0,790.016,73.282,7
2016-05-03,18:41:44.597000,7.199,6.41482,Clear,0,789.982,73.259,7
2016-05-03,18:41:44.697000,7.169,6.38432,Clear,0,789.949,73.235,7
2016-05-03,18:41:44.797000,7.133,6.34781,Clear,0,789.916,73.211,7
2016-05-03,18:41:44.897000,7.092,6.30718,Clear,0,789.884,73.187,7
2016-05-03,18:41:44.997000,7.123,6.33656,Clear,0,789.852,73.163,7
2016-05-03,18:41:45.097000,7.112,6.32636,Clear,0,789.821,73.14,7
2016-05-03,18:41:45.197000,7.171,6.38361,Clear,0,789.79,73.116,7
2016-05-03,18:41:45.297000,7.132,6.34531,Clear,0,789.76,73.092,7
2016-05-03,18:41:45.397000,7.218,6.42996,Clear,0,789.73,73.068,7
2016-05-03,18:41:45.497000,7.121,6.33324,Clear,0,789.701,73.045,7
2016-05-03,18:41:45.597000,7.087,6.2993,Clear,0,789.673,73.021,7
2016-05-03,18:41:45.697000,7.128,6.33876,Clear,0,789.645,72.997,7
2016-05-03,18:41:45.797000,7.135,6.34556,Clear,0,789.618,72.973,7
2016-05-03,18:41:45.897000,7.093,6.30328,Clear,0,789.591,72.95,7
2016-05-03,18:41:45.997000,7.097,6.30708,Clear,0,789.565,72.926,7
2016-05-03,18:41:46.097000,7.092,6.30175,Clear,0,789.539,72.902,7
2016-05-03,18:41:46.197000,7.244,6.45294,Clear,0,789.514,72.879,7
2016-05-03,18:41:46.297000,7.277,6.48573,Clear,0,789.49,72.855,7
2016-05-03,18:41:46.397000,7.138,6.34598,Clear,0,789.466,72.831,7
2016-05-03,18:41:46.497000,7.106,6.31394,Clear,0,789.443,72.808,7
2016-05-03,18:41:46.597000,7.198,6.40631,Clear,0,789.42,72.784,7
2016-05-03,18:41:46.697000,7.11,6.3169,Clear,0,789.398,72.761,7
2016-05-03,18:41:46.797000,7.145,6.35186,Clear,0,789.376,72.737,7
2016-05-03,18:41:46.897000,7.105,6.31136,Clear,0,789.355,72.713,7
2016-05-03,18:41:46.997000,7.121,6.32727,Clear,0,789.335,72.69,7
2016-05-03,18:41:47.097000,7.124,6.33006,Clear,0,789.315,72.666,7
2016-05-03,18:41:47.197000,7.097,6.30154,Clear,0,789.295,72.643,7
2016-05-03,18:41:47.297000,7.165,6.36996,Clear,0,789.277,72.619,7
2016-05-03,18:41:47.397000,7.146,6.35116,Clear,0,789.258,72.595,7
2016-05-03,18:41:47.497000,7.225,6.42915,Clear,0,789.241,72.572,7
2016-05-03,18:41:47.597000,7.223,6.42679,Clear,0,789.224,72.548,7
2016-05-03,18:41:47.697000,7.085,6.28766,Clear,0,789.207,72.525,7
2016-05-03,18:41:47.797000,7.183,6.38577,Clear,0,789.191,72.501,7
2016-05-03,18:41:47.897000,7.14,6.34279,Clear,0,789.176,72.478,7
2016-05-03,18:41:47.997000,7.143,6.34454,Clear,0,789.161,72.454,7
2016-05-03,18:41:48.097000,7.042,6.24385,Clear,0,789.147,72.431,7
2016-05-03,18:41:48.197000,7.109,6.31095,Clear,0,789.133,72.408,7
2016-05-03,18:41:48.297000,7.155,6.35626,Clear,0,789.12,72.384,7
2016-05-03,18:41:48.397000,7.18,6.38141,Clear,0,789.108,72.361,7
2016-05-03,18:41:48.497000,7.087,6.28797,Clear,0,789.096,72.337,7
2016-05-03,18:41:48.597000,7.131,6.33053,Clear,0,789.084,72.314,7
2016-05-03,18:41:48.697000,7.191,6.39082,Clear,0,789.073,72.29,7
2016-05-03,18:41:48.797000,7.133,6.33232,Clear,0,789.063,72.267,7
2016-05-03,18:41:48.897000,7.095,6.29374,Clear,0,789.053,72.244,7
2016-05-03,18:41:48.997000,7.181,6.37982,Clear,0,789.044,72.22,7
2016-05-03,18:41:49.097000,7.155,6.35288,Clear,0,789.036,72.197,7
