satellite, 25477 ORBCOMM FM 23 / ORB
catalogue, 1 NORAD
track, 10458288
variability, 1 Aperiodic
variability_period, 0.0
npoints, 594
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-06-24,23:18:26.998000,1.755,1.12208,Clear,0,799.162,81.546,3
2016-06-24,23:18:27.098000,1.4,0.766893,Clear,0,799.166,81.575,3
2016-06-24,23:18:27.198000,1.13,0.497912,Clear,0,799.17,81.603,3
2016-06-24,23:18:27.298000,0.762,0.129614,Clear,0,799.175,81.632,3
2016-06-24,23:18:27.398000,0.434,-0.196967,Clear,0,799.181,81.66,3
2016-06-24,23:18:27.498000,0.119,-0.511648,Clear,0,799.187,81.688,3
2016-06-24,23:18:27.598000,-0.184,-0.81405,Clear,0,799.194,81.717,3
2016-06-24,23:18:27.698000,-0.371,-1.00135,Clear,0,799.201,81.745,3
2016-06-24,23:18:27.798000,-0.326,-0.955311,Clear,0,799.209,81.774,3
2016-06-24,23:18:27.898000,-0.021,-0.650142,Clear,0,799.218,81.802,3
2016-06-24,23:18:27.998000,0.064,-0.563697,Clear,0,799.227,81.831,3
2016-06-24,23:18:28.098000,0.225,-0.403404,Clear,0,799.236,81.859,3
2016-06-24,23:18:28.198000,0.404,-0.222921,Clear,0,799.246,81.888,3
2016-06-24,23:18:28.298000,0.553,-0.0741878,Clear,0,799.257,81.916,3
2016-06-24,23:18:28.398000,0.833,0.206752,Clear,0,799.268,81.945,3
2016-06-24,23:18:28.498000,1.013,0.387063,Clear,0,799.28,81.973,3
2016-06-24,23:18:28.598000,1.148,0.522901,Clear,0,799.292,82.002,3
2016-06-24,23:18:28.698000,1.469,0.843502,Clear,0,799.305,82.03,3
2016-06-24,23:18:28.798000,1.69,1.06548,Clear,0,799.319,82.059,3
2016-06-24,23:18:28.898000,1.867,1.24255,Clear,0,799.333,82.087,3
2016-06-24,23:18:28.998000,2.129,1.50577,Clear,0,799.347,82.116,3
2016-06-24,23:18:29.098000,2.369,1.74634,Clear,0,799.362,82.144,3
2016-06-24,23:18:29.198000,2.579,1.95665,Clear,0,799.378,82.173,3
2016-06-24,23:18:29.298000,2.811,2.18935,Clear,0,799.394,82.201,3
2016-06-24,23:18:29.398000,3.009,2.38842,Clear,0,799.411,82.23,3
2016-06-24,23:18:29.498000,3.264,2.64335,Clear,0,799.429,82.258,3
2016-06-24,23:18:29.598000,3.424,2.80414,Clear,0,799.447,82.287,3
2016-06-24,23:18:29.698000,3.452,2.83187,Clear,0,799.465,82.315,3
2016-06-24,23:18:29.798000,3.473,2.85405,Clear,0,799.484,82.344,3
2016-06-24,23:18:29.898000,3.449,2.82968,Clear,0,799.504,82.373,3
2016-06-24,23:18:29.998000,3.371,2.7531,Clear,0,799.524,82.401,3
2016-06-24,23:18:30.098000,3.366,2.74844,Clear,0,799.545,82.43,3
2016-06-24,23:18:30.198000,3.291,2.67428,Clear,0,799.566,82.458,3
2016-06-24,23:18:30.298000,3.18,2.56288,Clear,0,799.588,82.487,3
2016-06-24,23:18:30.398000,3.163,2.54742,Clear,0,799.61,82.515,3
2016-06-24,23:18:30.498000,3.087,2.47218,Clear,0,799.633,82.544,3
2016-06-24,23:18:30.598000,3.093,2.47784,Clear,0,799.657,82.573,3
2016-06-24,23:18:30.698000,3.107,2.49319,Clear,0,799.681,82.601,3
2016-06-24,23:18:30.798000,3.046,2.43173,Clear,0,799.705,82.63,3
2016-06-24,23:18:30.898000,3.15,2.53674,Clear,0,799.731,82.658,3
2016-06-24,23:18:30.998000,3.147,2.53374,Clear,0,799.756,82.687,3
2016-06-24,23:18:31.098000,3.29,2.67779,Clear,0,799.783,82.715,3
2016-06-24,23:18:31.198000,3.337,2.72485,Clear,0,799.81,82.744,3
2016-06-24,23:18:31.298000,3.502,2.89129,Clear,0,799.837,82.773,3
2016-06-24,23:18:31.398000,3.714,3.103,Clear,0,799.865,82.801,3
2016-06-24,23:18:31.498000,3.767,3.15744,Clear,0,799.893,82.83,3
2016-06-24,23:18:31.598000,3.861,3.25171,Clear,0,799.923,82.858,3
2016-06-24,23:18:31.698000,4.008,3.39916,Clear,0,799.952,82.887,3
