satellite, 4221 AZUR (GRS A) / GER
catalogue, 1 NORAD
track, 10547126
variability, 0 Not variable
variability_period, 0.0
npoints, 628
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-08-04,19:32:37.396000,8.414,8.67268,Clear,0,1472.637,44.531,7
2016-08-04,19:32:37.596000,8.519,8.77734,Clear,0,1472.051,44.576,7
2016-08-04,19:32:37.796000,8.215,8.47305,Clear,0,1471.466,44.62,7
2016-08-04,19:32:37.896000,7.854,8.11115,Clear,0,1471.174,44.643,7
2016-08-04,19:32:38.096000,8.945,9.20163,Clear,0,1470.59,44.687,7
2016-08-04,19:32:38.196000,8.258,8.51479,Clear,0,1470.299,44.71,7
2016-08-04,19:32:38.296000,8.288,8.54353,Clear,0,1470.007,44.732,7
2016-08-04,19:32:38.396000,8.251,8.50733,Clear,0,1469.716,44.755,7
2016-08-04,19:32:38.496000,8.458,8.714,Clear,0,1469.425,44.777,7
2016-08-04,19:32:38.596000,8.369,8.62542,Clear,0,1469.134,44.799,7
2016-08-04,19:32:38.696000,8.065,8.31953,Clear,0,1468.844,44.822,7
2016-08-04,19:32:38.796000,8.462,8.71732,Clear,0,1468.554,44.844,7
2016-08-04,19:32:38.896000,8.136,8.39094,Clear,0,1468.264,44.867,7
2016-08-04,19:32:39.096000,8.344,8.59786,Clear,0,1467.684,44.912,7
2016-08-04,19:32:39.196000,8.218,8.4723,Clear,0,1467.395,44.934,7
2016-08-04,19:32:39.296000,8.077,8.33144,Clear,0,1467.106,44.957,7
2016-08-04,19:32:39.396000,8.147,8.40118,Clear,0,1466.817,44.979,7
2016-08-04,19:32:39.496000,8.385,8.63815,Clear,0,1466.528,45.002,7
2016-08-04,19:32:39.696000,8.1,8.35329,Clear,0,1465.952,45.047,7
2016-08-04,19:32:39.796000,8.362,8.61457,Clear,0,1465.664,45.069,7
2016-08-04,19:32:39.896000,8.356,8.60811,Clear,0,1465.376,45.092,7
2016-08-04,19:32:39.996000,8.101,8.35295,Clear,0,1465.089,45.114,7
2016-08-04,19:32:40.096000,8.181,8.4325,Clear,0,1464.801,45.137,7
2016-08-04,19:32:40.196000,8.104,8.35635,Clear,0,1464.514,45.16,7
2016-08-04,19:32:40.396000,8.309,8.56024,Clear,0,1463.941,45.205,7
2016-08-04,19:32:40.496000,8.175,8.42631,Clear,0,1463.654,45.227,7
2016-08-04,19:32:40.596000,7.836,8.08724,Clear,0,1463.368,45.25,7
2016-08-04,19:32:40.696000,8.182,8.43177,Clear,0,1463.082,45.273,7
2016-08-04,19:32:40.796000,8.645,8.89542,Clear,0,1462.797,45.295,7
2016-08-04,19:32:40.896000,8.112,8.36181,Clear,0,1462.511,45.318,7
2016-08-04,19:32:40.996000,8.526,8.77634,Clear,0,1462.226,45.341,7
2016-08-04,19:32:41.096000,8.033,8.28233,Clear,0,1461.941,45.363,7
2016-08-04,19:32:41.196000,8.275,8.52389,Clear,0,1461.656,45.386,7
2016-08-04,19:32:41.296000,8.36,8.60854,Clear,0,1461.371,45.409,7
2016-08-04,19:32:41.396000,8.241,8.48948,Clear,0,1461.087,45.432,7
2016-08-04,19:32:41.496000,8.3,8.5484,Clear,0,1460.803,45.454,7
2016-08-04,19:32:41.596000,8.195,8.44314,Clear,0,1460.519,45.477,7
2016-08-04,19:32:41.696000,8.488,8.73551,Clear,0,1460.236,45.5,7
2016-08-04,19:32:41.796000,8.401,8.64879,Clear,0,1459.952,45.523,7
2016-08-04,19:32:41.896000,8.245,8.49333,Clear,0,1459.669,45.545,7
2016-08-04,19:32:41.996000,8.238,8.48487,Clear,0,1459.386,45.568,7
2016-08-04,19:32:42.096000,8.013,8.25998,Clear,0,1459.103,45.591,7
2016-08-04,19:32:42.196000,8.523,8.77034,Clear,0,1458.821,45.614,7
