satellite, 45 TRANSIT 2A / US
catalogue, 1 NORAD
track, 10550023
variability, 1 Aperiodic
variability_period, 0.0
npoints, 617
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-08-08,18:57:32.401000,7.646,7.72793,Clear,0,1038.751,89.843,8
2016-08-08,18:57:32.501000,7.659,7.73962,Clear,0,1038.508,89.806,8
2016-08-08,18:57:32.601000,7.62,7.69946,Clear,0,1038.266,89.769,8
2016-08-08,18:57:32.701000,7.777,7.85617,Clear,0,1038.024,89.732,8
2016-08-08,18:57:32.801000,7.709,7.78626,Clear,0,1037.783,89.695,8
2016-08-08,18:57:32.901000,7.582,7.6578,Clear,0,1037.542,89.658,8
2016-08-08,18:57:33.001000,7.602,7.67726,Clear,0,1037.301,89.621,8
2016-08-08,18:57:33.101000,7.727,7.80123,Clear,0,1037.061,89.584,8
2016-08-08,18:57:33.201000,7.869,7.94174,Clear,0,1036.821,89.547,8
2016-08-08,18:57:33.301000,7.736,7.80722,Clear,0,1036.582,89.51,8
2016-08-08,18:57:33.401000,7.607,7.67705,Clear,0,1036.342,89.473,8
2016-08-08,18:57:33.501000,7.764,7.83253,Clear,0,1036.104,89.436,8
2016-08-08,18:57:33.601000,7.573,7.64116,Clear,0,1035.865,89.399,8
2016-08-08,18:57:33.701000,7.494,7.56063,Clear,0,1035.627,89.362,8
2016-08-08,18:57:33.801000,7.837,7.90165,Clear,0,1035.389,89.325,8
2016-08-08,18:57:33.901000,7.475,7.53904,Clear,0,1035.152,89.288,8
2016-08-08,18:57:34.001000,7.599,7.66167,Clear,0,1034.915,89.251,8
2016-08-08,18:57:34.101000,7.631,7.69281,Clear,0,1034.679,89.214,8
2016-08-08,18:57:34.201000,7.688,7.74886,Clear,0,1034.442,89.176,8
2016-08-08,18:57:34.301000,7.703,7.76234,Clear,0,1034.207,89.139,8
2016-08-08,18:57:34.401000,7.501,7.55903,Clear,0,1033.971,89.102,8
2016-08-08,18:57:34.501000,7.856,7.91342,Clear,0,1033.736,89.065,8
2016-08-08,18:57:34.601000,7.537,7.59271,Clear,0,1033.501,89.028,8
