satellite, 26374 TSX-5 / US
catalogue, 1 NORAD
track, 10674884
variability, 1 Aperiodic
variability_period, 0.0
npoints, 795
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-10-02,00:17:17.298000,6.824,7.17572,Clear,0,1404.084,64.611,4
2016-10-02,00:17:17.398000,6.619,6.97182,Clear,0,1404.208,64.637,4
2016-10-02,00:17:17.498000,6.704,7.05712,Clear,0,1404.331,64.663,4
2016-10-02,00:17:17.598000,6.62,6.97351,Clear,0,1404.455,64.69,4
2016-10-02,00:17:17.698000,6.644,6.99839,Clear,0,1404.579,64.716,4
2016-10-02,00:17:17.798000,6.604,6.95862,Clear,0,1404.703,64.742,4
2016-10-02,00:17:17.898000,6.628,6.98274,Clear,0,1404.828,64.768,4
2016-10-02,00:17:17.998000,6.56,6.91558,Clear,0,1404.953,64.794,4
2016-10-02,00:17:18.098000,6.599,6.95496,Clear,0,1405.078,64.82,4
2016-10-02,00:17:18.198000,6.624,6.98055,Clear,0,1405.203,64.847,4
2016-10-02,00:17:18.298000,6.483,6.83985,Clear,0,1405.329,64.873,4
2016-10-02,00:17:18.398000,6.529,6.88684,Clear,0,1405.455,64.899,4
2016-10-02,00:17:18.498000,6.457,6.81525,Clear,0,1405.581,64.925,4
2016-10-02,00:17:18.598000,6.477,6.83636,Clear,0,1405.707,64.951,4
2016-10-02,00:17:18.698000,6.466,6.82526,Clear,0,1405.834,64.977,4
2016-10-02,00:17:18.798000,6.444,6.80388,Clear,0,1405.961,65.003,4
2016-10-02,00:17:18.898000,6.444,6.80402,Clear,0,1406.088,65.029,4
2016-10-02,00:17:18.998000,6.332,6.69322,Clear,0,1406.215,65.056,4
2016-10-02,00:17:19.098000,6.433,6.79413,Clear,0,1406.343,65.082,4
2016-10-02,00:17:19.198000,6.383,6.74462,Clear,0,1406.471,65.108,4
2016-10-02,00:17:19.298000,6.412,6.77408,Clear,0,1406.599,65.134,4
2016-10-02,00:17:19.398000,6.322,6.68509,Clear,0,1406.727,65.16,4
2016-10-02,00:17:19.498000,6.246,6.6094,Clear,0,1406.856,65.186,4
2016-10-02,00:17:19.598000,6.283,6.64671,Clear,0,1406.985,65.212,4
2016-10-02,00:17:19.698000,6.264,6.62842,Clear,0,1407.114,65.238,4
2016-10-02,00:17:19.798000,6.18,6.54526,Clear,0,1407.243,65.264,4
2016-10-02,00:17:19.898000,6.223,6.58748,Clear,0,1407.373,65.29,4
2016-10-02,00:17:19.998000,6.2,6.56611,Clear,0,1407.503,65.316,4
2016-10-02,00:17:20.098000,6.24,6.60589,Clear,0,1407.633,65.343,4
2016-10-02,00:17:20.198000,6.175,6.542,Clear,0,1407.763,65.369,4
2016-10-02,00:17:20.298000,6.156,6.52277,Clear,0,1407.894,65.395,4
2016-10-02,00:17:20.398000,6.159,6.52656,Clear,0,1408.025,65.421,4
2016-10-02,00:17:20.498000,6.123,6.49186,Clear,0,1408.156,65.447,4
2016-10-02,00:17:20.598000,6.157,6.52624,Clear,0,1408.288,65.473,4
2016-10-02,00:17:20.698000,6.135,6.50508,Clear,0,1408.419,65.499,4
2016-10-02,00:17:20.798000,6.051,6.42134,Clear,0,1408.551,65.525,4
2016-10-02,00:17:20.898000,6.13,6.50106,Clear,0,1408.683,65.551,4
2016-10-02,00:17:20.998000,6.088,6.45929,Clear,0,1408.816,65.577,4
2016-10-02,00:17:21.098000,6.093,6.46493,Clear,0,1408.949,65.603,4
2016-10-02,00:17:21.198000,6.041,6.41308,Clear,0,1409.081,65.629,4
2016-10-02,00:17:21.298000,6.173,6.54629,Clear,0,1409.215,65.655,4
2016-10-02,00:17:21.398000,6.059,6.43241,Clear,0,1409.348,65.681,4
2016-10-02,00:17:21.498000,6.074,6.4481,Clear,0,1409.482,65.707,4
2016-10-02,00:17:21.598000,6.04,6.41381,Clear,0,1409.616,65.733,4
2016-10-02,00:17:21.698000,5.994,6.36854,Clear,0,1409.75,65.759,4
2016-10-02,00:17:21.798000,6.021,6.39599,Clear,0,1409.885,65.785,4
2016-10-02,00:17:21.898000,6.068,6.44428,Clear,0,1410.019,65.811,4
2016-10-02,00:17:21.998000,5.991,6.36738,Clear,0,1410.154,65.837,4
2016-10-02,00:17:22.098000,6.031,6.40776,Clear,0,1410.289,65.863,4
2016-10-02,00:17:22.198000,5.997,6.37418,Clear,0,1410.425,65.889,4
2016-10-02,00:17:22.298000,6.009,6.38646,Clear,0,1410.561,65.915,4
2016-10-02,00:17:22.398000,5.988,6.36632,Clear,0,1410.697,65.941,4
2016-10-02,00:17:22.498000,5.996,6.37465,Clear,0,1410.833,65.967,4
2016-10-02,00:17:22.598000,5.975,6.35541,Clear,0,1410.969,65.993,4
2016-10-02,00:17:22.698000,5.934,6.31386,Clear,0,1411.106,66.019,4
2016-10-02,00:17:22.798000,5.944,6.32472,Clear,0,1411.243,66.045,4
2016-10-02,00:17:22.898000,5.954,6.33461,Clear,0,1411.38,66.071,4
2016-10-02,00:17:22.998000,5.886,6.26748,Clear,0,1411.518,66.097,4
2016-10-02,00:17:23.098000,5.96,6.34171,Clear,0,1411.656,66.123,4
2016-10-02,00:17:23.198000,5.959,6.34221,Clear,0,1411.794,66.149,4
2016-10-02,00:17:23.298000,5.938,6.32078,Clear,0,1411.932,66.175,4
2016-10-02,00:17:23.398000,5.979,6.36273,Clear,0,1412.07,66.201,4
2016-10-02,00:17:23.498000,5.953,6.33717,Clear,0,1412.209,66.226,4
2016-10-02,00:17:23.598000,5.99,6.37521,Clear,0,1412.348,66.252,4
2016-10-02,00:17:23.698000,6.021,6.40618,Clear,0,1412.487,66.278,4
2016-10-02,00:17:23.798000,5.96,6.34627,Clear,0,1412.627,66.304,4
2016-10-02,00:17:23.898000,5.915,6.30046,Clear,0,1412.767,66.33,4
2016-10-02,00:17:23.998000,6.006,6.39273,Clear,0,1412.907,66.356,4
2016-10-02,00:17:24.098000,5.968,6.356,Clear,0,1413.047,66.382,4
2016-10-02,00:17:24.198000,6.044,6.43153,Clear,0,1413.187,66.408,4
