satellite, 20344 USA 40 R/B / US
catalogue, 1 NORAD
track, 10876402
variability, 1 Aperiodic
variability_period, 0.0
npoints, 5947
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-12-18,21:08:58.398000,5.66,9.30227,Clear,0,7056.682,41.9,3
2016-12-18,21:08:58.498000,6.303,9.94466,Clear,0,7056.8,41.899,3
2016-12-18,21:08:58.698000,6.138,9.78012,Clear,0,7057.036,41.897,3
2016-12-18,21:08:58.798000,6.343,9.98488,Clear,0,7057.154,41.895,3
2016-12-18,21:08:58.898000,5.829,9.47104,Clear,0,7057.272,41.894,3
2016-12-18,21:08:58.998000,5.747,9.38883,Clear,0,7057.391,41.893,3
2016-12-18,21:08:59.098000,6.235,9.87697,Clear,0,7057.509,41.892,3
2016-12-18,21:08:59.198000,5.669,9.31071,Clear,0,7057.627,41.891,3
2016-12-18,21:08:59.298000,5.944,9.58587,Clear,0,7057.745,41.89,3
2016-12-18,21:08:59.398000,6.242,9.88412,Clear,0,7057.863,41.889,3
2016-12-18,21:08:59.498000,5.561,9.20277,Clear,0,7057.981,41.888,3
2016-12-18,21:08:59.598000,5.665,9.30733,Clear,0,7058.099,41.887,3
2016-12-18,21:08:59.698000,5.678,9.32006,Clear,0,7058.217,41.886,3
2016-12-18,21:08:59.798000,5.83,9.47202,Clear,0,7058.335,41.885,3
2016-12-18,21:08:59.898000,6.117,9.75944,Clear,0,7058.454,41.884,3
2016-12-18,21:08:59.998000,5.626,9.26754,Clear,0,7058.572,41.883,3
2016-12-18,21:09:00.098000,5.724,9.36631,Clear,0,7058.69,41.882,3
2016-12-18,21:09:00.198000,5.748,9.38974,Clear,0,7058.808,41.881,3
2016-12-18,21:09:00.298000,5.978,9.62024,Clear,0,7058.926,41.88,3
2016-12-18,21:09:00.398000,5.641,9.28311,Clear,0,7059.044,41.879,3
2016-12-18,21:09:00.498000,5.805,9.44677,Clear,0,7059.162,41.878,3
2016-12-18,21:09:00.598000,5.808,9.44966,Clear,0,7059.281,41.877,3
2016-12-18,21:09:00.698000,5.96,9.60236,Clear,0,7059.399,41.876,3
2016-12-18,21:09:00.798000,5.643,9.28477,Clear,0,7059.517,41.875,3
2016-12-18,21:09:00.898000,5.693,9.33468,Clear,0,7059.635,41.874,3
2016-12-18,21:09:00.998000,5.698,9.33989,Clear,0,7059.753,41.873,3
2016-12-18,21:09:01.098000,5.755,9.39705,Clear,0,7059.871,41.872,3
2016-12-18,21:09:01.298000,5.956,9.59794,Clear,0,7060.108,41.87,3
