satellite, 20978 DMSP 5D-2 F10 (USA 68) / US
catalogue, 1 NORAD
track, 12132139
variability, 0 Not variable
variability_period, 0.0
npoints, 529
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2017-03-17,00:32:25.098000,5.388,6.16481,Clear,0,1289.073,100.703,1
2017-03-17,00:32:25.198000,5.467,6.24311,Clear,0,1288.511,100.684,1
2017-03-17,00:32:25.298000,5.314,6.08785,Clear,0,1287.95,100.665,1
2017-03-17,00:32:25.398000,5.515,6.28778,Clear,0,1287.388,100.647,1
2017-03-17,00:32:25.498000,5.591,6.36245,Clear,0,1286.827,100.628,1
2017-03-17,00:32:25.598000,5.475,6.24459,Clear,0,1286.265,100.609,1
2017-03-17,00:32:25.698000,5.448,6.21688,Clear,0,1285.704,100.59,1
2017-03-17,00:32:25.798000,5.498,6.26456,Clear,0,1285.143,100.571,1
2017-03-17,00:32:25.898000,5.542,6.30841,Clear,0,1284.582,100.553,1
2017-03-17,00:32:25.998000,5.349,6.1138,Clear,0,1284.022,100.534,1
2017-03-17,00:32:26.098000,5.362,6.12538,Clear,0,1283.461,100.515,1
2017-03-17,00:32:26.198000,5.49,6.25195,Clear,0,1282.901,100.496,1
2017-03-17,00:32:26.298000,5.468,6.22775,Clear,0,1282.34,100.477,1
2017-03-17,00:32:26.398000,5.451,6.21018,Clear,0,1281.78,100.458,1
2017-03-17,00:32:26.498000,5.629,6.38662,Clear,0,1281.22,100.439,1
2017-03-17,00:32:26.598000,5.413,6.16872,Clear,0,1280.66,100.42,1
2017-03-17,00:32:26.698000,5.346,6.10127,Clear,0,1280.101,100.401,1
2017-03-17,00:32:26.798000,5.517,6.27132,Clear,0,1279.541,100.382,1
2017-03-17,00:32:26.898000,5.39,6.1418,Clear,0,1278.982,100.363,1
2017-03-17,00:32:26.998000,5.38,6.13079,Clear,0,1278.422,100.344,1
2017-03-17,00:32:27.098000,5.671,6.42043,Clear,0,1277.863,100.325,1
2017-03-17,00:32:27.198000,5.497,6.24458,Clear,0,1277.304,100.306,1
2017-03-17,00:32:27.298000,5.358,6.10462,Clear,0,1276.746,100.287,1
2017-03-17,00:32:27.398000,5.375,6.12029,Clear,0,1276.187,100.268,1
2017-03-17,00:32:27.498000,5.431,6.17544,Clear,0,1275.628,100.249,1
2017-03-17,00:32:27.598000,5.661,6.40348,Clear,0,1275.07,100.23,1
2017-03-17,00:32:27.698000,5.676,6.41656,Clear,0,1274.512,100.211,1
2017-03-17,00:32:27.798000,5.55,6.29043,Clear,0,1273.954,100.192,1
2017-03-17,00:32:27.898000,5.585,6.32275,Clear,0,1273.396,100.172,1
