satellite, 4178 THORAD AGENA D DEB / US
catalogue, 1 NORAD
track, 1228148
variability, 2 Periodic
variability_period, 6.0095772072
npoints, 509
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-08-02,23:48:50.859000,9.133,8.4854,Clear,0,869.248,67.913,8
2014-08-02,23:48:50.959000,8.811,8.16284,Clear,0,869.23,67.962,8
2014-08-02,23:48:51.059000,8.132,7.48492,Clear,0,869.211,68.01,8
2014-08-02,23:48:51.159000,8.144,7.49705,Clear,0,869.194,68.058,8
2014-08-02,23:48:51.259000,8.387,7.74107,Clear,0,869.177,68.106,8
2014-08-02,23:48:51.359000,7.983,7.33769,Clear,0,869.16,68.154,8
2014-08-02,23:48:51.459000,8.076,7.43086,Clear,0,869.144,68.202,8
2014-08-02,23:48:51.559000,10.445,9.80057,Clear,0,869.129,68.25,8
2014-08-02,23:48:51.659000,9.373,8.72923,Clear,0,869.114,68.298,8
2014-08-02,23:48:51.759000,9.016,8.37245,Clear,0,869.099,68.346,8
2014-08-02,23:48:51.859000,10.179,9.53638,Clear,0,869.086,68.394,8
2014-08-02,23:48:52.059000,9.785,9.14405,Clear,0,869.06,68.49,8
2014-08-02,23:48:52.159000,9.546,8.90452,Clear,0,869.048,68.539,8
2014-08-02,23:48:52.359000,10.881,10.241,Clear,0,869.025,68.635,8
2014-08-02,23:48:52.459000,10.587,9.94803,Clear,0,869.015,68.683,8
2014-08-02,23:48:52.659000,10.102,9.46425,Clear,0,868.995,68.779,8
2014-08-02,23:48:52.759000,9.836,9.19889,Clear,0,868.986,68.827,8
2014-08-02,23:48:53.259000,8.982,8.34776,Clear,0,868.951,69.068,8
2014-08-02,23:48:53.359000,9.133,8.5,Clear,0,868.945,69.116,8
2014-08-02,23:48:53.459000,8.942,8.30923,Clear,0,868.94,69.164,8
2014-08-02,23:48:53.559000,7.857,7.22517,Clear,0,868.936,69.212,8
2014-08-02,23:48:53.659000,8.446,7.81407,Clear,0,868.932,69.26,8
2014-08-02,23:48:53.759000,8.599,7.96833,Clear,0,868.928,69.308,8
2014-08-02,23:48:53.859000,9.307,8.67705,Clear,0,868.926,69.356,8
2014-08-02,23:48:53.959000,8.311,7.68082,Clear,0,868.923,69.404,8
2014-08-02,23:48:54.059000,8.671,8.04232,Clear,0,868.922,69.453,8
2014-08-02,23:48:54.159000,8.812,8.18262,Clear,0,868.921,69.501,8
2014-08-02,23:48:54.259000,8.848,8.22022,Clear,0,868.92,69.549,8
2014-08-02,23:48:54.359000,9.359,8.73209,Clear,0,868.92,69.597,8
2014-08-02,23:48:54.459000,8.879,8.25151,Clear,0,868.921,69.645,8
2014-08-02,23:48:54.559000,8.86,8.23397,Clear,0,868.922,69.693,8
2014-08-02,23:48:54.659000,9.388,8.7628,Clear,0,868.923,69.741,8
2014-08-02,23:48:54.759000,9.13,8.50487,Clear,0,868.925,69.789,8
2014-08-02,23:48:54.859000,9.319,8.6954,Clear,0,868.928,69.838,8
2014-08-02,23:48:54.959000,9.619,8.99611,Clear,0,868.931,69.886,8
2014-08-02,23:48:55.159000,9.673,9.05109,Clear,0,868.94,69.982,8
2014-08-02,23:48:55.259000,9.358,8.73731,Clear,0,868.945,70.03,8
2014-08-02,23:48:55.459000,9.525,8.90491,Clear,0,868.956,70.126,8
2014-08-02,23:48:55.559000,9.23,8.60967,Clear,0,868.963,70.174,8
2014-08-02,23:48:55.759000,9.148,8.52969,Clear,0,868.977,70.271,8
2014-08-02,23:48:55.959000,10.088,9.47101,Clear,0,868.994,70.367,8
2014-08-02,23:48:56.059000,9.505,8.8886,Clear,0,869.004,70.415,8
2014-08-02,23:48:56.159000,9.251,8.63528,Clear,0,869.014,70.463,8
2014-08-02,23:48:56.259000,9.024,8.40894,Clear,0,869.024,70.511,8
2014-08-02,23:48:56.359000,9.059,8.44455,Clear,0,869.035,70.559,8
2014-08-02,23:48:56.459000,8.616,8.00236,Clear,0,869.047,70.607,8
2014-08-02,23:48:56.559000,8.589,7.97577,Clear,0,869.059,70.655,8
2014-08-02,23:48:56.659000,8.542,7.92993,Clear,0,869.071,70.704,8
2014-08-02,23:48:56.759000,8.686,8.0749,Clear,0,869.084,70.752,8
2014-08-02,23:48:56.859000,8.448,7.83655,Clear,0,869.098,70.8,8
2014-08-02,23:48:56.959000,8.036,7.42574,Clear,0,869.112,70.848,8
2014-08-02,23:48:57.059000,7.783,7.17398,Clear,0,869.127,70.896,8
2014-08-02,23:48:57.159000,7.825,7.21643,Clear,0,869.143,70.944,8
2014-08-02,23:48:57.259000,8.202,7.59366,Clear,0,869.159,70.992,8
