satellite, 2621 OV1-10 R/B / US
catalogue, 1 NORAD
track, 12363226
variability, 1 Aperiodic
variability_period, 0.0
npoints, 720
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2017-06-04,19:32:05.499000,7.702,7.33478,Clear,0,987.482,68.247,2
2017-06-04,19:32:05.599000,7.812,7.44447,Clear,0,987.469,68.291,2
2017-06-04,19:32:05.699000,7.903,7.53672,Clear,0,987.457,68.334,2
2017-06-04,19:32:05.799000,7.746,7.3808,Clear,0,987.446,68.377,2
2017-06-04,19:32:05.899000,7.877,7.51163,Clear,0,987.435,68.421,2
2017-06-04,19:32:05.999000,7.73,7.36568,Clear,0,987.425,68.464,2
2017-06-04,19:32:06.099000,7.897,7.53341,Clear,0,987.415,68.508,2
2017-06-04,19:32:06.199000,7.84,7.47661,Clear,0,987.406,68.551,2
2017-06-04,19:32:06.299000,7.88,7.5169,Clear,0,987.397,68.595,2
2017-06-04,19:32:06.399000,7.73,7.36777,Clear,0,987.389,68.638,2
2017-06-04,19:32:06.499000,8.036,7.67352,Clear,0,987.381,68.681,2
2017-06-04,19:32:06.599000,7.8,7.43852,Clear,0,987.374,68.725,2
2017-06-04,19:32:06.699000,7.755,7.39404,Clear,0,987.367,68.768,2
2017-06-04,19:32:06.799000,7.955,7.59541,Clear,0,987.361,68.812,2
2017-06-04,19:32:06.899000,7.81,7.451,Clear,0,987.355,68.855,2
2017-06-04,19:32:06.999000,7.97,7.61076,Clear,0,987.35,68.899,2
2017-06-04,19:32:07.099000,7.886,7.52812,Clear,0,987.346,68.942,2
2017-06-04,19:32:07.199000,7.819,7.46076,Clear,0,987.342,68.986,2
2017-06-04,19:32:07.299000,7.863,7.50569,Clear,0,987.338,69.029,2
2017-06-04,19:32:07.399000,7.853,7.49602,Clear,0,987.335,69.072,2
2017-06-04,19:32:07.499000,7.928,7.57196,Clear,0,987.333,69.116,2
2017-06-04,19:32:07.599000,7.8,7.44426,Clear,0,987.331,69.159,2
2017-06-04,19:32:07.699000,7.923,7.56761,Clear,0,987.329,69.203,2
2017-06-04,19:32:07.799000,7.823,7.46883,Clear,0,987.328,69.246,2
2017-06-04,19:32:07.899000,7.789,7.43501,Clear,0,987.328,69.29,2
2017-06-04,19:32:07.999000,7.777,7.42418,Clear,0,987.328,69.333,2
2017-06-04,19:32:08.099000,7.995,7.6423,Clear,0,987.329,69.377,2
2017-06-04,19:32:08.199000,7.851,7.4991,Clear,0,987.33,69.42,2
2017-06-04,19:32:08.299000,8.013,7.66049,Clear,0,987.332,69.463,2
2017-06-04,19:32:08.399000,7.888,7.53739,Clear,0,987.334,69.507,2
2017-06-04,19:32:08.499000,7.823,7.47328,Clear,0,987.337,69.55,2
2017-06-04,19:32:08.599000,7.836,7.48615,Clear,0,987.34,69.594,2
2017-06-04,19:32:08.699000,7.814,7.46458,Clear,0,987.344,69.637,2
2017-06-04,19:32:08.799000,7.826,7.47676,Clear,0,987.348,69.681,2
2017-06-04,19:32:08.899000,8.02,7.6722,Clear,0,987.353,69.724,2
2017-06-04,19:32:08.999000,7.943,7.59499,Clear,0,987.359,69.768,2
2017-06-04,19:32:09.099000,8.02,7.67275,Clear,0,987.365,69.811,2
2017-06-04,19:32:09.199000,8.0,7.65408,Clear,0,987.371,69.855,2
2017-06-04,19:32:09.299000,7.841,7.49481,Clear,0,987.378,69.898,2
2017-06-04,19:32:09.399000,7.799,7.45417,Clear,0,987.386,69.941,2
2017-06-04,19:32:09.499000,7.88,7.53525,Clear,0,987.394,69.985,2
2017-06-04,19:32:09.599000,7.808,7.46429,Clear,0,987.402,70.028,2
2017-06-04,19:32:09.699000,7.798,7.45445,Clear,0,987.411,70.072,2
2017-06-04,19:32:09.799000,7.914,7.57105,Clear,0,987.421,70.115,2
2017-06-04,19:32:09.899000,7.886,7.54402,Clear,0,987.431,70.159,2
2017-06-04,19:32:09.999000,7.837,7.49451,Clear,0,987.442,70.202,2
2017-06-04,19:32:10.099000,7.821,7.48021,Clear,0,987.453,70.246,2
2017-06-04,19:32:10.199000,8.008,7.66808,Clear,0,987.464,70.289,2
2017-06-04,19:32:10.299000,7.961,7.62122,Clear,0,987.477,70.333,2
2017-06-04,19:32:10.399000,7.978,7.63875,Clear,0,987.489,70.376,2
2017-06-04,19:32:10.499000,7.923,7.5844,Clear,0,987.503,70.419,2
2017-06-04,19:32:10.599000,7.97,7.63169,Clear,0,987.516,70.463,2
2017-06-04,19:32:10.699000,7.955,7.61753,Clear,0,987.531,70.506,2
2017-06-04,19:32:10.799000,7.85,7.51285,Clear,0,987.546,70.55,2
2017-06-04,19:32:10.899000,7.824,7.48777,Clear,0,987.561,70.593,2
2017-06-04,19:32:10.999000,7.989,7.6535,Clear,0,987.577,70.637,2
2017-06-04,19:32:11.099000,8.032,7.69732,Clear,0,987.593,70.68,2
2017-06-04,19:32:11.199000,7.968,7.63442,Clear,0,987.61,70.724,2
2017-06-04,19:32:11.299000,7.901,7.56679,Clear,0,987.628,70.767,2
2017-06-04,19:32:11.399000,7.81,7.47694,Clear,0,987.646,70.811,2
2017-06-04,19:32:11.499000,7.894,7.56146,Clear,0,987.664,70.854,2
2017-06-04,19:32:11.599000,7.845,7.51276,Clear,0,987.683,70.897,2
2017-06-04,19:32:11.699000,7.882,7.55103,Clear,0,987.703,70.941,2
2017-06-04,19:32:11.799000,7.81,7.48014,Clear,0,987.723,70.984,2
2017-06-04,19:32:11.899000,7.788,7.45759,Clear,0,987.743,71.028,2
2017-06-04,19:32:11.999000,7.949,7.62043,Clear,0,987.765,71.071,2
2017-06-04,19:32:12.099000,7.82,7.49065,Clear,0,987.786,71.115,2
2017-06-04,19:32:12.199000,8.149,7.82129,Clear,0,987.808,71.158,2
2017-06-04,19:32:12.299000,7.795,7.46786,Clear,0,987.831,71.202,2
2017-06-04,19:32:12.399000,7.954,7.62684,Clear,0,987.854,71.245,2
2017-06-04,19:32:12.499000,7.799,7.47261,Clear,0,987.878,71.288,2
2017-06-04,19:32:12.599000,7.867,7.54189,Clear,0,987.902,71.332,2
2017-06-04,19:32:12.699000,7.963,7.63755,Clear,0,987.927,71.375,2
2017-06-04,19:32:12.799000,7.917,7.59315,Clear,0,987.952,71.419,2
2017-06-04,19:32:12.899000,8.0,7.67661,Clear,0,987.978,71.462,2
2017-06-04,19:32:12.999000,8.081,7.75825,Clear,0,988.005,71.506,2
2017-06-04,19:32:13.099000,7.971,7.64878,Clear,0,988.031,71.549,2
2017-06-04,19:32:13.199000,7.696,7.37477,Clear,0,988.059,71.592,2
2017-06-04,19:32:13.299000,7.9,7.57851,Clear,0,988.087,71.636,2
2017-06-04,19:32:13.399000,7.953,7.63275,Clear,0,988.115,71.679,2
2017-06-04,19:32:13.499000,7.806,7.48721,Clear,0,988.144,71.723,2
2017-06-04,19:32:13.599000,7.768,7.44867,Clear,0,988.174,71.766,2
2017-06-04,19:32:13.699000,7.91,7.59217,Clear,0,988.204,71.81,2
2017-06-04,19:32:13.799000,8.007,7.68906,Clear,0,988.234,71.853,2
2017-06-04,19:32:13.899000,8.021,7.70438,Clear,0,988.265,71.896,2
2017-06-04,19:32:13.999000,8.006,7.68969,Clear,0,988.297,71.94,2
2017-06-04,19:32:14.099000,8.059,7.74343,Clear,0,988.329,71.983,2
2017-06-04,19:32:14.199000,7.824,7.50883,Clear,0,988.362,72.027,2
2017-06-04,19:32:14.299000,7.924,7.61038,Clear,0,988.395,72.07,2
2017-06-04,19:32:14.399000,7.982,7.66924,Clear,0,988.429,72.113,2
2017-06-04,19:32:14.499000,8.11,7.79679,Clear,0,988.463,72.157,2
2017-06-04,19:32:14.599000,7.895,7.58289,Clear,0,988.498,72.2,2
2017-06-04,19:32:14.699000,8.061,7.75036,Clear,0,988.533,72.244,2
2017-06-04,19:32:14.799000,7.833,7.52208,Clear,0,988.569,72.287,2
2017-06-04,19:32:14.899000,7.903,7.59258,Clear,0,988.605,72.331,2
2017-06-04,19:32:14.999000,7.942,7.63341,Clear,0,988.642,72.374,2
2017-06-04,19:32:15.099000,7.938,7.62904,Clear,0,988.679,72.417,2
2017-06-04,19:32:15.199000,8.025,7.71726,Clear,0,988.717,72.461,2
2017-06-04,19:32:15.299000,7.951,7.64406,Clear,0,988.755,72.504,2
2017-06-04,19:32:15.399000,7.8,7.49315,Clear,0,988.794,72.547,2
2017-06-04,19:32:15.499000,7.885,7.57914,Clear,0,988.834,72.591,2
2017-06-04,19:32:15.599000,7.819,7.51443,Clear,0,988.874,72.634,2
2017-06-04,19:32:15.699000,7.892,7.58677,Clear,0,988.914,72.678,2
2017-06-04,19:32:15.799000,7.841,7.53725,Clear,0,988.955,72.721,2
2017-06-04,19:32:15.899000,7.891,7.58821,Clear,0,988.997,72.764,2
2017-06-04,19:32:15.999000,7.902,7.59862,Clear,0,989.039,72.808,2
2017-06-04,19:32:16.099000,7.959,7.65678,Clear,0,989.081,72.851,2
2017-06-04,19:32:16.199000,7.856,7.55474,Clear,0,989.124,72.894,2
2017-06-04,19:32:16.299000,7.913,7.61308,Clear,0,989.168,72.938,2
2017-06-04,19:32:16.399000,8.059,7.75901,Clear,0,989.212,72.981,2
2017-06-04,19:32:16.499000,8.116,7.81711,Clear,0,989.257,73.025,2
2017-06-04,19:32:16.599000,7.967,7.6688,Clear,0,989.302,73.068,2
2017-06-04,19:32:16.699000,8.092,7.79401,Clear,0,989.347,73.111,2
2017-06-04,19:32:16.799000,7.912,7.61491,Clear,0,989.394,73.155,2
2017-06-04,19:32:16.899000,8.007,7.71061,Clear,0,989.44,73.198,2
2017-06-04,19:32:16.999000,7.936,7.6405,Clear,0,989.488,73.241,2
2017-06-04,19:32:17.099000,8.034,7.73866,Clear,0,989.535,73.285,2
2017-06-04,19:32:17.199000,7.966,7.67154,Clear,0,989.584,73.328,2
2017-06-04,19:32:17.299000,7.86,7.56686,Clear,0,989.633,73.371,2
2017-06-04,19:32:17.399000,8.075,7.78209,Clear,0,989.682,73.415,2
2017-06-04,19:32:17.499000,7.969,7.67668,Clear,0,989.732,73.458,2
2017-06-04,19:32:17.599000,8.086,7.79522,Clear,0,989.782,73.501,2
2017-06-04,19:32:17.699000,7.714,7.42385,Clear,0,989.833,73.545,2
2017-06-04,19:32:17.799000,7.896,7.6061,Clear,0,989.884,73.588,2
2017-06-04,19:32:17.899000,8.181,7.89163,Clear,0,989.936,73.631,2
2017-06-04,19:32:17.999000,8.025,7.73662,Clear,0,989.989,73.674,2
2017-06-04,19:32:18.099000,7.367,7.07984,Clear,0,990.042,73.718,2
2017-06-04,19:32:18.199000,7.902,7.61453,Clear,0,990.095,73.761,2
2017-06-04,19:32:18.299000,7.934,7.6475,Clear,0,990.149,73.804,2
2017-06-04,19:32:18.399000,8.139,7.85369,Clear,0,990.204,73.848,2
