satellite, 28097 USA 173 DEB (NOSS 3-2 (C) ?) / US
catalogue, 3 McCants
track, 12538927
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1675
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2017-08-13,19:27:46.097000,4.029,5.7079,Clear,0,1940.294,101.318,1
2017-08-13,19:27:46.197000,4.165,5.84412,Clear,0,1940.227,101.301,1
2017-08-13,19:27:46.297000,4.2,5.87745,Clear,0,1940.162,101.284,1
2017-08-13,19:27:46.497000,4.087,5.76358,Clear,0,1940.03,101.251,1
2017-08-13,19:27:46.597000,4.291,5.96836,Clear,0,1939.965,101.234,1
2017-08-13,19:27:46.697000,4.203,5.87894,Clear,0,1939.9,101.217,1
2017-08-13,19:27:46.797000,4.107,5.78246,Clear,0,1939.835,101.2,1
2017-08-13,19:27:46.897000,4.2,5.8746,Clear,0,1939.77,101.183,1
2017-08-13,19:27:46.997000,4.099,5.77377,Clear,0,1939.705,101.166,1
2017-08-13,19:27:47.097000,4.098,5.77225,Clear,0,1939.641,101.15,1
2017-08-13,19:27:47.197000,4.116,5.78999,Clear,0,1939.577,101.133,1
2017-08-13,19:27:47.297000,4.206,5.88004,Clear,0,1939.513,101.116,1
2017-08-13,19:27:47.397000,4.218,5.89058,Clear,0,1939.449,101.099,1
2017-08-13,19:27:47.497000,4.089,5.76166,Clear,0,1939.386,101.082,1
2017-08-13,19:27:47.597000,4.043,5.71498,Clear,0,1939.322,101.065,1
2017-08-13,19:27:47.697000,4.265,5.93722,Clear,0,1939.259,101.049,1
2017-08-13,19:27:47.797000,4.128,5.79932,Clear,0,1939.196,101.032,1
2017-08-13,19:27:47.897000,4.225,5.8956,Clear,0,1939.133,101.015,1
2017-08-13,19:27:47.997000,4.296,5.96603,Clear,0,1939.071,100.998,1
2017-08-13,19:27:48.097000,4.087,5.75739,Clear,0,1939.008,100.981,1
2017-08-13,19:27:48.197000,4.16,5.82901,Clear,0,1938.946,100.964,1
2017-08-13,19:27:48.297000,4.134,5.80335,Clear,0,1938.884,100.948,1
2017-08-13,19:27:48.397000,4.143,5.81217,Clear,0,1938.822,100.931,1
2017-08-13,19:27:48.497000,4.095,5.76321,Clear,0,1938.761,100.914,1
2017-08-13,19:27:48.597000,4.056,5.72352,Clear,0,1938.699,100.897,1
2017-08-13,19:27:48.697000,4.016,5.68323,Clear,0,1938.638,100.88,1
2017-08-13,19:27:48.797000,4.043,5.70957,Clear,0,1938.577,100.863,1
2017-08-13,19:27:48.897000,4.142,5.80817,Clear,0,1938.516,100.847,1
2017-08-13,19:27:48.997000,4.144,5.81024,Clear,0,1938.455,100.83,1
2017-08-13,19:27:49.097000,4.094,5.75917,Clear,0,1938.395,100.813,1
2017-08-13,19:27:49.197000,4.141,5.80579,Clear,0,1938.335,100.796,1
2017-08-13,19:27:49.297000,4.103,5.76726,Clear,0,1938.275,100.779,1
2017-08-13,19:27:49.397000,4.254,5.91802,Clear,0,1938.215,100.762,1
2017-08-13,19:27:49.497000,4.072,5.73576,Clear,0,1938.155,100.745,1
2017-08-13,19:27:49.597000,4.098,5.76114,Clear,0,1938.096,100.729,1
2017-08-13,19:27:49.697000,4.105,5.76748,Clear,0,1938.036,100.712,1
2017-08-13,19:27:49.797000,4.134,5.79568,Clear,0,1937.977,100.695,1
2017-08-13,19:27:49.897000,4.168,5.82962,Clear,0,1937.919,100.678,1
2017-08-13,19:27:49.997000,4.124,5.78521,Clear,0,1937.86,100.661,1
2017-08-13,19:27:50.097000,4.117,5.77759,Clear,0,1937.801,100.644,1
2017-08-13,19:27:50.197000,4.205,5.865,Clear,0,1937.743,100.628,1
2017-08-13,19:27:50.297000,4.228,5.88772,Clear,0,1937.685,100.611,1
2017-08-13,19:27:50.397000,4.26,5.91936,Clear,0,1937.627,100.594,1
2017-08-13,19:27:50.497000,4.133,5.79201,Clear,0,1937.57,100.577,1
2017-08-13,19:27:50.597000,4.138,5.79683,Clear,0,1937.512,100.56,1
2017-08-13,19:27:50.697000,4.006,5.6644,Clear,0,1937.455,100.543,1
2017-08-13,19:27:50.797000,4.276,5.93444,Clear,0,1937.398,100.526,1
2017-08-13,19:27:50.897000,4.13,5.78661,Clear,0,1937.341,100.51,1
2017-08-13,19:27:50.997000,4.163,5.81983,Clear,0,1937.284,100.493,1
2017-08-13,19:27:51.097000,4.206,5.86233,Clear,0,1937.228,100.476,1
2017-08-13,19:27:51.197000,4.092,5.74798,Clear,0,1937.171,100.459,1
2017-08-13,19:27:51.297000,4.107,5.76231,Clear,0,1937.115,100.442,1
2017-08-13,19:27:51.397000,4.192,5.84718,Clear,0,1937.059,100.425,1
2017-08-13,19:27:51.497000,4.118,5.77337,Clear,0,1937.004,100.408,1
