satellite, 41179 ORBCOMM FM 114 / US
catalogue, 1 NORAD
track, 13046401
variability, 0 Not variable
variability_period, 0.0
npoints, 575
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2018-04-06,17:45:33.296000,8.687,8.2014,Clear,0,816.295,87.442,3
2018-04-06,17:45:33.396000,8.098,7.61212,Clear,0,816.262,87.4,3
2018-04-06,17:45:33.496000,8.804,8.31668,Clear,0,816.229,87.359,3
2018-04-06,17:45:33.496000,8.148,7.66133,Clear,0,816.229,87.359,3
2018-04-06,17:45:33.596000,8.7,8.21182,Clear,0,816.197,87.317,3
2018-04-06,17:45:33.596000,8.952,8.46379,Clear,0,816.197,87.317,3
2018-04-06,17:45:33.696000,8.058,7.56943,Clear,0,816.165,87.275,3
2018-04-06,17:45:33.796000,8.224,7.73439,Clear,0,816.134,87.233,3
2018-04-06,17:45:33.896000,8.652,8.16096,Clear,0,816.103,87.192,3
2018-04-06,17:45:33.996000,8.259,7.7676,Clear,0,816.073,87.15,3
2018-04-06,17:45:34.096000,8.633,8.14128,Clear,0,816.043,87.108,3
2018-04-06,17:45:34.296000,7.802,7.30836,Clear,0,815.986,87.025,3
2018-04-06,17:45:34.396000,8.205,7.70974,Clear,0,815.958,86.983,3
2018-04-06,17:45:34.496000,8.248,7.75193,Clear,0,815.931,86.941,3
2018-04-06,17:45:34.596000,8.341,7.84532,Clear,0,815.904,86.899,3
2018-04-06,17:45:34.696000,8.419,7.92213,Clear,0,815.878,86.858,3
2018-04-06,17:45:34.796000,7.835,7.33687,Clear,0,815.852,86.816,3
2018-04-06,17:45:34.896000,8.17,7.67074,Clear,0,815.827,86.774,3
2018-04-06,17:45:34.996000,8.051,7.55109,Clear,0,815.803,86.732,3
2018-04-06,17:45:35.096000,8.184,7.68403,Clear,0,815.779,86.691,3
2018-04-06,17:45:35.196000,7.868,7.367,Clear,0,815.755,86.649,3
2018-04-06,17:45:35.396000,7.991,7.48791,Clear,0,815.71,86.565,3
2018-04-06,17:45:35.496000,8.559,8.055,Clear,0,815.688,86.523,3
2018-04-06,17:45:35.596000,8.644,8.13933,Clear,0,815.667,86.482,3
2018-04-06,17:45:35.596000,9.029,8.52435,Clear,0,815.667,86.482,3
2018-04-06,17:45:35.696000,8.928,8.42286,Clear,0,815.647,86.44,3
2018-04-06,17:45:35.696000,8.169,7.6636,Clear,0,815.647,86.44,3
2018-04-06,17:45:35.796000,8.503,7.99651,Clear,0,815.627,86.398,3
2018-04-06,17:45:35.796000,8.252,7.74596,Clear,0,815.627,86.398,3
2018-04-06,17:45:35.896000,8.7,8.19299,Clear,0,815.607,86.356,3
2018-04-06,17:45:35.896000,8.786,8.27928,Clear,0,815.607,86.356,3
2018-04-06,17:45:35.996000,8.187,7.67882,Clear,0,815.588,86.315,3
2018-04-06,17:45:35.996000,8.479,7.97064,Clear,0,815.588,86.315,3
2018-04-06,17:45:36.096000,9.048,8.53985,Clear,0,815.57,86.273,3
2018-04-06,17:45:36.096000,8.721,8.21258,Clear,0,815.57,86.273,3
2018-04-06,17:45:36.196000,8.229,7.72008,Clear,0,815.552,86.231,3
2018-04-06,17:45:36.296000,8.457,7.94674,Clear,0,815.535,86.189,3
2018-04-06,17:45:36.296000,8.201,7.69062,Clear,0,815.535,86.189,3
2018-04-06,17:45:36.396000,9.04,8.5293,Clear,0,815.518,86.148,3
2018-04-06,17:45:36.496000,8.33,7.81809,Clear,0,815.502,86.106,3
2018-04-06,17:45:36.596000,8.137,7.62471,Clear,0,815.486,86.064,3
2018-04-06,17:45:36.696000,8.216,7.70318,Clear,0,815.471,86.022,3
2018-04-06,17:45:36.796000,8.392,7.87745,Clear,0,815.457,85.981,3
2018-04-06,17:45:36.896000,8.287,7.77202,Clear,0,815.443,85.939,3
2018-04-06,17:45:36.996000,8.404,7.88821,Clear,0,815.43,85.897,3
2018-04-06,17:45:36.996000,8.556,8.03986,Clear,0,815.43,85.897,3
2018-04-06,17:45:37.096000,8.088,7.57159,Clear,0,815.417,85.855,3
2018-04-06,17:45:37.196000,8.112,7.59465,Clear,0,815.405,85.814,3
2018-04-06,17:45:37.296000,8.413,7.89537,Clear,0,815.393,85.772,3
2018-04-06,17:45:37.396000,8.362,7.8429,Clear,0,815.382,85.73,3
2018-04-06,17:45:37.496000,8.914,8.39495,Clear,0,815.371,85.688,3
2018-04-06,17:45:37.596000,8.464,7.94407,Clear,0,815.361,85.647,3
2018-04-06,17:45:37.596000,8.382,7.86237,Clear,0,815.361,85.647,3
2018-04-06,17:45:37.696000,8.077,7.55548,Clear,0,815.352,85.605,3
2018-04-06,17:45:37.796000,8.415,7.8925,Clear,0,815.343,85.563,3
2018-04-06,17:45:37.896000,8.648,8.12605,Clear,0,815.335,85.521,3
2018-04-06,17:45:37.897000,8.012,7.48957,Clear,0,815.335,85.521,8
2018-04-06,17:45:37.996000,8.851,8.32821,Clear,0,815.327,85.48,3
2018-04-06,17:45:37.996000,8.47,7.94679,Clear,0,815.327,85.48,3
2018-04-06,17:45:37.997000,7.938,7.4151,Clear,0,815.327,85.479,8
2018-04-06,17:45:38.096000,8.144,7.62039,Clear,0,815.32,85.438,3
2018-04-06,17:45:38.097000,8.19,7.66627,Clear,0,815.32,85.437,8
2018-04-06,17:45:38.196000,8.079,7.55376,Clear,0,815.313,85.396,3
2018-04-06,17:45:38.197000,8.063,7.53805,Clear,0,815.313,85.396,8
2018-04-06,17:45:38.296000,8.451,7.92597,Clear,0,815.307,85.354,3
2018-04-06,17:45:38.297000,7.89,7.36486,Clear,0,815.307,85.354,8
2018-04-06,17:45:38.396000,8.157,7.63093,Clear,0,815.302,85.313,3
2018-04-06,17:45:38.397000,7.849,7.32322,Clear,0,815.301,85.312,8
2018-04-06,17:45:38.496000,8.253,7.72602,Clear,0,815.297,85.271,3
2018-04-06,17:45:38.496000,9.016,8.48887,Clear,0,815.297,85.271,3
2018-04-06,17:45:38.497000,8.403,7.87628,Clear,0,815.297,85.27,8
2018-04-06,17:45:38.596000,8.21,7.68211,Clear,0,815.292,85.229,3
2018-04-06,17:45:38.597000,8.904,8.37585,Clear,0,815.292,85.229,8
2018-04-06,17:45:38.696000,8.133,7.60529,Clear,0,815.288,85.187,3
2018-04-06,17:45:38.697000,8.228,7.69955,Clear,0,815.288,85.187,8
2018-04-06,17:45:38.796000,8.19,7.661,Clear,0,815.285,85.146,3
2018-04-06,17:45:38.797000,8.644,8.11458,Clear,0,815.285,85.145,8
2018-04-06,17:45:38.896000,9.049,8.51889,Clear,0,815.282,85.104,3
2018-04-06,17:45:38.897000,8.648,8.1179,Clear,0,815.282,85.104,8
2018-04-06,17:45:38.897000,8.25,7.71946,Clear,0,815.282,85.104,8
2018-04-06,17:45:38.996000,8.105,7.57378,Clear,0,815.28,85.062,3
2018-04-06,17:45:38.997000,8.138,7.60743,Clear,0,815.28,85.062,8
2018-04-06,17:45:39.096000,8.861,8.33004,Clear,0,815.279,85.02,3
2018-04-06,17:45:39.097000,8.82,8.28902,Clear,0,815.279,85.02,8
2018-04-06,17:45:39.097000,8.477,7.94625,Clear,0,815.279,85.02,8
2018-04-06,17:45:39.197000,8.11,7.57843,Clear,0,815.278,84.978,8
2018-04-06,17:45:39.296000,8.488,7.95487,Clear,0,815.277,84.937,3
2018-04-06,17:45:39.297000,8.472,7.93852,Clear,0,815.277,84.937,8
2018-04-06,17:45:39.396000,8.818,8.28465,Clear,0,815.277,84.895,3
2018-04-06,17:45:39.397000,8.446,7.91313,Clear,0,815.277,84.895,8
2018-04-06,17:45:39.397000,8.27,7.73661,Clear,0,815.277,84.895,8
2018-04-06,17:45:39.496000,8.149,7.61512,Clear,0,815.278,84.854,3
2018-04-06,17:45:39.497000,8.644,8.10947,Clear,0,815.278,84.853,8
2018-04-06,17:45:39.596000,8.283,7.74841,Clear,0,815.279,84.812,3
2018-04-06,17:45:39.597000,8.309,7.77398,Clear,0,815.279,84.812,8
2018-04-06,17:45:39.696000,8.081,7.54509,Clear,0,815.281,84.77,3
2018-04-06,17:45:39.697000,8.621,8.08449,Clear,0,815.281,84.77,8
2018-04-06,17:45:39.697000,8.891,8.35455,Clear,0,815.281,84.77,8
2018-04-06,17:45:39.796000,8.269,7.73335,Clear,0,815.283,84.729,3
2018-04-06,17:45:39.797000,8.099,7.56284,Clear,0,815.283,84.728,8
2018-04-06,17:45:39.896000,8.082,7.54492,Clear,0,815.286,84.687,3
2018-04-06,17:45:39.897000,8.14,7.60276,Clear,0,815.286,84.686,8
2018-04-06,17:45:39.996000,8.188,7.64975,Clear,0,815.289,84.645,3
2018-04-06,17:45:39.997000,8.333,7.79523,Clear,0,815.289,84.645,8
2018-04-06,17:45:39.997000,8.796,8.25785,Clear,0,815.289,84.645,8
2018-04-06,17:45:40.096000,8.155,7.61712,Clear,0,815.293,84.603,3
2018-04-06,17:45:40.097000,8.035,7.49712,Clear,0,815.293,84.603,8
2018-04-06,17:45:40.097000,8.331,7.79332,Clear,0,815.293,84.603,8
2018-04-06,17:45:40.196000,8.365,7.8255,Clear,0,815.298,84.562,3
2018-04-06,17:45:40.197000,8.503,7.96422,Clear,0,815.298,84.561,8
2018-04-06,17:45:40.197000,8.385,7.84579,Clear,0,815.298,84.561,8
2018-04-06,17:45:40.296000,8.385,7.84531,Clear,0,815.303,84.52,3
2018-04-06,17:45:40.297000,9.026,8.48617,Clear,0,815.303,84.52,8
2018-04-06,17:45:40.297000,8.115,7.57526,Clear,0,815.303,84.52,8
2018-04-06,17:45:40.396000,8.171,7.6295,Clear,0,815.309,84.478,3
2018-04-06,17:45:40.397000,7.908,7.36662,Clear,0,815.309,84.478,8
2018-04-06,17:45:40.496000,8.795,8.25394,Clear,0,815.315,84.437,3
2018-04-06,17:45:40.497000,8.168,7.62662,Clear,0,815.315,84.436,8
2018-04-06,17:45:40.596000,8.387,7.84521,Clear,0,815.322,84.395,3
2018-04-06,17:45:40.597000,8.211,7.66929,Clear,0,815.322,84.395,8
2018-04-06,17:45:40.696000,8.059,7.51549,Clear,0,815.329,84.353,3
2018-04-06,17:45:40.697000,8.202,7.65856,Clear,0,815.329,84.353,8
2018-04-06,17:45:40.697000,8.325,7.7816,Clear,0,815.329,84.353,8
2018-04-06,17:45:40.796000,8.872,8.32937,Clear,0,815.337,84.312,3
2018-04-06,17:45:40.896000,8.006,7.46221,Clear,0,815.345,84.27,3
2018-04-06,17:45:40.897000,8.42,7.87561,Clear,0,815.346,84.27,8
2018-04-06,17:45:40.996000,8.623,8.07833,Clear,0,815.354,84.228,3
2018-04-06,17:45:40.997000,8.591,8.0462,Clear,0,815.355,84.228,8
2018-04-06,17:45:40.997000,8.419,7.87407,Clear,0,815.355,84.228,8
2018-04-06,17:45:41.096000,8.994,8.44888,Clear,0,815.364,84.187,3
2018-04-06,17:45:41.097000,8.551,8.00561,Clear,0,815.364,84.186,8
2018-04-06,17:45:41.197000,8.046,7.50044,Clear,0,815.374,84.145,8
2018-04-06,17:45:41.296000,8.807,8.25988,Clear,0,815.385,84.103,3
2018-04-06,17:45:41.297000,7.949,7.40155,Clear,0,815.385,84.103,8
2018-04-06,17:45:41.397000,8.154,7.60663,Clear,0,815.396,84.061,8
2018-04-06,17:45:41.496000,8.892,8.34436,Clear,0,815.408,84.02,3
2018-04-06,17:45:41.497000,8.009,7.46061,Clear,0,815.408,84.02,8
2018-04-06,17:45:41.596000,8.382,7.83301,Clear,0,815.42,83.978,3
2018-04-06,17:45:41.597000,8.135,7.58577,Clear,0,815.42,83.978,8
2018-04-06,17:45:41.696000,7.994,7.44382,Clear,0,815.433,83.937,3
2018-04-06,17:45:41.697000,7.871,7.32066,Clear,0,815.433,83.936,8
2018-04-06,17:45:41.797000,8.27,7.71959,Clear,0,815.447,83.895,8
2018-04-06,17:45:41.896000,8.701,8.14959,Clear,0,815.461,83.854,3
2018-04-06,17:45:41.897000,8.502,7.95074,Clear,0,815.461,83.853,8
2018-04-06,17:45:41.996000,8.652,8.1004,Clear,0,815.475,83.812,3
2018-04-06,17:45:41.997000,8.916,8.36382,Clear,0,815.476,83.812,8
2018-04-06,17:45:42.097000,8.115,7.56249,Clear,0,815.491,83.77,8
2018-04-06,17:45:42.197000,8.147,7.59407,Clear,0,815.507,83.728,8
2018-04-06,17:45:42.297000,9.03,8.47612,Clear,0,815.523,83.687,8
2018-04-06,17:45:42.497000,8.067,7.5124,Clear,0,815.557,83.604,8
2018-04-06,17:45:42.597000,8.028,7.47273,Clear,0,815.575,83.562,8
2018-04-06,17:45:42.697000,8.173,7.61717,Clear,0,815.594,83.52,8
2018-04-06,17:45:42.797000,8.403,7.84581,Clear,0,815.613,83.479,8
2018-04-06,17:45:42.897000,8.279,7.72172,Clear,0,815.632,83.437,8
2018-04-06,17:45:42.997000,8.294,7.73596,Clear,0,815.653,83.396,8
2018-04-06,17:45:43.097000,8.212,7.65277,Clear,0,815.673,83.354,8
2018-04-06,17:45:43.197000,8.094,7.53462,Clear,0,815.695,83.312,8
2018-04-06,17:45:43.297000,7.969,7.40861,Clear,0,815.717,83.271,8
2018-04-06,17:45:43.397000,8.341,7.78037,Clear,0,815.739,83.229,8
2018-04-06,17:45:43.497000,8.62,8.05921,Clear,0,815.762,83.188,8
2018-04-06,17:45:43.597000,8.034,7.47152,Clear,0,815.786,83.146,8
2018-04-06,17:45:43.697000,8.102,7.53918,Clear,0,815.81,83.105,8
2018-04-06,17:45:43.797000,9.027,8.46398,Clear,0,815.834,83.063,8
2018-04-06,17:45:43.897000,8.755,8.1912,Clear,0,815.86,83.022,8
2018-04-06,17:45:43.997000,8.784,8.22042,Clear,0,815.885,82.98,8
2018-04-06,17:45:44.097000,8.354,7.78873,Clear,0,815.912,82.939,8
2018-04-06,17:45:44.197000,8.055,7.4892,Clear,0,815.939,82.897,8
2018-04-06,17:45:44.297000,8.628,8.06154,Clear,0,815.966,82.856,8
2018-04-06,17:45:44.397000,8.57,8.0025,Clear,0,815.994,82.814,8
2018-04-06,17:45:44.497000,9.095,8.52662,Clear,0,816.023,82.773,8
2018-04-06,17:45:44.597000,8.538,7.96947,Clear,0,816.052,82.731,8
2018-04-06,17:45:44.697000,8.233,7.66387,Clear,0,816.082,82.69,8
2018-04-06,17:45:44.797000,8.868,8.29883,Clear,0,816.112,82.648,8
2018-04-06,17:45:44.897000,8.024,7.45413,Clear,0,816.143,82.607,8
2018-04-06,17:45:44.997000,7.941,7.37033,Clear,0,816.174,82.565,8
2018-04-06,17:45:45.097000,7.916,7.34457,Clear,0,816.206,82.524,8
2018-04-06,17:45:45.197000,8.027,7.45467,Clear,0,816.238,82.482,8
2018-04-06,17:45:45.297000,8.09,7.51778,Clear,0,816.272,82.441,8
2018-04-06,17:45:45.397000,8.032,7.45888,Clear,0,816.305,82.4,8
2018-04-06,17:45:45.497000,7.707,7.13264,Clear,0,816.339,82.358,8
2018-04-06,17:45:45.597000,8.102,7.52761,Clear,0,816.374,82.317,8
2018-04-06,17:45:45.697000,8.176,7.60096,Clear,0,816.409,82.275,8
2018-04-06,17:45:45.797000,8.586,8.01049,Clear,0,816.445,82.234,8
2018-04-06,17:45:45.897000,8.101,7.52452,Clear,0,816.482,82.192,8
2018-04-06,17:45:45.997000,8.162,7.58486,Clear,0,816.518,82.151,8
2018-04-06,17:45:46.097000,8.149,7.57182,Clear,0,816.556,82.11,8
2018-04-06,17:45:46.197000,8.006,7.42819,Clear,0,816.594,82.068,8
2018-04-06,17:45:46.297000,8.556,7.97745,Clear,0,816.633,82.027,8
2018-04-06,17:45:46.397000,8.077,7.49821,Clear,0,816.672,81.986,8
2018-04-06,17:45:46.497000,8.038,7.45868,Clear,0,816.712,81.944,8
2018-04-06,17:45:46.597000,8.057,7.4769,Clear,0,816.752,81.903,8
2018-04-06,17:45:46.697000,8.309,7.7283,Clear,0,816.793,81.861,8
2018-04-06,17:45:46.797000,8.116,7.53496,Clear,0,816.834,81.82,8
2018-04-06,17:45:46.897000,8.941,8.35847,Clear,0,816.876,81.779,8
2018-04-06,17:45:46.997000,8.417,7.83468,Clear,0,816.919,81.737,8
2018-04-06,17:45:47.097000,8.309,7.72619,Clear,0,816.962,81.696,8
2018-04-06,17:45:47.197000,8.357,7.77431,Clear,0,817.005,81.655,8
2018-04-06,17:45:47.297000,8.125,7.54121,Clear,0,817.049,81.614,8
2018-04-06,17:45:47.397000,8.144,7.5589,Clear,0,817.094,81.572,8
2018-04-06,17:45:47.497000,8.146,7.56138,Clear,0,817.139,81.531,8
2018-04-06,17:45:47.597000,8.197,7.61116,Clear,0,817.185,81.49,8
2018-04-06,17:45:47.697000,8.697,8.11047,Clear,0,817.232,81.448,8
2018-04-06,17:45:47.797000,8.309,7.72222,Clear,0,817.279,81.407,8
2018-04-06,17:45:47.897000,8.659,8.07202,Clear,0,817.326,81.366,8
2018-04-06,17:45:47.997000,8.027,7.43871,Clear,0,817.374,81.325,8
2018-04-06,17:45:48.097000,8.164,7.57567,Clear,0,817.423,81.283,8
2018-04-06,17:45:48.197000,8.197,7.60766,Clear,0,817.472,81.242,8
2018-04-06,17:45:48.297000,8.423,7.8337,Clear,0,817.522,81.201,8
2018-04-06,17:45:48.397000,8.8,8.20996,Clear,0,817.572,81.16,8
2018-04-06,17:45:48.497000,8.526,7.93451,Clear,0,817.623,81.119,8
2018-04-06,17:45:48.597000,8.13,7.53906,Clear,0,817.674,81.077,8
2018-04-06,17:45:48.697000,8.247,7.65512,Clear,0,817.726,81.036,8
2018-04-06,17:45:48.797000,8.681,8.08934,Clear,0,817.779,80.995,8
2018-04-06,17:45:48.897000,8.255,7.66165,Clear,0,817.832,80.954,8
2018-04-06,17:45:48.997000,8.493,7.89967,Clear,0,817.885,80.913,8
2018-04-06,17:45:49.097000,8.149,7.55454,Clear,0,817.94,80.872,8
2018-04-06,17:45:49.197000,8.197,7.60261,Clear,0,817.994,80.83,8
2018-04-06,17:45:49.297000,8.772,8.17691,Clear,0,818.05,80.789,8
2018-04-06,17:45:49.397000,8.405,7.81039,Clear,0,818.105,80.748,8
2018-04-06,17:45:49.497000,8.101,7.50493,Clear,0,818.162,80.707,8
2018-04-06,17:45:49.597000,8.215,7.61856,Clear,0,818.219,80.666,8
2018-04-06,17:45:49.697000,8.503,7.90583,Clear,0,818.276,80.625,8
2018-04-06,17:45:49.797000,8.276,7.67903,Clear,0,818.334,80.584,8
2018-04-06,17:45:49.897000,8.775,8.17687,Clear,0,818.393,80.543,8
2018-04-06,17:45:49.997000,8.148,7.5502,Clear,0,818.452,80.502,8
2018-04-06,17:45:50.097000,8.96,8.36066,Clear,0,818.512,80.461,8
2018-04-06,17:45:50.197000,8.415,7.8157,Clear,0,818.572,80.419,8
2018-04-06,17:45:50.297000,8.403,7.80267,Clear,0,818.633,80.378,8
2018-04-06,17:45:50.397000,8.135,7.53498,Clear,0,818.694,80.337,8
2018-04-06,17:45:50.497000,7.969,7.36763,Clear,0,818.756,80.296,8
2018-04-06,17:45:50.597000,8.262,7.66054,Clear,0,818.818,80.255,8
2018-04-06,17:45:50.697000,8.603,8.00104,Clear,0,818.881,80.214,8
2018-04-06,17:45:50.797000,8.292,7.68972,Clear,0,818.945,80.173,8
2018-04-06,17:45:50.897000,8.21,7.60723,Clear,0,819.009,80.132,8
2018-04-06,17:45:50.997000,8.354,7.75063,Clear,0,819.074,80.091,8
2018-04-06,17:45:51.097000,8.455,7.85081,Clear,0,819.139,80.05,8
2018-04-06,17:45:51.197000,8.718,8.11388,Clear,0,819.205,80.01,8
2018-04-06,17:45:51.297000,8.279,7.67355,Clear,0,819.271,79.969,8
2018-04-06,17:45:51.397000,8.105,7.49971,Clear,0,819.338,79.928,8
2018-04-06,17:45:51.497000,8.525,7.91897,Clear,0,819.405,79.887,8
2018-04-06,17:45:51.597000,8.382,7.77635,Clear,0,819.473,79.846,8
2018-04-06,17:45:51.697000,8.795,8.18838,Clear,0,819.542,79.805,8
2018-04-06,17:45:51.797000,8.65,8.04312,Clear,0,819.611,79.764,8
2018-04-06,17:45:51.897000,8.098,7.49123,Clear,0,819.681,79.723,8
2018-04-06,17:45:51.997000,8.479,7.87086,Clear,0,819.751,79.682,8
2018-04-06,17:45:52.097000,8.572,7.96412,Clear,0,819.822,79.641,8
2018-04-06,17:45:52.197000,8.291,7.68167,Clear,0,819.893,79.601,8
2018-04-06,17:45:52.297000,8.223,7.614,Clear,0,819.965,79.56,8
2018-04-06,17:45:52.397000,8.598,7.98811,Clear,0,820.037,79.519,8
2018-04-06,17:45:52.497000,8.202,7.59172,Clear,0,820.11,79.478,8
2018-04-06,17:45:52.597000,8.958,8.34713,Clear,0,820.183,79.437,8
2018-04-06,17:45:52.697000,8.618,8.00696,Clear,0,820.258,79.396,8
2018-04-06,17:45:52.797000,8.368,7.75556,Clear,0,820.332,79.356,8
2018-04-06,17:45:52.891000,8.974,8.36167,Clear,0,820.403,79.317,1
2018-04-06,17:45:52.897000,8.715,8.10259,Clear,0,820.407,79.315,8
2018-04-06,17:45:52.997000,8.539,7.92722,Clear,0,820.483,79.274,8
2018-04-06,17:45:53.091000,8.911,8.29748,Clear,0,820.555,79.236,1
2018-04-06,17:45:53.096000,8.357,7.74438,Clear,0,820.558,79.234,8
2018-04-06,17:45:53.191000,8.831,8.21773,Clear,0,820.631,79.195,1
2018-04-06,17:45:53.196000,8.719,8.10559,Clear,0,820.635,79.193,8
2018-04-06,17:45:53.291000,9.046,8.43171,Clear,0,820.709,79.154,1
2018-04-06,17:45:53.397000,8.66,8.04578,Clear,0,820.791,79.111,8
2018-04-06,17:45:53.491000,8.391,7.77563,Clear,0,820.865,79.073,1
2018-04-06,17:45:53.497000,8.023,7.40828,Clear,0,820.87,79.071,8
2018-04-06,17:45:53.591000,8.707,8.09202,Clear,0,820.944,79.032,1
2018-04-06,17:45:53.597000,8.638,8.02324,Clear,0,820.948,79.03,8
2018-04-06,17:45:53.691000,8.397,7.78228,Clear,0,821.023,78.992,1
2018-04-06,17:45:53.697000,8.36,7.74469,Clear,0,821.028,78.989,8
2018-04-06,17:45:53.791000,8.198,7.5823,Clear,0,821.103,78.951,1
2018-04-06,17:45:53.797000,8.844,8.22841,Clear,0,821.108,78.949,8
2018-04-06,17:45:53.891000,7.993,7.3773,Clear,0,821.184,78.91,1
2018-04-06,17:45:53.897000,8.403,7.7867,Clear,0,821.189,78.908,8
2018-04-06,17:45:53.991000,8.309,7.69206,Clear,0,821.265,78.87,1
2018-04-06,17:45:53.996000,8.992,8.37448,Clear,0,821.269,78.868,8
2018-04-06,17:45:54.091000,8.638,8.0211,Clear,0,821.347,78.829,1
2018-04-06,17:45:54.096000,8.985,8.36779,Clear,0,821.351,78.827,8
2018-04-06,17:45:54.191000,8.673,8.05549,Clear,0,821.429,78.788,1
2018-04-06,17:45:54.196000,8.543,7.92496,Clear,0,821.433,78.786,8
2018-04-06,17:45:54.291000,8.592,7.97385,Clear,0,821.512,78.748,1
2018-04-06,17:45:54.296000,8.654,8.03644,Clear,0,821.516,78.746,8
2018-04-06,17:45:54.391000,8.668,8.04975,Clear,0,821.595,78.707,1
2018-04-06,17:45:54.396000,9.026,8.40818,Clear,0,821.599,78.705,8
2018-04-06,17:45:54.491000,8.132,7.51314,Clear,0,821.679,78.667,1
2018-04-06,17:45:54.496000,8.585,7.96562,Clear,0,821.683,78.665,8
2018-04-06,17:45:54.591000,8.326,7.70693,Clear,0,821.763,78.626,1
2018-04-06,17:45:54.596000,8.604,7.98501,Clear,0,821.767,78.624,8
2018-04-06,17:45:54.691000,8.641,8.02089,Clear,0,821.848,78.585,1
2018-04-06,17:45:54.696000,8.535,7.91508,Clear,0,821.852,78.583,8
2018-04-06,17:45:54.791000,8.123,7.50304,Clear,0,821.934,78.545,1
2018-04-06,17:45:54.796000,8.329,7.70865,Clear,0,821.938,78.543,8
2018-04-06,17:45:54.891000,8.778,8.15801,Clear,0,822.02,78.504,1
2018-04-06,17:45:54.896000,8.239,7.61915,Clear,0,822.024,78.502,8
2018-04-06,17:45:54.996000,8.262,7.64109,Clear,0,822.111,78.462,8
2018-04-06,17:45:55.091000,8.057,7.43589,Clear,0,822.193,78.423,1
2018-04-06,17:45:55.096000,8.662,8.04097,Clear,0,822.198,78.421,8
2018-04-06,17:45:55.191000,8.378,7.75585,Clear,0,822.281,78.383,1
2018-04-06,17:45:55.196000,8.048,7.42577,Clear,0,822.285,78.381,8
2018-04-06,17:45:55.291000,8.53,7.90746,Clear,0,822.369,78.342,1
2018-04-06,17:45:55.296000,8.732,8.11033,Clear,0,822.374,78.34,8
2018-04-06,17:45:55.396000,8.365,7.74246,Clear,0,822.463,78.3,8
