satellite, 42812 IRIDIUM 121 / US
catalogue, 1 NORAD
track, 13415054
variability, 0 Not variable
variability_period, 0.0
npoints, 752
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2018-08-20,18:06:58.583000,5.898,4.94788,Clear,0,817.723,52.517,3
2018-08-20,18:06:58.683000,5.878,4.92763,Clear,0,817.853,52.481,3
2018-08-20,18:06:58.783000,5.888,4.93785,Clear,0,817.983,52.445,3
2018-08-20,18:06:58.883000,5.848,4.8978,Clear,0,818.113,52.41,3
2018-08-20,18:06:58.983000,5.833,4.88332,Clear,0,818.244,52.374,3
2018-08-20,18:06:59.083000,5.828,4.87795,Clear,0,818.376,52.339,3
2018-08-20,18:06:59.183000,5.851,4.90049,Clear,0,818.508,52.303,3
2018-08-20,18:06:59.283000,5.833,4.88278,Clear,0,818.641,52.268,3
2018-08-20,18:06:59.383000,5.872,4.92178,Clear,0,818.774,52.232,3
2018-08-20,18:06:59.483000,5.814,4.86404,Clear,0,818.908,52.197,3
2018-08-20,18:06:59.583000,5.83,4.88026,Clear,0,819.042,52.161,3
2018-08-20,18:06:59.683000,5.854,4.90417,Clear,0,819.178,52.126,3
2018-08-20,18:06:59.783000,5.877,4.92667,Clear,0,819.313,52.09,3
2018-08-20,18:06:59.883000,5.844,4.89378,Clear,0,819.449,52.055,3
2018-08-20,18:06:59.983000,5.885,4.93483,Clear,0,819.586,52.02,3
2018-08-20,18:07:00.083000,5.84,4.88993,Clear,0,819.724,51.985,3
2018-08-20,18:07:00.183000,5.868,4.91811,Clear,0,819.862,51.949,3
2018-08-20,18:07:00.283000,5.845,4.89448,Clear,0,820.0,51.914,3
2018-08-20,18:07:00.383000,5.849,4.89857,Clear,0,820.139,51.879,3
2018-08-20,18:07:00.483000,5.842,4.89173,Clear,0,820.279,51.844,3
2018-08-20,18:07:00.583000,5.86,4.90978,Clear,0,820.419,51.809,3
2018-08-20,18:07:00.683000,5.842,4.8917,Clear,0,820.56,51.773,3
2018-08-20,18:07:00.783000,5.853,4.90245,Clear,0,820.702,51.738,3
2018-08-20,18:07:00.883000,5.819,4.86856,Clear,0,820.844,51.703,3
2018-08-20,18:07:00.983000,5.85,4.90031,Clear,0,820.986,51.668,3
2018-08-20,18:07:01.083000,5.792,4.84215,Clear,0,821.129,51.633,3
2018-08-20,18:07:01.183000,5.869,4.91881,Clear,0,821.273,51.598,3
2018-08-20,18:07:01.283000,5.793,4.84345,Clear,0,821.417,51.563,3
2018-08-20,18:07:01.383000,5.838,4.88873,Clear,0,821.562,51.529,3
2018-08-20,18:07:01.483000,5.83,4.88052,Clear,0,821.708,51.494,3
2018-08-20,18:07:01.583000,5.805,4.85571,Clear,0,821.854,51.459,3
2018-08-20,18:07:01.683000,5.777,4.82841,Clear,0,822.0,51.424,3
2018-08-20,18:07:01.783000,5.799,4.84982,Clear,0,822.148,51.389,3
2018-08-20,18:07:01.883000,5.807,4.85762,Clear,0,822.295,51.355,3
2018-08-20,18:07:01.983000,5.812,4.86277,Clear,0,822.444,51.32,3
