satellite, 39207 ATLAS 5 CENTAUR R/B / US
catalogue, 1 NORAD
track, 13428316
variability, 2 Periodic
variability_period, 51.7517
npoints, 1343
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2018-08-23,23:57:19.297000,4.429,8.15553,Clear,0,6625.526,65.112,9
2018-08-23,23:57:19.397000,4.403,8.1295,Clear,0,6625.392,65.118,9
2018-08-23,23:57:19.497000,4.525,8.2518,Clear,0,6625.259,65.124,9
2018-08-23,23:57:19.597000,4.417,8.14352,Clear,0,6625.125,65.13,9
2018-08-23,23:57:19.697000,4.649,8.37642,Clear,0,6624.991,65.136,9
2018-08-23,23:57:19.797000,4.949,8.67585,Clear,0,6624.858,65.142,9
2018-08-23,23:57:19.897000,4.486,8.21249,Clear,0,6624.724,65.148,9
2018-08-23,23:57:19.997000,4.541,8.2685,Clear,0,6624.591,65.154,9
2018-08-23,23:57:20.097000,4.764,8.49221,Clear,0,6624.457,65.16,9
2018-08-23,23:57:20.197000,4.596,8.32357,Clear,0,6624.324,65.167,9
2018-08-23,23:57:20.297000,4.149,7.87684,Clear,0,6624.19,65.173,9
2018-08-23,23:57:20.397000,4.674,8.40188,Clear,0,6624.057,65.179,9
2018-08-23,23:57:20.497000,4.994,8.72241,Clear,0,6623.924,65.185,9
2018-08-23,23:57:20.597000,4.9,8.6279,Clear,0,6623.791,65.191,9
2018-08-23,23:57:20.697000,4.355,8.08285,Clear,0,6623.657,65.197,9
2018-08-23,23:57:20.797000,4.281,8.00851,Clear,0,6623.524,65.203,9
2018-08-23,23:57:20.897000,5.135,8.86329,Clear,0,6623.391,65.209,9
2018-08-23,23:57:20.997000,4.545,8.27271,Clear,0,6623.258,65.215,9
2018-08-23,23:57:21.097000,4.852,8.58042,Clear,0,6623.125,65.221,9
2018-08-23,23:57:21.197000,4.859,8.58674,Clear,0,6622.992,65.228,9
2018-08-23,23:57:21.297000,5.079,8.80685,Clear,0,6622.859,65.234,9
2018-08-23,23:57:21.397000,4.601,8.32865,Clear,0,6622.727,65.24,9
2018-08-23,23:57:21.497000,4.553,8.28068,Clear,0,6622.594,65.246,9
2018-08-23,23:57:21.597000,5.108,8.83595,Clear,0,6622.461,65.252,9
2018-08-23,23:57:21.697000,5.238,8.96605,Clear,0,6622.328,65.258,9
2018-08-23,23:57:21.797000,4.524,8.25183,Clear,0,6622.196,65.264,9
2018-08-23,23:57:21.897000,4.852,8.58021,Clear,0,6622.063,65.27,9
2018-08-23,23:57:21.997000,4.371,8.0985,Clear,0,6621.931,65.276,9
2018-08-23,23:57:22.097000,4.387,8.1146,Clear,0,6621.798,65.282,9
2018-08-23,23:57:22.197000,4.281,8.00903,Clear,0,6621.666,65.289,9
2018-08-23,23:57:22.297000,4.536,8.26435,Clear,0,6621.533,65.295,9
2018-08-23,23:57:22.397000,4.988,8.71559,Clear,0,6621.401,65.301,9
2018-08-23,23:57:22.497000,5.087,8.81495,Clear,0,6621.268,65.307,9
2018-08-23,23:57:22.597000,4.659,8.38659,Clear,0,6621.136,65.313,9
2018-08-23,23:57:22.697000,5.138,8.86621,Clear,0,6621.004,65.319,9
2018-08-23,23:57:22.797000,4.775,8.50328,Clear,0,6620.872,65.325,9
2018-08-23,23:57:22.897000,4.786,8.5141,Clear,0,6620.74,65.331,9
2018-08-23,23:57:22.997000,4.429,8.15677,Clear,0,6620.608,65.337,9
2018-08-23,23:57:23.097000,4.929,8.65708,Clear,0,6620.476,65.343,9
2018-08-23,23:57:23.197000,4.51,8.23797,Clear,0,6620.344,65.35,9
2018-08-23,23:57:23.297000,4.455,8.18435,Clear,0,6620.212,65.356,9
2018-08-23,23:57:23.397000,4.623,8.35165,Clear,0,6620.08,65.362,9
2018-08-23,23:57:23.497000,4.568,8.29735,Clear,0,6619.948,65.368,9
2018-08-23,23:57:23.597000,4.928,8.65669,Clear,0,6619.816,65.374,9
2018-08-23,23:57:23.697000,5.182,8.91081,Clear,0,6619.685,65.38,9
2018-08-23,23:57:23.797000,4.341,8.07019,Clear,0,6619.553,65.386,9
2018-08-23,23:57:23.897000,4.224,7.95339,Clear,0,6619.421,65.392,9
2018-08-23,23:57:23.997000,4.531,8.26031,Clear,0,6619.29,65.398,9
2018-08-23,23:57:24.097000,4.482,8.21142,Clear,0,6619.158,65.404,9
2018-08-23,23:57:24.197000,4.002,7.73045,Clear,0,6619.027,65.411,9
2018-08-23,23:57:24.297000,4.678,8.40711,Clear,0,6618.895,65.417,9
2018-08-23,23:57:24.397000,4.175,7.90374,Clear,0,6618.764,65.423,9
2018-08-23,23:57:24.497000,4.738,8.46742,Clear,0,6618.632,65.429,9
2018-08-23,23:57:24.597000,4.258,7.98657,Clear,0,6618.501,65.435,9
2018-08-23,23:57:24.697000,4.189,7.91819,Clear,0,6618.37,65.441,9
2018-08-23,23:57:24.797000,4.61,8.33894,Clear,0,6618.239,65.447,9
2018-08-23,23:57:24.897000,4.463,8.19161,Clear,0,6618.107,65.453,9
2018-08-23,23:57:24.997000,3.672,7.40051,Clear,0,6617.976,65.459,9
2018-08-23,23:57:25.097000,4.191,7.91991,Clear,0,6617.845,65.466,9
2018-08-23,23:57:25.197000,4.341,8.06958,Clear,0,6617.714,65.472,9
2018-08-23,23:57:25.297000,4.526,8.2547,Clear,0,6617.583,65.478,9
2018-08-23,23:57:25.397000,4.211,7.94023,Clear,0,6617.452,65.484,9
2018-08-23,23:57:25.497000,4.287,8.01584,Clear,0,6617.322,65.49,9
2018-08-23,23:57:25.597000,4.001,7.72976,Clear,0,6617.191,65.496,9
2018-08-23,23:57:25.697000,4.281,8.0095,Clear,0,6617.06,65.502,9
2018-08-23,23:57:25.797000,4.455,8.18443,Clear,0,6616.929,65.508,9
2018-08-23,23:57:25.897000,4.253,7.98201,Clear,0,6616.799,65.514,9
2018-08-23,23:57:25.997000,3.691,7.41995,Clear,0,6616.668,65.521,9
2018-08-23,23:57:26.097000,3.691,7.41956,Clear,0,6616.537,65.527,9
2018-08-23,23:57:26.197000,4.269,7.99833,Clear,0,6616.407,65.533,9
2018-08-23,23:57:26.297000,3.713,7.44195,Clear,0,6616.276,65.539,9
2018-08-23,23:57:26.397000,3.576,7.30461,Clear,0,6616.146,65.545,9
2018-08-23,23:57:26.497000,4.047,7.77706,Clear,0,6616.016,65.551,9
2018-08-23,23:57:26.597000,3.957,7.68647,Clear,0,6615.885,65.557,9
2018-08-23,23:57:26.697000,4.138,7.86751,Clear,0,6615.755,65.563,9
2018-08-23,23:57:26.797000,4.129,7.85854,Clear,0,6615.625,65.569,9
2018-08-23,23:57:26.897000,3.762,7.49234,Clear,0,6615.494,65.576,9
2018-08-23,23:57:26.997000,3.833,7.5626,Clear,0,6615.364,65.582,9
2018-08-23,23:57:27.097000,3.42,7.15021,Clear,0,6615.234,65.588,9
2018-08-23,23:57:27.197000,3.639,7.36923,Clear,0,6615.104,65.594,9
2018-08-23,23:57:27.297000,3.893,7.62261,Clear,0,6614.974,65.6,9
2018-08-23,23:57:27.397000,3.751,7.481,Clear,0,6614.844,65.606,9
2018-08-23,23:57:27.497000,3.83,7.56027,Clear,0,6614.714,65.612,9
