satellite, 7147 DELTA 1 DEB / US
catalogue, 1 NORAD
track, 15027036
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1349
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2019-03-27,01:40:51.893000,8.142,8.75737,Clear,0,1498.747,73.837,3
2019-03-27,01:40:51.993000,8.284,8.89831,Clear,0,1498.731,73.819,3
2019-03-27,01:40:52.093000,8.076,8.69026,Clear,0,1498.716,73.802,3
2019-03-27,01:40:52.193000,7.76,8.37405,Clear,0,1498.7,73.784,3
2019-03-27,01:40:52.293000,7.983,8.59552,Clear,0,1498.685,73.767,3
2019-03-27,01:40:52.393000,8.286,8.89877,Clear,0,1498.67,73.749,3
2019-03-27,01:40:52.493000,7.802,8.41541,Clear,0,1498.656,73.732,3
2019-03-27,01:40:52.593000,7.844,8.45698,Clear,0,1498.642,73.714,3
2019-03-27,01:40:52.693000,7.785,8.3973,Clear,0,1498.628,73.697,3
2019-03-27,01:40:52.793000,7.929,8.54073,Clear,0,1498.614,73.68,3
2019-03-27,01:40:52.893000,7.62,8.23182,Clear,0,1498.601,73.662,3
2019-03-27,01:40:52.993000,7.856,8.4682,Clear,0,1498.588,73.645,3
2019-03-27,01:40:53.093000,7.805,8.41609,Clear,0,1498.575,73.627,3
2019-03-27,01:40:53.193000,7.596,8.20702,Clear,0,1498.562,73.61,3
2019-03-27,01:40:53.393000,7.667,8.27767,Clear,0,1498.538,73.575,3
2019-03-27,01:40:53.493000,7.861,8.47102,Clear,0,1498.526,73.557,3
2019-03-27,01:40:53.593000,7.628,8.23811,Clear,0,1498.515,73.54,3
2019-03-27,01:40:53.693000,8.114,8.72346,Clear,0,1498.504,73.523,3
2019-03-27,01:40:53.793000,7.975,8.58412,Clear,0,1498.493,73.505,3
2019-03-27,01:40:53.893000,7.999,8.60785,Clear,0,1498.483,73.488,3
2019-03-27,01:40:53.993000,7.775,8.38409,Clear,0,1498.472,73.47,3
2019-03-27,01:40:54.093000,7.736,8.34458,Clear,0,1498.462,73.453,3
2019-03-27,01:40:54.193000,7.741,8.34845,Clear,0,1498.453,73.435,3
2019-03-27,01:40:54.293000,8.123,8.73101,Clear,0,1498.443,73.418,3
2019-03-27,01:40:54.393000,7.835,8.4426,Clear,0,1498.434,73.401,3
2019-03-27,01:40:54.493000,7.957,8.56495,Clear,0,1498.426,73.383,3
2019-03-27,01:40:54.593000,7.646,8.253,Clear,0,1498.417,73.366,3
2019-03-27,01:40:54.693000,7.629,8.23597,Clear,0,1498.409,73.348,3
2019-03-27,01:40:54.793000,7.753,8.35976,Clear,0,1498.401,73.331,3
2019-03-27,01:40:54.893000,7.809,8.41596,Clear,0,1498.393,73.313,3
2019-03-27,01:40:54.993000,7.961,8.5673,Clear,0,1498.386,73.296,3
2019-03-27,01:40:55.093000,7.686,8.29225,Clear,0,1498.379,73.279,3
2019-03-27,01:40:55.193000,7.789,8.39451,Clear,0,1498.372,73.261,3
2019-03-27,01:40:55.293000,7.84,8.44613,Clear,0,1498.365,73.244,3
2019-03-27,01:40:55.393000,7.876,8.48106,Clear,0,1498.359,73.226,3
2019-03-27,01:40:55.493000,7.666,8.27101,Clear,0,1498.353,73.209,3
2019-03-27,01:40:55.593000,7.797,8.40229,Clear,0,1498.348,73.192,3
2019-03-27,01:40:55.693000,7.732,8.33726,Clear,0,1498.342,73.174,3
2019-03-27,01:40:55.793000,7.92,8.5242,Clear,0,1498.337,73.157,3
2019-03-27,01:40:55.893000,7.877,8.48129,Clear,0,1498.332,73.139,3
2019-03-27,01:40:55.993000,7.645,8.24913,Clear,0,1498.328,73.122,3
2019-03-27,01:40:56.093000,7.78,8.38418,Clear,0,1498.324,73.105,3
2019-03-27,01:40:56.193000,7.589,8.19164,Clear,0,1498.32,73.087,3
2019-03-27,01:40:56.293000,7.895,8.49814,Clear,0,1498.316,73.07,3
2019-03-27,01:40:56.393000,7.715,8.3183,Clear,0,1498.313,73.053,3
2019-03-27,01:40:56.493000,7.706,8.3088,Clear,0,1498.31,73.035,3
2019-03-27,01:40:56.593000,7.569,8.17059,Clear,0,1498.307,73.018,3
2019-03-27,01:40:56.693000,7.723,8.32528,Clear,0,1498.304,73.0,3
2019-03-27,01:40:56.793000,7.445,8.04689,Clear,0,1498.302,72.983,3
2019-03-27,01:40:56.893000,7.527,8.12911,Clear,0,1498.3,72.966,3
2019-03-27,01:40:56.993000,7.614,8.21525,Clear,0,1498.299,72.948,3
2019-03-27,01:40:57.093000,7.592,8.19257,Clear,0,1498.297,72.931,3
2019-03-27,01:40:57.193000,7.587,8.18802,Clear,0,1498.296,72.914,3
2019-03-27,01:40:57.293000,7.489,8.08968,Clear,0,1498.295,72.896,3
2019-03-27,01:40:57.393000,7.586,8.18557,Clear,0,1498.295,72.879,3
2019-03-27,01:40:57.493000,7.568,8.16797,Clear,0,1498.295,72.862,3
2019-03-27,01:40:57.593000,7.674,8.27396,Clear,0,1498.295,72.844,3
2019-03-27,01:40:57.693000,7.567,8.16659,Clear,0,1498.295,72.827,3
