satellite, 8352 N-1 R/B / JPN
catalogue, 1 NORAD
track, 1549651
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1115
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-08-16,20:11:15.084000,8.017,8.81927,Clear,0,1519.758,83.888,6
2014-08-16,20:11:15.184000,7.581,8.38176,Clear,0,1519.329,83.881,6
2014-08-16,20:11:15.284000,7.297,8.09671,Clear,0,1518.9,83.875,6
2014-08-16,20:11:15.384000,7.062,7.86142,Clear,0,1518.471,83.869,6
2014-08-16,20:11:15.484000,7.392,8.19064,Clear,0,1518.043,83.863,6
2014-08-16,20:11:15.584000,7.728,8.52568,Clear,0,1517.615,83.857,6
2014-08-16,20:11:15.684000,8.063,8.86043,Clear,0,1517.186,83.851,6
2014-08-16,20:11:15.884000,7.82,8.61591,Clear,0,1516.33,83.838,6
2014-08-16,20:11:16.084000,8.696,9.49011,Clear,0,1515.475,83.826,6
2014-08-16,20:11:16.184000,8.307,9.10064,Clear,0,1515.048,83.82,6
2014-08-16,20:11:16.384000,8.312,9.10346,Clear,0,1514.193,83.808,6
2014-08-16,20:11:16.484000,8.153,8.9454,Clear,0,1513.766,83.801,6
2014-08-16,20:11:16.684000,8.097,8.88717,Clear,0,1512.912,83.789,6
2014-08-16,20:11:16.784000,8.071,8.86023,Clear,0,1512.486,83.783,6
2014-08-16,20:11:16.884000,9.086,9.87469,Clear,0,1512.059,83.777,6
2014-08-16,20:11:17.084000,8.341,9.12815,Clear,0,1511.207,83.764,6
2014-08-16,20:11:17.184000,8.3,9.08714,Clear,0,1510.781,83.758,6
2014-08-16,20:11:17.284000,8.536,9.3222,Clear,0,1510.355,83.752,6
2014-08-16,20:11:17.484000,8.62,9.40439,Clear,0,1509.504,83.74,6
2014-08-16,20:11:17.684000,7.87,8.65303,Clear,0,1508.653,83.727,6
2014-08-16,20:11:17.784000,8.675,9.45707,Clear,0,1508.228,83.721,6
2014-08-16,20:11:17.884000,8.165,8.94739,Clear,0,1507.803,83.715,6
2014-08-16,20:11:17.984000,8.607,9.38784,Clear,0,1507.378,83.709,6
2014-08-16,20:11:18.084000,7.915,8.69517,Clear,0,1506.953,83.703,6
2014-08-16,20:11:18.684000,8.083,8.85919,Clear,0,1504.408,83.665,6
2014-08-16,20:11:18.784000,7.961,8.73562,Clear,0,1503.984,83.659,6
2014-08-16,20:11:19.284000,8.134,8.90529,Clear,0,1501.868,83.628,6
