satellite, 43833 SAUDISAT 5B / SAUD
catalogue, 1 NORAD
track, 16015511
variability, 1 Aperiodic
variability_period, 0.0
npoints, 557
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2019-07-03,19:21:36.195000,5.896,4.27231,Clear,0,614.0,46.659,2
2019-07-03,19:21:36.295000,5.782,4.15713,Clear,0,613.678,46.719,2
2019-07-03,19:21:36.395000,5.838,4.21327,Clear,0,613.357,46.78,2
2019-07-03,19:21:36.495000,5.821,4.19514,Clear,0,613.037,46.84,2
2019-07-03,19:21:36.595000,5.823,4.19548,Clear,0,612.717,46.901,2
2019-07-03,19:21:36.695000,5.926,4.29914,Clear,0,612.399,46.961,2
2019-07-03,19:21:36.795000,5.85,4.22194,Clear,0,612.081,47.022,2
2019-07-03,19:21:36.895000,5.826,4.19767,Clear,0,611.763,47.082,2
2019-07-03,19:21:36.995000,5.8,4.17095,Clear,0,611.446,47.143,2
2019-07-03,19:21:37.095000,5.842,4.21158,Clear,0,611.13,47.204,2
2019-07-03,19:21:37.195000,5.79,4.16037,Clear,0,610.815,47.265,2
2019-07-03,19:21:37.295000,5.84,4.20907,Clear,0,610.501,47.326,2
2019-07-03,19:21:37.395000,5.71,4.0788,Clear,0,610.187,47.387,2
2019-07-03,19:21:37.495000,5.646,4.01392,Clear,0,609.874,47.448,2
2019-07-03,19:21:37.595000,5.598,3.96445,Clear,0,609.562,47.509,2
2019-07-03,19:21:37.695000,5.363,3.73021,Clear,0,609.25,47.57,2
2019-07-03,19:21:37.795000,4.967,3.33321,Clear,0,608.939,47.632,2
2019-07-03,19:21:37.895000,4.504,2.86971,Clear,0,608.629,47.693,2
2019-07-03,19:21:37.995000,4.371,2.73635,Clear,0,608.319,47.754,2
2019-07-03,19:21:38.095000,4.637,3.00123,Clear,0,608.011,47.816,2
2019-07-03,19:21:38.195000,5.096,3.45957,Clear,0,607.703,47.878,2
2019-07-03,19:21:38.295000,5.494,3.85677,Clear,0,607.395,47.939,2
2019-07-03,19:21:38.395000,5.68,4.0431,Clear,0,607.089,48.001,2
