satellite, 2422 THOR BURNER 2 R/B / US
catalogue, 1 NORAD
track, 16135168
variability, 0 Not variable
variability_period, 0.0
npoints, 1086
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2019-08-15,17:45:57.993000,7.94,7.44246,Clear,0,901.096,73.379,3
2019-08-15,17:45:58.093000,8.172,7.67551,Clear,0,901.422,73.368,3
2019-08-15,17:45:58.193000,8.112,7.61693,Clear,0,901.749,73.357,3
2019-08-15,17:45:58.293000,8.239,7.74421,Clear,0,902.075,73.346,3
2019-08-15,17:45:58.393000,8.309,7.81457,Clear,0,902.403,73.335,3
2019-08-15,17:45:58.493000,8.208,7.71375,Clear,0,902.73,73.324,3
2019-08-15,17:45:58.593000,8.211,7.71773,Clear,0,903.058,73.313,3
2019-08-15,17:45:58.693000,8.205,7.71303,Clear,0,903.387,73.303,3
2019-08-15,17:45:58.793000,8.113,7.62088,Clear,0,903.716,73.292,3
2019-08-15,17:45:58.893000,8.036,7.54471,Clear,0,904.045,73.281,3
2019-08-15,17:45:58.993000,8.021,7.53104,Clear,0,904.375,73.27,3
2019-08-15,17:45:59.093000,8.114,7.62432,Clear,0,904.706,73.26,3
2019-08-15,17:45:59.193000,8.136,7.64655,Clear,0,905.036,73.249,3
2019-08-15,17:45:59.293000,8.027,7.53884,Clear,0,905.367,73.238,3
2019-08-15,17:45:59.393000,8.228,7.7404,Clear,0,905.699,73.227,3
2019-08-15,17:45:59.493000,8.172,7.68542,Clear,0,906.031,73.217,3
2019-08-15,17:45:59.593000,8.059,7.57274,Clear,0,906.363,73.206,3
2019-08-15,17:45:59.693000,8.19,7.70352,Clear,0,906.696,73.195,3
2019-08-15,17:45:59.793000,7.992,7.50654,Clear,0,907.03,73.185,3
2019-08-15,17:45:59.893000,8.272,7.78645,Clear,0,907.363,73.174,3
2019-08-15,17:45:59.993000,8.068,7.58405,Clear,0,907.698,73.164,3
2019-08-15,17:46:00.093000,8.094,7.61133,Clear,0,908.032,73.153,3
2019-08-15,17:46:00.193000,7.983,7.50034,Clear,0,908.367,73.143,3
2019-08-15,17:46:00.293000,7.911,7.4285,Clear,0,908.703,73.132,3
2019-08-15,17:46:00.393000,8.315,7.83421,Clear,0,909.039,73.122,3
2019-08-15,17:46:00.493000,8.246,7.76449,Clear,0,909.375,73.111,3
2019-08-15,17:46:00.593000,8.084,7.60419,Clear,0,909.712,73.101,3
2019-08-15,17:46:00.693000,8.09,7.61142,Clear,0,910.049,73.09,3
2019-08-15,17:46:00.793000,8.053,7.57436,Clear,0,910.387,73.08,3
2019-08-15,17:46:00.893000,8.019,7.54105,Clear,0,910.725,73.069,3
2019-08-15,17:46:00.993000,8.092,7.61475,Clear,0,911.063,73.059,3
2019-08-15,17:46:01.093000,8.144,7.66724,Clear,0,911.402,73.048,3
2019-08-15,17:46:01.193000,7.974,7.49802,Clear,0,911.741,73.038,3
2019-08-15,17:46:01.293000,8.129,7.6541,Clear,0,912.081,73.028,3
2019-08-15,17:46:01.393000,8.071,7.59584,Clear,0,912.421,73.017,3
2019-08-15,17:46:01.493000,8.046,7.57227,Clear,0,912.762,73.007,3
2019-08-15,17:46:01.593000,8.253,7.78025,Clear,0,913.103,72.997,3
2019-08-15,17:46:01.693000,8.057,7.5843,Clear,0,913.444,72.986,3
2019-08-15,17:46:01.793000,8.303,7.831,Clear,0,913.786,72.976,3
2019-08-15,17:46:01.893000,8.079,7.60812,Clear,0,914.129,72.966,3
2019-08-15,17:46:01.993000,8.01,7.53903,Clear,0,914.471,72.955,3
2019-08-15,17:46:02.093000,8.018,7.54748,Clear,0,914.814,72.945,3
2019-08-15,17:46:02.193000,8.39,7.9212,Clear,0,915.158,72.935,3
2019-08-15,17:46:02.293000,8.171,7.70215,Clear,0,915.502,72.925,3
2019-08-15,17:46:02.393000,8.023,7.55513,Clear,0,915.846,72.915,3
2019-08-15,17:46:02.493000,8.111,7.64443,Clear,0,916.191,72.904,3
2019-08-15,17:46:02.593000,8.137,7.66961,Clear,0,916.537,72.894,3
2019-08-15,17:46:02.693000,8.021,7.55472,Clear,0,916.882,72.884,3
2019-08-15,17:46:02.793000,8.145,7.67948,Clear,0,917.228,72.874,3
2019-08-15,17:46:02.893000,8.134,7.66909,Clear,0,917.575,72.864,3
2019-08-15,17:46:02.993000,8.184,7.71984,Clear,0,917.922,72.854,3
2019-08-15,17:46:03.093000,8.127,7.66388,Clear,0,918.269,72.844,3
2019-08-15,17:46:03.193000,8.189,7.72638,Clear,0,918.617,72.834,3
2019-08-15,17:46:03.293000,8.162,7.70028,Clear,0,918.965,72.824,3
2019-08-15,17:46:03.393000,8.171,7.71015,Clear,0,919.314,72.814,3
2019-08-15,17:46:03.493000,8.264,7.80426,Clear,0,919.663,72.804,3
2019-08-15,17:46:03.593000,8.116,7.65596,Clear,0,920.012,72.794,3
2019-08-15,17:46:03.693000,7.995,7.53569,Clear,0,920.362,72.784,3
2019-08-15,17:46:03.793000,8.232,7.7739,Clear,0,920.712,72.774,3
2019-08-15,17:46:03.893000,8.184,7.72559,Clear,0,921.063,72.764,3
2019-08-15,17:46:03.993000,8.219,7.76192,Clear,0,921.414,72.754,3
2019-08-15,17:46:04.093000,8.202,7.74553,Clear,0,921.765,72.744,3
2019-08-15,17:46:04.193000,8.094,7.63814,Clear,0,922.117,72.734,3
2019-08-15,17:46:04.293000,8.331,7.87563,Clear,0,922.469,72.724,3
