satellite, 16613 SPOT 1 / FR
catalogue, 1 NORAD
track, 1678950
variability, 1 Aperiodic
variability_period, 0.0
npoints, 722
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-08-22,00:40:13.612000,4.496,5.13924,Clear,0,1080.854,110.641,4
2014-08-22,00:40:13.812000,4.181,4.82262,Clear,0,1080.703,110.586,4
2014-08-22,00:40:13.912000,4.291,4.93161,Clear,0,1080.628,110.558,4
2014-08-22,00:40:14.012000,4.414,5.05405,Clear,0,1080.554,110.531,4
2014-08-22,00:40:14.112000,4.242,4.88068,Clear,0,1080.48,110.503,4
2014-08-22,00:40:14.212000,4.142,4.78004,Clear,0,1080.407,110.476,4
2014-08-22,00:40:14.312000,4.179,4.81557,Clear,0,1080.334,110.448,4
2014-08-22,00:40:14.412000,4.168,4.80369,Clear,0,1080.261,110.42,4
2014-08-22,00:40:14.512000,4.133,4.76797,Clear,0,1080.189,110.393,4
2014-08-22,00:40:14.612000,4.208,4.84228,Clear,0,1080.118,110.365,4
2014-08-22,00:40:14.712000,4.21,4.84281,Clear,0,1080.047,110.337,4
2014-08-22,00:40:14.812000,4.065,4.69831,Clear,0,1079.976,110.31,4
2014-08-22,00:40:14.912000,4.216,4.84832,Clear,0,1079.906,110.282,4
2014-08-22,00:40:15.012000,4.032,4.66307,Clear,0,1079.836,110.255,4
2014-08-22,00:40:15.112000,4.167,4.79659,Clear,0,1079.767,110.227,4
2014-08-22,00:40:15.212000,4.161,4.78953,Clear,0,1079.698,110.199,4
2014-08-22,00:40:15.312000,4.0,4.62843,Clear,0,1079.63,110.172,4
2014-08-22,00:40:15.412000,4.01,4.63706,Clear,0,1079.562,110.144,4
2014-08-22,00:40:15.512000,4.168,4.79396,Clear,0,1079.494,110.116,4
2014-08-22,00:40:15.612000,4.068,4.6933,Clear,0,1079.427,110.089,4
2014-08-22,00:40:15.712000,4.028,4.65252,Clear,0,1079.361,110.061,4
2014-08-22,00:40:15.812000,4.042,4.66622,Clear,0,1079.295,110.033,4
2014-08-22,00:40:15.912000,3.977,4.59985,Clear,0,1079.229,110.005,4
2014-08-22,00:40:16.012000,4.051,4.67259,Clear,0,1079.164,109.978,4
2014-08-22,00:40:16.112000,4.073,4.69419,Clear,0,1079.099,109.95,4
2014-08-22,00:40:16.212000,4.06,4.67953,Clear,0,1079.035,109.922,4
