satellite, 5903 OPS 5058 (DMSP 5B F2) / US
catalogue, 1 NORAD
track, 17581621
variability, 1 Aperiodic
variability_period, 0.0
npoints, 802
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-05-30,20:49:51.894000,6.835,5.99323,Clear,0,817.128,63.041,2
2020-05-30,20:49:51.994000,6.766,5.92485,Clear,0,817.082,63.093,2
2020-05-30,20:49:52.094000,6.749,5.90802,Clear,0,817.036,63.144,2
2020-05-30,20:49:52.194000,6.793,5.95325,Clear,0,816.992,63.195,2
2020-05-30,20:49:52.294000,6.837,5.99699,Clear,0,816.947,63.246,2
2020-05-30,20:49:52.394000,6.791,5.95074,Clear,0,816.904,63.297,2
2020-05-30,20:49:52.494000,6.776,5.93699,Clear,0,816.861,63.349,2
2020-05-30,20:49:52.594000,6.755,5.91568,Clear,0,816.818,63.4,2
2020-05-30,20:49:52.694000,6.756,5.91774,Clear,0,816.776,63.451,2
2020-05-30,20:49:52.794000,6.7,5.86181,Clear,0,816.735,63.502,2
2020-05-30,20:49:52.894000,6.756,5.91914,Clear,0,816.695,63.553,2
2020-05-30,20:49:52.994000,6.659,5.8219,Clear,0,816.655,63.605,2
2020-05-30,20:49:53.094000,6.637,5.8005,Clear,0,816.615,63.656,2
2020-05-30,20:49:53.194000,6.731,5.89487,Clear,0,816.577,63.707,2
2020-05-30,20:49:53.294000,6.702,5.86652,Clear,0,816.538,63.758,2
2020-05-30,20:49:53.394000,6.706,5.87085,Clear,0,816.501,63.81,2
2020-05-30,20:49:53.494000,6.714,5.87989,Clear,0,816.464,63.861,2
2020-05-30,20:49:53.594000,6.61,5.77553,Clear,0,816.428,63.912,2
2020-05-30,20:49:53.694000,6.696,5.86248,Clear,0,816.392,63.963,2
2020-05-30,20:49:53.794000,6.725,5.89145,Clear,0,816.357,64.015,2
2020-05-30,20:49:53.894000,6.643,5.8109,Clear,0,816.323,64.066,2
2020-05-30,20:49:53.994000,6.522,5.69088,Clear,0,816.289,64.117,2
2020-05-30,20:49:54.094000,6.618,5.7865,Clear,0,816.256,64.169,2
2020-05-30,20:49:54.194000,6.557,5.72728,Clear,0,816.223,64.22,2
2020-05-30,20:49:54.294000,6.595,5.7647,Clear,0,816.191,64.271,2
2020-05-30,20:49:54.394000,6.605,5.77589,Clear,0,816.16,64.323,2
2020-05-30,20:49:54.494000,6.579,5.74992,Clear,0,816.129,64.374,2
