satellite, 4675 THORAD AGENA D DEB / US
catalogue, 1 NORAD
track, 17582644
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1060
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-05-30,22:43:59.496000,7.102,8.23901,Clear,0,1415.334,107.195,3
2020-05-30,22:43:59.596000,7.77,8.90586,Clear,0,1414.946,107.17,3
2020-05-30,22:43:59.696000,7.264,8.3989,Clear,0,1414.557,107.144,3
2020-05-30,22:43:59.796000,7.305,8.43849,Clear,0,1414.169,107.118,3
2020-05-30,22:43:59.896000,7.631,8.76333,Clear,0,1413.781,107.093,3
2020-05-30,22:43:59.996000,7.25,8.38132,Clear,0,1413.394,107.067,3
2020-05-30,22:44:00.096000,7.764,8.89414,Clear,0,1413.006,107.042,3
2020-05-30,22:44:00.196000,7.128,8.25657,Clear,0,1412.619,107.016,3
2020-05-30,22:44:00.296000,7.681,8.8076,Clear,0,1412.232,106.99,3
2020-05-30,22:44:00.396000,7.671,8.79689,Clear,0,1411.845,106.965,3
2020-05-30,22:44:00.496000,7.245,8.37024,Clear,0,1411.459,106.939,3
2020-05-30,22:44:00.596000,8.1,9.22371,Clear,0,1411.073,106.913,3
2020-05-30,22:44:00.696000,7.531,8.6528,Clear,0,1410.687,106.887,3
2020-05-30,22:44:00.796000,7.341,8.46223,Clear,0,1410.301,106.862,3
2020-05-30,22:44:00.896000,7.329,8.44927,Clear,0,1409.915,106.836,3
2020-05-30,22:44:00.996000,7.263,8.38229,Clear,0,1409.53,106.81,3
2020-05-30,22:44:01.096000,7.38,8.49669,Clear,0,1409.145,106.784,3
2020-05-30,22:44:01.196000,7.415,8.5306,Clear,0,1408.76,106.759,3
2020-05-30,22:44:01.296000,7.279,8.3935,Clear,0,1408.375,106.733,3
2020-05-30,22:44:01.396000,7.723,8.83667,Clear,0,1407.99,106.707,3
2020-05-30,22:44:01.496000,7.35,8.46223,Clear,0,1407.606,106.681,3
2020-05-30,22:44:01.596000,7.428,8.53897,Clear,0,1407.222,106.655,3
2020-05-30,22:44:01.696000,7.53,8.63982,Clear,0,1406.838,106.629,3
2020-05-30,22:44:01.796000,7.214,8.32333,Clear,0,1406.455,106.604,3
2020-05-30,22:44:01.896000,7.263,8.36976,Clear,0,1406.072,106.578,3
2020-05-30,22:44:01.996000,7.108,8.21423,Clear,0,1405.688,106.552,3
2020-05-30,22:44:02.096000,7.383,8.4881,Clear,0,1405.306,106.526,3
2020-05-30,22:44:02.196000,7.255,8.35927,Clear,0,1404.923,106.5,3
2020-05-30,22:44:02.296000,7.571,8.67288,Clear,0,1404.541,106.474,3
2020-05-30,22:44:02.396000,7.125,8.22592,Clear,0,1404.158,106.448,3
2020-05-30,22:44:02.496000,7.461,8.56046,Clear,0,1403.776,106.422,3
2020-05-30,22:44:02.596000,7.308,8.4068,Clear,0,1403.395,106.396,3
2020-05-30,22:44:02.696000,7.698,8.79476,Clear,0,1403.013,106.37,3
2020-05-30,22:44:02.796000,7.565,8.66092,Clear,0,1402.632,106.344,3
2020-05-30,22:44:02.896000,7.428,8.52285,Clear,0,1402.251,106.318,3
2020-05-30,22:44:02.996000,7.595,8.68884,Clear,0,1401.87,106.292,3
2020-05-30,22:44:03.096000,7.588,8.67987,Clear,0,1401.49,106.266,3
2020-05-30,22:44:03.196000,7.248,8.33906,Clear,0,1401.109,106.24,3
2020-05-30,22:44:03.296000,7.399,8.48864,Clear,0,1400.729,106.214,3
2020-05-30,22:44:03.396000,7.142,8.23055,Clear,0,1400.35,106.188,3
2020-05-30,22:44:03.496000,7.504,8.59116,Clear,0,1399.97,106.162,3
2020-05-30,22:44:03.596000,7.191,8.27661,Clear,0,1399.591,106.136,3
2020-05-30,22:44:03.696000,7.492,8.57657,Clear,0,1399.211,106.11,3
2020-05-30,22:44:03.796000,7.821,8.90507,Clear,0,1398.832,106.084,3
2020-05-30,22:44:03.896000,7.513,8.59469,Clear,0,1398.454,106.058,3
2020-05-30,22:44:03.996000,7.456,8.53673,Clear,0,1398.075,106.031,3
2020-05-30,22:44:04.096000,7.389,8.46904,Clear,0,1397.697,106.005,3
2020-05-30,22:44:04.196000,7.13,8.20926,Clear,0,1397.319,105.979,3
2020-05-30,22:44:04.296000,7.363,8.43951,Clear,0,1396.941,105.953,3
2020-05-30,22:44:04.396000,7.234,8.3101,Clear,0,1396.564,105.927,3
2020-05-30,22:44:04.496000,7.583,8.65841,Clear,0,1396.187,105.901,3
2020-05-30,22:44:04.596000,7.343,8.41726,Clear,0,1395.81,105.874,3
2020-05-30,22:44:04.696000,7.015,8.08741,Clear,0,1395.433,105.848,3
