satellite, 37241 NOAA 11 DEB / US
catalogue, 1 NORAD
track, 17598759
variability, 2 Periodic
variability_period, 12.38733861
npoints, 777
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-06-03,22:10:19.896000,8.335,7.85113,Clear,0,900.682,74.317,9
2020-06-03,22:10:19.996000,8.161,7.678,Clear,0,900.867,74.362,9
2020-06-03,22:10:20.096000,8.031,7.54899,Clear,0,901.052,74.406,9
2020-06-03,22:10:20.196000,8.205,7.72395,Clear,0,901.239,74.451,9
2020-06-03,22:10:20.296000,8.002,7.52194,Clear,0,901.425,74.496,9
2020-06-03,22:10:20.396000,8.012,7.533,Clear,0,901.613,74.541,9
2020-06-03,22:10:20.496000,7.779,7.30141,Clear,0,901.8,74.586,9
2020-06-03,22:10:20.596000,8.084,7.6069,Clear,0,901.989,74.631,9
2020-06-03,22:10:20.696000,8.074,7.59826,Clear,0,902.178,74.675,9
2020-06-03,22:10:20.796000,7.968,7.49417,Clear,0,902.367,74.72,9
2020-06-03,22:10:20.896000,7.871,7.3975,Clear,0,902.557,74.765,9
2020-06-03,22:10:20.996000,7.975,7.50294,Clear,0,902.747,74.81,9
2020-06-03,22:10:21.096000,7.837,7.36561,Clear,0,902.938,74.854,9
2020-06-03,22:10:21.196000,7.896,7.42604,Clear,0,903.129,74.899,9
2020-06-03,22:10:21.296000,7.87,7.40059,Clear,0,903.321,74.944,9
2020-06-03,22:10:21.396000,7.738,7.26981,Clear,0,903.514,74.988,9
2020-06-03,22:10:21.496000,7.737,7.26956,Clear,0,903.707,75.033,9
2020-06-03,22:10:21.596000,7.697,7.2309,Clear,0,903.9,75.078,9
2020-06-03,22:10:21.696000,7.616,7.15198,Clear,0,904.094,75.122,9
2020-06-03,22:10:21.796000,7.563,7.10036,Clear,0,904.289,75.167,9
2020-06-03,22:10:21.896000,7.357,6.89474,Clear,0,904.484,75.212,9
2020-06-03,22:10:21.996000,7.238,6.77693,Clear,0,904.679,75.256,9
2020-06-03,22:10:22.096000,6.798,6.33818,Clear,0,904.875,75.301,9
2020-06-03,22:10:22.196000,7.234,6.77488,Clear,0,905.072,75.345,9
2020-06-03,22:10:22.296000,7.344,6.88587,Clear,0,905.269,75.39,9
2020-06-03,22:10:22.396000,7.497,7.03994,Clear,0,905.466,75.434,9
2020-06-03,22:10:22.496000,7.538,7.08166,Clear,0,905.664,75.479,9
2020-06-03,22:10:22.596000,7.584,7.13018,Clear,0,905.863,75.523,9
2020-06-03,22:10:22.696000,7.604,7.15098,Clear,0,906.062,75.568,9
2020-06-03,22:10:22.796000,7.738,7.28625,Clear,0,906.262,75.612,9
2020-06-03,22:10:22.896000,7.752,7.30051,Clear,0,906.462,75.656,9
2020-06-03,22:10:22.996000,7.798,7.34752,Clear,0,906.662,75.701,9
2020-06-03,22:10:23.096000,7.729,7.28033,Clear,0,906.864,75.745,9
2020-06-03,22:10:23.196000,7.694,7.24603,Clear,0,907.065,75.789,9
2020-06-03,22:10:23.296000,7.851,7.4051,Clear,0,907.267,75.834,9
2020-06-03,22:10:23.396000,7.873,7.42835,Clear,0,907.47,75.878,9
2020-06-03,22:10:23.496000,7.841,7.39666,Clear,0,907.673,75.922,9
2020-06-03,22:10:23.596000,7.902,7.4592,Clear,0,907.877,75.967,9
2020-06-03,22:10:23.696000,7.901,7.4592,Clear,0,908.081,76.011,9
2020-06-03,22:10:23.796000,7.784,7.34245,Clear,0,908.286,76.055,9
2020-06-03,22:10:23.896000,8.027,7.58669,Clear,0,908.491,76.099,9
2020-06-03,22:10:23.996000,7.662,7.22347,Clear,0,908.697,76.144,9
2020-06-03,22:10:24.096000,7.791,7.35356,Clear,0,908.903,76.188,9
2020-06-03,22:10:24.196000,7.686,7.24969,Clear,0,909.11,76.232,9
