satellite, 226 TIROS 4 / US
catalogue, 1 NORAD
track, 17698977
variability, 1 Aperiodic
variability_period, 0.0
npoints, 774
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-06-22,21:41:35.194000,8.612,9.01861,Clear,0,1127.281,97.136,5
2020-06-22,21:41:35.394000,8.619,9.02346,Clear,0,1126.416,97.128,5
2020-06-22,21:41:35.494000,8.893,9.29712,Clear,0,1125.984,97.124,5
2020-06-22,21:41:35.594000,8.833,9.23625,Clear,0,1125.552,97.12,5
2020-06-22,21:41:35.694000,8.434,8.83622,Clear,0,1125.121,97.115,5
2020-06-22,21:41:35.994000,8.772,9.17063,Clear,0,1123.827,97.103,5
2020-06-22,21:41:36.094000,8.844,9.24207,Clear,0,1123.396,97.099,5
2020-06-22,21:41:36.194000,8.878,9.27583,Clear,0,1122.966,97.095,5
2020-06-22,21:41:36.494000,8.82,9.21514,Clear,0,1121.676,97.083,5
2020-06-22,21:41:36.694000,8.751,9.14356,Clear,0,1120.817,97.075,5
2020-06-22,21:41:36.794000,8.564,8.95603,Clear,0,1120.388,97.071,5
2020-06-22,21:41:36.894000,8.946,9.33732,Clear,0,1119.959,97.067,5
2020-06-22,21:41:37.094000,8.206,8.59455,Clear,0,1119.102,97.058,5
2020-06-22,21:41:37.194000,8.699,9.08744,Clear,0,1118.673,97.054,5
2020-06-22,21:41:37.294000,8.899,9.28643,Clear,0,1118.245,97.05,5
2020-06-22,21:41:37.394000,8.725,9.11211,Clear,0,1117.818,97.046,5
2020-06-22,21:41:37.494000,8.513,8.89926,Clear,0,1117.39,97.042,5
2020-06-22,21:41:37.694000,8.881,9.26533,Clear,0,1116.536,97.034,5
2020-06-22,21:41:37.794000,8.82,9.20274,Clear,0,1116.109,97.03,5
2020-06-22,21:41:37.894000,8.42,8.80184,Clear,0,1115.682,97.026,5
2020-06-22,21:41:37.994000,8.954,9.33453,Clear,0,1115.256,97.021,5
2020-06-22,21:41:38.094000,8.874,9.25407,Clear,0,1114.83,97.017,5
2020-06-22,21:41:38.294000,8.645,9.02288,Clear,0,1113.978,97.009,5
2020-06-22,21:41:38.394000,8.874,9.25063,Clear,0,1113.553,97.005,5
2020-06-22,21:41:38.494000,8.696,9.07203,Clear,0,1113.128,97.001,5
2020-06-22,21:41:38.594000,8.648,9.02427,Clear,0,1112.703,96.997,5
2020-06-22,21:41:38.694000,8.761,9.1358,Clear,0,1112.278,96.992,5
2020-06-22,21:41:38.894000,8.627,8.99945,Clear,0,1111.429,96.984,5
2020-06-22,21:41:39.094000,9.065,9.4356,Clear,0,1110.581,96.976,5
2020-06-22,21:41:39.294000,8.513,8.882,Clear,0,1109.734,96.968,5
2020-06-22,21:41:39.694000,8.706,9.07057,Clear,0,1108.043,96.951,5
2020-06-22,21:41:39.794000,8.723,9.0867,Clear,0,1107.621,96.947,5
2020-06-22,21:41:39.894000,8.631,8.99469,Clear,0,1107.199,96.942,5
2020-06-22,21:41:40.194000,8.965,9.32621,Clear,0,1105.935,96.93,5
2020-06-22,21:41:40.394000,8.782,9.14123,Clear,0,1105.093,96.921,5
2020-06-22,21:41:40.494000,8.714,9.07203,Clear,0,1104.673,96.917,5
2020-06-22,21:41:40.594000,8.895,9.25148,Clear,0,1104.253,96.913,5
2020-06-22,21:41:40.694000,8.491,8.84649,Clear,0,1103.833,96.909,5
2020-06-22,21:41:40.794000,8.914,9.26882,Clear,0,1103.413,96.905,5
2020-06-22,21:41:40.894000,8.792,9.14589,Clear,0,1102.993,96.9,5
2020-06-22,21:41:40.994000,8.39,8.74323,Clear,0,1102.574,96.896,5
2020-06-22,21:41:41.094000,8.323,8.67642,Clear,0,1102.155,96.892,5
2020-06-22,21:41:41.194000,8.343,8.69532,Clear,0,1101.736,96.888,5
2020-06-22,21:41:41.294000,8.375,8.72614,Clear,0,1101.318,96.883,5
2020-06-22,21:41:41.394000,8.091,8.44075,Clear,0,1100.899,96.879,5
2020-06-22,21:41:41.494000,8.439,8.78773,Clear,0,1100.481,96.875,5
2020-06-22,21:41:41.594000,8.168,8.51624,Clear,0,1100.063,96.871,5
2020-06-22,21:41:41.694000,8.373,8.7198,Clear,0,1099.646,96.866,5
2020-06-22,21:41:41.794000,7.855,8.20084,Clear,0,1099.228,96.862,5
2020-06-22,21:41:41.894000,7.883,8.22763,Clear,0,1098.811,96.858,5
2020-06-22,21:41:41.994000,7.932,8.27624,Clear,0,1098.394,96.854,5
2020-06-22,21:41:42.094000,7.791,8.13402,Clear,0,1097.978,96.849,5
2020-06-22,21:41:42.194000,8.048,8.39098,Clear,0,1097.561,96.845,5
2020-06-22,21:41:42.294000,7.877,8.21862,Clear,0,1097.145,96.841,5
2020-06-22,21:41:42.394000,7.882,8.22328,Clear,0,1096.729,96.837,5
2020-06-22,21:41:42.494000,8.043,8.38323,Clear,0,1096.314,96.832,5
2020-06-22,21:41:42.594000,7.878,8.21696,Clear,0,1095.898,96.828,5
2020-06-22,21:41:42.694000,7.943,8.28115,Clear,0,1095.483,96.824,5
2020-06-22,21:41:42.794000,7.741,8.07805,Clear,0,1095.068,96.82,5
2020-06-22,21:41:42.894000,7.71,8.04615,Clear,0,1094.654,96.815,5
2020-06-22,21:41:42.994000,7.766,8.10135,Clear,0,1094.239,96.811,5
2020-06-22,21:41:43.094000,7.756,8.09037,Clear,0,1093.825,96.807,5
2020-06-22,21:41:43.194000,7.957,8.29033,Clear,0,1093.411,96.802,5
2020-06-22,21:41:43.294000,7.975,8.30677,Clear,0,1092.997,96.798,5
2020-06-22,21:41:43.394000,8.012,8.34414,Clear,0,1092.584,96.794,5
2020-06-22,21:41:43.494000,8.041,8.37208,Clear,0,1092.171,96.789,5
2020-06-22,21:41:43.594000,8.201,8.53075,Clear,0,1091.758,96.785,5
2020-06-22,21:41:43.694000,8.14,8.46923,Clear,0,1091.345,96.781,5
2020-06-22,21:41:43.794000,8.605,8.93271,Clear,0,1090.933,96.776,5
2020-06-22,21:41:43.894000,8.328,8.65487,Clear,0,1090.52,96.772,5
2020-06-22,21:41:43.994000,8.429,8.75459,Clear,0,1090.108,96.768,5
2020-06-22,21:41:44.094000,8.623,8.9482,Clear,0,1089.697,96.763,5
2020-06-22,21:41:44.194000,8.391,8.71507,Clear,0,1089.285,96.759,5
2020-06-22,21:41:44.294000,8.71,9.03267,Clear,0,1088.874,96.755,5
2020-06-22,21:41:44.494000,8.353,8.67541,Clear,0,1088.052,96.746,5
2020-06-22,21:41:44.594000,8.499,8.8196,Clear,0,1087.642,96.742,5
2020-06-22,21:41:44.794000,8.773,9.09188,Clear,0,1086.822,96.733,5
2020-06-22,21:41:44.994000,8.743,9.06043,Clear,0,1086.003,96.724,5
2020-06-22,21:41:45.194000,9.095,9.41043,Clear,0,1085.184,96.716,5
2020-06-22,21:41:45.294000,8.894,9.20768,Clear,0,1084.776,96.711,5
2020-06-22,21:41:45.394000,8.776,9.08892,Clear,0,1084.367,96.707,5
2020-06-22,21:41:45.494000,8.714,9.02567,Clear,0,1083.959,96.703,5
2020-06-22,21:41:45.594000,8.737,9.04824,Clear,0,1083.551,96.698,5
2020-06-22,21:41:45.794000,9.011,9.3207,Clear,0,1082.736,96.689,5
2020-06-22,21:41:45.894000,8.947,9.25579,Clear,0,1082.329,96.685,5
2020-06-22,21:41:45.994000,8.821,9.12887,Clear,0,1081.922,96.681,5
2020-06-22,21:41:46.094000,8.373,8.67997,Clear,0,1081.515,96.676,5
2020-06-22,21:41:46.194000,8.792,9.09763,Clear,0,1081.109,96.672,5
2020-06-22,21:41:46.294000,8.887,9.19231,Clear,0,1080.703,96.667,5
2020-06-22,21:41:46.394000,8.654,8.95768,Clear,0,1080.297,96.663,5
2020-06-22,21:41:46.494000,8.524,8.82676,Clear,0,1079.891,96.659,5
2020-06-22,21:41:46.594000,8.621,8.92297,Clear,0,1079.486,96.654,5
2020-06-22,21:41:46.694000,8.568,8.86867,Clear,0,1079.081,96.65,5
2020-06-22,21:41:46.794000,8.753,9.05394,Clear,0,1078.676,96.645,5
2020-06-22,21:41:46.894000,8.715,9.01537,Clear,0,1078.271,96.641,5
2020-06-22,21:41:46.994000,8.421,8.72038,Clear,0,1077.867,96.636,5
2020-06-22,21:41:47.094000,8.593,8.89117,Clear,0,1077.463,96.632,5
2020-06-22,21:41:47.194000,8.634,8.93058,Clear,0,1077.059,96.628,5
2020-06-22,21:41:47.294000,8.727,9.02297,Clear,0,1076.655,96.623,5
2020-06-22,21:41:47.494000,8.559,8.85254,Clear,0,1075.849,96.614,5
2020-06-22,21:41:47.594000,8.869,9.16192,Clear,0,1075.446,96.61,5
2020-06-22,21:41:47.694000,8.708,8.99964,Clear,0,1075.043,96.605,5
2020-06-22,21:41:47.794000,8.467,8.75831,Clear,0,1074.641,96.601,5
2020-06-22,21:41:47.894000,8.654,8.94469,Clear,0,1074.239,96.596,5
2020-06-22,21:41:47.994000,8.743,9.03343,Clear,0,1073.837,96.592,5
2020-06-22,21:41:48.094000,8.871,9.15956,Clear,0,1073.436,96.587,5
2020-06-22,21:41:48.194000,8.773,9.0611,Clear,0,1073.034,96.583,5
2020-06-22,21:41:48.294000,8.974,9.26092,Clear,0,1072.633,96.578,5
2020-06-22,21:41:48.494000,8.744,9.02923,Clear,0,1071.832,96.57,5
2020-06-22,21:41:48.594000,8.684,8.96818,Clear,0,1071.432,96.565,5
2020-06-22,21:41:48.694000,8.631,8.91352,Clear,0,1071.032,96.561,5
2020-06-22,21:41:48.794000,8.776,9.05751,Clear,0,1070.632,96.556,5
2020-06-22,21:41:48.894000,8.853,9.13467,Clear,0,1070.233,96.552,5
2020-06-22,21:41:49.094000,9.013,9.29336,Clear,0,1069.435,96.543,5
2020-06-22,21:41:49.194000,8.895,9.17382,Clear,0,1069.036,96.538,5
2020-06-22,21:41:49.394000,8.469,8.74642,Clear,0,1068.24,96.529,5
2020-06-22,21:41:49.594000,8.857,9.13237,Clear,0,1067.444,96.52,5
2020-06-22,21:41:49.694000,8.77,9.04399,Clear,0,1067.047,96.515,5
2020-06-22,21:41:49.794000,8.355,8.62784,Clear,0,1066.65,96.511,5
2020-06-22,21:41:49.894000,8.761,9.03273,Clear,0,1066.253,96.506,5
2020-06-22,21:41:49.994000,8.5,8.77199,Clear,0,1065.857,96.502,5
2020-06-22,21:41:50.094000,8.82,9.09096,Clear,0,1065.461,96.497,5
2020-06-22,21:41:50.194000,8.49,8.75995,Clear,0,1065.065,96.493,5
2020-06-22,21:41:50.294000,8.337,8.60636,Clear,0,1064.669,96.488,5
2020-06-22,21:41:50.394000,8.808,9.07629,Clear,0,1064.273,96.484,5
2020-06-22,21:41:50.494000,8.82,9.08654,Clear,0,1063.878,96.479,5
2020-06-22,21:41:50.594000,8.704,8.97016,Clear,0,1063.483,96.474,5
2020-06-22,21:41:50.694000,8.649,8.91352,Clear,0,1063.089,96.47,5
