satellite, 43260 GAOFEN 1-03 / PRC
catalogue, 1 NORAD
track, 17897269
variability, 0 Not variable
variability_period, 0.0
npoints, 572
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-07-15,20:00:52.297000,7.819,7.76648,Clear,0,926.501,95.606,2
2020-07-15,20:00:52.397000,7.863,7.8129,Clear,0,926.672,95.648,2
2020-07-15,20:00:52.497000,7.768,7.71897,Clear,0,926.843,95.69,2
2020-07-15,20:00:52.597000,7.785,7.73651,Clear,0,927.015,95.732,2
2020-07-15,20:00:52.697000,7.983,7.9374,Clear,0,927.188,95.774,2
2020-07-15,20:00:52.797000,7.97,7.92501,Clear,0,927.36,95.816,2
2020-07-15,20:00:52.897000,7.774,7.73021,Clear,0,927.534,95.858,2
2020-07-15,20:00:52.997000,7.892,7.849,Clear,0,927.708,95.9,2
2020-07-15,20:00:53.097000,7.804,7.76259,Clear,0,927.882,95.942,2
2020-07-15,20:00:53.197000,7.981,7.94136,Clear,0,928.057,95.984,2
2020-07-15,20:00:53.297000,7.758,7.71922,Clear,0,928.233,96.026,2
2020-07-15,20:00:53.397000,7.816,7.77901,Clear,0,928.409,96.068,2
2020-07-15,20:00:53.497000,7.827,7.79117,Clear,0,928.585,96.11,2
2020-07-15,20:00:53.597000,7.988,7.95332,Clear,0,928.762,96.152,2
2020-07-15,20:00:53.697000,7.828,7.79383,Clear,0,928.94,96.193,2
2020-07-15,20:00:53.797000,7.843,7.81127,Clear,0,929.118,96.235,2
2020-07-15,20:00:53.897000,7.743,7.71179,Clear,0,929.297,96.277,2
2020-07-15,20:00:53.997000,7.66,7.63,Clear,0,929.476,96.319,2
2020-07-15,20:00:54.097000,7.841,7.81317,Clear,0,929.656,96.361,2
2020-07-15,20:00:54.197000,7.861,7.83425,Clear,0,929.836,96.402,2
2020-07-15,20:00:54.397000,7.905,7.88084,Clear,0,930.198,96.486,2
2020-07-15,20:00:54.497000,7.919,7.89595,Clear,0,930.38,96.528,2
2020-07-15,20:00:54.597000,7.848,7.82571,Clear,0,930.562,96.569,2
2020-07-15,20:00:54.697000,7.892,7.87222,Clear,0,930.745,96.611,2
2020-07-15,20:00:54.797000,7.927,7.90772,Clear,0,930.928,96.653,2
2020-07-15,20:00:54.897000,7.899,7.88142,Clear,0,931.112,96.694,2
2020-07-15,20:00:54.997000,7.875,7.85772,Clear,0,931.297,96.736,2
2020-07-15,20:00:55.097000,7.611,7.59615,Clear,0,931.482,96.778,2
2020-07-15,20:00:55.197000,7.8,7.78604,Clear,0,931.667,96.819,2
2020-07-15,20:00:55.297000,7.855,7.84205,Clear,0,931.853,96.861,2
2020-07-15,20:00:55.397000,7.6,7.58906,Clear,0,932.039,96.903,2
2020-07-15,20:00:55.497000,7.796,7.7863,Clear,0,932.226,96.944,2
