satellite, 20479 DEBUT (ORIZURU) / JPN
catalogue, 1 NORAD
track, 17916952
variability, 0 Not variable
variability_period, 0.0
npoints, 561
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-07-17,22:55:40.195000,8.197,9.18452,Clear,0,1830.358,69.387,5
2020-07-17,22:55:40.295000,8.346,9.33443,Clear,0,1830.44,69.367,5
2020-07-17,22:55:40.395000,8.3,9.2868,Clear,0,1830.522,69.347,5
2020-07-17,22:55:40.495000,8.432,9.41942,Clear,0,1830.604,69.327,5
2020-07-17,22:55:40.695000,8.365,9.35202,Clear,0,1830.77,69.288,5
2020-07-17,22:55:41.295000,8.234,9.22031,Clear,0,1831.27,69.169,5
2020-07-17,22:55:41.495000,8.239,9.22528,Clear,0,1831.439,69.129,5
2020-07-17,22:55:41.595000,8.655,9.64127,Clear,0,1831.523,69.109,5
2020-07-17,22:55:41.895000,8.393,9.37752,Clear,0,1831.778,69.05,5
2020-07-17,22:55:42.295000,8.519,9.50302,Clear,0,1832.121,68.971,5
2020-07-17,22:55:42.395000,8.222,9.20552,Clear,0,1832.207,68.951,5
2020-07-17,22:55:42.595000,8.23,9.21411,Clear,0,1832.38,68.911,5
2020-07-17,22:55:42.695000,8.352,9.3355,Clear,0,1832.467,68.891,5
2020-07-17,22:55:42.795000,7.976,8.95967,Clear,0,1832.554,68.872,5
2020-07-17,22:55:42.995000,8.308,9.29114,Clear,0,1832.728,68.832,5
2020-07-17,22:55:43.495000,8.496,9.4785,Clear,0,1833.168,68.733,5
2020-07-17,22:55:43.595000,8.318,9.30005,Clear,0,1833.256,68.713,5
2020-07-17,22:55:43.895000,8.273,9.25537,Clear,0,1833.523,68.654,5
2020-07-17,22:55:43.995000,8.246,9.22825,Clear,0,1833.613,68.634,5
2020-07-17,22:55:44.395000,8.504,9.48485,Clear,0,1833.972,68.555,5
2020-07-17,22:55:44.495000,8.157,9.13755,Clear,0,1834.062,68.536,5
2020-07-17,22:55:44.595000,7.962,8.94281,Clear,0,1834.153,68.516,5
2020-07-17,22:55:44.695000,8.116,9.09674,Clear,0,1834.244,68.496,5
