satellite, 22830 ARIANE 40 R/B / FR
catalogue, 1 NORAD
track, 18128839
variability, 0 Not variable
variability_period, 0.0
npoints, 709
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-08-25,17:17:57.694000,3.905,3.21476,Clear,0,971.742,38.04,9
2020-08-25,17:17:57.794000,3.941,3.25018,Clear,0,971.431,38.067,9
2020-08-25,17:17:57.894000,3.932,3.241,Clear,0,971.12,38.094,9
2020-08-25,17:17:57.994000,3.98,3.2877,Clear,0,970.81,38.122,9
2020-08-25,17:17:58.094000,3.907,3.21498,Clear,0,970.501,38.149,9
2020-08-25,17:17:58.194000,3.923,3.22973,Clear,0,970.191,38.176,9
2020-08-25,17:17:58.294000,3.851,3.15836,Clear,0,969.882,38.203,9
2020-08-25,17:17:58.394000,3.883,3.18861,Clear,0,969.574,38.23,9
2020-08-25,17:17:58.494000,3.851,3.15728,Clear,0,969.266,38.258,9
2020-08-25,17:17:58.594000,3.945,3.24996,Clear,0,968.958,38.285,9
2020-08-25,17:17:58.694000,3.91,3.21462,Clear,0,968.651,38.312,9
2020-08-25,17:17:58.794000,3.908,3.21191,Clear,0,968.345,38.34,9
2020-08-25,17:17:58.894000,3.883,3.18668,Clear,0,968.038,38.367,9
2020-08-25,17:17:58.994000,3.862,3.16535,Clear,0,967.732,38.394,9
2020-08-25,17:17:59.094000,3.875,3.17826,Clear,0,967.427,38.422,9
2020-08-25,17:17:59.194000,3.945,3.24691,Clear,0,967.122,38.449,9
2020-08-25,17:17:59.294000,3.869,3.17132,Clear,0,966.817,38.477,9
2020-08-25,17:17:59.394000,3.889,3.18997,Clear,0,966.513,38.505,9
2020-08-25,17:17:59.494000,3.939,3.23998,Clear,0,966.21,38.532,9
2020-08-25,17:17:59.594000,3.941,3.24077,Clear,0,965.906,38.56,9
2020-08-25,17:17:59.693000,3.981,3.2807,Clear,0,965.607,38.587,9
2020-08-25,17:17:59.793000,3.877,3.17595,Clear,0,965.304,38.615,9
2020-08-25,17:17:59.893000,3.94,3.23896,Clear,0,965.002,38.643,9
2020-08-25,17:17:59.993000,3.983,3.28046,Clear,0,964.701,38.671,9
2020-08-25,17:18:00.093000,3.947,3.24454,Clear,0,964.4,38.698,9
2020-08-25,17:18:00.193000,3.976,3.27303,Clear,0,964.099,38.726,9
2020-08-25,17:18:00.293000,3.944,3.24135,Clear,0,963.799,38.754,9
2020-08-25,17:18:00.393000,3.89,3.18626,Clear,0,963.499,38.782,9
2020-08-25,17:18:00.493000,3.922,3.21778,Clear,0,963.199,38.81,9
2020-08-25,17:18:00.593000,3.984,3.279,Clear,0,962.9,38.838,9
2020-08-25,17:18:01.195000,3.9,3.19211,Clear,0,961.11,39.008,9
2020-08-25,17:18:01.295000,3.918,3.21026,Clear,0,960.814,39.036,9
2020-08-25,17:18:01.395000,4.006,3.29714,Clear,0,960.519,39.064,9
2020-08-25,17:18:01.495000,3.964,3.25505,Clear,0,960.224,39.092,9
2020-08-25,17:18:01.595000,3.989,3.27941,Clear,0,959.929,39.121,9
2020-08-25,17:18:01.695000,3.934,3.22397,Clear,0,959.635,39.149,9
2020-08-25,17:18:01.795000,4.002,3.29048,Clear,0,959.341,39.178,9
2020-08-25,17:18:01.895000,3.98,3.2685,Clear,0,959.048,39.206,9
2020-08-25,17:18:01.995000,3.954,3.24175,Clear,0,958.755,39.235,9
2020-08-25,17:18:02.095000,3.967,3.25533,Clear,0,958.463,39.263,9
2020-08-25,17:18:02.195000,3.925,3.21175,Clear,0,958.171,39.292,9
2020-08-25,17:18:02.295000,3.977,3.26417,Clear,0,957.88,39.32,9
2020-08-25,17:18:02.395000,3.952,3.23886,Clear,0,957.589,39.349,9
2020-08-25,17:18:02.495000,3.949,3.23535,Clear,0,957.298,39.378,9
2020-08-25,17:18:02.595000,4.059,3.34544,Clear,0,957.008,39.406,9
2020-08-25,17:18:02.695000,4.002,3.28688,Clear,0,956.718,39.435,9
2020-08-25,17:18:02.795000,3.943,3.22842,Clear,0,956.429,39.464,9
2020-08-25,17:18:02.895000,3.927,3.21095,Clear,0,956.14,39.493,9
2020-08-25,17:18:02.995000,3.911,3.19517,Clear,0,955.852,39.521,9
2020-08-25,17:18:03.095000,3.964,3.24727,Clear,0,955.564,39.55,9
2020-08-25,17:18:03.195000,3.962,3.24479,Clear,0,955.276,39.579,9
2020-08-25,17:18:03.295000,3.999,3.28053,Clear,0,954.989,39.608,9
2020-08-25,17:18:03.395000,3.989,3.27108,Clear,0,954.703,39.637,9
2020-08-25,17:18:03.495000,3.945,3.22572,Clear,0,954.417,39.666,9
2020-08-25,17:18:03.595000,4.01,3.29122,Clear,0,954.131,39.695,9
2020-08-25,17:18:03.695000,4.038,3.31936,Clear,0,953.846,39.724,9
2020-08-25,17:18:03.795000,3.958,3.23811,Clear,0,953.561,39.753,9
2020-08-25,17:18:03.895000,3.939,3.21911,Clear,0,953.276,39.783,9
2020-08-25,17:18:03.995000,3.976,3.25478,Clear,0,952.993,39.812,9
2020-08-25,17:18:04.095000,3.939,3.21788,Clear,0,952.709,39.841,9
2020-08-25,17:18:04.195000,4.045,3.32278,Clear,0,952.426,39.87,9
2020-08-25,17:18:04.295000,4.042,3.32009,Clear,0,952.144,39.9,9
2020-08-25,17:18:04.395000,3.937,3.21401,Clear,0,951.861,39.929,9
2020-08-25,17:18:04.495000,3.998,3.27454,Clear,0,951.58,39.958,9
2020-08-25,17:18:04.595000,4.016,3.29294,Clear,0,951.299,39.988,9
2020-08-25,17:18:04.695000,4.034,3.31025,Clear,0,951.018,40.017,9
2020-08-25,17:18:04.795000,3.965,3.24071,Clear,0,950.738,40.047,9
2020-08-25,17:18:04.895000,4.035,3.31033,Clear,0,950.458,40.076,9
2020-08-25,17:18:04.995000,3.993,3.2679,Clear,0,950.178,40.106,9
2020-08-25,17:18:05.095000,3.98,3.25364,Clear,0,949.899,40.135,9
2020-08-25,17:18:05.195000,4.027,3.30081,Clear,0,949.621,40.165,9
