satellite, 2657 ESSA 4 (TOS-B) / US
catalogue, 1 NORAD
track, 1862929
variability, 1 Aperiodic
variability_period, 0.0
npoints, 707
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-08-28,00:34:37.543000,4.827,7.11914,Clear,0,2254.428,112.51,7
2014-08-28,00:34:37.643000,5.258,7.54871,Clear,0,2253.923,112.497,7
2014-08-28,00:34:37.743000,4.957,7.24718,Clear,0,2253.418,112.485,7
2014-08-28,00:34:37.843000,5.13,7.41857,Clear,0,2252.914,112.472,7
2014-08-28,00:34:37.943000,4.822,7.11041,Clear,0,2252.409,112.46,7
2014-08-28,00:34:38.043000,5.182,7.47013,Clear,0,2251.904,112.447,7
2014-08-28,00:34:38.143000,4.845,7.13164,Clear,0,2251.4,112.435,7
2014-08-28,00:34:38.243000,4.73,7.01628,Clear,0,2250.895,112.422,7
2014-08-28,00:34:38.343000,4.795,7.07961,Clear,0,2250.391,112.409,7
2014-08-28,00:34:38.443000,4.676,6.95965,Clear,0,2249.887,112.397,7
2014-08-28,00:34:38.543000,5.036,7.31854,Clear,0,2249.382,112.384,7
2014-08-28,00:34:38.643000,4.823,7.1046,Clear,0,2248.878,112.372,7
2014-08-28,00:34:38.743000,4.93,7.21217,Clear,0,2248.374,112.359,7
2014-08-28,00:34:38.843000,4.928,7.20853,Clear,0,2247.87,112.346,7
2014-08-28,00:34:38.943000,4.891,7.17069,Clear,0,2247.366,112.334,7
2014-08-28,00:34:39.043000,5.015,7.2943,Clear,0,2246.863,112.321,7
2014-08-28,00:34:39.143000,4.938,7.21604,Clear,0,2246.359,112.309,7
2014-08-28,00:34:39.243000,4.996,7.27263,Clear,0,2245.855,112.296,7
2014-08-28,00:34:39.343000,5.04,7.3171,Clear,0,2245.352,112.283,7
2014-08-28,00:34:39.443000,5.062,7.33801,Clear,0,2244.848,112.271,7
2014-08-28,00:34:39.543000,5.194,7.46885,Clear,0,2244.345,112.258,7
2014-08-28,00:34:39.643000,5.103,7.37705,Clear,0,2243.842,112.245,7
2014-08-28,00:34:39.743000,5.088,7.36049,Clear,0,2243.338,112.233,7
2014-08-28,00:34:39.843000,5.055,7.3266,Clear,0,2242.835,112.22,7
2014-08-28,00:34:39.943000,5.578,7.84963,Clear,0,2242.332,112.207,7
2014-08-28,00:34:40.043000,5.368,7.63881,Clear,0,2241.829,112.195,7
2014-08-28,00:34:40.143000,5.298,7.56797,Clear,0,2241.326,112.182,7
2014-08-28,00:34:40.243000,5.543,7.81145,Clear,0,2240.823,112.169,7
2014-08-28,00:34:40.343000,5.524,7.79163,Clear,0,2240.321,112.157,7
2014-08-28,00:34:40.443000,5.764,8.03057,Clear,0,2239.818,112.144,7
2014-08-28,00:34:40.543000,5.649,7.91448,Clear,0,2239.315,112.131,7
2014-08-28,00:34:40.643000,5.962,8.22801,Clear,0,2238.813,112.119,7
2014-08-28,00:34:40.743000,6.04,8.30463,Clear,0,2238.311,112.106,7
2014-08-28,00:34:40.843000,5.959,8.2234,Clear,0,2237.808,112.093,7
2014-08-28,00:34:40.943000,6.205,8.46819,Clear,0,2237.306,112.081,7
2014-08-28,00:34:41.043000,6.15,8.41145,Clear,0,2236.804,112.068,7
2014-08-28,00:34:41.143000,7.1,9.3608,Clear,0,2236.302,112.055,7
2014-08-28,00:34:41.243000,6.477,8.73747,Clear,0,2235.8,112.042,7
2014-08-28,00:34:41.443000,6.211,8.46965,Clear,0,2234.796,112.017,7
2014-08-28,00:34:41.543000,7.14,9.39821,Clear,0,2234.294,112.004,7
2014-08-28,00:34:41.743000,6.381,8.63678,Clear,0,2233.291,111.979,7
2014-08-28,00:34:41.843000,7.568,9.82282,Clear,0,2232.789,111.966,7
2014-08-28,00:34:42.043000,6.136,8.38965,Clear,0,2231.787,111.94,7
2014-08-28,00:34:42.243000,7.625,9.8767,Clear,0,2230.784,111.915,7
2014-08-28,00:34:42.443000,6.738,8.98749,Clear,0,2229.782,111.889,7
2014-08-28,00:34:42.543000,6.902,9.15155,Clear,0,2229.281,111.876,7
2014-08-28,00:34:42.943000,6.975,9.22092,Clear,0,2227.278,111.825,7
2014-08-28,00:34:43.143000,7.273,9.51648,Clear,0,2226.278,111.8,7
2014-08-28,00:34:43.243000,7.091,9.33469,Clear,0,2225.777,111.787,7
2014-08-28,00:34:43.343000,7.31,9.55344,Clear,0,2225.277,111.774,7
2014-08-28,00:34:43.443000,6.878,9.11948,Clear,0,2224.777,111.761,7
2014-08-28,00:34:43.643000,7.003,9.24276,Clear,0,2223.777,111.735,7
2014-08-28,00:34:43.943000,6.517,8.75457,Clear,0,2222.277,111.697,7
2014-08-28,00:34:44.043000,7.407,9.64409,Clear,0,2221.778,111.684,7
2014-08-28,00:34:44.143000,6.945,9.18088,Clear,0,2221.278,111.671,7
2014-08-28,00:34:44.243000,7.323,9.55758,Clear,0,2220.779,111.658,7
2014-08-28,00:34:44.343000,6.97,9.20366,Clear,0,2220.279,111.645,7
2014-08-28,00:34:44.843000,7.297,9.52731,Clear,0,2217.783,111.581,7
2014-08-28,00:34:45.243000,7.45,9.67662,Clear,0,2215.788,111.529,7
2014-08-28,00:34:45.343000,7.544,9.77007,Clear,0,2215.29,111.516,7
2014-08-28,00:34:45.443000,7.04,9.26507,Clear,0,2214.791,111.503,7
2014-08-28,00:34:45.643000,7.499,9.7223,Clear,0,2213.795,111.477,7
2014-08-28,00:34:45.843000,7.492,9.71358,Clear,0,2212.798,111.451,7
2014-08-28,00:34:46.043000,7.015,9.23452,Clear,0,2211.802,111.425,7
2014-08-28,00:34:46.143000,7.655,9.87444,Clear,0,2211.304,111.412,7
2014-08-28,00:34:46.443000,7.213,9.42929,Clear,0,2209.811,111.373,7
2014-08-28,00:34:46.643000,6.91,9.12521,Clear,0,2208.816,111.347,7
2014-08-28,00:34:46.743000,7.292,9.50577,Clear,0,2208.319,111.334,7
2014-08-28,00:34:46.843000,7.171,9.38372,Clear,0,2207.822,111.321,7
2014-08-28,00:34:46.943000,7.246,9.45793,Clear,0,2207.324,111.308,7
2014-08-28,00:34:47.043000,7.566,9.77671,Clear,0,2206.827,111.295,7
2014-08-28,00:34:47.343000,7.295,9.5038,Clear,0,2205.336,111.256,7
2014-08-28,00:34:47.543000,6.83,9.03676,Clear,0,2204.343,111.23,7
2014-08-28,00:34:47.643000,6.525,8.73098,Clear,0,2203.846,111.217,7
2014-08-28,00:34:47.843000,7.339,9.54397,Clear,0,2202.853,111.191,7
2014-08-28,00:34:47.943000,7.16,9.36353,Clear,0,2202.357,111.178,7
2014-08-28,00:34:48.243000,7.102,9.3025,Clear,0,2200.869,111.139,7
2014-08-28,00:34:48.343000,6.765,8.965,Clear,0,2200.373,111.125,7
2014-08-28,00:34:48.443000,7.11,9.30873,Clear,0,2199.877,111.112,7
2014-08-28,00:34:48.543000,6.733,8.93176,Clear,0,2199.381,111.099,7
2014-08-28,00:34:48.643000,7.545,9.74334,Clear,0,2198.885,111.086,7
2014-08-28,00:34:48.743000,7.713,9.91031,Clear,0,2198.39,111.073,7
2014-08-28,00:34:49.043000,6.925,9.11923,Clear,0,2196.903,111.034,7
2014-08-28,00:34:49.143000,6.864,9.05647,Clear,0,2196.408,111.02,7
2014-08-28,00:34:49.243000,6.959,9.15153,Clear,0,2195.913,111.007,7
2014-08-28,00:34:49.343000,7.169,9.36058,Clear,0,2195.418,110.994,7
2014-08-28,00:34:49.543000,7.883,10.0734,Clear,0,2194.428,110.968,7
2014-08-28,00:34:49.743000,7.14,9.32764,Clear,0,2193.438,110.942,7
2014-08-28,00:34:49.843000,7.282,9.47008,Clear,0,2192.943,110.928,7
2014-08-28,00:34:49.943000,6.669,8.85601,Clear,0,2192.449,110.915,7
2014-08-28,00:34:50.043000,7.678,9.86376,Clear,0,2191.954,110.902,7
2014-08-28,00:34:50.143000,7.564,9.74855,Clear,0,2191.46,110.889,7
2014-08-28,00:34:50.243000,6.908,9.0922,Clear,0,2190.966,110.876,7
2014-08-28,00:34:50.343000,6.812,8.99539,Clear,0,2190.471,110.862,7
2014-08-28,00:34:50.543000,6.731,8.91252,Clear,0,2189.483,110.836,7
2014-08-28,00:34:50.643000,6.475,8.65619,Clear,0,2188.989,110.823,7
2014-08-28,00:34:50.743000,6.864,9.04353,Clear,0,2188.495,110.81,7
2014-08-28,00:34:50.843000,7.601,9.77985,Clear,0,2188.002,110.796,7
2014-08-28,00:34:50.943000,7.042,9.22014,Clear,0,2187.508,110.783,7
2014-08-28,00:34:51.043000,7.112,9.28893,Clear,0,2187.014,110.77,7
2014-08-28,00:34:51.143000,7.43,9.60549,Clear,0,2186.521,110.757,7
2014-08-28,00:34:51.243000,6.96,9.13631,Clear,0,2186.027,110.743,7
2014-08-28,00:34:51.343000,7.042,9.21727,Clear,0,2185.534,110.73,7
2014-08-28,00:34:51.443000,7.678,9.85218,Clear,0,2185.041,110.717,7
2014-08-28,00:34:51.543000,6.262,8.43479,Clear,0,2184.548,110.704,7
2014-08-28,00:34:51.643000,6.854,9.02572,Clear,0,2184.055,110.69,7
2014-08-28,00:34:51.743000,6.848,9.01906,Clear,0,2183.562,110.677,7
2014-08-28,00:34:51.843000,6.735,8.90526,Clear,0,2183.069,110.664,7
