satellite, 11389 OPS 5390 / US
catalogue, 1 NORAD
track, 18692474
variability, 1 Aperiodic
variability_period, 0.0
npoints, 951
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-11-18,01:43:04.198000,5.294,5.69446,Clear,0,1173.41,92.63,1
2020-11-18,01:43:04.298000,5.412,5.81191,Clear,0,1172.926,92.624,1
2020-11-18,01:43:04.398000,5.199,5.59834,Clear,0,1172.441,92.618,1
2020-11-18,01:43:04.498000,5.117,5.51528,Clear,0,1171.957,92.612,1
2020-11-18,01:43:04.598000,5.235,5.6324,Clear,0,1171.473,92.606,1
2020-11-18,01:43:04.698000,5.171,5.56728,Clear,0,1170.989,92.599,1
2020-11-18,01:43:04.798000,5.025,5.4204,Clear,0,1170.506,92.593,1
2020-11-18,01:43:04.898000,4.979,5.37288,Clear,0,1170.023,92.587,1
2020-11-18,01:43:04.998000,4.823,5.21552,Clear,0,1169.54,92.581,1
2020-11-18,01:43:05.098000,4.59,4.98169,Clear,0,1169.057,92.575,1
2020-11-18,01:43:05.198000,4.555,4.94549,Clear,0,1168.574,92.569,1
2020-11-18,01:43:05.298000,4.793,5.18255,Clear,0,1168.092,92.562,1
2020-11-18,01:43:05.398000,4.714,5.10329,Clear,0,1167.61,92.556,1
2020-11-18,01:43:05.498000,4.77,5.15782,Clear,0,1167.128,92.55,1
2020-11-18,01:43:05.598000,4.818,5.20497,Clear,0,1166.646,92.544,1
2020-11-18,01:43:05.698000,4.578,4.96384,Clear,0,1166.165,92.538,1
2020-11-18,01:43:05.798000,4.744,5.12913,Clear,0,1165.683,92.532,1
2020-11-18,01:43:05.898000,4.788,5.17205,Clear,0,1165.202,92.525,1
2020-11-18,01:43:05.998000,4.621,5.00344,Clear,0,1164.722,92.519,1
2020-11-18,01:43:06.098000,4.759,5.1396,Clear,0,1164.241,92.513,1
2020-11-18,01:43:06.198000,4.635,5.01536,Clear,0,1163.761,92.507,1
2020-11-18,01:43:06.298000,4.636,5.01542,Clear,0,1163.281,92.501,1
2020-11-18,01:43:06.398000,4.598,4.97587,Clear,0,1162.801,92.494,1
2020-11-18,01:43:06.498000,4.332,4.70881,Clear,0,1162.321,92.488,1
2020-11-18,01:43:06.598000,4.233,4.60883,Clear,0,1161.842,92.482,1
2020-11-18,01:43:06.698000,4.399,4.77438,Clear,0,1161.363,92.476,1
2020-11-18,01:43:06.798000,4.346,4.71951,Clear,0,1160.884,92.469,1
2020-11-18,01:43:06.898000,4.159,4.53158,Clear,0,1160.405,92.463,1
2020-11-18,01:43:06.998000,4.44,4.81148,Clear,0,1159.927,92.457,1
2020-11-18,01:43:07.098000,4.348,4.71855,Clear,0,1159.448,92.451,1
2020-11-18,01:43:07.198000,4.057,4.42655,Clear,0,1158.97,92.445,1
