satellite, 28058 CHUANG XIN 1 (CZ-1) / PRC
catalogue, 1 NORAD
track, 18853024
variability, 2 Periodic
variability_period, 23.9282259
npoints, 1016
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-12-14,15:51:26.591000,8.239,7.21807,Clear,0,763.976,60.151,1
2020-12-14,15:51:26.691000,8.286,7.26545,Clear,0,764.115,60.182,1
2020-12-14,15:51:26.791000,8.319,7.29975,Clear,0,764.255,60.213,1
2020-12-14,15:51:26.891000,8.166,7.14797,Clear,0,764.395,60.244,1
2020-12-14,15:51:26.991000,8.198,7.18015,Clear,0,764.537,60.274,1
2020-12-14,15:51:27.091000,8.265,7.24765,Clear,0,764.678,60.305,1
2020-12-14,15:51:27.191000,8.498,7.48179,Clear,0,764.821,60.336,1
2020-12-14,15:51:27.291000,8.279,7.26417,Clear,0,764.964,60.367,1
2020-12-14,15:51:27.391000,8.212,7.19713,Clear,0,765.107,60.398,1
2020-12-14,15:51:27.491000,8.281,7.26687,Clear,0,765.252,60.428,1
2020-12-14,15:51:27.591000,8.433,7.41979,Clear,0,765.397,60.459,1
2020-12-14,15:51:27.691000,8.293,7.28094,Clear,0,765.542,60.49,1
2020-12-14,15:51:27.791000,8.294,7.28167,Clear,0,765.688,60.521,1
2020-12-14,15:51:27.891000,8.311,7.2996,Clear,0,765.835,60.552,1
2020-12-14,15:51:27.991000,8.249,7.23886,Clear,0,765.983,60.583,1
2020-12-14,15:51:28.091000,8.154,7.14503,Clear,0,766.131,60.614,1
2020-12-14,15:51:28.191000,8.343,7.33395,Clear,0,766.28,60.644,1
2020-12-14,15:51:28.291000,8.228,7.22011,Clear,0,766.429,60.675,1
2020-12-14,15:51:28.391000,8.236,7.22889,Clear,0,766.579,60.706,1
2020-12-14,15:51:28.491000,8.176,7.16953,Clear,0,766.73,60.737,1
2020-12-14,15:51:28.591000,8.104,7.09776,Clear,0,766.881,60.768,1
2020-12-14,15:51:28.691000,8.084,7.07876,Clear,0,767.034,60.799,1
2020-12-14,15:51:28.791000,8.111,7.10707,Clear,0,767.186,60.83,1
2020-12-14,15:51:28.891000,8.15,7.14733,Clear,0,767.34,60.861,1
2020-12-14,15:51:28.991000,8.146,7.14414,Clear,0,767.493,60.892,1
2020-12-14,15:51:29.091000,8.084,7.08224,Clear,0,767.648,60.923,1
2020-12-14,15:51:29.191000,8.076,7.07517,Clear,0,767.803,60.954,1
2020-12-14,15:51:29.291000,8.069,7.06921,Clear,0,767.959,60.985,1
2020-12-14,15:51:29.391000,7.922,6.92314,Clear,0,768.116,61.016,1
2020-12-14,15:51:29.491000,7.963,6.96434,Clear,0,768.273,61.047,1
2020-12-14,15:51:29.591000,7.988,6.98957,Clear,0,768.431,61.078,1
2020-12-14,15:51:29.691000,7.928,6.93138,Clear,0,768.589,61.109,1
2020-12-14,15:51:29.791000,7.981,6.98483,Clear,0,768.748,61.14,1
2020-12-14,15:51:29.891000,7.862,6.86694,Clear,0,768.908,61.171,1
2020-12-14,15:51:29.991000,7.836,6.8412,Clear,0,769.068,61.202,1
2020-12-14,15:51:30.091000,7.71,6.716,Clear,0,769.229,61.233,1
2020-12-14,15:51:30.191000,7.626,6.63335,Clear,0,769.391,61.264,1
2020-12-14,15:51:30.291000,7.608,6.61559,Clear,0,769.553,61.295,1
2020-12-14,15:51:30.391000,7.466,6.47515,Clear,0,769.716,61.326,1
2020-12-14,15:51:30.491000,7.476,6.486,Clear,0,769.879,61.357,1
2020-12-14,15:51:30.591000,7.342,6.35173,Clear,0,770.043,61.388,1
2020-12-14,15:51:30.691000,7.157,6.16751,Clear,0,770.208,61.419,1
2020-12-14,15:51:30.791000,7.037,6.04898,Clear,0,770.374,61.45,1
2020-12-14,15:51:30.891000,6.874,5.88696,Clear,0,770.54,61.481,1
2020-12-14,15:51:30.991000,6.92,5.93444,Clear,0,770.706,61.512,1
2020-12-14,15:51:31.091000,7.091,6.10538,Clear,0,770.874,61.544,1
