satellite, 38109 USA 234 (FIA Radar 2 ?) / US
catalogue, 3 McCants
track, 18940225
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1021
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-02-19,16:08:18.996000,2.913,3.31909,Clear,0,1418.848,67.187,1
2021-02-19,16:08:19.096000,2.89,3.29621,Clear,0,1418.519,67.208,1
2021-02-19,16:08:19.196000,2.94,3.34587,Clear,0,1418.191,67.23,1
2021-02-19,16:08:19.296000,2.868,3.27415,Clear,0,1417.863,67.251,1
2021-02-19,16:08:19.396000,2.795,3.20119,Clear,0,1417.536,67.272,1
2021-02-19,16:08:19.496000,2.842,3.24677,Clear,0,1417.208,67.293,1
2021-02-19,16:08:19.596000,2.801,3.20599,Clear,0,1416.881,67.314,1
2021-02-19,16:08:19.696000,2.711,3.11592,Clear,0,1416.554,67.335,1
2021-02-19,16:08:19.796000,2.83,3.23458,Clear,0,1416.228,67.356,1
2021-02-19,16:08:19.896000,2.902,3.30638,Clear,0,1415.901,67.377,1
2021-02-19,16:08:19.996000,2.836,3.24031,Clear,0,1415.575,67.399,1
2021-02-19,16:08:20.096000,2.828,3.23178,Clear,0,1415.25,67.42,1
2021-02-19,16:08:20.196000,2.802,3.20573,Clear,0,1414.924,67.441,1
2021-02-19,16:08:20.296000,2.781,3.1839,Clear,0,1414.599,67.462,1
2021-02-19,16:08:20.396000,2.864,3.26693,Clear,0,1414.274,67.484,1
2021-02-19,16:08:20.496000,2.819,3.22203,Clear,0,1413.95,67.505,1
2021-02-19,16:08:20.596000,2.757,3.15991,Clear,0,1413.625,67.526,1
2021-02-19,16:08:20.696000,2.814,3.21694,Clear,0,1413.301,67.547,1
2021-02-19,16:08:20.796000,2.803,3.20506,Clear,0,1412.977,67.569,1
2021-02-19,16:08:20.896000,2.799,3.20107,Clear,0,1412.654,67.59,1
2021-02-19,16:08:20.996000,2.746,3.14811,Clear,0,1412.33,67.611,1
2021-02-19,16:08:21.096000,2.794,3.19551,Clear,0,1412.007,67.633,1
2021-02-19,16:08:21.196000,2.813,3.21426,Clear,0,1411.685,67.654,1
2021-02-19,16:08:21.296000,2.718,3.11875,Clear,0,1411.362,67.675,1
