satellite, 43010 FENGYUN 3D / PRC
catalogue, 1 NORAD
track, 19201954
variability, 2 Periodic
variability_period, 1.79891928
npoints, 514
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-05-03,23:32:52.891000,4.927,5.03367,Clear,0,996.672,95.617,5
2021-05-03,23:32:52.991000,5.007,5.11256,Clear,0,996.307,95.581,5
2021-05-03,23:32:53.091000,5.016,5.11966,Clear,0,995.942,95.544,5
2021-05-03,23:32:53.191000,4.675,4.7774,Clear,0,995.577,95.507,5
2021-05-03,23:32:53.291000,4.645,4.7456,Clear,0,995.213,95.471,5
2021-05-03,23:32:53.391000,4.597,4.69623,Clear,0,994.85,95.434,5
2021-05-03,23:32:53.491000,4.496,4.59386,Clear,0,994.486,95.397,5
2021-05-03,23:32:53.591000,4.642,4.73794,Clear,0,994.124,95.36,5
2021-05-03,23:32:53.691000,4.878,4.97302,Clear,0,993.761,95.324,5
2021-05-03,23:32:53.791000,5.034,5.12701,Clear,0,993.399,95.287,5
2021-05-03,23:32:53.891000,4.976,5.06817,Clear,0,993.037,95.25,5
2021-05-03,23:32:53.991000,4.92,5.00999,Clear,0,992.676,95.213,5
2021-05-03,23:32:54.091000,4.919,5.00663,Clear,0,992.315,95.176,5
2021-05-03,23:32:54.191000,4.983,5.07,Clear,0,991.954,95.139,5
2021-05-03,23:32:54.391000,4.953,5.03649,Clear,0,991.234,95.065,5
2021-05-03,23:32:54.491000,4.884,4.96625,Clear,0,990.874,95.028,5
2021-05-03,23:32:54.591000,4.774,4.85506,Clear,0,990.515,94.991,5
2021-05-03,23:32:54.691000,4.985,5.06379,Clear,0,990.156,94.954,5
2021-05-03,23:32:54.791000,4.957,5.03445,Clear,0,989.798,94.917,5
2021-05-03,23:32:54.891000,4.961,5.03653,Clear,0,989.44,94.88,5
2021-05-03,23:32:54.991000,4.779,4.85285,Clear,0,989.082,94.843,5
2021-05-03,23:32:55.091000,4.704,4.77684,Clear,0,988.725,94.805,5
2021-05-03,23:32:55.191000,4.505,4.5762,Clear,0,988.368,94.768,5
2021-05-03,23:32:55.291000,4.806,4.87612,Clear,0,988.011,94.731,5
2021-05-03,23:32:55.391000,4.641,4.70845,Clear,0,987.655,94.694,5
2021-05-03,23:32:55.491000,4.86,4.9269,Clear,0,987.299,94.657,5
2021-05-03,23:32:55.591000,4.977,5.04171,Clear,0,986.944,94.619,5
2021-05-03,23:32:55.691000,4.967,5.03078,Clear,0,986.589,94.582,5
2021-05-03,23:32:56.293000,4.857,4.91133,Clear,0,984.46,94.357,5
2021-05-03,23:32:56.393000,4.871,4.92368,Clear,0,984.107,94.319,5
2021-05-03,23:32:56.493000,4.768,4.81857,Clear,0,983.755,94.282,5
2021-05-03,23:32:56.593000,5.038,5.08768,Clear,0,983.404,94.244,5
2021-05-03,23:32:56.693000,4.955,5.00324,Clear,0,983.053,94.207,5
2021-05-03,23:32:56.793000,4.839,4.88569,Clear,0,982.702,94.169,5
2021-05-03,23:32:56.893000,4.66,4.70516,Clear,0,982.351,94.131,5
2021-05-03,23:32:56.993000,4.816,4.85993,Clear,0,982.001,94.094,5
2021-05-03,23:32:57.093000,4.33,4.37213,Clear,0,981.652,94.056,5
2021-05-03,23:32:57.193000,4.527,4.56735,Clear,0,981.302,94.018,5
2021-05-03,23:32:57.293000,4.659,4.69765,Clear,0,980.954,93.981,5
2021-05-03,23:32:57.393000,4.929,4.96614,Clear,0,980.605,93.943,5
2021-05-03,23:32:57.493000,5.003,5.03864,Clear,0,980.257,93.905,5
