satellite, 25162 GLOBALSTAR M001 / GLOB
catalogue, 1 NORAD
track, 19498882
variability, 1 Aperiodic
variability_period, 0.0
npoints, 695
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-07-31,18:48:55.194000,7.394,8.42654,Clear,0,1629.604,88.404,5
2021-07-31,18:48:55.394000,7.26,8.29212,Clear,0,1629.219,88.358,5
2021-07-31,18:48:55.494000,7.438,8.46907,Clear,0,1629.026,88.336,5
2021-07-31,18:48:55.694000,7.227,8.25646,Clear,0,1628.643,88.29,5
2021-07-31,18:48:55.794000,7.173,8.20218,Clear,0,1628.451,88.267,5
2021-07-31,18:48:55.894000,7.176,8.20356,Clear,0,1628.26,88.245,5
2021-07-31,18:48:55.994000,7.331,8.35884,Clear,0,1628.068,88.222,5
2021-07-31,18:48:56.094000,7.288,8.31452,Clear,0,1627.878,88.199,5
2021-07-31,18:48:56.194000,7.052,8.07825,Clear,0,1627.687,88.176,5
2021-07-31,18:48:56.294000,7.285,8.31116,Clear,0,1627.496,88.154,5
2021-07-31,18:48:56.394000,7.09,8.11453,Clear,0,1627.306,88.131,5
2021-07-31,18:48:56.494000,7.381,8.40505,Clear,0,1627.116,88.108,5
2021-07-31,18:48:56.594000,7.176,8.19997,Clear,0,1626.926,88.085,5
2021-07-31,18:48:56.694000,7.21,8.23294,Clear,0,1626.736,88.062,5
2021-07-31,18:48:56.794000,7.132,8.1539,Clear,0,1626.547,88.04,5
2021-07-31,18:48:56.894000,7.268,8.29032,Clear,0,1626.357,88.017,5
2021-07-31,18:48:56.994000,7.174,8.1953,Clear,0,1626.168,87.994,5
2021-07-31,18:48:57.094000,7.193,8.21299,Clear,0,1625.979,87.971,5
2021-07-31,18:48:57.194000,7.105,8.12527,Clear,0,1625.791,87.948,5
2021-07-31,18:48:57.294000,7.162,8.18061,Clear,0,1625.602,87.926,5
2021-07-31,18:48:57.394000,7.256,8.2737,Clear,0,1625.414,87.903,5
2021-07-31,18:48:57.494000,7.131,8.14943,Clear,0,1625.226,87.88,5
2021-07-31,18:48:57.594000,7.051,8.06773,Clear,0,1625.038,87.857,5
2021-07-31,18:48:57.694000,7.166,8.18223,Clear,0,1624.85,87.834,5
2021-07-31,18:48:57.794000,7.335,8.35122,Clear,0,1624.663,87.811,5
2021-07-31,18:48:57.894000,7.029,8.04411,Clear,0,1624.475,87.788,5
2021-07-31,18:48:57.994000,7.122,8.13559,Clear,0,1624.288,87.766,5
2021-07-31,18:48:58.094000,7.087,8.10088,Clear,0,1624.101,87.743,5
2021-07-31,18:48:58.194000,6.971,7.98428,Clear,0,1623.915,87.72,5
2021-07-31,18:48:58.294000,7.115,8.12732,Clear,0,1623.728,87.697,5
2021-07-31,18:48:58.394000,7.007,8.01936,Clear,0,1623.542,87.674,5
2021-07-31,18:48:58.494000,7.091,8.10213,Clear,0,1623.356,87.651,5
2021-07-31,18:48:58.694000,6.934,7.9444,Clear,0,1622.985,87.605,5
2021-07-31,18:48:58.794000,6.991,7.99973,Clear,0,1622.799,87.583,5
2021-07-31,18:48:58.894000,6.991,7.99927,Clear,0,1622.614,87.56,5
2021-07-31,18:48:58.994000,6.876,7.88371,Clear,0,1622.429,87.537,5
2021-07-31,18:48:59.094000,6.924,7.93122,Clear,0,1622.244,87.514,5
2021-07-31,18:48:59.194000,6.976,7.98202,Clear,0,1622.06,87.491,5
2021-07-31,18:48:59.294000,6.909,7.9148,Clear,0,1621.875,87.468,5
2021-07-31,18:48:59.394000,7.014,8.01936,Clear,0,1621.691,87.445,5
2021-07-31,18:48:59.494000,6.817,7.82137,Clear,0,1621.507,87.422,5
2021-07-31,18:48:59.594000,6.817,7.82117,Clear,0,1621.324,87.399,5
2021-07-31,18:48:59.694000,7.011,8.01424,Clear,0,1621.14,87.376,5
2021-07-31,18:48:59.794000,7.003,8.005,Clear,0,1620.957,87.353,5
2021-07-31,18:48:59.894000,6.965,7.96726,Clear,0,1620.774,87.33,5
2021-07-31,18:48:59.994000,6.932,7.93337,Clear,0,1620.591,87.307,5
2021-07-31,18:49:00.094000,6.915,7.91501,Clear,0,1620.408,87.285,5
2021-07-31,18:49:00.194000,6.987,7.98721,Clear,0,1620.225,87.262,5
2021-07-31,18:49:00.294000,6.912,7.91142,Clear,0,1620.043,87.239,5
2021-07-31,18:49:00.394000,7.121,8.11937,Clear,0,1619.861,87.216,5
2021-07-31,18:49:00.494000,6.87,7.86758,Clear,0,1619.679,87.193,5
2021-07-31,18:49:00.594000,6.853,7.8497,Clear,0,1619.497,87.17,5
2021-07-31,18:49:00.694000,6.958,7.95358,Clear,0,1619.316,87.147,5
2021-07-31,18:49:00.794000,6.948,7.94353,Clear,0,1619.135,87.124,5
2021-07-31,18:49:00.894000,6.954,7.94898,Clear,0,1618.954,87.101,5
2021-07-31,18:49:00.994000,6.977,7.97149,Clear,0,1618.773,87.078,5
2021-07-31,18:49:01.094000,6.823,7.81672,Clear,0,1618.592,87.055,5
2021-07-31,18:49:01.194000,7.006,7.99904,Clear,0,1618.412,87.032,5
2021-07-31,18:49:01.294000,6.937,7.92971,Clear,0,1618.232,87.009,5
2021-07-31,18:49:01.594000,6.995,7.98586,Clear,0,1617.692,86.94,5
2021-07-31,18:49:01.694000,6.925,7.91522,Clear,0,1617.513,86.917,5
2021-07-31,18:49:01.794000,6.823,7.81189,Clear,0,1617.334,86.894,5
2021-07-31,18:49:01.894000,6.927,7.91585,Clear,0,1617.155,86.87,5
2021-07-31,18:49:01.994000,6.984,7.97194,Clear,0,1616.976,86.847,5
2021-07-31,18:49:02.094000,6.812,7.79869,Clear,0,1616.797,86.824,5
2021-07-31,18:49:02.194000,6.913,7.89987,Clear,0,1616.619,86.801,5
2021-07-31,18:49:02.294000,6.843,7.82877,Clear,0,1616.441,86.778,5
2021-07-31,18:49:02.394000,6.739,7.7241,Clear,0,1616.263,86.755,5
2021-07-31,18:49:02.494000,6.882,7.86657,Clear,0,1616.085,86.732,5
2021-07-31,18:49:02.594000,6.823,7.80728,Clear,0,1615.908,86.709,5
2021-07-31,18:49:02.694000,6.792,7.77499,Clear,0,1615.731,86.686,5
2021-07-31,18:49:02.794000,6.73,7.71262,Clear,0,1615.554,86.663,5
2021-07-31,18:49:02.894000,6.818,7.80021,Clear,0,1615.377,86.64,5
2021-07-31,18:49:02.994000,6.731,7.71244,Clear,0,1615.2,86.617,5
2021-07-31,18:49:03.094000,6.708,7.68933,Clear,0,1615.024,86.594,5
2021-07-31,18:49:03.194000,6.745,7.72463,Clear,0,1614.847,86.571,5
2021-07-31,18:49:03.294000,6.613,7.59312,Clear,0,1614.671,86.547,5
2021-07-31,18:49:03.394000,6.662,7.64057,Clear,0,1614.495,86.524,5
2021-07-31,18:49:03.494000,6.617,7.59501,Clear,0,1614.32,86.501,5
2021-07-31,18:49:03.594000,6.643,7.62054,Clear,0,1614.144,86.478,5
2021-07-31,18:49:03.694000,6.551,7.52822,Clear,0,1613.969,86.455,5
2021-07-31,18:49:03.794000,6.601,7.57688,Clear,0,1613.794,86.432,5
2021-07-31,18:49:03.894000,6.679,7.6548,Clear,0,1613.62,86.409,5
2021-07-31,18:49:03.994000,6.632,7.60738,Clear,0,1613.445,86.386,5
2021-07-31,18:49:04.094000,6.503,7.47683,Clear,0,1613.271,86.362,5
2021-07-31,18:49:04.194000,6.628,7.6015,Clear,0,1613.097,86.339,5
2021-07-31,18:49:04.294000,6.604,7.57672,Clear,0,1612.923,86.316,5
2021-07-31,18:49:04.394000,6.557,7.52852,Clear,0,1612.749,86.293,5
2021-07-31,18:49:04.494000,6.54,7.51189,Clear,0,1612.575,86.27,5
2021-07-31,18:49:04.594000,6.461,7.43209,Clear,0,1612.402,86.247,5
2021-07-31,18:49:04.694000,6.573,7.54269,Clear,0,1612.229,86.224,5
2021-07-31,18:49:04.794000,6.439,7.40887,Clear,0,1612.056,86.2,5
2021-07-31,18:49:04.894000,6.478,7.44712,Clear,0,1611.883,86.177,5
2021-07-31,18:49:04.994000,6.275,7.2435,Clear,0,1611.711,86.154,5
2021-07-31,18:49:05.094000,5.946,6.91378,Clear,0,1611.539,86.131,5
2021-07-31,18:49:05.194000,5.868,6.83529,Clear,0,1611.367,86.108,5
2021-07-31,18:49:05.294000,6.177,7.14396,Clear,0,1611.195,86.084,5
2021-07-31,18:49:05.394000,6.425,7.39117,Clear,0,1611.023,86.061,5
2021-07-31,18:49:05.494000,6.436,7.40117,Clear,0,1610.852,86.038,5
2021-07-31,18:49:05.594000,6.533,7.49793,Clear,0,1610.681,86.015,5
2021-07-31,18:49:05.694000,6.466,7.43026,Clear,0,1610.51,85.992,5
2021-07-31,18:49:05.794000,6.374,7.33711,Clear,0,1610.339,85.968,5
2021-07-31,18:49:05.894000,6.358,7.32102,Clear,0,1610.169,85.945,5
2021-07-31,18:49:05.994000,6.416,7.37827,Clear,0,1609.998,85.922,5
2021-07-31,18:49:06.094000,6.378,7.33848,Clear,0,1609.828,85.899,5
2021-07-31,18:49:06.194000,6.31,7.27132,Clear,0,1609.658,85.876,5
2021-07-31,18:49:06.294000,6.345,7.30493,Clear,0,1609.488,85.852,5
2021-07-31,18:49:06.394000,6.269,7.22943,Clear,0,1609.319,85.829,5
2021-07-31,18:49:06.494000,6.35,7.30893,Clear,0,1609.15,85.806,5
2021-07-31,18:49:06.594000,6.374,7.33201,Clear,0,1608.981,85.783,5
2021-07-31,18:49:06.694000,6.298,7.25629,Clear,0,1608.812,85.759,5
2021-07-31,18:49:06.794000,6.365,7.32151,Clear,0,1608.643,85.736,5
2021-07-31,18:49:06.894000,6.325,7.28123,Clear,0,1608.475,85.713,5
2021-07-31,18:49:06.994000,6.254,7.21007,Clear,0,1608.307,85.689,5
2021-07-31,18:49:07.094000,6.316,7.27086,Clear,0,1608.139,85.666,5
2021-07-31,18:49:07.194000,6.351,7.30481,Clear,0,1607.971,85.643,5
2021-07-31,18:49:07.294000,6.264,7.21842,Clear,0,1607.803,85.62,5
2021-07-31,18:49:07.394000,6.286,7.23873,Clear,0,1607.636,85.596,5
2021-07-31,18:49:07.494000,6.163,7.1157,Clear,0,1607.469,85.573,5
2021-07-31,18:49:07.594000,6.213,7.16521,Clear,0,1607.302,85.55,5
2021-07-31,18:49:07.694000,6.029,6.97953,Clear,0,1607.135,85.526,5
2021-07-31,18:49:07.794000,5.945,6.89568,Clear,0,1606.969,85.503,5
2021-07-31,18:49:07.894000,5.981,6.93052,Clear,0,1606.802,85.48,5
