satellite, 959 OPS 6582 (TRANSIT 5E-5) / US
catalogue, 1 NORAD
track, 19513696
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1310
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-08-06,00:06:19.796000,7.605,8.46581,Clear,0,1296.137,103.761,1
2021-08-06,00:06:19.896000,7.207,8.0667,Clear,0,1296.13,103.739,1
2021-08-06,00:06:19.996000,7.211,8.07123,Clear,0,1296.122,103.717,1
2021-08-06,00:06:20.096000,7.416,8.27543,Clear,0,1296.115,103.695,1
2021-08-06,00:06:20.196000,7.647,8.50572,Clear,0,1296.108,103.674,1
2021-08-06,00:06:20.296000,7.259,8.11729,Clear,0,1296.102,103.652,1
2021-08-06,00:06:20.396000,7.306,8.16375,Clear,0,1296.096,103.63,1
2021-08-06,00:06:20.496000,7.148,8.0046,Clear,0,1296.091,103.608,1
2021-08-06,00:06:20.596000,7.085,7.94076,Clear,0,1296.085,103.587,1
2021-08-06,00:06:20.696000,7.175,8.03082,Clear,0,1296.081,103.565,1
2021-08-06,00:06:20.796000,7.32,8.17534,Clear,0,1296.076,103.543,1
2021-08-06,00:06:20.896000,7.141,7.9961,Clear,0,1296.072,103.521,1
2021-08-06,00:06:20.996000,7.255,8.10911,Clear,0,1296.068,103.5,1
2021-08-06,00:06:21.096000,7.106,7.95971,Clear,0,1296.065,103.478,1
2021-08-06,00:06:21.196000,7.018,7.87111,Clear,0,1296.061,103.456,1
2021-08-06,00:06:21.296000,7.178,8.03053,Clear,0,1296.059,103.434,1
2021-08-06,00:06:21.396000,7.275,8.12712,Clear,0,1296.056,103.412,1
2021-08-06,00:06:21.496000,7.026,7.87818,Clear,0,1296.054,103.391,1
2021-08-06,00:06:21.596000,7.14,7.99102,Clear,0,1296.053,103.369,1
2021-08-06,00:06:21.696000,7.124,7.97539,Clear,0,1296.051,103.347,1
2021-08-06,00:06:21.796000,7.243,8.09324,Clear,0,1296.05,103.325,1
2021-08-06,00:06:21.896000,6.848,7.69789,Clear,0,1296.05,103.304,1
2021-08-06,00:06:21.996000,7.159,8.00831,Clear,0,1296.049,103.282,1
2021-08-06,00:06:22.096000,6.933,7.78221,Clear,0,1296.05,103.26,1
2021-08-06,00:06:22.196000,7.211,8.05859,Clear,0,1296.05,103.238,1
2021-08-06,00:06:22.296000,7.027,7.87522,Clear,0,1296.051,103.216,1
2021-08-06,00:06:22.396000,7.094,7.94131,Clear,0,1296.052,103.195,1
2021-08-06,00:06:22.496000,7.18,8.02609,Clear,0,1296.054,103.173,1
2021-08-06,00:06:22.696000,7.097,7.94238,Clear,0,1296.058,103.129,1
2021-08-06,00:06:22.796000,7.198,8.04334,Clear,0,1296.06,103.108,1
2021-08-06,00:06:22.896000,7.131,7.97482,Clear,0,1296.063,103.086,1
2021-08-06,00:06:22.996000,7.066,7.90985,Clear,0,1296.067,103.064,1
2021-08-06,00:06:23.096000,7.016,7.85893,Clear,0,1296.07,103.042,1
2021-08-06,00:06:23.196000,7.116,7.95916,Clear,0,1296.074,103.02,1
2021-08-06,00:06:23.296000,7.1,7.94185,Clear,0,1296.079,102.999,1
2021-08-06,00:06:23.396000,6.988,7.82974,Clear,0,1296.083,102.977,1
2021-08-06,00:06:23.496000,6.922,7.76285,Clear,0,1296.089,102.955,1
2021-08-06,00:06:23.596000,7.059,7.90025,Clear,0,1296.094,102.933,1
2021-08-06,00:06:23.696000,7.087,7.92692,Clear,0,1296.1,102.911,1
2021-08-06,00:06:23.796000,7.062,7.90154,Clear,0,1296.106,102.89,1
2021-08-06,00:06:23.896000,6.846,7.68491,Clear,0,1296.112,102.868,1
2021-08-06,00:06:23.996000,6.951,7.79004,Clear,0,1296.119,102.846,1
2021-08-06,00:06:24.096000,7.206,8.04423,Clear,0,1296.127,102.824,1
2021-08-06,00:06:24.196000,6.914,7.75243,Clear,0,1296.134,102.803,1
2021-08-06,00:06:24.296000,7.094,7.93143,Clear,0,1296.142,102.781,1
2021-08-06,00:06:24.396000,7.013,7.84977,Clear,0,1296.15,102.759,1
2021-08-06,00:06:24.496000,7.011,7.84706,Clear,0,1296.159,102.737,1
2021-08-06,00:06:24.596000,7.077,7.91245,Clear,0,1296.168,102.715,1
2021-08-06,00:06:24.696000,7.104,7.93917,Clear,0,1296.178,102.694,1
2021-08-06,00:06:24.796000,7.137,7.97178,Clear,0,1296.187,102.672,1
2021-08-06,00:06:24.896000,7.076,7.91011,Clear,0,1296.197,102.65,1
2021-08-06,00:06:24.996000,7.014,7.84755,Clear,0,1296.208,102.628,1
2021-08-06,00:06:25.096000,6.926,7.75898,Clear,0,1296.219,102.606,1
2021-08-06,00:06:25.196000,6.868,7.70092,Clear,0,1296.23,102.585,1
2021-08-06,00:06:25.296000,6.955,7.78655,Clear,0,1296.241,102.563,1
2021-08-06,00:06:25.396000,7.267,8.09897,Clear,0,1296.253,102.541,1
2021-08-06,00:06:25.496000,7.039,7.86993,Clear,0,1296.265,102.519,1
2021-08-06,00:06:25.596000,7.12,7.95128,Clear,0,1296.278,102.497,1
2021-08-06,00:06:25.696000,7.199,8.029,Clear,0,1296.291,102.476,1
2021-08-06,00:06:25.796000,6.925,7.75514,Clear,0,1296.304,102.454,1
2021-08-06,00:06:25.896000,7.04,7.86893,Clear,0,1296.318,102.432,1
2021-08-06,00:06:25.996000,7.16,7.98846,Clear,0,1296.332,102.41,1
2021-08-06,00:06:26.096000,7.006,7.83435,Clear,0,1296.346,102.388,1
2021-08-06,00:06:26.196000,7.105,7.93303,Clear,0,1296.361,102.367,1
2021-08-06,00:06:26.296000,6.916,7.743,Clear,0,1296.376,102.345,1
2021-08-06,00:06:26.396000,7.041,7.86792,Clear,0,1296.391,102.323,1
2021-08-06,00:06:26.496000,7.238,8.06357,Clear,0,1296.407,102.301,1
2021-08-06,00:06:26.596000,7.022,7.84829,Clear,0,1296.423,102.279,1
2021-08-06,00:06:26.696000,7.256,8.08052,Clear,0,1296.44,102.257,1
2021-08-06,00:06:26.796000,6.977,7.80201,Clear,0,1296.457,102.236,1
2021-08-06,00:06:26.896000,7.025,7.84903,Clear,0,1296.474,102.214,1
2021-08-06,00:06:26.996000,7.066,7.88971,Clear,0,1296.491,102.192,1
2021-08-06,00:06:27.096000,7.119,7.94265,Clear,0,1296.509,102.17,1
2021-08-06,00:06:27.196000,7.043,7.86567,Clear,0,1296.528,102.148,1
2021-08-06,00:06:27.296000,7.26,8.08327,Clear,0,1296.546,102.127,1
2021-08-06,00:06:27.396000,7.285,8.10738,Clear,0,1296.565,102.105,1
2021-08-06,00:06:27.496000,7.271,8.0934,Clear,0,1296.585,102.083,1
2021-08-06,00:06:27.596000,6.976,7.79683,Clear,0,1296.604,102.061,1
2021-08-06,00:06:27.696000,6.91,7.73056,Clear,0,1296.624,102.039,1
2021-08-06,00:06:27.796000,7.147,7.9671,Clear,0,1296.645,102.018,1
2021-08-06,00:06:27.896000,7.075,7.89535,Clear,0,1296.666,101.996,1
2021-08-06,00:06:27.996000,7.127,7.94561,Clear,0,1296.687,101.974,1
2021-08-06,00:06:28.096000,7.065,7.88409,Clear,0,1296.708,101.952,1
2021-08-06,00:06:28.196000,7.21,8.02813,Clear,0,1296.73,101.93,1
2021-08-06,00:06:28.296000,7.021,7.83922,Clear,0,1296.752,101.909,1
2021-08-06,00:06:28.396000,7.095,7.91219,Clear,0,1296.775,101.887,1
2021-08-06,00:06:28.496000,7.007,7.8237,Clear,0,1296.798,101.865,1
2021-08-06,00:06:28.596000,6.966,7.78167,Clear,0,1296.821,101.843,1
2021-08-06,00:06:28.696000,7.412,8.22829,Clear,0,1296.845,101.821,1
2021-08-06,00:06:28.796000,7.208,8.0232,Clear,0,1296.869,101.799,1
2021-08-06,00:06:28.896000,6.981,7.79566,Clear,0,1296.893,101.778,1
2021-08-06,00:06:28.996000,7.141,7.9559,Clear,0,1296.918,101.756,1
2021-08-06,00:06:29.096000,6.994,7.8084,Clear,0,1296.943,101.734,1
2021-08-06,00:06:29.196000,7.026,7.83995,Clear,0,1296.968,101.712,1
2021-08-06,00:06:29.296000,7.109,7.9219,Clear,0,1296.994,101.69,1
2021-08-06,00:06:29.395000,7.049,7.86242,Clear,0,1297.02,101.669,1
2021-08-06,00:06:29.495000,6.928,7.74032,Clear,0,1297.046,101.647,1
2021-08-06,00:06:29.596000,7.245,8.05699,Clear,0,1297.073,101.625,1
2021-08-06,00:06:29.696000,7.027,7.838,Clear,0,1297.1,101.603,1
2021-08-06,00:06:29.796000,6.904,7.71476,Clear,0,1297.128,101.581,1
2021-08-06,00:06:29.896000,7.199,8.00854,Clear,0,1297.156,101.56,1
2021-08-06,00:06:29.996000,7.093,7.90257,Clear,0,1297.184,101.538,1
2021-08-06,00:06:30.096000,7.09,7.8987,Clear,0,1297.213,101.516,1
2021-08-06,00:06:30.196000,7.054,7.86267,Clear,0,1297.242,101.494,1
2021-08-06,00:06:30.295000,7.246,8.0546,Clear,0,1297.271,101.473,1
