satellite, 44772 STARLINK-1068 / US
catalogue, 1 NORAD
track, 19733049
variability, 0 Not variable
variability_period, 0.0
npoints, 722
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-10-07,15:47:47.099000,6.755,7.13781,Clear,0,923.692,113.505,2
2021-10-07,15:47:47.199000,6.678,7.05919,Clear,0,923.137,113.483,2
2021-10-07,15:47:47.299000,6.754,7.13319,Clear,0,922.582,113.461,2
2021-10-07,15:47:47.399000,6.738,7.11445,Clear,0,922.027,113.439,2
2021-10-07,15:47:47.499000,6.733,7.10831,Clear,0,921.472,113.416,2
2021-10-07,15:47:47.599000,6.725,7.09796,Clear,0,920.917,113.394,2
2021-10-07,15:47:47.699000,6.727,7.09796,Clear,0,920.363,113.371,2
2021-10-07,15:47:47.799000,6.756,7.12495,Clear,0,919.809,113.349,2
2021-10-07,15:47:47.899000,6.62,6.9865,Clear,0,919.255,113.327,2
2021-10-07,15:47:47.999000,6.815,7.17992,Clear,0,918.701,113.304,2
2021-10-07,15:47:48.099000,6.687,7.05007,Clear,0,918.147,113.282,2
2021-10-07,15:47:48.199000,6.906,7.26724,Clear,0,917.594,113.259,2
2021-10-07,15:47:48.299000,6.763,7.12214,Clear,0,917.041,113.237,2
2021-10-07,15:47:48.399000,6.663,7.01952,Clear,0,916.488,113.214,2
2021-10-07,15:47:48.499000,6.69,7.04515,Clear,0,915.935,113.191,2
2021-10-07,15:47:48.599000,6.679,7.03183,Clear,0,915.382,113.169,2
2021-10-07,15:47:48.699000,6.668,7.0192,Clear,0,914.83,113.146,2
2021-10-07,15:47:48.799000,6.7,7.04941,Clear,0,914.278,113.123,2
2021-10-07,15:47:48.899000,6.646,6.99417,Clear,0,913.726,113.101,2
2021-10-07,15:47:48.999000,6.707,7.0527,Clear,0,913.174,113.078,2
2021-10-07,15:47:49.099000,6.8,7.14412,Clear,0,912.622,113.055,2
2021-10-07,15:47:49.199000,6.789,7.13083,Clear,0,912.071,113.032,2
