satellite, 6218 ATLAS F BURNER 2 R/B / US
catalogue, 1 NORAD
track, 19894360
variability, 0 Not variable
variability_period, 0.0
npoints, 579
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-11-05,14:59:45.494000,7.657,7.3836,Clear,0,768.545,103.795,9
2021-11-05,14:59:45.694000,7.743,7.47035,Clear,0,768.571,103.797,9
2021-11-05,14:59:45.794000,7.709,7.43613,Clear,0,768.585,103.798,9
2021-11-05,14:59:45.894000,7.559,7.28634,Clear,0,768.6,103.798,9
2021-11-05,14:59:45.994000,7.904,7.63051,Clear,0,768.615,103.799,9
2021-11-05,14:59:46.094000,7.575,7.30234,Clear,0,768.631,103.799,9
2021-11-05,14:59:46.294000,7.636,7.36279,Clear,0,768.665,103.801,9
2021-11-05,14:59:46.394000,7.764,7.49097,Clear,0,768.683,103.801,9
2021-11-05,14:59:46.494000,7.8,7.52662,Clear,0,768.702,103.802,9
2021-11-05,14:59:46.594000,7.727,7.45364,Clear,0,768.721,103.802,9
2021-11-05,14:59:46.694000,7.718,7.4452,Clear,0,768.742,103.803,9
2021-11-05,14:59:46.794000,7.638,7.36506,Clear,0,768.762,103.804,9
2021-11-05,14:59:46.894000,7.717,7.4452,Clear,0,768.784,103.804,9
2021-11-05,14:59:46.994000,7.617,7.34508,Clear,0,768.806,103.805,9
2021-11-05,14:59:47.094000,7.654,7.38145,Clear,0,768.829,103.805,9
2021-11-05,14:59:47.194000,7.802,7.53002,Clear,0,768.852,103.806,9
2021-11-05,14:59:47.294000,7.62,7.34748,Clear,0,768.876,103.806,9
2021-11-05,14:59:47.394000,7.506,7.23393,Clear,0,768.901,103.807,9
2021-11-05,14:59:47.594000,7.865,7.59336,Clear,0,768.952,103.808,9
2021-11-05,14:59:47.994000,7.655,7.38294,Clear,0,769.064,103.809,9
2021-11-05,14:59:48.094000,7.709,7.43804,Clear,0,769.093,103.81,9
2021-11-05,14:59:48.294000,7.776,7.50531,Clear,0,769.154,103.81,9
2021-11-05,14:59:48.394000,7.608,7.33729,Clear,0,769.186,103.811,9
2021-11-05,14:59:48.494000,7.61,7.33919,Clear,0,769.218,103.811,9
2021-11-05,14:59:48.594000,7.933,7.66148,Clear,0,769.251,103.812,9
2021-11-05,14:59:48.794000,7.616,7.34508,Clear,0,769.318,103.812,9
2021-11-05,14:59:48.894000,7.782,7.51125,Clear,0,769.353,103.812,9
2021-11-05,14:59:49.094000,7.661,7.39057,Clear,0,769.425,103.813,9
2021-11-05,14:59:49.194000,7.523,7.25298,Clear,0,769.462,103.813,9
2021-11-05,14:59:49.294000,7.533,7.2627,Clear,0,769.499,103.814,9
2021-11-05,14:59:49.594000,7.76,7.49024,Clear,0,769.616,103.814,9
2021-11-05,14:59:49.694000,7.548,7.27836,Clear,0,769.656,103.815,9
2021-11-05,14:59:49.794000,7.496,7.22561,Clear,0,769.697,103.815,9
2021-11-05,14:59:49.894000,7.424,7.15501,Clear,0,769.739,103.815,9
2021-11-05,14:59:50.094000,7.554,7.28468,Clear,0,769.824,103.815,9
2021-11-05,14:59:50.194000,7.873,7.60405,Clear,0,769.867,103.816,9
2021-11-05,14:59:50.294000,7.343,7.07369,Clear,0,769.912,103.816,9
2021-11-05,14:59:50.394000,7.633,7.36425,Clear,0,769.956,103.816,9
2021-11-05,14:59:50.494000,7.706,7.43665,Clear,0,770.002,103.816,9
2021-11-05,14:59:50.594000,7.627,7.35777,Clear,0,770.048,103.816,9
2021-11-05,14:59:50.694000,7.487,7.21848,Clear,0,770.095,103.816,9
