satellite, 1244 GGSE 2 / US
catalogue, 1 NORAD
track, 19913904
variability, 1 Aperiodic
variability_period, 0.0
npoints, 749
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-11-07,15:41:35.100000,7.679,7.3385,Clear,0,1030.498,62.84,1
2021-11-07,15:41:35.200000,7.76,7.41942,Clear,0,1030.266,62.815,1
2021-11-07,15:41:35.300000,7.888,7.54611,Clear,0,1030.034,62.789,1
2021-11-07,15:41:35.400000,7.726,7.38258,Clear,0,1029.802,62.764,1
2021-11-07,15:41:35.500000,8.023,7.67854,Clear,0,1029.571,62.739,1
2021-11-07,15:41:35.600000,7.952,7.60804,Clear,0,1029.34,62.714,1
2021-11-07,15:41:35.700000,7.987,7.64236,Clear,0,1029.109,62.688,1
2021-11-07,15:41:35.800000,8.093,7.7468,Clear,0,1028.879,62.663,1
2021-11-07,15:41:35.900000,8.094,7.7466,Clear,0,1028.65,62.638,1
2021-11-07,15:41:36,8.249,7.90203,Clear,0,1028.42,62.612,1
2021-11-07,15:41:36.100000,8.287,7.93895,Clear,0,1028.191,62.587,1
2021-11-07,15:41:36.200000,8.14,7.79081,Clear,0,1027.963,62.562,1
2021-11-07,15:41:36.300000,8.381,8.03082,Clear,0,1027.735,62.537,1
2021-11-07,15:41:36.400000,8.348,7.99692,Clear,0,1027.507,62.511,1
2021-11-07,15:41:36.500000,8.091,7.73989,Clear,0,1027.279,62.486,1
2021-11-07,15:41:36.600000,8.395,8.04271,Clear,0,1027.052,62.461,1
2021-11-07,15:41:36.700000,8.377,8.02416,Clear,0,1026.826,62.435,1
2021-11-07,15:41:36.800000,8.36,8.00617,Clear,0,1026.6,62.41,1
2021-11-07,15:41:36.900000,8.446,8.09189,Clear,0,1026.374,62.385,1
2021-11-07,15:41:37,8.224,7.86942,Clear,0,1026.148,62.359,1
2021-11-07,15:41:37.100000,8.405,8.04897,Clear,0,1025.923,62.334,1
2021-11-07,15:41:37.200000,8.317,7.95993,Clear,0,1025.699,62.309,1
2021-11-07,15:41:37.300000,8.466,8.10888,Clear,0,1025.475,62.283,1
2021-11-07,15:41:37.400000,8.328,7.97034,Clear,0,1025.251,62.258,1
2021-11-07,15:41:37.500000,8.39,8.03108,Clear,0,1025.027,62.233,1
2021-11-07,15:41:37.600000,8.397,8.03649,Clear,0,1024.804,62.207,1
2021-11-07,15:41:37.700000,8.344,7.9833,Clear,0,1024.582,62.182,1
2021-11-07,15:41:37.800000,8.34,7.97912,Clear,0,1024.359,62.157,1
2021-11-07,15:41:37.900000,8.539,8.17669,Clear,0,1024.138,62.131,1
2021-11-07,15:41:38,8.379,8.01602,Clear,0,1023.916,62.106,1
2021-11-07,15:41:38.100000,8.434,8.06955,Clear,0,1023.695,62.081,1
2021-11-07,15:41:38.200000,8.565,8.20076,Clear,0,1023.474,62.055,1
2021-11-07,15:41:38.300000,8.602,8.23652,Clear,0,1023.254,62.03,1
2021-11-07,15:41:38.400000,8.564,8.19836,Clear,0,1023.034,62.005,1
2021-11-07,15:41:38.500000,8.67,8.3028,Clear,0,1022.815,61.979,1
2021-11-07,15:41:38.600000,8.558,8.19089,Clear,0,1022.596,61.954,1
2021-11-07,15:41:38.700000,8.651,8.28317,Clear,0,1022.377,61.928,1
2021-11-07,15:41:38.800000,8.465,8.0957,Clear,0,1022.159,61.903,1
2021-11-07,15:41:38.900000,8.649,8.27941,Clear,0,1021.941,61.878,1
2021-11-07,15:41:39,8.492,8.12176,Clear,0,1021.723,61.852,1
2021-11-07,15:41:39.100000,8.559,8.1879,Clear,0,1021.506,61.827,1
2021-11-07,15:41:39.200000,8.751,8.37935,Clear,0,1021.29,61.802,1
2021-11-07,15:41:39.300000,8.571,8.19833,Clear,0,1021.073,61.776,1
2021-11-07,15:41:39.500000,8.331,7.95743,Clear,0,1020.642,61.725,1
2021-11-07,15:41:39.600000,8.459,8.0842,Clear,0,1020.427,61.7,1
2021-11-07,15:41:39.700000,8.63,8.25359,Clear,0,1020.212,61.675,1
2021-11-07,15:41:39.800000,8.648,8.27234,Clear,0,1019.998,61.649,1
2021-11-07,15:41:39.900000,8.439,8.06153,Clear,0,1019.784,61.624,1
2021-11-07,15:41:40,8.54,8.16241,Clear,0,1019.571,61.598,1
2021-11-07,15:41:40.100000,8.496,8.11648,Clear,0,1019.358,61.573,1
2021-11-07,15:41:40.200000,8.54,8.16125,Clear,0,1019.145,61.547,1
2021-11-07,15:41:40.300000,8.631,8.25139,Clear,0,1018.933,61.522,1
2021-11-07,15:41:40.400000,8.568,8.18671,Clear,0,1018.721,61.497,1
2021-11-07,15:41:40.500000,8.491,8.11011,Clear,0,1018.509,61.471,1
2021-11-07,15:41:40.600000,8.509,8.12736,Clear,0,1018.298,61.446,1
2021-11-07,15:41:40.700000,8.706,8.32285,Clear,0,1018.088,61.42,1
2021-11-07,15:41:40.800000,8.82,8.4356,Clear,0,1017.877,61.395,1
2021-11-07,15:41:40.900000,8.717,8.33296,Clear,0,1017.668,61.369,1
2021-11-07,15:41:41,8.609,8.22346,Clear,0,1017.458,61.344,1
2021-11-07,15:41:41.100000,8.581,8.19534,Clear,0,1017.249,61.319,1
2021-11-07,15:41:41.200000,8.621,8.23424,Clear,0,1017.04,61.293,1
2021-11-07,15:41:41.300000,8.826,8.43933,Clear,0,1016.832,61.268,1
2021-11-07,15:41:41.400000,8.653,8.26531,Clear,0,1016.624,61.242,1
2021-11-07,15:41:41.500000,8.637,8.24762,Clear,0,1016.417,61.217,1
2021-11-07,15:41:41.600000,8.541,8.1506,Clear,0,1016.21,61.191,1
