satellite, 22196 IRIS R/B / IT
catalogue, 1 NORAD
track, 20708576
variability, 1 Aperiodic
variability_period, 0.0
npoints, 2844
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-06-30,23:44:01.201000,6.584,8.418,Clear,0,2892.645,56.725,6
2022-06-30,23:44:01.301000,6.69,8.52345,Clear,0,2892.584,56.736,6
2022-06-30,23:44:01.401000,6.784,8.61788,Clear,0,2892.524,56.748,6
2022-06-30,23:44:01.501000,7.09,8.92383,Clear,0,2892.464,56.759,6
2022-06-30,23:44:01.601000,6.787,8.62077,Clear,0,2892.404,56.771,6
2022-06-30,23:44:01.701000,6.961,8.79581,Clear,0,2892.344,56.782,6
2022-06-30,23:44:01.801000,6.67,8.50508,Clear,0,2892.284,56.793,6
2022-06-30,23:44:02.001000,6.598,8.43332,Clear,0,2892.165,56.816,6
2022-06-30,23:44:02.101000,6.365,8.20035,Clear,0,2892.105,56.828,6
2022-06-30,23:44:02.201000,6.688,8.52301,Clear,0,2892.045,56.839,6
2022-06-30,23:44:02.301000,6.569,8.40369,Clear,0,2891.986,56.851,6
2022-06-30,23:44:02.401000,6.775,8.61021,Clear,0,2891.926,56.862,6
2022-06-30,23:44:02.501000,6.735,8.56987,Clear,0,2891.867,56.874,6
2022-06-30,23:44:02.601000,6.591,8.42604,Clear,0,2891.808,56.885,6
2022-06-30,23:44:02.701000,6.604,8.43943,Clear,0,2891.748,56.897,6
2022-06-30,23:44:02.801000,6.605,8.44025,Clear,0,2891.689,56.908,6
2022-06-30,23:44:02.901000,6.744,8.57912,Clear,0,2891.63,56.92,6
2022-06-30,23:44:03.001000,6.553,8.38839,Clear,0,2891.571,56.931,6
2022-06-30,23:44:03.101000,6.266,8.10236,Clear,0,2891.512,56.942,6
2022-06-30,23:44:03.201000,6.389,8.22453,Clear,0,2891.453,56.954,6
2022-06-30,23:44:03.301000,6.605,8.44066,Clear,0,2891.394,56.965,6
2022-06-30,23:44:03.401000,6.207,8.04323,Clear,0,2891.336,56.977,6
2022-06-30,23:44:03.501000,6.296,8.13194,Clear,0,2891.277,56.988,6
2022-06-30,23:44:03.601000,6.608,8.44357,Clear,0,2891.218,57.0,6
2022-06-30,23:44:03.701000,6.796,8.63215,Clear,0,2891.16,57.011,6
2022-06-30,23:44:03.801000,6.419,8.25473,Clear,0,2891.101,57.023,6
2022-06-30,23:44:03.901000,6.502,8.3376,Clear,0,2891.043,57.034,6
2022-06-30,23:44:04.001000,6.53,8.3658,Clear,0,2890.985,57.046,6
2022-06-30,23:44:04.101000,6.685,8.52073,Clear,0,2890.927,57.057,6
2022-06-30,23:44:04.201000,6.756,8.59154,Clear,0,2890.868,57.069,6
2022-06-30,23:44:04.301000,6.774,8.60999,Clear,0,2890.81,57.08,6
2022-06-30,23:44:04.401000,6.529,8.3658,Clear,0,2890.752,57.092,6
2022-06-30,23:44:04.501000,6.594,8.43096,Clear,0,2890.695,57.103,6
2022-06-30,23:44:04.601000,6.67,8.50676,Clear,0,2890.637,57.115,6
2022-06-30,23:44:04.701000,6.521,8.35783,Clear,0,2890.579,57.126,6
2022-06-30,23:44:04.801000,6.285,8.12185,Clear,0,2890.521,57.138,6
2022-06-30,23:44:04.901000,6.536,8.37307,Clear,0,2890.464,57.149,6
2022-06-30,23:44:05.001000,6.711,8.54832,Clear,0,2890.406,57.16,6
2022-06-30,23:44:05.101000,6.756,8.59342,Clear,0,2890.349,57.172,6
2022-06-30,23:44:05.201000,6.51,8.34655,Clear,0,2890.291,57.183,6
2022-06-30,23:44:05.301000,6.542,8.37883,Clear,0,2890.234,57.195,6
2022-06-30,23:44:05.401000,6.662,8.49855,Clear,0,2890.177,57.206,6
2022-06-30,23:44:05.501000,6.457,8.2943,Clear,0,2890.12,57.218,6
2022-06-30,23:44:05.601000,6.654,8.49126,Clear,0,2890.062,57.229,6
2022-06-30,23:44:05.701000,6.503,8.3402,Clear,0,2890.005,57.241,6
2022-06-30,23:44:05.801000,6.488,8.32616,Clear,0,2889.949,57.252,6
2022-06-30,23:44:05.901000,6.69,8.52823,Clear,0,2889.892,57.264,6
2022-06-30,23:44:06.001000,6.583,8.42129,Clear,0,2889.835,57.275,6
2022-06-30,23:44:06.101000,6.656,8.49383,Clear,0,2889.778,57.287,6
2022-06-30,23:44:06.201000,6.724,8.56147,Clear,0,2889.722,57.298,6
2022-06-30,23:44:06.301000,6.786,8.62439,Clear,0,2889.665,57.31,6
2022-06-30,23:44:06.401000,6.607,8.44521,Clear,0,2889.608,57.321,6
2022-06-30,23:44:06.501000,6.494,8.33168,Clear,0,2889.552,57.333,6
2022-06-30,23:44:06.601000,6.969,8.8066,Clear,0,2889.496,57.344,6
2022-06-30,23:44:06.701000,6.515,8.3533,Clear,0,2889.439,57.356,6
2022-06-30,23:44:06.801000,6.793,8.63069,Clear,0,2889.383,57.367,6
2022-06-30,23:44:06.901000,6.619,8.45716,Clear,0,2889.327,57.379,6
2022-06-30,23:44:07.001000,6.771,8.60856,Clear,0,2889.271,57.39,6
2022-06-30,23:44:07.101000,6.508,8.34692,Clear,0,2889.215,57.402,6
2022-06-30,23:44:07.200000,6.631,8.47009,Clear,0,2889.16,57.413,6
2022-06-30,23:44:07.300000,6.724,8.5633,Clear,0,2889.104,57.424,6
2022-06-30,23:44:07.400000,6.694,8.53311,Clear,0,2889.048,57.436,6
2022-06-30,23:44:07.500000,6.61,8.44891,Clear,0,2888.993,57.447,6
2022-06-30,23:44:07.600000,6.61,8.44932,Clear,0,2888.937,57.459,6
2022-06-30,23:44:07.700000,6.565,8.40419,Clear,0,2888.882,57.47,6
2022-06-30,23:44:07.800000,6.427,8.26579,Clear,0,2888.826,57.482,6
2022-06-30,23:44:07.900000,6.603,8.44153,Clear,0,2888.771,57.493,6
